sa2,Male,Female
Cecil Hills,3472,3434
Green Valley,6385,6538
Hinchinbrook,6394,6638
Hoxton Park - Carnes Hill - Horningsea Park,6568,6698
West Hoxton - Middleton Grange,8542,8653
Cobbitty - Bringelly,2318,2441
Gledswood Hills - Gregory Hills,7080,7220
Leppington - Catherine Field,6254,6308
Oran Park,8719,8904
Bonnyrigg Heights - Bonnyrigg,8369,8785
Bossley Park - Abbotsbury,9739,9948
Cabramatta - Lansvale,11933,12168
Cabramatta West - Mount Pritchard,9087,9169
Canley Vale - Canley Heights,10956,11300
Edensor Park,4952,5325
Fairfield,9000,9244
Fairfield - West,10409,10842
Greenfield Park - Prairiewood,4401,4449
Horsley Park - Kemps Creek,2219,2121
Smithfield - Wetherill Park,9592,9918
St Johns Park - Wakeley,5443,5753
Wetherill Park Industrial,23,18
Casula,8146,8441
Chipping Norton - Moorebank,10298,10515
Holsworthy - Wattle Grove,10704,10425
Lurnea - Cartwright,6340,6333
Warwick Farm,2975,2959
Edmondson Park,6007,6073
Liverpool - East,8707,8829
Liverpool - West,6835,6909
Prestons,7728,7971
Gymea - Grays Point,8917,9241
Miranda - Yowie Bay,9973,10737
Sylvania - Taren Point,7900,8535
Caringbah,6268,6589
Caringbah South,6406,6617
Cronulla - Kurnell - Bundeena,12015,12362
Lilli Pilli - Port Hacking - Dolans Bay,1661,1709
Woolooware - Burraneer,4395,4557
Heathcote - Waterfall,3203,3470
Illawong - Alfords Point,5248,5309
Menai - Lucas Heights - Woronora,10284,10640
Oyster Bay - Como - Jannali,10916,11146
Royal National Park,28,23
Sutherland - Kirrawee,11196,12041
Engadine,8482,8874
Loftus - Yarrawarrah,3629,3725
Woronora Heights,1747,1795
Migratory - Offshore - Shipping (NSW),0,0
No usual address (NSW),6375,4997
