"HLUNP Whether has Lung Condition (including COPD and Emphysema)","Has a lung condition (including COPD and emphysema)","Does not have a lung condition (including COPD and emphysema)","Not stated","Total",
"Wentworth - Buronga",167,5486,855,6511,
"Wentworth-Balranald Region",66,2945,642,3648,
"Corowa",200,4920,477,5595,
"Corowa Surrounds",217,6222,824,7262,
"Deniliquin",205,6024,807,7038,
"Deniliquin Surrounds",148,5925,768,6837,
"Moama",177,6191,567,6930,
"Tocumwal - Finley - Jerilderie",261,8291,1223,9778,
"Armidale",447,20677,2846,23967,
"Armidale Surrounds - North",102,3751,683,4527,
"Armidale Surrounds - South",147,5260,479,5894,
"Walcha",91,2678,374,3144,
"Glen Innes",309,7392,1228,8931,
"Inverell",300,10365,1399,12057,
"Inverell Surrounds - East",190,4321,688,5200,
"Inverell Surrounds - West",172,4895,668,5734,
"Tenterfield",240,5793,780,6810,
"Moree",155,6059,1633,7845,
"Moree Surrounds",86,3795,1470,5356,
"Narrabri",170,6004,726,6898,
"Narrabri Surrounds",98,3750,770,4616,
"Gunnedah",252,8251,1240,9745,
"Gunnedah Surrounds",112,3694,560,4369,
"Quirindi",197,6293,1066,7551,
"Tamworth - East",473,18824,2056,21360,
"Tamworth - North",383,14526,1605,16517,
"Tamworth - West",107,4898,988,5998,
"Tamworth Surrounds",495,16850,1689,19038,
"Belmont - Bennetts Green",438,16202,1225,17864,
"Belmont South - Blacksmiths",167,5064,453,5680,
"Charlestown - Dudley",495,23133,1624,25254,
"Glendale - Cardiff - Hillsborough",484,22651,1455,24588,
"Mount Hutton - Windale",330,8217,958,9504,
"Redhead",118,3369,293,3785,
"Swansea - Caves Beach",411,11306,846,12559,
"Valentine - Eleebana",192,11704,675,12568,
"Warners Bay - Boolaroo",333,13424,926,14694,
"Bolton Point - Teralba",306,8806,1025,10135,
"Bonnells Bay - Silverwater",264,8752,680,9691,
"Edgeworth - Cameron Park",316,14990,1072,16375,
"Morisset - Cooranbong",552,16283,1299,18129,
"Toronto - Awaba",422,12479,1065,13961,
"Wangi Wangi - Rathmines",257,8467,740,9467,
"West Wallsend - Barnsley - Killingworth",153,6618,476,7254,
"Adamstown - Kotara",228,15409,968,16600,
"Beresfield - Hexham",279,7594,690,8561,
"Hamilton - Broadmeadow",246,11341,1185,12772,
"Lambton - New Lambton",316,15879,1150,17343,
"Maryland - Fletcher - Minmi",242,15270,919,16429,
"Mayfield - Warabrook",384,14016,1132,15526,
"Merewether - The Junction",203,13375,925,14506,
"Newcastle - Cooks Hill",191,11634,984,12805,
"Newcastle Port - Kooragang",0,22,5,31,
"Shortland - Jesmond",233,10690,1674,12593,
"Stockton - Fullerton Cove",288,7782,759,8824,
"Wallsend - Elermore Vale",481,19019,1461,20958,
"Waratah - North Lambton",254,11506,1120,12883,
"Wickham - Carrington - Tighes Hill",164,8406,599,9171,
"Ballina",690,16324,1625,18629,
"Ballina Surrounds",366,16590,1373,18327,
"Bangalow",97,5939,927,6958,
"Brunswick Heads - Ocean Shores",216,7901,1051,9170,
"Byron Bay",159,9520,1238,10914,
"Evans Head",227,4763,655,5643,
"Lennox Head - Skennars Head",121,8363,752,9236,
"Mullumbimby",173,7337,1383,8896,
"Casino",417,10491,1392,12298,
"Casino Surrounds",227,6080,1072,7381,
"Goonellabah",409,12062,1119,13591,
"Kyogle",251,6455,900,7611,
"Lismore",439,13153,1638,15229,
"Lismore Surrounds",325,13631,1829,15786,
"Kingscliff - Fingal Head",377,13230,1203,14818,
"Murwillumbah",275,8227,1002,9501,
"Murwillumbah Surrounds",244,8731,1374,10352,
"Pottsville",302,12394,1389,14086,
"Tweed Heads",680,17760,2122,20563,
"Banora Point",533,14568,1223,16320,
"Terranora - North Tumbulgum",52,3011,264,3324,
"Tweed Heads South",418,7301,704,8423,
"Griffith (NSW)",320,18243,2008,20569,
"Griffith Surrounds",248,10603,1904,12760,
"Leeton",267,9016,1055,10330,
