Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"Tumut",1706,28,873,203,260,3077,
"Tumut Surrounds",1243,17,512,209,333,2312,
"Cootamundra",2063,25,1081,207,409,3784,
"Gundagai",879,13,431,180,229,1732,
"Junee",1404,28,645,140,270,2493,
"Temora",1717,22,895,156,444,3231,
"Wagga Wagga - East",4466,83,1765,252,471,7035,
"Wagga Wagga - North",1253,18,501,105,133,2009,
"Wagga Wagga - South",5704,107,2545,388,585,9327,
"Wagga Wagga - West",2655,41,2289,386,596,5965,
"Wagga Wagga Surrounds",4444,79,1456,414,616,7009,
"Berry - Kangaroo Valley",2676,57,1152,336,845,5076,
"Callala Bay - Currarong",1031,21,439,139,1479,3109,
"Culburra Beach",1402,33,759,162,1167,3515,
"Ettrema - Sassafras - Budawang",18,0,8,6,16,49,
"Huskisson - Vincentia",1350,17,655,173,1454,3655,
"North Nowra - Bomaderry",4232,106,1908,289,432,6969,
"Nowra",5228,139,2493,623,570,9050,
"St Georges Basin - Erowal Bay",4138,110,1961,356,1712,8271,
"Sussex Inlet - Berrara",1260,18,808,166,1187,3448,
"Tomerong - Wandandian - Woollamia",983,40,241,98,181,1541,
"Ulladulla",4710,86,2176,531,2098,9602,
"Ulladulla Surrounds",1598,45,710,308,1681,4340,
"Bowral",3766,68,1726,240,644,6446,
"Hill Top - Colo Vale",1652,84,444,62,144,2384,
"Mittagong",2866,74,1228,208,335,4708,
"Moss Vale - Berrima",2792,64,1229,216,343,4651,
"Robertson - Fitzroy Falls",1041,29,330,156,303,1862,
"Southern Highlands",1968,67,756,246,534,3579,
"Baulkham Hills - East",6512,221,1583,167,549,9032,
"Baulkham Hills (West) - Bella Vista",5629,328,908,151,379,7389,
"Glenhaven",1703,46,415,28,76,2269,
"West Pennant Hills",3371,199,394,60,111,4135,
"Castle Hill - Central",2028,71,520,55,152,2827,
"Castle Hill - East",1209,69,535,51,251,2110,
"Castle Hill - North",3168,183,521,80,207,4168,
