"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"Tamworth - East",703,18592,2056,21360,
"Tamworth - North",581,14333,1605,16517,
"Tamworth - West",106,4897,988,5998,
"Tamworth Surrounds",739,16605,1689,19038,
"Belmont - Bennetts Green",694,15941,1225,17864,
"Belmont South - Blacksmiths",242,4989,453,5680,
"Charlestown - Dudley",779,22846,1624,25254,
"Glendale - Cardiff - Hillsborough",764,22365,1455,24588,
"Mount Hutton - Windale",365,8181,958,9504,
"Redhead",189,3298,293,3785,
"Swansea - Caves Beach",590,11127,846,12559,
"Valentine - Eleebana",521,11370,675,12568,
"Warners Bay - Boolaroo",562,13197,926,14694,
"Bolton Point - Teralba",358,8758,1025,10135,
"Bonnells Bay - Silverwater",404,8609,680,9691,
"Edgeworth - Cameron Park",434,14873,1072,16375,
"Morisset - Cooranbong",811,16014,1299,18129,
"Toronto - Awaba",584,12312,1065,13961,
"Wangi Wangi - Rathmines",411,8317,740,9467,
"West Wallsend - Barnsley - Killingworth",211,6569,476,7254,
"Adamstown - Kotara",482,15153,968,16600,
"Beresfield - Hexham",284,7595,690,8561,
"Hamilton - Broadmeadow",414,11178,1185,12772,
"Lambton - New Lambton",555,15643,1150,17343,
"Maryland - Fletcher - Minmi",340,15178,919,16429,
"Mayfield - Warabrook",473,13925,1132,15526,
"Merewether - The Junction",441,13132,925,14506,
"Newcastle - Cooks Hill",354,11469,984,12805,
"Newcastle Port - Kooragang",0,19,5,31,
"Shortland - Jesmond",262,10664,1674,12593,
"Stockton - Fullerton Cove",427,7643,759,8824,
"Wallsend - Elermore Vale",714,18789,1461,20958,
"Waratah - North Lambton",378,11387,1120,12883,
"Wickham - Carrington - Tighes Hill",224,8341,599,9171,
"Ballina",903,16105,1625,18629,
"Ballina Surrounds",684,16267,1373,18327,
"Bangalow",168,5868,927,6958,
"Brunswick Heads - Ocean Shores",280,7838,1051,9170,
"Byron Bay",299,9381,1238,10914,
"Evans Head",239,4750,655,5643,
"Lennox Head - Skennars Head",261,8228,752,9236,
"Mullumbimby",269,7247,1383,8896,
"Casino",508,10400,1392,12298,
"Casino Surrounds",243,6065,1072,7381,
"Goonellabah",507,11973,1119,13591,
"Kyogle",260,6448,900,7611,
"Lismore",559,13033,1638,15229,
"Lismore Surrounds",522,13430,1829,15786,
"Kingscliff - Fingal Head",566,13043,1203,14818,
"Murwillumbah",343,8159,1002,9501,
"Murwillumbah Surrounds",352,8619,1374,10352,
"Pottsville",500,12195,1389,14086,
"Tweed Heads",903,17538,2122,20563,
"Banora Point",736,14361,1223,16320,
"Terranora - North Tumbulgum",113,2943,264,3324,
"Tweed Heads South",457,7265,704,8423,
"Griffith (NSW)",528,18037,2008,20569,
"Griffith Surrounds",365,10483,1904,12760,
"Leeton",274,9010,1055,10330,
"Narrandera",197,4932,774,5905,
"Tumbarumba",119,2916,485,3522,
"Tumut",249,5754,664,6667,
"Tumut Surrounds",174,4023,547,4744,
"Cootamundra",383,6613,711,7705,
"Gundagai",136,3091,493,3715,
"Junee",208,4809,1336,6351,
"Temora",232,5833,535,6603,
"Wagga Wagga - East",588,15151,1178,16921,
"Wagga Wagga - North",128,4970,505,5605,
"Wagga Wagga - South",707,20030,1786,22522,
"Wagga Wagga - West",420,10354,1185,11962,
"Wagga Wagga Surrounds",528,15492,1772,17788,
"Berry - Kangaroo Valley",487,8267,732,9489,
"Callala Bay - Currarong",210,3151,285,3642,
"Culburra Beach",243,4497,357,5105,
"Ettrema - Sassafras - Budawang",0,57,8,62,
"Huskisson - Vincentia",213,4240,390,4844,
"North Nowra - Bomaderry",668,14109,1320,16098,
"Nowra",761,18767,3063,22584,
"St Georges Basin - Erowal Bay",789,13105,1368,15259,
"Sussex Inlet - Berrara",286,3919,496,4694,
"Tomerong - Wandandian - Woollamia",137,3199,371,3708,
"Ulladulla",771,14886,1375,17026,
"Ulladulla Surrounds",278,5012,530,5822,
"Bowral",753,11874,999,13626,
"Hill Top - Colo Vale",186,5780,420,6393,
"Mittagong",409,9782,737,10931,
"Moss Vale - Berrima",396,9305,954,10648,
"Robertson - Fitzroy Falls",146,3344,338,3829,
"Southern Highlands",321,6344,580,7250,
"Baulkham Hills - East",624,23010,1092,24726,
"Baulkham Hills (West) - Bella Vista",575,20125,987,21683,
"Glenhaven",301,5729,334,6361,
"West Pennant Hills",433,11722,528,12683,
"Castle Hill - Central",197,7139,337,7677,
"Castle Hill - East",224,4904,545,5670,
"Castle Hill - North",369,11256,568,12189,
"Castle Hill - South",276,9650,491,10419,
"Castle Hill - West",104,4895,182,5183,
"Cherrybrook",529,17790,768,19082,
"Kellyville - East",396,16619,694,17709,
"Kellyville - West",208,10610,561,11375,
"Dural - Kenthurst - Wisemans Ferry",726,20335,1421,22479,
"Galston - Laughtondale",206,4806,419,5436,
"Bilpin - Colo - St Albans",110,2384,349,2846,
"Kurrajong Heights - Ebenezer",663,20092,1404,22161,
"Pitt Town - McGraths Hill",293,10226,896,11414,
"Box Hill - Nelson",143,9656,492,10287,
"North Kellyville",220,16219,969,17401,
"Rouse Hill - Beaumont Hills",355,16530,692,17581,
"Blacktown (East) - Kings Park",278,15263,1495,17032,
"Blacktown (North) - Marayong",397,18558,1630,20584,
"Doonside - Woodcroft",462,21168,1754,23384,
"Lalor Park - Kings Langley",678,22755,1934,25373,
"Blacktown - South",233,11428,984,12646,
"Blacktown - West",362,15346,1431,17141,
"Seven Hills - Prospect",336,13497,1030,14866,
"Toongabbie - West",210,10575,790,11578,
