SA2_MAINCODE_2011,SA2_NAME_2011,SA2_MAINCODE_2016,SA2_NAME_2016,RATIO,PERCENTAGE
120031393,Croydon Park - Enfield,120031393,Croydon Park - Enfield,1,100
120031394,Dulwich Hill - Lewisham,120031394,Dulwich Hill - Lewisham,1,100
120031395,Haberfield - Summer Hill,120031395,Haberfield - Summer Hill,1,100
120031396,Homebush,120031396,Homebush,1,100
120031397,Strathfield,120031575,Strathfield,0.8764705,87.6470475
120031397,Strathfield,120031576,Strathfield South,0.1235295,12.3529525
121011398,Chatswood (East) - Artarmon,121011398,Chatswood (East) - Artarmon,1,100
121011399,Chatswood (West) - Lane Cove North,121011399,Chatswood (West) - Lane Cove North,1,100
121011400,Lane Cove - Greenwich,121011400,Lane Cove - Greenwich,1,100
121011401,St Leonards - Naremburn,121011401,St Leonards - Naremburn,1,100
121011402,Willoughby - Castle Cove - Northbridge,121011402,Willoughby - Castle Cove - Northbridge,1,100
121021403,Asquith - Mount Colah,121021403,Asquith - Mount Colah,1,100
121021404,Berowra - Brooklyn - Cowan,121021404,Berowra - Brooklyn - Cowan,1,100
121021405,Hornsby - Waitara,121021406,Normanhurst - Thornleigh - Westleigh,0.0006809,0.0680876
121021405,Hornsby - Waitara,121021577,Hornsby - East,0.3646983,36.4698344
121021405,Hornsby - Waitara,121021578,Hornsby - West,0.3399152,33.9915249
121021405,Hornsby - Waitara,121021579,Waitara - Wahroonga (West),0.2947055,29.470553
121021406,Normanhurst - Thornleigh - Westleigh,121021406,Normanhurst - Thornleigh - Westleigh,1,100
121031407,Gordon - Killara,121031407,Gordon - Killara,1,100
121031408,Lindfield - Roseville,121031408,Lindfield - Roseville,1,100
121031409,Pymble,121031409,Pymble,1,100
121031410,St Ives,121031410,St Ives,1,100
121031411,Turramurra,121031411,Turramurra,1,100
121031412,Wahroonga - Warrawee,121031412,Wahroonga (East) - Warrawee,1,100
121041413,Cremorne - Cammeray,121041413,Cremorne - Cammeray,1,100
121041414,Crows Nest - Waverton,121041414,Crows Nest - Waverton,1,100
121041415,Mosman,121041415,Mosman,1,100
121041416,Neutral Bay - Kirribilli,121041416,Neutral Bay - Kirribilli,1,100
121041417,North Sydney - Lavender Bay,121041417,North Sydney - Lavender Bay,1,100
122011418,Balgowlah - Clontarf - Seaforth,122011418,Balgowlah - Clontarf - Seaforth,1,100
122011419,Manly - Fairlight,122011419,Manly - Fairlight,1,100
122021420,Avalon - Palm Beach,122021420,Avalon - Palm Beach,1,100
122021421,Bayview - Elanora Heights,122021421,Bayview - Elanora Heights,1,100
122021422,Newport - Bilgola,122021422,Newport - Bilgola,1,100
122021423,Warriewood - Mona Vale,122021421,Bayview - Elanora Heights,0.0014648,0.1464759
122021423,Warriewood - Mona Vale,122021423,Warriewood - Mona Vale,0.9985352,99.8535241
122031424,Beacon Hill - Narraweena,122031424,Beacon Hill - Narraweena,1,100
122031425,Cromer,122031425,Cromer,1,100
122031426,Dee Why - North Curl Curl,122031426,Dee Why - North Curl Curl,1,100
122031427,Forestville - Killarney Heights,122031427,Forestville - Killarney Heights,1,100
122031428,Frenchs Forest - Belrose,122031428,Frenchs Forest - Belrose,1,100
122031429,Freshwater - Brookvale,122031429,Freshwater - Brookvale,1,99.9999974
122031430,Manly Vale - Allambie Heights,122031430,Manly Vale - Allambie Heights,1,100
122031431,Narrabeen - Collaroy,122031431,Narrabeen - Collaroy,1,100
122031432,Terrey Hills - Duffys Forest,122031432,Terrey Hills - Duffys Forest,1,100
123011433,Camden - Ellis Lane,123011433,Camden - Ellis Lane,1,100
123011434,Elderslie - Harrington Park,123011434,Elderslie - Harrington Park,1,100
123011435,Mount Annan - Currans Hill,123011435,Mount Annan - Currans Hill,1,100
123021436,Bradbury - Wedderburn,123021436,Bradbury - Wedderburn,1,100
123021437,Campbelltown - Woodbine,123021437,Campbelltown - Woodbine,1,100
123021438,Claymore - Eagle Vale - Raby,123021438,Claymore - Eagle Vale - Raby,1,100
123021439,Holsworthy Military Area,123021439,Holsworthy Military Area,1,100
123021440,Ingleburn - Denham Court,123021440,Ingleburn - Denham Court,1,100
123021441,Leumeah - Minto Heights,123021441,Leumeah - Minto Heights,1,100
123021442,Macquarie Fields - Glenfield,123021442,Macquarie Fields - Glenfield,1,100
123021443,Minto - St Andrews,123021443,Minto - St Andrews,1,100
123021444,Rosemeadow - Glen Alpine,123021444,Rosemeadow - Glen Alpine,1,100
123031445,Bargo,123031445,Bargo,1,100
123031446,Douglas Park - Appin,123031446,Douglas Park - Appin,1,100
123031447,Picton - Tahmoor - Buxton,123031447,Picton - Tahmoor - Buxton,1,100
123031448,The Oaks - Oakdale,123031448,The Oaks - Oakdale,1,100
124011449,Blackheath - Megalong Valley,124011449,Blackheath - Megalong Valley,1,100
124011450,Blaxland - Warrimoo - Lapstone,124011450,Blaxland - Warrimoo - Lapstone,1,100
124011451,Blue Mountains - North,124011451,Blue Mountains - North,1,100
124011452,Katoomba - Leura,124011452,Katoomba - Leura,1,100
124011453,Lawson - Hazelbrook - Linden,124011453,Lawson - Hazelbrook - Linden,1,100
124011454,Springwood - Winmalee,124011454,Springwood - Winmalee,1,100
124011455,Wentworth Falls,124011455,Wentworth Falls,1,100
124021456,Blue Mountains - South,124021456,Blue Mountains - South,1,100
124031457,Cambridge Park,124031457,Cambridge Park,1,100
124031458,Castlereagh - Cranebrook,124031458,Castlereagh - Cranebrook,1,100
124031459,Emu Plains - Leonay,124031459,Emu Plains - Leonay,1,100
124031460,Glenmore Park - Regentville,124031460,Glenmore Park - Regentville,0.9996229,99.9622863
124031460,Glenmore Park - Regentville,124031463,Mulgoa - Luddenham - Orchard Hills,0.0003771,0.0377137
124031461,Jamisontown - South Penrith,124031461,Jamisontown - South Penrith,1,100
124031462,Kingswood - Werrington,124031462,Kingswood - Werrington,1,100
124031463,Mulgoa - Luddenham - Orchard Hills,124031463,Mulgoa - Luddenham - Orchard Hills,0.9797804,97.9780373
124031463,Mulgoa - Luddenham - Orchard Hills,127011592,Badgerys Creek,0.0202196,2.0219627
124031464,Penrith,124031464,Penrith,1,100
124031465,Warragamba - Silverdale,124031465,Warragamba - Silverdale,1,100
124041466,Richmond - Clarendon,124041466,Richmond - Clarendon,1,100
124041467,Windsor - Bligh Park,124041467,Windsor - Bligh Park,1,100
124041468,Yarramundi - Londonderry,124041468,Yarramundi - Londonderry,1,100
124051469,Erskine Park,124051469,Erskine Park,1,100
124051470,St Clair,124051470,St Clair,1,100
124051471,St Marys - Colyton,124051580,Colyton - Oxley Park,0.4272289,42.7228948
124051471,St Marys - Colyton,124051581,St Marys - North St Marys,0.5727711,57.2771052
125011472,Auburn,125011582,Auburn - Central,0.4705044,47.0504446
125011472,Auburn,125011583,Auburn - North,0.2986962,29.8696236
125011472,Auburn,125011584,Auburn - South,0.2307993,23.0799318
125011473,Homebush Bay - Silverwater,125011473,Homebush Bay - Silverwater,1,100
125011474,Lidcombe - Regents Park,125011585,Berala,0.2811278,28.1127809
125011474,Lidcombe - Regents Park,125011586,Lidcombe,0.5560486,55.604857
125011474,Lidcombe - Regents Park,125011587,Regents Park,0.1628236,16.2823621
125011475,Rookwood Cemetery,125011475,Rookwood Cemetery,1,100
125021476,Carlingford,125021476,Carlingford,1,100
125021477,Ermington - Rydalmere,125021477,Ermington - Rydalmere,1,100
125021478,Oatlands - Dundas Valley,125021478,Oatlands - Dundas Valley,1,100
125031479,Chester Hill - Sefton,125031479,Chester Hill - Sefton,1,100
125031480,Fairfield - East,125031480,Fairfield - East,1,100
125031481,Granville - Clyde,125031481,Granville - Clyde,1,100
125031482,Greystanes - Pemulwuy,125031482,Greystanes - Pemulwuy,1,100
125031483,Guildford - South Granville,125031483,Guildford - South Granville,1,100
125031484,Guildford West - Merrylands West,125031484,Guildford West - Merrylands West,1,100
125031485,Merrylands - Holroyd,125031485,Merrylands - Holroyd,1,100
125031486,Smithfield Industrial,125031486,Smithfield Industrial,1,100
125031487,Yennora Industrial,125031487,Yennora Industrial,1,100
125041488,Girraween - Westmead,125041588,Pendle Hill - Girraween,0.4424,44.2399978
125041488,Girraween - Westmead,125041589,Wentworthville - Westmead,0.5576,55.7600022
125041489,North Parramatta,125041489,North Parramatta,1,100
125041490,North Rocks,125041490,North Rocks,1,100
125041491,Northmead,125041491,Northmead,1,100
125041492,Parramatta - Rosehill,125041492,Parramatta - Rosehill,1,100
125041493,Toongabbie - Constitution Hill,125041493,Toongabbie - Constitution Hill,1,100
125041494,Winston Hills,125041494,Winston Hills,1,100
126011495,Epping - North Epping,126011495,Epping - North Epping,1,100
126011496,Pennant Hills - Cheltenham,126011496,Pennant Hills - Cheltenham,1,100
126021497,Eastwood - Denistone,126021497,Eastwood - Denistone,1,100
126021498,Gladesville - Huntleys Point,126021498,Gladesville - Huntleys Point,1,100
126021499,Hunters Hill - Woolwich,126021499,Hunters Hill - Woolwich,1,100
126021500,Macquarie Park - Marsfield,126021500,Macquarie Park - Marsfield,1,100
126021501,North Ryde - East Ryde,126021501,North Ryde - East Ryde,1,100
126021502,Ryde - Putney,126021590,Putney,0.1559885,15.5988471
126021502,Ryde - Putney,126021591,Ryde,0.8440115,84.4011529
126021503,West Ryde - Meadowbank,126021503,West Ryde - Meadowbank,1,100
127011504,Ashcroft - Busby - Miller,127011504,Ashcroft - Busby - Miller,1,100
127011505,Badgerys Creek - Greendale,127011505,Austral - Greendale,0.9077243,90.7724264
127011505,Badgerys Creek - Greendale,127011592,Badgerys Creek,0.0159528,1.595278
127011505,Badgerys Creek - Greendale,127011597,West Hoxton - Middleton Grange,0.076323,7.6322956
127011506,Cobbitty - Leppington,127011505,Austral - Greendale,0.0022909,0.2290902
127011506,Cobbitty - Leppington,127011506,Cobbitty - Leppington,0.9977091,99.7709098
127011507,Green Valley - Cecil Hills,127011593,Cecil Hills,0.2387015,23.8701456
127011507,Green Valley - Cecil Hills,127011594,Green Valley,0.4304338,43.0433793
127011507,Green Valley - Cecil Hills,127011595,Hinchinbrook,0.3308648,33.0864751
127011508,Hoxton Park - Horningsea Park,127011596,Hoxton Park - Carnes Hill - Horningsea Park,0.4824832,48.2483168
127011508,Hoxton Park - Horningsea Park,127011597,West Hoxton - Middleton Grange,0.5175168,51.7516832
127021509,Bonnyrigg Heights - Bonnyrigg,127021509,Bonnyrigg Heights - Bonnyrigg,1,100
127021510,Bossley Park - Abbotsbury,127021510,Bossley Park - Abbotsbury,1,100
127021511,Cabramatta - Lansvale,127021511,Cabramatta - Lansvale,1,100
127021512,Cabramatta West - Mount Pritchard,127021512,Cabramatta West - Mount Pritchard,1,100
127021513,Canley Vale - Canley Heights,127021513,Canley Vale - Canley Heights,1,100
127021514,Edensor Park,127021514,Edensor Park,1,100
127021515,Fairfield,127021515,Fairfield,1,100
127021516,Fairfield - West,127021516,Fairfield - West,1,100
127021517,Greenfield Park - Prairiewood,127021517,Greenfield Park - Prairiewood,1,100
127021518,Horsley Park - Kemps Creek,127021518,Horsley Park - Kemps Creek,1,100
127021519,Smithfield - Wetherill Park,127021519,Smithfield - Wetherill Park,1,100
127021520,St Johns Park - Wakeley,127021520,St Johns Park - Wakeley,1,100
127021521,Wetherill Park Industrial,127021521,Wetherill Park Industrial,1,100
127031522,Casula,127031522,Casula,1,100
127031523,Chipping Norton - Moorebank,127031523,Chipping Norton - Moorebank,1,100
127031524,Holsworthy - Wattle Grove,127031524,Holsworthy - Wattle Grove,1,100
127031525,Liverpool - Warwick Farm,127031598,Liverpool,0.8428999,84.2899948
127031525,Liverpool - Warwick Farm,127031601,Warwick Farm,0.1571001,15.7100052
127031526,Prestons - Lurnea,127031599,Lurnea - Cartwright,0.4225925,42.2592516
127031526,Prestons - Lurnea,127031600,Prestons - Edmondson Park,0.5774075,57.7407484
128011527,Caringbah - Lilli Pilli,128011602,Caringbah,0.4276967,42.769666
128011527,Caringbah - Lilli Pilli,128011603,Caringbah South,0.4529873,45.2987252
128011527,Caringbah - Lilli Pilli,128011605,Lilli Pilli - Port Hacking - Dolans Bay,0.1193161,11.9316088
128011528,Cronulla - Kurnell - Bundeena,128011604,Cronulla - Kurnell - Bundeena,0.7424978,74.2497843
128011528,Cronulla - Kurnell - Bundeena,128011606,Woolaware - Burraneer,0.2575022,25.7502157
128011529,Gymea - Grays Point,128011529,Gymea - Grays Point,1,100
128011530,Miranda - Yowie Bay,128011530,Miranda - Yowie Bay,1,100
128011531,Sylvania - Taren Point,128011531,Sylvania - Taren Point,1,100
128021532,Engadine - Loftus,128021607,Engadine,0.6007282,60.072825
128021532,Engadine - Loftus,128021608,Loftus - Yarrawarrah,0.2598348,25.9834765
128021532,Engadine - Loftus,128021609,Woronora Heights,0.139437,13.9436985
128021533,Heathcote - Waterfall,128021533,Heathcote - Waterfall,1,100
128021534,Illawong - Alfords Point,128021534,Illawong - Alfords Point,1,100
128021535,Menai - Lucas Heights - Woronora,128021535,Menai - Lucas Heights - Woronora,1,100
128021536,Oyster Bay - Como - Jannali,128021536,Oyster Bay - Como - Jannali,1,100
128021537,Royal National Park,128021537,Royal National Park,1,100
128021538,Sutherland - Kirrawee,128021538,Sutherland - Kirrawee,1,100
197979799,Migratory - Offshore - Shipping (NSW),197979799,Migratory - Offshore - Shipping (NSW),,
199999499,No usual address (NSW),199999499,No usual address (NSW),1,100
201011001,Alfredton,201011001,Alfredton,1,100
201011002,Ballarat,201011002,Ballarat,1,100
201011003,Ballarat - North,201011003,Ballarat - North,1,100
201011004,Ballarat - South,201011004,Ballarat - South,1,100
201011005,Buninyong,201011005,Buninyong,1,100
201011006,Delacombe,201011006,Delacombe,1,100
201011007,Smythes Creek,201011007,Smythes Creek,1,100
201011008,Wendouree - Miners Rest,201011008,Wendouree - Miners Rest,1,100
201021009,Bacchus Marsh Region,201021009,Bacchus Marsh Region,1,100
201021010,Creswick - Clunes,201021010,Creswick - Clunes,1,100
201021011,Daylesford,201021011,Daylesford,1,100
201021012,Gordon (Vic.),201021012,Gordon (Vic.),1,100
201031013,Avoca,201031013,Avoca,1,100
201031014,Beaufort,201031014,Beaufort,1,100
201031015,Golden Plains - North,201031015,Golden Plains - North,1,100
201031016,Maryborough (Vic.),201031016,Maryborough (Vic.),1,100
201031017,Maryborough Region,201031017,Maryborough Region,1,100
202011018,Bendigo,202011018,Bendigo,1,100
202011019,California Gully - Eaglehawk,202011019,California Gully - Eaglehawk,1,100
202011020,East Bendigo - Kennington,202011020,East Bendigo - Kennington,1,100
202011021,Flora Hill - Spring Gully,202011021,Flora Hill - Spring Gully,1,100
202011022,Kangaroo Flat - Golden Square,202011022,Kangaroo Flat - Golden Square,1,100
202011023,Maiden Gully,202011022,Kangaroo Flat - Golden Square,0.0172767,1.7276657
202011023,Maiden Gully,202011023,Maiden Gully,0.9827233,98.2723343
202011024,Strathfieldsaye,202011024,Strathfieldsaye,1,100
202011025,White Hills - Ascot,202011025,White Hills - Ascot,1,100
202021026,Bendigo Region - South,202021026,Bendigo Region - South,1,100
202021027,Castlemaine,202021027,Castlemaine,1,100
202021028,Castlemaine Region,202021028,Castlemaine Region,1,100
202021029,Heathcote,202021029,Heathcote,1,100
202021030,Kyneton,202021030,Kyneton,1,100
202021031,Woodend,202021031,Woodend,1,100
202031032,Bendigo Region - North,202031032,Bendigo Region - North,1,100
202031033,Loddon,202031033,Loddon,1,100
203011034,Bannockburn,203011034,Bannockburn,1,100
203011035,Golden Plains - South,203011035,Golden Plains - South,1,100
203011036,Winchelsea,203011036,Winchelsea,1,100
203021037,Belmont,203021037,Belmont,1,100
203021038,Corio - Norlane,203021038,Corio - Norlane,1,100
203021039,Geelong,203021039,Geelong,1,100
203021040,Geelong West - Hamlyn Heights,203021040,Geelong West - Hamlyn Heights,1,100
203021041,Grovedale,203021041,Grovedale,1,100
203021042,Highton,203021042,Highton,1,100
203021043,Lara,203021043,Lara,1,100
203021044,Leopold,203021044,Leopold,1,100
203021045,Newcomb - Moolap,203021045,Newcomb - Moolap,1,99.9999966
203021046,Newtown (Vic.),203021046,Newtown (Vic.),1,100
203021047,North Geelong - Bell Park,203021047,North Geelong - Bell Park,1,100
203031048,Clifton Springs,203031048,Clifton Springs,1,100
203031049,Lorne - Anglesea,203031049,Lorne - Anglesea,1,100
203031050,Ocean Grove - Barwon Heads,203031050,Ocean Grove - Barwon Heads,1,100
203031051,Portarlington,203031051,Portarlington,1,100
203031052,Queenscliff,203031052,Point Lonsdale - Queenscliff,0.9999998,99.9999754
203031053,Torquay,203031053,Torquay,1,100
204011054,Alexandra,204011054,Alexandra,1,100
204011055,Euroa,204011055,Euroa,1,100
204011056,Kilmore - Broadford,204011056,Kilmore - Broadford,1,100
204011057,Mansfield (Vic.),204011057,Mansfield (Vic.),1,100
204011058,Nagambie,204011058,Nagambie,1,100
204011059,Seymour,204011059,Seymour,1,100
204011060,Seymour Region,204011060,Seymour Region,0.9995389,99.953886
204011060,Seymour Region,204011062,Yea,0.0004611,0.046114
204011061,Upper Yarra Valley,204011061,Upper Yarra Valley,1,100
204011062,Yea,204011062,Yea,1,100
204021063,Benalla,204021063,Benalla,1,100
204021064,Benalla Region,204021064,Benalla Region,1,100
204021065,Rutherglen,204021065,Rutherglen,1,100
204021066,Wangaratta,204021066,Wangaratta,1,100
204021067,Wangaratta Region,204021067,Wangaratta Region,1,100
204031068,Beechworth,204031068,Beechworth,1,100
204031069,Bright - Mount Beauty,204031069,Bright - Mount Beauty,1,100
204031070,Chiltern - Indigo Valley,204031070,Chiltern - Indigo Valley,1,100
204031071,Myrtleford,204031071,Myrtleford,1,100
204031072,Towong,204031072,Towong,1,100
204031073,West Wodonga,204031073,West Wodonga,1,100
204031074,Wodonga,204031074,Wodonga,1,100
204031075,Yackandandah,204031075,Yackandandah,1,100
205011076,Drouin,205011076,Drouin,1,100
205011077,Mount Baw Baw Region,205011077,Mount Baw Baw Region,1,100
205011078,Trafalgar (Vic.),205011078,Trafalgar (Vic.),1,100
205011079,Warragul,205011079,Warragul,1,100
205021080,Alps - East,205021080,Alps - East,1,100
205021081,Bairnsdale,205021081,Bairnsdale,1,100
205021082,Bruthen - Omeo,205021082,Bruthen - Omeo,1,100
205021083,Lake King,205021083,Lake King,1,100
205021084,Lakes Entrance,205021082,Bruthen - Omeo,0.000267,0.0267028
205021084,Lakes Entrance,205021084,Lakes Entrance,0.999733,99.9732972
205021085,Orbost,205021085,Orbost,1,100
205021086,Paynesville,205021086,Paynesville,0.9999998,99.9999844
205031087,Foster,205031087,Foster,1,100
205031088,French Island,205031088,French Island,1,100
205031089,Korumburra,205031089,Korumburra,1,100
205031090,Leongatha,205031090,Leongatha,1,100
205031091,Phillip Island,205031091,Phillip Island,1,100
205031092,Wilsons Promontory,205031092,Wilsons Promontory,1,100
205031093,Wonthaggi - Inverloch,205031093,Wonthaggi - Inverloch,1,100
205041094,Churchill,205041094,Churchill,1,100
205041095,Moe - Newborough,205041095,Moe - Newborough,1,100
205041096,Morwell,205041096,Morwell,1,100
205041097,Traralgon,205041097,Traralgon,1,100
205041098,Yallourn North - Glengarry,205041098,Yallourn North - Glengarry,1,100
205051099,Alps - West,205051099,Alps - West,1,100
205051100,Longford - Loch Sport,205051100,Longford - Loch Sport,1,100
205051101,Maffra,205051101,Maffra,1,100
205051102,Rosedale,205051102,Rosedale,1,100
205051103,Sale,205051103,Sale,1,100
205051104,Yarram,205051104,Yarram,1,100
206011105,Brunswick,206011105,Brunswick,1,100
206011106,Brunswick East,206011106,Brunswick East,1,100
206011107,Brunswick West,206011107,Brunswick West,0.9999999,99.9999924
206011108,Coburg,206011108,Coburg,1,100
206011109,Pascoe Vale South,206011109,Pascoe Vale South,1,100
206021110,Alphington - Fairfield,206021110,Alphington - Fairfield,1,100
206021111,Northcote,206021111,Northcote,1,100
206021112,Thornbury,206021112,Thornbury,1,100
206031113,Ascot Vale,206031113,Ascot Vale,1,100
206031114,Essendon - Aberfeldie,206031114,Essendon - Aberfeldie,1,100
206031115,Flemington,206031115,Flemington,1,100
206031116,Moonee Ponds,206031116,Moonee Ponds,1,100
206041117,Carlton,206041117,Carlton,1,100
206041118,Docklands,206041118,Docklands,0.9997488,99.9748847
206041118,Docklands,206051131,Port Melbourne Industrial,0.000173,0.0172973
206041119,East Melbourne,206041119,East Melbourne,1,100
206041120,Flemington Racecourse,206041120,Flemington Racecourse,1,100
206041121,Kensington,206041121,Kensington (Vic.),1,100
206041122,Melbourne,206041122,Melbourne,1,100
206041123,North Melbourne,206041123,North Melbourne,1,100
206041124,Parkville,206041124,Parkville,1,100
206041125,South Yarra - West,206041125,South Yarra - West,1,100
206041126,Southbank,206041126,Southbank,1,100
206041127,West Melbourne,206041127,West Melbourne,1,100
206051128,Albert Park,206051128,Albert Park,1,100
206051129,Elwood,206051129,Elwood,1,100
206051130,Port Melbourne,206051130,Port Melbourne,1,100
206051131,Port Melbourne Industrial,206051131,Port Melbourne Industrial,1,100
206051132,South Melbourne,206051132,South Melbourne,1,100
206051133,St Kilda,206051133,St Kilda,1,100
206051134,St Kilda East,206051134,St Kilda East,1,100
206061135,Armadale,206061135,Armadale,1,100
206061136,Prahran - Windsor,206061136,Prahran - Windsor,1,100
206061137,South Yarra - East,206061137,South Yarra - East,1,100
206061138,Toorak,206061138,Toorak,1,100
206071139,Abbotsford,206071139,Abbotsford,1,100
206071140,Carlton North - Princes Hill,206071140,Carlton North - Princes Hill,1,100
206071141,Collingwood,206071141,Collingwood,1,100
206071142,Fitzroy,206071142,Fitzroy,1,100
206071143,Fitzroy North,206071143,Fitzroy North,1,100
206071144,Richmond (Vic.),206071144,Richmond (Vic.),1,100
206071145,Yarra - North,206071145,Yarra - North,1,100
207011146,Ashburton (Vic.),207011146,Ashburton (Vic.),0.9920897,99.2089678
207011146,Ashburton (Vic.),207011150,Glen Iris - East,0.0079103,0.7910322
207011147,Balwyn,207011147,Balwyn,1,100
207011148,Balwyn North,207011148,Balwyn North,1,100
207011149,Camberwell,207011149,Camberwell,1,100
207011150,Glen Iris - East,207011150,Glen Iris - East,1,100
207011151,Hawthorn,207011151,Hawthorn,1,100
207011152,Hawthorn East,207011152,Hawthorn East,1,100
207011153,Kew,207011153,Kew,1,100
207011154,Kew East,207011154,Kew East,1,100
207011155,Surrey Hills (West) - Canterbury,207011155,Surrey Hills (West) - Canterbury,1,100
207021156,Bulleen,207021156,Bulleen,1,100
207021157,Doncaster,207021157,Doncaster,1,100
207021158,Doncaster East,207021424,Doncaster East (North),0.5294285,52.9428473
207021158,Doncaster East,207021425,Doncaster East (South),0.4705715,47.0571527
207021159,Templestowe,207021159,Templestowe,1,100
207021160,Templestowe Lower,207021160,Templestowe Lower,1,100
207031161,Blackburn,207031161,Blackburn,1,100
207031162,Blackburn South,207031162,Blackburn South,1,100
207031163,Box Hill,207031163,Box Hill,1,100
207031164,Box Hill North,207031164,Box Hill North,1,100
207031165,Burwood,207031165,Burwood,1,100
207031166,Burwood East,207031166,Burwood East,1,100
207031167,Surrey Hills (East) - Mont Albert,207031167,Surrey Hills (East) - Mont Albert,1,100
208011168,Beaumaris,208011168,Beaumaris,1,100
208011169,Brighton (Vic.),208011169,Brighton (Vic.),1,100
208011170,Brighton East,208011170,Brighton East,1,100
208011171,Cheltenham - Highett (West),208011171,Cheltenham - Highett (West),1,100
208011172,Hampton,208011172,Hampton,1,100
208011173,Sandringham - Black Rock,208011173,Sandringham - Black Rock,1,100
208021174,Bentleigh - McKinnon,208021174,Bentleigh - McKinnon,1,100
208021175,Bentleigh East,208021426,Bentleigh East (North),0.5263666,52.6366616
208021175,Bentleigh East,208021427,Bentleigh East (South),0.4736334,47.3633384
208021176,Carnegie,208021176,Carnegie,1,100
208021177,Caulfield - North,208021177,Caulfield - North,1,100
208021178,Caulfield - South,208021178,Caulfield - South,1,100
208021179,Elsternwick,208021179,Elsternwick,1,100
208021180,Hughesdale,208021180,Hughesdale,1,100
208021181,Murrumbeena,208021181,Murrumbeena,1,100
208021182,Ormond - Glen Huntly,208021182,Ormond - Glen Huntly,1,100
208031183,Aspendale Gardens - Waterways,208031183,Aspendale Gardens - Waterways,1,100
208031184,Braeside,208031184,Braeside,1,100
208031185,Carrum - Patterson Lakes,208031185,Carrum - Patterson Lakes,1,100
208031186,Chelsea - Bonbeach,208031186,Chelsea - Bonbeach,1,100
208031187,Chelsea Heights,208031187,Chelsea Heights,1,100
208031188,Cheltenham - Highett (East),208031188,Cheltenham - Highett (East),1,100
208031189,Edithvale - Aspendale,208031189,Edithvale - Aspendale,1,100
208031190,Mentone,208031190,Mentone,1,100
208031191,Moorabbin - Heatherton,208031191,Moorabbin - Heatherton,1,100
208031192,Moorabbin Airport,208031192,Moorabbin Airport,1,100
208031193,Mordialloc - Parkdale,208031193,Mordialloc - Parkdale,1,100
208041194,Malvern - Glen Iris,208041194,Malvern - Glen Iris,1,100
208041195,Malvern East,208041195,Malvern East,1,100
209011196,Bundoora - East,209011196,Bundoora - East,1,100
209011197,Greensborough,209011197,Greensborough,1,100
209011198,Heidelberg - Rosanna,209011198,Heidelberg - Rosanna,1,100
209011199,Heidelberg West,209011199,Heidelberg West,1,100
209011200,Ivanhoe,209011200,Ivanhoe,1,100
209011201,Ivanhoe East - Eaglemont,209011201,Ivanhoe East - Eaglemont,1,100
209011202,Montmorency - Briar Hill,209011202,Montmorency - Briar Hill,1,100
209011203,Viewbank - Yallambie,209011203,Viewbank - Yallambie,1,100
209011204,Watsonia,209011204,Watsonia,1,100
209021205,Kingsbury,209021205,Kingsbury,1,100
209021206,Preston,209021428,Preston - East,0.6146243,61.4624347
209021206,Preston,209021429,Preston - West,0.3853757,38.5375653
209021207,Reservoir - East,209021207,Reservoir - East,1,100
209021208,Reservoir - West,209021208,Reservoir - West,1,100
209031209,Eltham,209031209,Eltham,1,100
209031210,Hurstbridge,209031210,Hurstbridge,1,100
209031211,Kinglake,209031211,Kinglake,1,100
209031212,Panton Hill - St Andrews,209031212,Panton Hill - St Andrews,1,100
209031213,Plenty - Yarrambat,209031213,Plenty - Yarrambat,1,100
209031214,Research - North Warrandyte,209031214,Research - North Warrandyte,1,100
209031215,Wattle Glen - Diamond Creek,209031215,Wattle Glen - Diamond Creek,1,100
209041216,Bundoora - North,209041216,Bundoora - North,1,100
209041217,Bundoora - West,209041217,Bundoora - West,1,100
209041218,Epping,209041431,Epping - East,0.4516502,45.1650156
209041218,Epping,209041432,Epping - South,0.3022687,30.2268736
209041218,Epping,209041433,Epping - West,0.2272776,22.7277605
209041218,Epping,209041437,Wollert,0.0188035,1.8803503
209041219,Lalor,209041219,Lalor,1,100
209041220,Mill Park - North,209041220,Mill Park - North,1,100
209041221,Mill Park - South,209041221,Mill Park - South,1,100
209041222,South Morang,209041430,Doreen,0.2854755,28.5475526
209041222,South Morang,209041434,Mernda,0.1697985,16.9798503
209041222,South Morang,209041435,South Morang (North),0.2419756,24.1975561
209041222,South Morang,209041436,South Morang (South),0.3027504,30.275041
209041223,Thomastown,209041223,Thomastown,1,100
209041224,Wallan,209041224,Wallan,1,100
209041225,Whittlesea,209041225,Whittlesea,1,100
210011226,Airport West,210011226,Airport West,1,100
210011227,Essendon Airport,210011227,Essendon Airport,1,100
210011228,Keilor,210011228,Keilor,1,100
210011229,Keilor East,210011229,Keilor East,1,100
210011230,Niddrie - Essendon West,210011230,Niddrie - Essendon West,1,100
210011231,Strathmore,210011231,Strathmore,1,100
210021232,Gisborne,210021232,Gisborne,1,100
210021233,Macedon,210021233,Macedon,1,100
210021234,Riddells Creek,210021234,Riddells Creek,1,100
210021235,Romsey,210021235,Romsey,1,100
210031236,Coburg North,210031236,Coburg North,1,100
210031237,Fawkner,210031237,Fawkner,1,100
210031238,Glenroy - Hadfield,210031438,Glenroy,0.7086336,70.8633617
210031238,Glenroy - Hadfield,210031439,Gowanbrae,0.0989699,9.8969875
