sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english
Young Surrounds,0,0,7677,861,840,687,692,784,1189,1701,1379,1973,2625,6402,501,6787,221,0.11215318483782728,0.10941774130519734,0.08948808128175069,0.09013937736094829,0.10212322521818419,0.15487820763319005,0.22157092614302462,0.17962745864269897,0.2570014328513742,0.3419304415787417,0.8339194998046112,0.06525986713559985,0.8840692979028266,0.028787286700534064
Avoca Beach - Copacabana,0,0,7513,917,1167,604,701,1095,1179,2084,1305,2274,1848,5857,1415,6894,368,0.12205510448555837,0.15533076001597232,0.0803939837614801,0.09330493810728072,0.1457473712232131,0.1569279914814322,0.2773858645015307,0.17369892186876082,0.3026753627046453,0.24597364568081992,0.779582057766538,0.18834021030214296,0.917609476906695,0.048981764940769335
Box Head - MacMasters Beach,0,0,11042,1152,1283,795,940,1394,1542,2435,1735,2936,3934,8766,1835,10127,488,0.10432892591921754,0.11619271871037855,0.07199782648071001,0.08512950552436153,0.12624524542655316,0.13964861438145262,0.2205216446295961,0.15712733200507153,0.2658938598080058,0.35627603694982796,0.7938779206665459,0.16618366238000362,0.9171345770693715,0.04419489222966854
Calga - Kulnura,0,0,4716,404,535,489,485,570,852,939,974,1422,1393,3526,753,3908,392,0.08566581849024597,0.11344359626802375,0.10368956743002544,0.10284139100932994,0.12086513994910941,0.1806615776081425,0.1991094147582697,0.20653095843935537,0.3015267175572519,0.2953774385072095,0.7476675148430874,0.15966921119592875,0.8286683630195081,0.08312128922815945
Erina - Green Point,0,0,14758,1457,1718,1144,1317,1606,1797,3175,2461,3403,5718,11044,3132,12628,1223,0.09872611464968153,0.11641143786420924,0.07751727876406017,0.08923973438135249,0.10882233364954601,0.1217644667299092,0.21513755251389077,0.16675701314541266,0.2305868003794552,0.3874508741021819,0.7483398834530424,0.21222387857433256,0.8556715002032795,0.08287030762976012
Gosford - Springfield,0,0,21204,2180,2119,3271,3234,2646,2614,4299,6505,5260,5131,14848,5173,16526,3434,0.10281079041690247,0.09993397472175061,0.154263346538389,0.15251839275608375,0.12478777589134125,0.12327862667421241,0.20274476513865308,0.3067817392944727,0.24806640256555368,0.24198264478400303,0.7002452367477834,0.24396340313148462,0.7793812488209771,0.16195057536313903
Kariong,0,0,6485,915,1023,805,788,988,918,1938,1593,1906,1045,5109,1206,5575,668,0.14109483423284502,0.15774865073245953,0.12413261372397841,0.1215111796453354,0.15235158057054743,0.1415574402467232,0.29884348496530455,0.2456437933693138,0.2939090208172706,0.16114109483423283,0.7878180416345413,0.18596761757902852,0.8596761757902853,0.10300693909020817
Kincumber - Picketts Valley,0,0,7615,836,907,641,801,813,846,1743,1442,1659,2769,5977,1297,6898,372,0.1097833223900197,0.11910702560735391,0.08417596848325673,0.1051871306631648,0.10676296782665791,0.11109652002626395,0.2288903479973736,0.18936309914642155,0.21785948785292186,0.36362442547603413,0.784898227183191,0.17032173342087983,0.9058437294812869,0.048850952068286276
Narara,0,0,7157,966,968,779,957,996,947,1934,1736,1943,1548,5596,1400,6160,799,0.13497275394718458,0.1352522006427274,0.10884448791393042,0.13371524381724187,0.13916445438032696,0.13231801033952773,0.27022495458991197,0.2425597317311723,0.2714824647198547,0.2162917423501467,0.7818918541288249,0.19561268687997765,0.8606958222719017,0.11163895486935867
Niagara Park - Lisarow,0,0,8205,1025,1230,844,994,1136,1159,2255,1838,2295,1830,6642,1363,7421,565,0.12492382693479585,0.14990859232175502,0.1028641072516758,0.12114564290067033,0.1384521633150518,0.14125533211456429,0.2748324192565509,0.22400975015234614,0.2797074954296161,0.2230347349177331,0.8095063985374772,0.16611822059719683,0.904448507007922,0.06886045094454601
