"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"Walcha",909,449,76,28,21,864,284,522,3144,
"Glen Innes",1892,1214,236,146,84,3228,767,1367,8931,
"Inverell",2871,1616,300,211,116,3756,837,2359,12057,
"Inverell Surrounds - East",1153,636,154,92,51,1705,473,939,5200,
"Inverell Surrounds - West",1456,727,126,57,47,1876,460,989,5734,
"Tenterfield",1320,934,175,102,72,2684,565,955,6810,
"Moree",2157,855,205,104,40,1718,1164,1606,7845,
"Moree Surrounds",1517,549,140,45,19,877,1074,1127,5356,
"Narrabri",2122,901,209,83,47,1697,442,1398,6898,
"Narrabri Surrounds",1365,585,122,54,33,983,539,937,4616,
"Gunnedah",2750,1257,262,132,72,2389,677,2217,9745,
"Gunnedah Surrounds",1404,534,147,52,30,932,385,892,4369,
"Quirindi",1887,947,211,119,71,2234,751,1334,7551,
"Tamworth - East",6187,3077,578,271,219,5746,1124,4165,21360,
"Tamworth - North",4831,2343,379,173,158,4352,975,3311,16517,
"Tamworth - West",1319,654,160,142,90,1532,530,1567,5998,
"Tamworth Surrounds",5632,2824,590,162,125,5080,975,3642,19038,
"Belmont - Bennetts Green",4623,2944,589,191,180,5706,604,3031,17864,
"Belmont South - Blacksmiths",1271,892,211,101,55,2063,247,839,5680,
"Charlestown - Dudley",7118,4502,896,291,253,6502,712,4966,25254,
"Glendale - Cardiff - Hillsborough",7029,4333,839,301,277,6426,696,4688,24588,
"Mount Hutton - Windale",2017,1332,249,132,114,3330,540,1782,9504,
"Redhead",889,647,110,34,23,1149,275,662,3785,
"Swansea - Caves Beach",2800,1958,442,146,121,4607,425,2063,12559,
"Valentine - Eleebana",3397,2352,375,90,119,3569,221,2441,12568,
"Warners Bay - Boolaroo",4024,2568,486,140,125,4445,461,2441,14694,
"Bolton Point - Teralba",2408,1505,340,159,95,3233,605,1785,10135,
"Bonnells Bay - Silverwater",2207,1489,461,134,109,3238,313,1742,9691,
"Edgeworth - Cameron Park",5087,2663,493,168,159,3581,543,3686,16375,
"Morisset - Cooranbong",3965,2633,746,232,175,6658,722,3000,18129,
"Toronto - Awaba",3127,2065,469,210,131,5262,529,2177,13961,
"Wangi Wangi - Rathmines",2296,1483,321,119,87,3329,330,1504,9467,
"West Wallsend - Barnsley - Killingworth",2183,1198,258,79,64,1899,184,1397,7254,
"Adamstown - Kotara",5013,3146,580,165,187,3848,402,3248,16600,
"Beresfield - Hexham",2066,1244,243,151,115,2847,320,1582,8561,
"Hamilton - Broadmeadow",3500,2407,484,193,170,3468,743,1807,12772,
"Lambton - New Lambton",5018,3314,584,142,187,4372,535,3188,17343,
"Maryland - Fletcher - Minmi",4997,2954,561,190,203,3345,347,3831,16429,
"Mayfield - Warabrook",4481,2742,554,248,176,4210,674,2444,15526,
"Merewether - The Junction",4580,2817,549,123,147,3472,379,2427,14506,
"Newcastle - Cooks Hill",4555,2579,472,181,171,3055,595,1202,12805,
"Newcastle Port - Kooragang",0,9,0,0,0,5,0,9,31,
"Shortland - Jesmond",2490,2551,506,215,331,3575,1267,1655,12593,
"Stockton - Fullerton Cove",2014,1225,280,90,85,3109,554,1466,8824,
"Wallsend - Elermore Vale",5345,3540,718,315,228,6514,897,3401,20958,
"Waratah - North Lambton",3567,2466,480,154,195,3361,778,1888,12883,
"Wickham - Carrington - Tighes Hill",3146,1916,341,141,118,1923,305,1270,9171,
"Ballina",3700,3076,542,135,158,7448,1117,2463,18629,
"Ballina Surrounds",4511,3573,599,139,152,5407,719,3229,18327,
"Bangalow",1501,1557,227,67,72,1610,626,1309,6958,
"Brunswick Heads - Ocean Shores",1770,2069,330,110,127,2640,639,1481,9170,
"Byron Bay",2193,2811,465,164,142,2802,854,1489,10914,
"Evans Head",1148,885,181,52,48,1976,466,886,5643,
"Lennox Head - Skennars Head",2363,2060,305,67,89,2160,365,1827,9236,
"Mullumbimby",1444,1986,290,100,119,2513,932,1506,8896,
"Casino",2535,1685,343,146,99,4234,857,2393,12298,
"Casino Surrounds",1669,1124,221,82,61,2230,718,1280,7381,
"Goonellabah",3463,2267,342,145,158,4188,549,2483,13591,
"Kyogle",1489,1146,203,96,79,2724,624,1247,7611,
"Lismore",3458,2755,430,239,236,4625,1015,2473,15229,
"Lismore Surrounds",3784,3153,535,157,168,4144,1181,2671,15786,
"Kingscliff - Fingal Head",3374,2767,464,115,166,4596,643,2692,14818,
