sa2,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
Wellington,1165,1160,896,965,1061,1148,1041,775,354,62,0
Branxton - Greta - Pokolbin,1485,1320,1088,1294,1291,1239,1051,348,139,21,0
Cessnock,2764,2699,2732,2534,2500,2571,2087,1351,879,137,3
Cessnock Region,947,1028,584,800,1096,1139,900,393,133,17,0
Dungog,991,1156,682,842,1214,1339,1117,649,278,56,3
Kurri Kurri - Abermain,2295,2336,1979,2044,2058,2166,1839,900,512,76,0
Singleton,2429,2477,2378,2290,2351,1845,1180,676,423,79,0
Singleton Region,648,697,465,549,785,781,548,202,80,12,0
Maitland,592,625,596,606,689,629,447,296,236,55,0
Maitland - East,3637,3586,3285,3429,3472,3263,2562,1590,857,125,3
Maitland - North,984,970,613,802,986,917,689,392,221,35,3
Maitland - West,2834,2680,2488,2686,2385,2170,1605,879,491,73,0
Thornton - Millers Forest,1349,1367,1094,1230,1397,1193,689,299,99,3,0
Anna Bay,653,893,466,556,815,743,692,458,148,9,0
Lemon Tree Passage - Tanilba Bay,820,725,577,653,742,917,1001,584,260,35,3
Nelson Bay Peninsula,1998,2166,1469,1829,2389,2589,3270,2342,1350,234,5
Raymond Terrace,2048,1952,1829,1709,1777,1752,1303,838,450,70,0
Seaham - Woodville,729,935,440,525,962,833,572,213,80,10,0
Tea Gardens - Hawks Nest,370,401,229,291,439,569,1062,797,301,39,0
Williamtown - Medowie - Karuah,1843,1792,1462,1663,1850,1589,1430,697,226,17,0
Muswellbrook,1874,1665,1774,1657,1674,1411,932,521,240,36,0
Muswellbrook Region,591,589,422,560,599,518,427,186,89,19,0
Scone,874,771,730,743,726,742,587,401,236,73,5
Scone Region,1108,965,865,962,1054,1126,957,543,257,40,0
Berkeley - Warrawong - Windang,3156,3222,3220,3028,3520,3386,2954,2648,1367,149,3
Dapto - Avondale,2906,3042,2497,2790,2899,2767,2757,1854,840,146,0
Horsley - Kembla Grange,1213,1188,856,1127,1089,910,549,328,126,15,0
Port Kembla Industrial,0,0,3,4,0,6,10,0,0,0,0
Unanderra - Mount Kembla,2035,2354,1710,1838,2311,2144,1399,796,595,126,3
Illawarra Catchment Reserve,6,0,0,3,3,0,0,0,0,0,0
Albion Park - Macquarie Pass,2089,2339,1649,1919,2117,1591,953,555,358,44,0
Albion Park Rail,954,1046,887,830,909,929,721,398,263,65,0
Kiama,699,867,605,661,914,1094,1015,728,500,67,0
Kiama Downs - Minnamurra,697,813,593,603,798,976,665,355,200,30,0
Kiama Hinterland - Gerringong,784,1027,591,611,937,1142,909,596,331,91,3
Shellharbour - Flinders,2155,2142,1281,1984,2120,1584,1228,650,271,25,0
Shellharbour - Oak Flats,1111,1357,1174,1116,1349,1386,987,672,314,29,0
Warilla,2454,2717,2381,2172,2616,2673,2414,1757,795,76,0
Balgownie - Fairy Meadow,2256,2572,2760,2446,2650,2482,1977,1648,1081,133,3
Corrimal - Tarrawanna - Bellambi,1762,2026,1852,1973,2075,1988,1512,1107,704,83,3
Figtree - Keiraville,2563,2570,2841,2583,2539,2403,2005,1446,825,118,3
Helensburgh,1299,1326,872,1218,1384,1142,666,320,197,33,0
Thirroul - Austinmer - Coalcliff,1450,1414,998,1265,1706,1709,1109,535,335,57,0
Wollongong,2518,2538,7421,3938,3070,2968,2392,1733,1085,211,8
Woonona - Bulli - Russell Vale,2596,2507,1876,2405,2759,2455,1877,1179,815,151,5
Bulahdelah - Stroud,551,640,356,438,717,738,650,410,179,38,0
