sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Murwillumbah Surrounds,0,0,10352,1031,1274,786,1042,1244,1719,2305,1828,2963,3249,7759,1298,8776,391,0.09959428129829985,0.12306800618238022,0.0759273570324575,0.10065687789799073,0.12017001545595055,0.1660548686244204,0.22266228748068007,0.17658423493044823,0.28622488408037094,0.31385239567233386,0.7495170015455951,0.12538639876352395,0.847758887171561,0.03777047913446677,1650,5558,8660,1455,1545,2746,4390,100,4590,2976,8660,1098,3,3491,3967,468,0.1905311778290993,0.6418013856812933,0.35193621867881547,0.6255125284738041,0.5300230946882217,0.34364896073903,7.562389715149988e-4,0.8800100831862868,997,731,352,51,353,411,78,244,836,117,0.09630989180834622,0.07061437403400309,0.03400309119010819,0.004926584234930448,0.03409969088098918,0.03970247295208655,0.007534775888717156,0.02357032457496136,0.08075734157650695,0.011302163833075734
Pottsville,0,0,14086,1858,1742,1058,1655,1929,1815,3600,2713,3744,4036,11197,1923,12574,544,0.13190401817407355,0.12366889109754366,0.0751100383359364,0.11749254579014624,0.13694448388470823,0.12885134175777369,0.2555729092716172,0.19260258412608264,0.2657958256424819,0.28652562828340195,0.7949027403095272,0.13651852903592218,0.8926593781059208,0.03861990628993327,2324,7419,11209,1453,2106,3876,6095,111,5733,4511,11209,964,79,5073,5480,337,0.20733339280934962,0.6618788473548042,0.34552912223133714,0.6359310910582444,0.5114640021411366,0.4024444642697832,0.014416058394160583,0.9257299270072993,1339,994,500,139,441,567,130,302,1142,123,0.09505892375408206,0.07056651994888542,0.03549623739883572,0.009867953996876332,0.031307681385773105,0.04025273321027971,0.009229021723697288,0.021439727388896778,0.0810734062189408,0.008732074400113587
Tweed Heads,0,0,20563,1854,1802,1998,2430,2208,2498,3656,4428,4706,7776,15104,3788,17421,1351,0.09016194135097019,0.08763312746194621,0.0971648105821135,0.11817341827554345,0.10737732821086417,0.12148032874580557,0.1777950688129164,0.21533822885765697,0.22885765695666974,0.37815493848173903,0.73452317268881,0.18421436560813112,0.847201283859359,0.06570053007829597,2914,12051,17806,2836,2424,5773,8362,174,9450,6478,17806,1881,242,8393,9421,763,0.1636527013366281,0.6767943389868584,0.28988280315713943,0.6903850753408276,0.5307199820285297,0.3638099517016736,0.025687294342426493,0.8908820719668825,2567,1577,903,305,866,1196,301,680,1971,332,0.12483587025239508,0.07669114428828479,0.043913825803627876,0.014832466079852162,0.04211447745951466,0.05816271944755143,0.014637941934542625,0.03306910470262121,0.09585177260127413,0.016145504060691533
Banora Point,0,0,16320,1611,1871,1480,1629,1851,1926,3482,3109,3777,5960,13074,2434,14847,721,0.09871323529411764,0.11464460784313725,0.09068627450980392,0.09981617647058824,0.11341911764705882,0.11801470588235294,0.2133578431372549,0.19050245098039215,0.23143382352941178,0.36519607843137253,0.8011029411764706,0.1491421568627451,0.9097426470588236,0.044178921568627454,1933,10147,13750,1681,1848,4896,6896,141,7661,5160,13750,928,199,6089,6599,291,0.14058181818181817,0.7379636363636364,0.2679814385150812,0.7099767981438515,0.5571636363636364,0.37527272727272726,0.03015608425519018,0.9227155629640855,2282,1440,736,253,863,1054,260,533,1632,247,0.13982843137254902,0.08823529411764706,0.045098039215686274,0.015502450980392157,0.05287990196078431,0.06458333333333334,0.015931372549019607,0.0326593137254902,0.1,0.015134803921568627
Terranora - North Tumbulgum,0,0,3324,416,498,300,338,455,475,914,638,930,845,2746,419,3068,133,0.12515042117930206,0.14981949458483754,0.09025270758122744,0.10168471720818291,0.13688327316486162,0.14290012033694344,0.2749699157641396,0.19193742478941034,0.27978339350180503,0.25421179302045727,0.8261131167268352,0.12605294825511432,0.9229843561973526,0.04001203369434416,593,1794,2629,248,591,997,1624,29,1248,1258,2629,131,0,1049,1088,49,0.22556104982883227,0.6823887409661469,0.36391625615763545,0.6139162561576355,0.47470521110688474,0.4785089387599848,0,0.9641544117647058,307,254,113,19,98,141,26,52,241,25,0.09235860409145608,0.07641395908543923,0.033995186522262334,0.005716004813477738,0.029482551143200964,0.042418772563176894,0.007821901323706379,0.015643802647412757,0.07250300842358604,0.007521058965102286
Tweed Heads South,0,0,8423,699,765,765,822,763,924,1464,1587,1687,3676,6236,1654,7328,570,0.08298705924255016,0.09082274723970082,0.09082274723970082,0.09758993232814911,0.09058530214887807,0.10969963196010922,0.17380980648225097,0.18841267956784993,0.2002849341089873,0.4364240769322094,0.7403537931853259,0.19636709011041198,0.8699988127745459,0.06767185088448296,793,5435,7331,1110,669,2221,2942,44,4528,2186,7331,618,259,3545,4083,263,0.1081707816123312,0.7413722548083481,0.22739632902787218,0.7549286199864038,0.617651070795253,0.29818578638657756,0.06343374969385256,0.8682341415625765,1485,891,457,204,605,735,191,418,1032,177,0.17630297993588984,0.1057817879615339,0.054256203252997744,0.024219399263920218,0.07182713997388104,0.08726107087735961,0.02267600617357236,0.049626023981954176,0.12252166686453758,0.02101389053781313
Griffith (NSW),0,0,20569,2727,2429,2812,3158,2478,2419,5156,5970,4897,4539,13751,5456,13526,5549,0.13257815158734018,0.11809033010841558,0.1367105838883757,0.15353201419612036,0.12047255578783607,0.1176041616024114,0.25066848169575573,0.2902425980844961,0.23807671739024747,0.2206718848752978,0.6685303126063493,0.26525353687588116,0.6575915212212553,0.26977490398172005,2453,11741,16595,2406,2771,7274,10302,272,7213,7919,16595,1461,372,6721,7680,563,0.14781560711057548,0.7075022597167822,0.26897689768976896,0.7060764900019414,0.4346489906598373,0.4771919252786984,0.0484375,0.8751302083333333,1634,1819,528,182,991,684,152,320,1473,194,0.07943993388108318,0.08843405124216053,0.02566969711702076,0.008848266809276095,0.04817929894501434,0.03325392581068598,0.007389761291263552,0.015557392192133793,0.07161262093441587,0.009431669016481112
Griffith Surrounds,0,0,12760,1641,1717,1444,1462,1604,1879,3358,2906,3483,3010,9919,1225,10174,1091,0.1286050156739812,0.13456112852664576,0.11316614420062696,0.11457680250783699,0.12570532915360502,0.14725705329153604,0.26316614420062695,0.22774294670846396,0.27296238244514104,0.2358934169278997,0.7773510971786833,0.09600313479623825,0.7973354231974922,0.08550156739811912,1083,7344,10248,1829,2346,3951,6437,134,4249,4573,10248,1421,58,4181,4902,636,0.10567915690866511,0.7166276346604216,0.36445549168867486,0.6137952462327171,0.4146174863387978,0.44623341139734585,0.011831905344757242,0.8529171766625867,1149,1405,365,42,581,429,118,248,896,112,0.09004702194357367,0.11010971786833856,0.02860501567398119,0.0032915360501567397,0.045532915360501566,0.03362068965517241,0.009247648902821317,0.019435736677115987,0.07021943573667712,0.00877742946708464
Leeton,0,0,10330,1318,1673,1158,1264,1107,1268,2991,2422,2375,2543,8383,1182,8542,1000,0.1275895450145208,0.16195546950629236,0.11210067763794772,0.1223620522749274,0.10716360116166505,0.12274927395934172,0.28954501452081316,0.23446272991287512,0.22991287512100678,0.24617618586640852,0.8115198451113262,0.11442400774443369,0.8269119070667957,0.0968054211035818,902,6172,8184,1111,1228,3310,4641,97,3967,3484,8184,743,113,3498,3932,313,0.11021505376344086,0.7541544477028348,0.26459814695108813,0.7132083602671838,0.4847262952101662,0.4257086999022483,0.02873855544252289,0.8896236012207528,1018,1187,274,96,494,395,113,267,985,88,0.09854791868344627,0.1149080348499516,0.026524685382381414,0.009293320425943852,0.047821878025169406,0.03823814133591481,0.010939012584704743,0.02584704743465634,0.09535333978702808,0.008518877057115199
Narrandera,0,0,5905,740,776,566,579,656,759,1516,1145,1415,1826,4966,320,5101,198,0.12531752751905165,0.13141405588484334,0.09585097375105843,0.09805249788314988,0.11109229466553767,0.1285351397121084,0.256731583403895,0.1939034716342083,0.23962743437764605,0.309229466553768,0.8409822184589331,0.05419136325148179,0.863844199830652,0.033530906011854364,502,3453,4721,765,763,1590,2408,48,2489,1704,4721,530,60,2124,2436,241,0.10633340393984325,0.7314128362635035,0.3168604651162791,0.6602990033222591,0.5272188095742427,0.36094047871213725,0.024630541871921183,0.8719211822660099,711,668,197,73,357,317,84,204,523,67,0.12040643522438611,0.11312447078746825,0.03336155800169348,0.012362404741744284,0.06045723962743438,0.05368331922099916,0.01422523285351397,0.034546994072819644,0.08856900931414056,0.011346316680779001
