sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Bathurst - East,0,0,12330,1717,1979,1424,1535,1520,1407,3696,2959,2927,2749,10712,1030,11147,619,0.1392538523925385,0.1605028386050284,0.11549067315490673,0.12449310624493107,0.12327656123276562,0.11411192214111922,0.2997566909975669,0.23998377939983778,0.23738848337388482,0.2229521492295215,0.8687753446877534,0.08353609083536091,0.9040551500405515,0.05020275750202757,1543,6993,9609,1080,1607,4045,5739,87,4490,4496,9609,630,211,3953,4393,213,0.1605786242064731,0.7277552294723697,0.280013939710751,0.7048266248475344,0.4672702674575918,0.46789468206889373,0.04803095834281812,0.8998406555884362,1239,1458,370,97,669,485,124,221,1279,117,0.10048661800486618,0.11824817518248175,0.030008110300081103,0.007866991078669911,0.05425790754257907,0.03933495539334955,0.010056772100567721,0.01792376317923763,0.10373073803730738,0.00948905109489051
Bathurst Surrounds,0,0,6909,738,906,547,683,850,1201,1644,1230,2051,1992,5894,523,6181,119,0.10681719496309162,0.13113330438558402,0.07917209436966276,0.09885656390215661,0.12302793457808656,0.17383123462150818,0.23795049934867565,0.17802865827181938,0.2968591691995947,0.2883195831524099,0.8530901722391084,0.07569836445216384,0.894630192502533,0.017223910840932118,1087,3730,5701,888,1288,2044,3403,70,2478,2586,5701,645,0,2376,2550,171,0.19066830380634978,0.65427118049465,0.3784895680282104,0.6006464883925948,0.43466058586212947,0.4536046307665322,0,0.9317647058823529,713,627,267,24,297,280,63,130,534,66,0.10319872629903025,0.090751194094659135,0.03864524533217542,0.0034737299174989146,0.04298740772904907,0.040526849037487336,0.00911854103343465,0.01881603705311912,0.07729049066435084,0.009552757273122015
Oberon,0,0,4834,492,533,466,504,545,664,1025,970,1209,1635,3667,528,3940,256,0.10177906495655771,0.11026065370293753,0.0964004964832437,0.10426148117501034,0.11274306992139016,0.13736036408771204,0.21203971865949525,0.20066197765825403,0.2501034340091022,0.3382292097641705,0.758585022755482,0.10922631361191559,0.8150599917252793,0.05295821266032271,475,2725,4033,828,605,1399,2075,63,1825,1595,4033,607,35,1774,2079,255,0.1177783287875031,0.6756756756756757,0.29156626506024097,0.6742168674698795,0.45251673692040667,0.3954872303496157,0.016835016835016835,0.8532948532948533,538,432,172,49,327,211,49,109,388,59,0.11129499379395945,0.08936698386429458,0.03558129913115432,0.010136532892014894,0.06764584195283409,0.04364915184112536,0.010136532892014894,0.02254861398427803,0.08026479106330162,0.01220521307405875
Bathurst - South,0,0,10752,909,1004,2021,1529,1114,1186,1913,3550,2300,2992,8566,1543,8513,925,0.08454241071428571,0.09337797619047619,0.18796502976190477,0.1422061011904762,0.10360863095238096,0.11030505952380952,0.17792038690476192,0.33017113095238093,0.21391369047619047,0.27827380952380953,0.7966889880952381,0.14350818452380953,0.7917596726190477,0.08603050595238096,1905,5787,9414,1722,1411,3163,4646,68,4488,3571,9414,1351,226,4156,4684,295,0.20235818992989166,0.6147227533460803,0.30370210934136893,0.6808006887645286,0.4767367750159337,0.3793286594433822,0.04824935952177626,0.8872758326216909,1232,1160,367,215,574,492,98,284,1417,151,0.11458333333333333,0.10788690476190477,0.03413318452380952,0.01999627976190476,0.053385416666666664,0.04575892857142857,0.009114583333333334,0.026413690476190476,0.13178943452380953,0.01404389880952381
Bathurst - West,0,0,14313,1976,2055,1697,1920,1742,1737,4031,3617,3479,3188,12372,1294,13002,683,0.13805631244323344,0.14357577027876756,0.11856354363166352,0.1341437853699434,0.12170753860127158,0.12135820582687068,0.28163208272200096,0.2527073290016069,0.24306574442814224,0.2227345769580102,0.8643890169775729,0.09040732201495144,0.9084049465520855,0.04771885698316216,2317,7805,11249,1129,2207,4702,7044,129,4888,5681,11249,664,174,5047,5459,228,0.2059738643434972,0.6938394523957685,0.31331629755820556,0.6675184554230551,0.4345275135567606,0.5050226686816606,0.031873969591500274,0.9245283018867925,1395,1670,444,56,656,510,114,262,1572,136,0.09746384405784951,0.1166771466498987,0.031020750366799413,0.003912527073290016,0.04583246000139733,0.03563194298889122,0.007964787256340389,0.01830503737860686,0.10983022427164117,0.009501851463704325
Condobolin,0,0,6372,909,767,628,761,683,781,1676,1389,1464,1844,5242,296,5383,222,0.1426553672316384,0.12037037037037036,0.09855618330194602,0.11942875078468299,0.10718769617074701,0.12256748273697426,0.2630257376020088,0.217984934086629,0.2297551789077213,0.2893910860012555,0.822661644695543,0.04645323289391086,0.8447897049591965,0.03483992467043315,531,3532,5018,965,1078,1522,2650,44,2546,1783,5018,700,164,2141,2621,306,0.10581905141490634,0.703866082104424,0.40679245283018867,0.5743396226415094,0.507373455559984,0.35532084495815064,0.06257153758107592,0.8168637924456315,719,692,195,71,410,311,78,140,437,72,0.11283741368487131,0.10860012554927809,0.030602636534839925,0.011142498430634024,0.06434400502197113,0.04880728185812932,0.01224105461393597,0.02197112366603892,0.06858129315756434,0.011299435028248588
Cowra,0,0,9273,1119,1087,1022,914,939,1162,2206,1936,2101,3041,7958,653,8245,353,0.12067292138466516,0.11722204248894641,0.11021244473201769,0.0985657284589669,0.10126172759624717,0.12531003990078723,0.23789496387361156,0.20877817319098457,0.2265717674970344,0.32794133505877276,0.8581904453790575,0.07041949746576082,0.889140515475035,0.038067507818397496,785,5712,7604,1119,980,2610,3668,65,4320,2614,7604,667,216,3510,4015,280,0.10323513940031562,0.7511835875854813,0.26717557251908397,0.7115594329334788,0.5681220410310363,0.343766438716465,0.053798256537982564,0.8742216687422167,1197,942,347,137,610,493,113,303,1058,111,0.12908443869297961,0.1015852474927208,0.03742046802545023,0.014774075272295913,0.06578237894963873,0.05316510298716704,0.012185916100506847,0.032675509543836946,0.11409468348970128,0.011970236169524426
Cowra Surrounds,0,0,5716,548,682,491,486,629,872,1230,977,1501,2012,4680,375,4982,134,0.09587123862841147,0.11931420573827851,0.08589923023093073,0.08502449265220434,0.11004198740377887,0.15255423372988103,0.21518544436669,0.17092372288313507,0.2625962211336599,0.35199440167949614,0.8187543736878936,0.06560531840447865,0.8715885234429671,0.02344296710986704,579,3413,4816,830,956,1393,2392,29,2572,1627,4816,618,18,2178,2447,249,0.12022425249169436,0.7086794019933554,0.3996655518394649,0.5823578595317725,0.5340531561461794,0.3378322259136213,0.0073559460563955865,0.890069472823866,845,552,231,52,364,283,65,194,571,69,0.14783065080475857,0.09657102869139259,0.040412876137158854,0.009097270818754374,0.06368089573128062,0.04951014695591323,0.011371588523442968,0.033939818054583626,0.09989503149055283,0.012071378586424073
Forbes,0,0,10020,1254,1287,1041,1073,1042,1333,2541,2114,2375,2983,8595,425,8907,201,0.1251497005988024,0.1284431137724551,0.10389221556886227,0.10708582834331337,0.10399201596806387,0.13303393213572853,0.25359281437125747,0.21097804391217564,0.2370259481037924,0.29770459081836326,0.8577844311377245,0.04241516966067864,0.8889221556886228,0.020059880239520957,966,5775,8051,1306,1530,2811,4430,85,3952,3203,8051,894,157,3619,4210,420,0.11998509501925227,0.7173021984846603,0.345372460496614,0.6345372460496614,0.49087069929201343,0.39783877779157867,0.03729216152019002,0.8596199524940618,1203,927,392,98,634,534,131,282,936,99,0.12005988023952095,0.09251497005988024,0.03912175648702595,0.009780439121756487,0.06327345309381238,0.053293413173652694,0.013073852295409182,0.0281437125748503,0.09341317365269461,0.009880239520958085
Grenfell,0,0,3597,344,402,267,291,399,526,746,558,925,1367,3082,189,3287,47,0.09563525159855435,0.11175979983319433,0.07422852376980818,0.08090075062552127,0.11092577147623019,0.1462329719210453,0.2073950514317487,0.15512927439532945,0.2571587433972755,0.380038921323325,0.8568251320544898,0.05254378648874062,0.9138170697803726,0.013066444259104809,342,2254,3036,438,641,816,1479,19,1759,1006,3036,284,47,1435,1611,118,0.11264822134387352,0.7424242424242424,0.43340094658553074,0.5517241379310345,0.5793807641633728,0.3313570487483531,0.029174425822470516,0.8907510862818125,552,398,151,45,219,238,47,145,363,61,0.15346121768140117,0.11064776202390882,0.04197942730052822,0.012510425354462052,0.060884070058381985,0.06616624965248818,0.013066444259104809,0.04031137058659994,0.10091743119266056,0.016958576591604116
Parkes (NSW),0,0,10919,1430,1491,1324,1250,1223,1318,2921,2574,2541,2876,9472,664,9779,407,0.13096437402692554,0.13655096620569648,0.12125652532283177,0.11447934792563422,0.11200659401044051,0.12070702445278872,0.267515340232622,0.23573587324846598,0.23271361846322924,0.2633940837072992,0.8674787068412858,0.06081142961809689,0.8955948346918216,0.0372744756845865,1007,6527,8676,1142,1312,3401,4797,77,4288,3684,8676,707,222,3937,4478,313,0.11606731212540342,0.7523052097740894,0.27350427350427353,0.7089847821555139,0.4942369755647764,0.42461964038727523,0.049575703439035286,0.8791871371147834,1199,1200,339,117,636,538,117,251,1178,127,0.10980859053026834,0.10990017400860885,0.031046799157431998,0.010715266965839363,0.05824709222456269,0.04927191134719296,0.010715266965839363,0.02298745306346735,0.10788533748511768,0.011631101749244437
Parkes Surrounds,0,0,3262,424,426,259,340,340,470,850,599,810,1001,2782,153,2875,62,0.12998160637645617,0.13059472716125076,0.07939914163090128,0.10423053341508277,0.10423053341508277,0.14408338442673208,0.26057633353770693,0.18362967504598407,0.24831391784181484,0.30686695278969955,0.8528510116492949,0.046903740036787246,0.881361128142244,0.01900674432863274,311,1823,2611,473,608,720,1361,41,1371,934,2611,314,45,1148,1347,141,0.11911145155112983,0.6981999234009958,0.446730345334313,0.5290227773695811,0.5250861738797395,0.35771734967445423,0.0334075723830735,0.852264291017075,401,337,100,31,212,167,46,102,272,48,0.1229307173513182,0.10331085223789087,0.030656039239730228,0.00950337216431637,0.06499080318822809,0.05119558553034948,0.014101778050275904,0.03126916002452483,0.08338442673206621,0.014714898835070508
West Wyalong,0,0,5525,696,679,555,578,626,698,1375,1133,1324,1684,4664,295,4873,131,0.12597285067873304,0.12289592760180995,0.10045248868778281,0.10461538461538461,0.11330316742081448,0.12633484162895928,0.248868778280543,0.20506787330316742,0.23963800904977375,0.30479638009049775,0.8441628959276019,0.05339366515837104,0.8819909502262443,0.023710407239819004,460,3282,4438,679,900,1585,2536,49,2124,1793,4438,517,47,2138,2445,255,0.10365029292474087,0.7395223073456512,0.3548895899053628,0.625,0.4785939612438035,0.40401081568274,0.019222903885480574,0.874437627811861,706,482,205,33,313,232,51,136,378,49,0.12778280542986425,0.08723981900452489,0.037104072398190045,0.005972850678733032,0.05665158371040724,0.04199095022624434,0.009230769230769232,0.024615384615384615,0.06841628959276018,0.008868778280542987
Lithgow,0,1,12385,1271,1367,1367,1401,1353,1572,2638,2768,2925,4056,10177,1318,10707,590,0.10262414210738798,0.11037545417844166,0.11037545417844166,0.11312071053693985,0.109245054501413,0.12692773516350425,0.21299959628582962,0.2234961647153815,0.23617278966491723,0.3274929350020186,0.821719822365765,0.10641905530884134,0.8645135244247073,0.04763827210335083,1118,7591,10393,1686,1064,3486,4641,86,5630,3614,10393,1148,367,4728,5462,362,0.10757240450303089,0.7303954584816703,0.22926093514328807,0.751131221719457,0.5417107668623111,0.34773405176561145,0.06719150494324423,0.8656169901135116,1817,1281,433,167,888,740,127,385,1465,174,0.14670972951150585,0.10343157044812273,0.0349616471538151,0.01348405329027049,0.07169963665724667,0.059749697214372226,0.010254339927331449,0.03108599111828825,0.1182882519176423,0.01404925312878482
Lithgow Surrounds,0,1,8448,868,1008,745,869,984,1331,1876,1614,2315,2635,6927,792,7484,282,0.10274621212121213,0.11931818181818182,0.08818655303030302,0.10286458333333333,0.11647727272727272,0.15755208333333334,0.22206439393939395,0.19105113636363635,0.2740293560606061,0.3119081439393939,0.8199573863636364,0.09375,0.8858901515151515,0.033380681818181816,901,5176,7033,968,984,2620,3663,55,3663,2733,7033,637,69,3136,3488,267,0.1281103369827954,0.7359590501919522,0.26863226863226863,0.7152607152607152,0.5208303711076354,0.3885966159533627,0.01978211009174312,0.8990825688073395,1079,742,310,32,506,400,90,243,764,91,0.12772253787878787,0.08783143939393939,0.03669507575757576,0.003787878787878788,0.059895833333333336,0.04734848484848485,0.01065340909090909,0.028764204545454544,0.09043560606060606,0.010771780303030304
Mudgee,0,0,12563,1849,1545,1501,1813,1379,1485,3394,3314,2864,3005,10826,1044,11305,495,0.14717822176231793,0.12298017989333758,0.11947783172809043,0.14431266417257024,0.10976677545172331,0.11820425057709145,0.2701584016556555,0.26379049590066067,0.22797102602881478,0.23919445992199315,0.8617368462946748,0.08310117010268248,0.8998646820027063,0.03940141685903049,1556,7158,9883,1189,1565,4298,5948,91,4669,4541,9883,697,225,4470,5052,339,0.15744207224526965,0.7242740058686633,0.26311365164761263,0.722595830531271,0.47242740058686633,0.4594758676515228,0.04453681710213777,0.8847980997624703,1092,1185,336,104,529,542,119,315,1224,118,0.08692191355567938,0.09432460399586086,0.026745204170978268,0.008278277481493275,0.04210777680490329,0.043142561490089944,0.009472259810554804,0.025073628910292127,0.09742895805142084,0.009392660988617369
Mudgee Surrounds - East,0,0,3398,328,354,223,251,349,553,682,474,902,1341,2688,316,2952,77,0.09652736904061213,0.10417892878163626,0.06562683931724544,0.07386698057680989,0.10270747498528546,0.16274278987639787,0.2007062978222484,0.13949381989405532,0.2654502648616833,0.3946439081812831,0.7910535609181871,0.09299587992937022,0.8687463213655091,0.022660388463802236,285,2102,2891,495,359,776,1159,30,1743,802,2891,349,31,1420,1627,179,0.09858180560359737,0.7270840539605673,0.3097497842968076,0.6695427092320967,0.6029055690072639,0.2774126599792459,0.019053472649047325,0.8727719729563614,564,316,144,34,255,209,52,152,333,59,0.16597998822836962,0.09299587992937022,0.04237786933490288,0.010005885815185403,0.07504414361389053,0.061506768687463215,0.015303119482048263,0.04473219540906415,0.09799882283696291,0.017363154796939378
Mudgee Surrounds - West,0,0,11072,1317,1438,870,1157,1390,1709,2755,2027,3099,3190,9148,797,9822,238,0.11894869942196531,0.1298771676300578,0.07857658959537572,0.1044978323699422,0.12554190751445088,0.15435332369942195,0.24882586705202311,0.18307442196531792,0.27989523121387283,0.288114161849711,0.826228323699422,0.07198338150289017,0.8871026011560693,0.021495664739884394,1012,6496,8931,1427,1493,3252,4831,89,4521,3378,8931,1042,26,3974,4426,419,0.11331317881536222,0.7273541596685702,0.30904574622231423,0.673152556406541,0.5062143097077595,0.3782331205911992,0.00587437867148667,0.8978761861726163,1187,1026,352,58,561,573,143,300,910,114,0.10720736994219653,0.09266618497109827,0.031791907514450865,0.0052384393063583815,0.05066835260115607,0.051752167630057806,0.012915462427745664,0.027095375722543353,0.08218930635838151,0.010296242774566474
Wollangambe - Wollemi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blayney,0,0,7517,973,1016,670,838,850,1079,1989,1508,1929,2099,6548,448,6927,95,0.1294399361447386,0.13516030331249168,0.08913130238126912,0.11148064387388586,0.11307702540907277,0.14354130637222295,0.26460023945723027,0.200611946255155,0.25661833178129573,0.27923373686311026,0.8710921910336571,0.05959824398031129,0.9215112411866436,0.012638020486896369,931,4304,5997,750,1122,2318,3516,65,2843,2658,5997,493,73,2703,2978,194,0.1552442888110722,0.7176921794230449,0.3191126279863481,0.6592718998862344,0.47407036851759216,0.4432216108054027,0.024513096037609133,0.9076561450638012,798,783,275,46,403,347,67,192,712,81,0.1061593720899295,0.10416389517094586,0.036583743514700014,0.0061194625515498206,0.05361181322336038,0.04616203272582147,0.008913130238126912,0.025542104562990556,0.09471863775442331,0.01077557536251164
Orange,0,0,19023,2361,2389,2317,2390,2058,2164,4750,4707,4222,5353,15777,1919,16592,1156,0.12411291594385744,0.12558481837775323,0.1217999264048783,0.12563738632182095,0.10818482889134207,0.11375703096251906,0.2496977343216107,0.24743731272669925,0.2219418598538611,0.2813962045944383,0.8293644535562215,0.10087788466593071,0.872207327971403,0.06076854334226988,3014,10354,15405,2042,2685,5410,8231,137,7498,6623,15405,1291,562,7049,8157,528,0.19565076273937032,0.672119441739695,0.32620580731381366,0.657271291459118,0.4867250892567348,0.4299253489126907,0.06889787912222631,0.8641657472109844,2215,1907,612,240,1114,1007,244,572,2638,248,0.11643799610997214,0.10024706933711823,0.032171581769437,0.012616306576249802,0.058560689691426165,0.05293591967618146,0.012826578352520632,0.030068864006728698,0.13867423645061241,0.013036850128791463
Orange - North,0,0,22895,3619,3280,2857,3405,2904,2459,6899,6262,5363,4389,19290,2564,19929,1859,0.1580694474776152,0.14326272111814806,0.12478707141297227,0.1487224284778336,0.12683992138021402,0.10740336317973356,0.3013321685957633,0.27350949989080586,0.23424328455994758,0.19170124481327802,0.8425420397466695,0.1119895173618694,0.870452063769382,0.08119676785324306,3928,11750,17434,1761,3895,7335,11393,163,7249,9176,17434,1016,369,7645,8410,390,0.22530687163014798,0.6739704026614661,0.34187659088914246,0.6438163784780128,0.41579671905472065,0.5263278650912011,0.043876337693222356,0.9090368608799049,1865,2289,599,103,920,793,174,410,2471,165,0.08145883380650797,0.09997816117056126,0.026162917667613014,0.004498798864380869,0.04018344616728543,0.03463638348984494,0.007599912644682245,0.017907840139768507,0.10792749508626337,0.007206813714784888
Orange Surrounds,0,0,11830,1548,1679,984,1226,1534,1656,3227,2210,3190,3203,10205,721,10854,204,0.1308537616229924,0.14192730346576501,0.08317836010143702,0.10363482671174978,0.12967032967032968,0.13998309382924767,0.2727810650887574,0.18681318681318682,0.2696534234995773,0.2707523245984784,0.8626373626373627,0.06094674556213018,0.917497886728656,0.01724429416737109,1879,6307,9365,1172,2352,3471,5931,105,4093,4486,9365,791,31,4123,4455,293,0.200640683395622,0.6734650293646557,0.39656044511886696,0.5852301466868993,0.4370528563801388,0.4790176187933796,0.006958473625140292,0.9254769921436589,1099,1036,404,46,513,501,81,219,955,86,0.09289940828402367,0.08757396449704143,0.034150464919695686,0.0038884192730346575,0.0433643279797126,0.04234995773457312,0.006846999154691462,0.018512256973795434,0.08072696534234995,0.0072696534234995775
Grafton,0,0,19255,2350,2366,2118,2103,2083,2279,4716,4221,4362,5964,16785,1115,17425,553,0.12204622176058166,0.12287717475980264,0.10999740327187743,0.10921838483510776,0.10817969358608154,0.11835886782653857,0.2449233965203843,0.2192157881069852,0.2265385614126201,0.3097377304596209,0.871721630745261,0.05790703713321215,0.9049597507141003,0.028719813035575175,1659,11657,15624,2310,1780,5291,7193,121,8890,5334,15624,1398,400,7179,8135,531,0.10618279569892473,0.7460957501280082,0.24746281106631446,0.7355762546920618,0.5689964157706093,0.34139784946236557,0.049170251997541485,0.8824830977258759,2604,2120,742,254,1288,1213,368,677,2519,281,0.13523760062321474,0.11010127239678005,0.03853544533887302,0.013191378862633083,0.06689171643728901,0.06299662425344066,0.019111918982082577,0.035159698779537785,0.1308231628148533,0.014593612048818488
Grafton Surrounds,0,0,16875,1495,1836,1530,1762,1982,2729,3331,3292,4711,5551,14057,1409,14271,350,0.0885925925925926,0.1088,0.09066666666666667,0.10441481481481482,0.11745185185185185,0.1617185185185185,0.1973925925925926,0.1950814814814815,0.27917037037037035,0.32894814814814816,0.8330074074074074,0.08349629629629629,0.8456888888888889,0.02074074074074074,1480,9867,14408,3075,1765,4324,6220,141,7837,4301,14408,2272,18,5854,6380,501,0.10272071071626875,0.6848278734036646,0.2837620578778135,0.6951768488745981,0.5439339255968906,0.29851471404775126,0.0028213166144200625,0.9175548589341693,2215,1403,676,116,898,906,209,585,1779,188,0.13125925925925927,0.08314074074074074,0.04005925925925926,0.006874074074074074,0.05321481481481481,0.05368888888888889,0.012385185185185185,0.034666666666666665,0.10542222222222222,0.011140740740740741
Maclean - Yamba - Iluka,0,0,17533,1561,1670,1142,1548,1728,2272,3231,2690,4000,7611,14445,1848,15957,520,0.08903211087663264,0.09524895910568643,0.06513431814293047,0.08829065191353448,0.09855700678720128,0.1295842126276165,0.18428106998231905,0.15342497005646497,0.22814121941481777,0.4340957052415445,0.8238749786117607,0.1054012433696458,0.9101123595505618,0.02965835852392631,2172,10797,15066,2094,1878,4200,6204,127,9069,4816,15066,1164,119,7506,8141,495,0.14416567104739147,0.7166467542811629,0.3027079303675048,0.6769825918762089,0.6019514137793708,0.31966016195406877,0.014617368873602751,0.9219997543299349,2874,1555,927,230,1094,1258,324,666,1835,319,0.16391946614954656,0.08868989904751041,0.05287172759938402,0.013118120116352022,0.06239662350995266,0.07175041350596019,0.018479438772600238,0.037985513032567156,0.10465978440654765,0.01819426224833172
Bellingen,0,0,6168,686,921,364,618,814,917,1607,982,1731,1848,4701,959,5366,283,0.11121919584954604,0.14931906614785992,0.05901426718547341,0.10019455252918288,0.13197146562905318,0.14867055771725032,0.260538261997406,0.15920881971465628,0.2806420233463035,0.29961089494163423,0.7621595330739299,0.1554798962386511,0.8699740596627756,0.04588197146562905,1395,2908,4959,652,1081,1455,2589,46,2680,1812,4959,460,38,2244,2469,190,0.2813067150635209,0.5864085501109094,0.4175357280803399,0.5619930475086906,0.5404315386166566,0.36539624924379915,0.01539084649655731,0.9088699878493317,570,454,197,56,180,210,42,128,640,66,0.09241245136186771,0.07360570687418937,0.031939040207522695,0.009079118028534372,0.029182879377431907,0.03404669260700389,0.006809338521400778,0.020752269779507133,0.10376134889753567,0.010700389105058366
Coffs Harbour - North,0,0,18099,2011,2225,2032,2156,2085,2210,4236,4188,4295,5380,13941,2953,14915,1899,0.1111111111111111,0.12293496878280567,0.11227139620973535,0.11912260345875463,0.11519973479197745,0.1221061937123598,0.2340460798939168,0.23139399966848997,0.23730592850433727,0.29725399193325597,0.7702635504724018,0.16315818553511244,0.824078678380021,0.10492292391844853,2293,10609,14962,2060,2178,5204,7521,147,8099,5629,14962,1229,435,6690,7621,469,0.1532549124448603,0.7090629594973934,0.28958915037893895,0.6919292647254355,0.5413046384173239,0.37621975671701646,0.05707912347460963,0.877837554126755,2244,1631,682,154,934,1027,258,588,2118,227,0.1239847505387038,0.09011547599314879,0.03768163986960606,0.008508757389911045,0.051605061053096854,0.05674346648986132,0.014254931211669153,0.03248798276147853,0.1170230399469584,0.012542129399414332
Coffs Harbour - South,0,0,11305,1163,1242,1272,1310,1247,1325,2405,2582,2572,3747,8154,2203,8881,1392,0.10287483414418398,0.10986289252543123,0.11251658558160106,0.11587793011941619,0.11030517470145954,0.1172047766475011,0.2127377266696152,0.22839451570101724,0.22750995134896063,0.33144626271561256,0.7212737726669616,0.19486952675807165,0.7855816010614772,0.1231313578062804,1564,6245,9533,1724,1377,3079,4538,81,4900,3376,9533,1262,328,3946,4674,387,0.1640616804783384,0.6550928354138257,0.3034376377258704,0.6784927280740414,0.514003986153362,0.354138256582398,0.07017543859649122,0.844244758237056,1380,945,482,276,556,637,155,370,1342,189,0.12206988058381248,0.08359133126934984,0.042636001769128705,0.024413976116762496,0.04918177797434763,0.056346749226006194,0.013710747456877488,0.03272888102609465,0.11870853604599735,0.01671826625386997
Coramba - Nana Glen - Bucca,0,0,3950,422,552,375,429,511,659,974,804,1170,1006,3212,447,3490,167,0.10683544303797468,0.13974683544303798,0.0949367088607595,0.10860759493670886,0.12936708860759494,0.16683544303797468,0.24658227848101266,0.20354430379746835,0.29620253164556964,0.25468354430379747,0.8131645569620253,0.11316455696202532,0.8835443037974684,0.04227848101265823,541,2223,3208,445,550,1264,1858,44,1594,1333,3208,287,0,1323,1438,112,0.16864089775561097,0.6929551122194514,0.2960172228202368,0.6803013993541442,0.49688279301745636,0.41552369077306733,0,0.9200278164116829,363,299,141,19,129,161,31,94,378,23,0.0918987341772152,0.075696202531645565,0.03569620253164557,0.004810126582278481,0.03265822784810127,0.04075949367088608,0.007848101265822785,0.02379746835443038,0.09569620253164557,0.005822784810126582
Dorrigo,0,0,3250,300,296,221,303,311,529,596,524,840,1285,2545,337,2846,75,0.09230769230769231,0.09107692307692308,0.068,0.09323076923076923,0.09569230769230769,0.16276923076923078,0.1833846153846154,0.16123076923076923,0.25846153846153846,0.3953846153846154,0.7830769230769231,0.1036923076923077,0.8756923076923077,0.023076923076923078,428,1874,2779,470,485,736,1247,29,1691,774,2779,315,16,1357,1519,146,0.15401223461676863,0.6743432889528608,0.38893344025661586,0.5902165196471532,0.6084922634041022,0.27851745232097874,0.01053324555628703,0.8933508887425938,374,242,125,30,155,213,58,130,322,39,0.11507692307692308,0.07446153846153847,0.038461538461538464,0.009230769230769232,0.047692307692307694,0.06553846153846153,0.017846153846153845,0.04,0.09907692307692308,0.012
Korora - Emerald Beach,0,0,10262,1290,1368,777,1185,1442,1393,2658,1962,2835,2804,8279,1625,9308,578,0.12570648996297018,0.1333073474956149,0.07571623465211459,0.11547456636133308,0.14051841746248295,0.13574351978171897,0.2590138374585851,0.19119080101344768,0.2762619372442019,0.27324108360943283,0.8067628142662249,0.15835119859676478,0.9070356655622686,0.05632430325472618,2222,5246,8186,727,1959,2924,4953,72,3718,4079,8186,386,0,3692,3830,135,0.2714390422672856,0.6408502321035915,0.39551786795881283,0.5903492832626691,0.4541900806254581,0.4982897630100171,0,0.9639686684073107,1001,793,345,57,301,406,101,190,879,84,0.09754433833560709,0.0772753849152212,0.033619177548236213,0.005554472812317287,0.029331514324693043,0.03956343792633015,0.009842136035860457,0.018514909374390955,0.08565581757941922,0.008185538881309686
Sawtell - Boambee,0,0,20066,2208,2619,1871,2196,2391,2624,4827,4067,5015,6151,16728,2289,18140,844,0.1100368783016047,0.1305192863550284,0.09324230040865145,0.10943885178909599,0.1191567826173627,0.1307684640685737,0.2405561646566331,0.20268115219774743,0.2499252466859364,0.30653842320342867,0.8336489584371574,0.11407355726103857,0.9040167447423503,0.04206119804644672,2991,11545,16454,1912,2747,5875,8746,126,8811,6600,16454,1034,398,7325,8132,383,0.181779506502978,0.7016530934727118,0.31408643951520693,0.6717356505831237,0.5354928892670475,0.40111826911389326,0.048942449581898674,0.9007624200688638,2695,1880,786,167,956,1210,229,607,2237,237,0.13430678760091697,0.093690820293033,0.03917073656932124,0.008322535632413038,0.047642778829861454,0.060301006677962725,0.011412339280374764,0.030250174424399482,0.11148210904016745,0.011811023622047244
