"HARTP Whether has Arthritis","Has arthritis","Does not have arthritis","Not stated","Total",
"Stanhope Gardens - Parklea",641,10574,1821,13034,
"Bidwill - Hebersham - Emerton",1683,14203,2646,18536,
"Glendenning - Dean Park",494,7305,575,8374,
"Hassall Grove - Plumpton",1244,18507,1660,21414,
"Lethbridge Park - Tregear",1751,17007,2787,21551,
"Mount Druitt - Whalan",1673,18829,2413,22918,
"Prospect Reservoir",0,5,4,12,
"Rooty Hill - Minchinbury",1471,19408,1953,22826,
"Banksmeadow",12,404,92,508,
"Botany",720,11268,972,12960,
"Pagewood - Hillsdale - Daceyville",924,12684,1152,14762,
"Port Botany Industrial",0,7,0,6,
"Sydney Airport",0,17,4,19,
"Eastlakes",711,7587,640,8941,
"Mascot",671,19357,1540,21573,
"Petersham - Stanmore",1074,17394,1431,19898,
"Sydenham - Tempe - St Peters",436,7336,501,8278,
"Marrickville - North",691,10749,873,12317,
"Marrickville - South",954,12348,973,14283,
"Darlinghurst",446,9208,968,10615,
"Erskineville - Alexandria",704,17211,1213,19126,
"Glebe - Forest Lodge",1156,17434,1673,20262,
"Potts Point - Woolloomooloo",996,15145,2041,18187,
"Surry Hills",695,13660,1471,15828,
"Camperdown - Darlington",270,7475,584,8332,
"Chippendale",135,6934,739,7803,
"Newtown (NSW)",699,12992,977,14667,
"Pyrmont",566,10972,1120,12658,
"Redfern",843,11551,1280,13670,
"Rosebery - Beaconsfield",375,11047,870,12290,
"Sydney (North) - Millers Point",306,6949,750,8004,
"Sydney (South) - Haymarket",226,17984,1724,19935,
"Ultimo",155,6630,630,7410,
"Waterloo",795,13893,1691,16379,
"Zetland",224,11637,763,12622,
"Bondi - Tamarama - Bronte",922,16623,1508,19055,
"Bondi Beach - North Bondi",775,18209,1728,20705,
"Bondi Junction - Waverly",1050,15215,1453,17720,
"Centennial Park",0,0,0,0,
"Dover Heights",580,9846,698,11122,
"Paddington - Moore Park",784,13012,1001,14793,
"Rose Bay - Vaucluse - Watsons Bay",750,10292,877,11924,
"Woollahra",505,6368,586,7454,
"Bellevue Hill",798,12716,915,14429,
"Double Bay - Darling Point",705,8510,744,9958,
"Kensington (NSW)",531,10419,862,11809,
"Kingsford",710,12033,863,13605,
"Maroubra - North",658,8510,623,9790,
"Maroubra - South",852,9336,894,11084,
"Maroubra - West",596,8750,507,9846,
"Randwick - North",814,14129,1255,16206,
"Randwick - South",678,11104,961,12735,
"Coogee - Clovelly",870,17345,1311,19521,
"Malabar - La Perouse",811,8072,1726,10610,
"Matraville - Chifley",1025,11313,1076,13412,
"South Coogee",413,4700,500,5611,
"Bass Hill - Georges Hall",1756,19215,2890,23855,
"Chullora",45,1302,124,1469,
"Condell Park",773,10719,1284,12773,
"Padstow",1428,14606,1165,17200,
"Revesby",1249,14981,1435,17664,
"Yagoona - Birrong",1389,18851,2246,22484,
"Bankstown - North",848,14536,1592,16981,
"Bankstown - South",914,15483,2037,18434,
"Greenacre - North",950,12171,1523,14637,
"Greenacre - South",822,11206,1388,13416,
"Panania (North) - Milperra",988,9684,667,11340,
"Panania (South) - Picnic Point",1298,13750,949,15994,
"Belmore - Belfield",1297,17051,1981,20332,
"Punchbowl",1255,18115,2177,21544,
"Roselands",931,12507,1139,14577,
"Lakemba",798,14554,1744,17092,
"Wiley Park",437,8629,1065,10135,
"Campsie - North",503,10466,929,11905,
"Campsie - South",370,7546,1149,9059,
"Canterbury - South",615,10418,1190,12220,
"Earlwood",1408,15373,1193,17969,
"Kingsgrove - North",444,5423,391,6261,
"Narwee - Beverly Hills",914,11980,899,13791,
"Oatley - Hurstville Grove",868,11071,653,12594,
"Peakhurst - Lugarno",1751,17199,1274,20220,
"Riverwood",871,9700,1032,11606,
"South Hurstville - Blakehurst",1343,22330,1580,25259,
"Hurstville - Central",332,10998,712,12046,
"Hurstville - North",656,10687,770,12109,
"Mortdale - Oatley",1004,12893,813,14715,
"Penshurst",558,8197,778,9528,
"Kingsgrove (South) - Bardwell Park",889,11337,746,12973,
"Kogarah",663,11252,1138,13051,
"Kogarah Bay - Carlton - Allawah",1059,14049,1094,16200,
"Monterey - Brighton-le-Sands - Kyeemagh",1127,11569,1202,13896,
"Rockdale - Banksia",1058,17311,1482,19853,
"Sans Souci - Ramsgate",1491,13882,1292,16659,
"Arncliffe - Bardwell Valley",882,14073,1621,16579,
"Bexley - North",741,8552,849,10145,
"Bexley - South",882,13894,1060,15831,
"Wolli Creek",151,9791,785,10731,
"Concord - Mortlake - Cabarita",1827,20002,1277,23113,
"Drummoyne - Rodd Point",1335,15814,1210,18366,
"Five Dock - Abbotsford",1631,17859,1440,20933,
"Concord West - North Strathfield",705,11221,916,12842,
"Rhodes",199,10635,624,11453,
"Balmain",971,13565,1046,15579,
"Lilyfield - Rozelle",881,12053,889,13824,
"Annandale (NSW)",565,8181,712,9464,
"Leichhardt",1015,15445,1071,17532,
"Canterbury (North) - Ashbury",775,10520,708,11999,
"Croydon Park - Enfield",1259,14922,1250,17434,
"Dulwich Hill - Lewisham",1099,15455,1391,17948,
"Haberfield - Summer Hill",1037,11745,744,13520,
"Homebush",511,18803,1507,20822,
"Strathfield South",223,3217,192,3636,
"Ashfield - North",608,10184,663,11456,
"Ashfield - South",895,10658,691,12246,
"Burwood (NSW)",484,14248,1201,15942,
"Croydon",716,9627,648,10993,
"Strathfield - East",658,14621,1145,16420,
"Strathfield - West",570,8149,534,9253,
"Chatswood (West) - Lane Cove North",998,19185,1109,21294,
"St Leonards - Naremburn",474,10727,704,11903,
"Artarmon",408,8474,517,9406,
"Castle Cove - Northbridge",919,11865,650,13440,
"Chatswood - East",745,17779,1077,19601,
