Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Thornton - Millers Forest",0,5,7,62,468,1463,1875,1126,93,177,49,347,5682,
"Anna Bay",0,0,9,28,272,846,919,286,69,70,26,580,3101,
"Lemon Tree Passage - Tanilba Bay",0,0,12,49,330,707,1113,412,50,56,35,443,3211,
"Nelson Bay Peninsula",0,4,25,120,956,2668,3211,1579,262,222,125,4183,13359,
"Raymond Terrace",6,4,31,140,945,1751,1695,628,70,178,99,678,6212,
"Seaham - Woodville",0,3,4,27,168,416,567,423,108,77,15,140,1942,
"Tea Gardens - Hawks Nest",0,0,5,28,174,677,1041,530,63,39,39,1449,4051,
"Williamtown - Medowie - Karuah",0,0,23,97,545,1436,1626,1065,136,161,62,572,5723,
"Muswellbrook",0,4,21,83,570,1226,1568,748,93,146,81,1010,5555,
"Muswellbrook Surrounds",0,0,3,18,156,408,487,236,66,49,31,321,1779,
"Scone",0,0,9,32,284,684,790,389,59,76,32,352,2702,
"Scone Surrounds",0,3,8,49,382,849,1120,486,103,94,48,944,4087,
"Dapto - Avondale",0,3,28,174,1308,2764,3412,967,130,224,111,686,9811,
"Horsley - Kembla Grange",0,0,7,55,368,1069,1388,789,75,100,36,153,4047,
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Unanderra - Mount Kembla",0,3,12,107,764,1601,1798,723,130,162,68,348,5717,
"Berkeley - Lake Heights - Cringila",5,8,32,193,1003,1614,1622,383,55,131,92,562,5695,
"Port Kembla - Warrawong",0,4,26,135,826,1307,1010,279,43,92,67,629,4418,
"Windang - Primbee",0,0,8,31,415,661,474,134,20,34,40,370,2189,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Albion Park - Macquarie Pass",0,6,14,74,630,1816,2337,1128,123,212,62,331,6737,
"Albion Park Rail",0,0,20,58,394,815,962,199,25,65,29,234,2799,
"Kiama",0,0,5,38,434,1142,1207,502,105,87,43,862,4422,
"Kiama Downs - Minnamurra",3,0,3,20,199,564,759,418,65,68,11,293,2391,
"Kiama Hinterland - Gerringong",0,0,5,41,351,718,972,582,122,76,44,1004,3915,
"Shellharbour - Flinders",5,0,11,82,738,1887,2210,1235,133,234,73,561,7173,
"Shellharbour - Oak Flats",0,4,6,90,577,1266,1309,501,66,108,50,331,4297,
"Warilla",3,9,31,204,1357,2642,2658,644,98,202,148,884,8876,
"Balgownie - Fairy Meadow",0,7,17,197,1598,2747,2358,755,146,246,84,807,8983,
"Corrimal - Tarrawanna - Bellambi",0,5,23,160,1304,2509,1753,418,82,193,82,655,7186,
"Figtree - Keiraville",4,4,22,187,1323,2269,2480,933,185,244,76,600,8317,
"Helensburgh",0,0,12,41,430,1014,935,360,82,106,21,240,3239,
"Thirroul - Austinmer - Coalcliff",0,3,4,73,642,1345,1354,531,94,139,41,589,4806,
"Woonona - Bulli - Russell Vale",0,0,12,125,1281,2644,2346,756,122,225,52,629,8204,
"Wollongong - East",0,3,35,258,2288,3387,1350,111,41,234,92,1587,9378,
"Wollongong - West",5,12,47,262,1689,2376,1375,373,68,237,99,962,7495,
