sa2_name_2011,in_wslhd,in_metro,pop_size
Minto - St Andrews,0,1,17579
Rosemeadow - Glen Alpine,0,1,20158
Bargo,0,1,5407
Douglas Park - Appin,0,1,7062
Picton - Tahmoor - Buxton,0,1,15370
The Oaks - Oakdale,0,1,8566
Blackheath - Megalong Valley,0,1,5462
Blaxland - Warrimoo - Lapstone,0,1,18499
Blue Mountains - North,0,1,30
Katoomba - Leura,0,1,12920
Lawson - Hazelbrook - Linden,0,1,11081
Springwood - Winmalee,0,1,21771
Wentworth Falls,0,1,5935
Blue Mountains - South,0,1,8
Cambridge Park,0,1,15136
Castlereagh - Cranebrook,0,1,17372
Emu Plains - Leonay,0,1,13881
Glenmore Park - Regentville,0,1,20888
Jamisontown - South Penrith,0,1,16888
Kingswood - Werrington,0,1,17112
Mulgoa - Luddenham - Orchard Hills,0,1,6518
Penrith,0,1,11813
Warragamba - Silverdale,0,1,5058
Richmond - Clarendon,0,1,13441
Windsor - Bligh Park,0,1,15462
Yarramundi - Londonderry,0,1,6847
Erskine Park,0,1,6668
St Clair,0,1,19840
St Marys - Colyton,0,1,25559
Auburn,1,1,33123
Homebush Bay - Silverwater,1,1,11308
Lidcombe - Regents Park,1,1,29986
Rookwood Cemetery,1,1,10
Carlingford,1,1,24621
Ermington - Rydalmere,1,1,19216
Oatlands - Dundas Valley,1,1,15763
Chester Hill - Sefton,0,1,16644
Fairfield - East,0,1,14401
Granville - Clyde,1,1,18246
Greystanes - Pemulwuy,1,1,23467
Guildford - South Granville,1,1,18330
Guildford West - Merrylands West,1,1,19020
Merrylands - Holroyd,1,1,25786
Smithfield Industrial,1,1,6
Yennora Industrial,1,1,6
Girraween - Westmead,1,1,25813
North Parramatta,1,1,20274
North Rocks,1,1,7625
Northmead,1,1,17287
Parramatta - Rosehill,1,1,22703
Toongabbie - Constitution Hill,1,1,20707
Winston Hills,1,1,10367
Epping - North Epping,1,1,23585
Pennant Hills - Cheltenham,0,1,19420
Eastwood - Denistone,1,1,23002
Gladesville - Huntleys Point,0,1,13424
Hunters Hill - Woolwich,0,1,9807
Macquarie Park - Marsfield,0,1,18494
North Ryde - East Ryde,0,1,11978
Ryde - Putney,0,1,26141
West Ryde - Meadowbank,0,1,17001
Ashcroft - Busby - Miller,0,1,16646
Badgerys Creek - Greendale,0,1,9877
Cobbitty - Leppington,0,1,6411
Green Valley - Cecil Hills,0,1,28766
Hoxton Park - Horningsea Park,0,1,18639
Bonnyrigg Heights - Bonnyrigg,0,1,15188
Bossley Park - Abbotsbury,0,1,18226
Cabramatta - Lansvale,0,1,23365
Cabramatta West - Mount Pritchard,0,1,15814
Canley Vale - Canley Heights,0,1,19591
Edensor Park,0,1,9440
Fairfield,0,1,16848
Fairfield - West,0,1,17410
Greenfield Park - Prairiewood,0,1,7762
Horsley Park - Kemps Creek,0,1,4326
Smithfield - Wetherill Park,0,1,17012
St Johns Park - Wakeley,0,1,10635
Wetherill Park Industrial,0,1,21
Casula,0,1,14696
Chipping Norton - Moorebank,0,1,15652
Holsworthy - Wattle Grove,0,1,19549
Liverpool - Warwick Farm,0,1,28588
Prestons - Lurnea,0,1,25705
Caringbah - Lilli Pilli,0,1,25618
Cronulla - Kurnell - Bundeena,0,1,29187
Gymea - Grays Point,0,1,16847
Miranda - Yowie Bay,0,1,17601
Sylvania - Taren Point,0,1,15111
Engadine - Loftus,0,1,27736
Heathcote - Waterfall,0,1,6457
Illawong - Alfords Point,0,1,10639
Menai - Lucas Heights - Woronora,0,1,21056
Oyster Bay - Como - Jannali,0,1,20631
Royal National Park,0,1,17
Sutherland - Kirrawee,0,1,19371
Migratory - Offshore - Shipping (NSW),0,0,112
No Usual Address (NSW),0,0,12917
