sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Darlinghurst,0,1,10615,5660,886,2368,4655,2223,2109,0,3275,109,914,627,1268,196,2108,7003,330,1932,0.5628480509148767,0.0881066030230708,0.2354813046937152,0.665,0.31757142857142856,0.22395667410003187,0,0.3477752999893809,0.01190606226105953,0.09983615510649918,0.06848716548334244,0.1385035499726925,0.021409066084107045,0.23025669033315127,0.6964001591089897,0.03281622911694511,0.19212410501193317
Erskineville - Alexandria,0,1,19126,10229,1518,3982,9055,4188,5019,23,3945,111,918,688,2247,553,4120,13427,446,2394,0.6002229785236475,0.0890740523412745,0.2336580213589954,0.674789477606379,0.3120947909680304,0.27723155103844455,0.0012704374723817942,0.21790764471939902,0.006255988277067012,0.051738713858986644,0.038775855266865805,0.12664149241954573,0.03116722087583836,0.23220424956320804,0.7878770097406408,0.02617063724914916,0.1404764698978993
Glebe - Forest Lodge,0,1,20262,9962,1449,4978,7469,3767,4642,33,4790,277,2211,1019,1955,442,3202,11429,621,4997,0.5454744565514975,0.07934074357991568,0.2725729617258939,0.6537417943107221,0.32971553610503285,0.2488874591174736,0.0017693421264275374,0.2568226904723607,0.01524155386816331,0.1216573126444371,0.056069109717178385,0.10757125563992517,0.024320457796852647,0.176185759876747,0.6258007994305427,0.034003175819963864,0.27361331654164156
Potts Point - Woolloomooloo,0,1,18187,9211,1643,4102,7366,3715,3359,11,6699,193,2029,1365,2626,356,3273,11251,598,3760,0.5288511224665556,0.09433312281104668,0.2355170235976345,0.6543484054366172,0.33001687838678156,0.21594342655094825,7.071681131468981e-4,0.43066538090646095,0.012883845126835781,0.13544726301735646,0.0911214953271028,0.1753004005340454,0.02376502002670227,0.2184913217623498,0.6459780674054085,0.03433427111442843,0.21588103576965034
Surry Hills,0,1,15828,8207,1295,3633,6682,3227,3171,15,4590,121,1492,718,1813,361,2943,10102,502,3165,0.5489264932111565,0.08661627984750184,0.24299377968028896,0.6616496682839885,0.31953658778096844,0.2190522243713733,0.001036197844708483,0.3170765404807958,0.0086558409042134625,0.1067315258602189,0.05136275842334931,0.12969454181271908,0.025824450962157523,0.21053008083553904,0.6756738679686978,0.03357634940806635,0.21169152565045815
Camperdown - Darlington,0,1,8332,3981,474,2674,3177,1961,1465,10,1447,46,417,270,702,191,1142,5211,349,1755,0.5165434021019852,0.061502530167380304,0.3469573115349682,0.6099059320406988,0.3764638126319831,0.1869576314446146,0.001276161306789178,0.18466054109239408,0.005952380952380952,0.053959627329192544,0.03493788819875776,0.09083850931677019,0.024715320910973084,0.14777432712215322,0.6761385753211366,0.045283508498767354,0.22771506422732582
Chippendale,0,1,7803,4136,615,1919,2437,1796,1411,8,2324,398,814,525,909,208,795,4305,436,2127,0.5496345514950166,0.08172757475083056,0.25501661129568104,0.5659544821179749,0.41709242916860195,0.20091129147088138,0.0011391143386017372,0.3309127153638046,0.05899792469611622,0.12066409724281056,0.07782389564186185,0.13474651645419508,0.03083308627334717,0.11784761340053365,0.5720930232558139,0.05794019933554817,0.2826578073089701
Newtown (NSW),0,1,14667,7236,1105,3837,5917,3430,3216,14,3297,103,1121,705,1476,389,2451,9480,412,2697,0.5461132075471699,0.08339622641509434,0.28958490566037737,0.6242219643422302,0.36185251608819496,0.23300970873786409,0.0010143457469931894,0.2388784234168961,0.007603159371078467,0.08274894810659186,0.05204104229718757,0.10895401195836717,0.028714844615043922,0.18092566619915848,0.7154716981132075,0.03109433962264151,0.20354716981132076
Pyrmont,0,1,12658,5891,1162,2954,4251,2810,3165,35,2382,123,757,600,1338,313,2248,7206,411,2893,0.5185739436619718,0.1022887323943662,0.26003521126760565,0.5898432079922298,0.3898987095879006,0.2699360341151386,0.0029850746268656717,0.20315565031982943,0.010827464788732394,0.06663732394366197,0.0528169014084507,0.11778169014084507,0.027552816901408452,0.19788732394366196,0.634330985915493,0.03617957746478873,0.2546654929577465
Redfern,0,1,13670,6087,1054,3674,4735,2847,2759,24,3363,108,1615,527,1162,292,2108,7732,486,3227,0.486648544931244,0.08426606971538216,0.2937320115126319,0.61254851228978,0.3683053040103493,0.21734677800535687,0.0018906570033086498,0.26492831258862454,0.00880410858400587,0.13165403114045815,0.04296078910899161,0.09472568680198908,0.02380370098638624,0.17184315643596643,0.6181643748001279,0.03885513271506236,0.2579948832747042
