sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,male,female,australia,overseas,english,non_english,couple_no_children,couple_with_children,one_parent,other_family,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_male,prop_female,prop_australia,prop_overseas,prop_english,prop_non_english,prop_couple_no_children,prop_couple_with_children,prop_one_parent,prop_other_family
Camden - Ellis Lane,0,1,13295,1613,1788,1295,1483,1733,1563,3401,2778,3296,3815,6314,6985,11099,1750,12097,757,1310,1736,483,21,0.12132380594208349,0.1344866491162091,0.09740503948852952,0.1115456938698759,0.1303497555471982,0.11756299360661902,0.2558104550582926,0.20895073335840542,0.24791274915381722,0.28694998119593834,0.47491538172245207,0.5253854832643851,0.8348251222264009,0.1316284317412561,0.9098909364422715,0.05693869875893193,0.11027864298341611,0.14614024749558044,0.04065998821449617,0.0017678255745433118
Currans Hill,0,1,6445,1182,929,956,1131,907,655,2111,2087,1562,696,3166,3282,5037,1260,5108,1117,450,964,352,18,0.1833979829325058,0.14414274631497284,0.1483320403413499,0.17548487199379365,0.14072924747866564,0.10162916989914662,0.3275407292474787,0.32381691233514354,0.24235841737781225,0.10799069045771917,0.491233514352211,0.5092319627618309,0.7815360744763382,0.19550038789759502,0.7925523661753298,0.17331264546159814,0.07569386038687972,0.16215306980656014,0.0592094196804037,0.003027754415475189
Elderslie - Narellan,0,1,14019,2283,2037,1685,2128,1899,1559,4320,3813,3458,2425,6839,7178,11486,2123,12099,1435,1176,1991,681,44,0.16285041729081962,0.14530280333832657,0.12019402239817391,0.1517939938654683,0.13545901990156217,0.11120622012982381,0.3081532206291462,0.2719880162636422,0.24666524003138598,0.17297952778372208,0.4878379342321136,0.5120194022398173,0.8193166417005493,0.15143733504529566,0.8630430130537128,0.10236108138954277,0.09207641716254306,0.15588787973692453,0.053319761979329784,0.0034450360162856246
Harrington Park,0,1,11241,1595,2047,1254,1309,2005,1451,3642,2563,3456,1572,5559,5682,8742,2263,8936,2017,774,1935,315,33,0.14189129081042612,0.18210123654479138,0.11155591139578329,0.1164487145271773,0.17836491415354505,0.12908104261186726,0.3239925273552175,0.22800462592296059,0.3074459567654123,0.13984520950093407,0.4945289564985322,0.5054710435014679,0.7776888177208433,0.20131660884262967,0.794947068766124,0.1794324348367583,0.07239734356000374,0.18099335890000937,0.029464035169768966,0.0030867084463567485
Mount Annan,0,1,19040,2818,3088,2412,2520,2905,2574,5906,4932,5479,2725,9369,9671,15213,3365,15926,2541,1412,2934,881,49,0.14800420168067227,0.16218487394957984,0.12668067226890756,0.1323529411764706,0.15257352941176472,0.1351890756302521,0.3101890756302521,0.2590336134453782,0.2877626050420168,0.14311974789915966,0.4920693277310924,0.5079306722689075,0.7990021008403362,0.17673319327731093,0.8364495798319328,0.13345588235294117,0.07947765394573905,0.1651469098277609,0.04958910278059214,0.0027580772261623326
Spring Farm,0,1,9539,2131,1100,1504,2234,1123,667,3231,3738,1790,775,4621,4916,7755,1603,7831,1454,781,1508,417,23,0.22339867910682462,0.11531607086696719,0.1576685187126533,0.23419645665164063,0.11772722507600378,0.06992347206206101,0.3387147499737918,0.39186497536429393,0.1876506971380648,0.08124541356536324,0.4844323304329594,0.5153580039836461,0.8129782996121186,0.16804696509068037,0.8209455917811092,0.15242687912779118,0.08739928379588183,0.16875559534467324,0.046665174574753804,0.002573858549686661
Bradbury - Wedderburn,0,1,20011,3192,2919,2764,2957,2564,2173,6111,5721,4737,3435,9695,10320,14098,4721,14240,4414,1399,2364,1420,92,0.15951226825246115,0.1458697716256059,0.1381240317825196,0.14776872720003997,0.12812952875918246,0.1085902753485583,0.30538203987806706,0.2858927589825596,0.23671980410774074,0.1716555894258158,0.48448353405626904,0.5157163560041977,0.7045125181150367,0.23592024386587376,0.7116086152616061,0.2205786817250512,0.07859992134389572,0.1328164503623799,0.07977976290802855,0.005168829709534244
Campbelltown - Woodbine,0,1,22084,2976,2595,3541,3677,2797,2237,5571,7218,5034,4254,10917,11170,12722,7955,12913,7531,1919,2499,1099,113,0.1347581959789893,0.1175058866147437,0.16034232928817244,0.16650063394312625,0.1266527802934251,0.10129505524361529,0.252264082593733,0.3268429632312987,0.2279478355370404,0.1926281470748053,0.4943397935156674,0.5057960514399565,0.5760731751494295,0.3602155406629234,0.5847219706574895,0.3410161202680674,0.10260934659394717,0.13362207250561436,0.05876376858090044,0.0060421345310661964
Claymore - Eagle Vale - Raby,0,1,20236,3034,2834,2705,2987,2581,2427,5868,5692,5008,3673,9924,10311,13465,5697,13265,5724,1559,2641,1200,78,0.14993081636687092,0.14004744020557422,0.13367266258153784,0.1476082229689662,0.1275449693615339,0.11993476971733544,0.28997825657244514,0.28128088555050407,0.24747973907886933,0.18150820320221386,0.4904131251235422,0.5095374579956513,0.6653983000593002,0.2815279699545365,0.6555149238980036,0.28286222573631153,0.08452155055570615,0.14318243426402819,0.06505828137706696,0.004228788289509352
Holsworthy Military Area,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1,0,0,0,0
