sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,male,female,australia,overseas,english,non_english,couple_no_children,couple_with_children,one_parent,other_family,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_male,prop_female,prop_australia,prop_overseas,prop_english,prop_non_english,prop_couple_no_children,prop_couple_with_children,prop_one_parent,prop_other_family
Forster,0,0,14709,1157,1430,980,1213,1396,1720,2587,2193,3116,6811,6937,7777,11999,1699,13259,525,2299,1036,694,55,0.07865932422326467,0.09721938948942824,0.06662587531443334,0.08246651709837514,0.09490787952953973,0.11693520973553606,0.1758787137126929,0.14909239241280847,0.2118430892650758,0.4630498334353117,0.4716160174043103,0.5287239105309675,0.8157590590794751,0.11550751240736963,0.9014208987694609,0.03569243320416072,0.19942748091603055,0.08986814712005552,0.06020124913254684,0.004770992366412214
Forster-Tuncurry Surrounds,0,0,6988,645,748,399,579,759,1054,1393,978,1813,2798,3556,3434,5494,849,6224,178,1093,589,285,20,0.09230108757870635,0.1070406410990269,0.05709788208357184,0.08285632512879222,0.1086147681740126,0.15082999427590155,0.19934172867773325,0.13995420721236404,0.25944476244991416,0.4004006868918145,0.5088723526044648,0.49141385231825985,0.7862049227246709,0.12149398969662278,0.8906697195191757,0.025472238122495706,0.19283697953422724,0.10391672547635851,0.050282286520818634,0.0035285815102328866
Tuncurry,0,0,6376,393,458,433,422,486,712,851,855,1198,3471,3008,3369,5325,658,5771,199,1034,356,315,24,0.06163739021329988,0.07183186951066499,0.06791091593475533,0.06618569636135509,0.07622333751568382,0.11166875784190715,0.13346925972396487,0.13409661229611042,0.18789209535759097,0.5443851944792973,0.47176913425345046,0.528387703889586,0.8351631116687579,0.10319949811794228,0.9051129234629862,0.031210790464240905,0.2155513862830936,0.07421304982280592,0.06566604127579738,0.0050031269543464665
Kempsey,0,0,15654,1792,2062,1799,1824,1675,1939,3854,3623,3614,4563,7877,7780,13215,1023,13208,456,1503,1175,1015,90,0.11447553340999106,0.13172352114475533,0.11492270346237383,0.1165197393637409,0.1070014053915932,0.12386610451002938,0.2461990545547464,0.23144244282611473,0.23086750990162258,0.2914909927175163,0.5031940718027341,0.4969975725054299,0.8441931774626293,0.06535070908394021,0.8437460074102466,0.029129934840935224,0.11414900888585099,0.08923824713298398,0.07708665603402445,0.00683526999316473
Kempsey Surrounds,0,0,9472,948,1039,779,789,1012,1531,1987,1568,2543,3357,4830,4636,7723,812,8415,262,1213,839,442,42,0.10008445945945946,0.10969172297297297,0.08224239864864864,0.08329814189189189,0.10684121621621621,0.16163429054054054,0.20977618243243243,0.16554054054054054,0.26847550675675674,0.35441300675675674,0.5099239864864865,0.48944256756756754,0.8153505067567568,0.08572635135135136,0.8884079391891891,0.02766047297297297,0.15872808165401728,0.10978801360900288,0.057838262235017014,0.005495943470295734
Macksville - Scotts Head,0,0,5189,572,571,408,480,537,671,1143,888,1208,1947,2528,2659,4360,444,4663,179,664,457,279,22,0.11023318558489112,0.11004047022547697,0.07862786664097128,0.09250337251878975,0.10348814800539603,0.1293120061668915,0.2202736558103681,0.17113123915976103,0.23280015417228753,0.37521680477934094,0.48718442859895933,0.5124301406822124,0.8402389670456736,0.08556561957988051,0.8986317209481596,0.03449604933513201,0.15738326617681916,0.10831950699217824,0.06612941455321167,0.0052145058070632855
Nambucca Heads,0,0,7111,603,702,516,526,648,849,1305,1042,1497,3264,3425,3687,5588,821,6279,232,900,443,392,33,0.08479819997187456,0.09872029250457039,0.07256363380677823,0.07396990577977781,0.09112642385037266,0.11939249050766418,0.18351849247644494,0.14653353958655604,0.21051891435803685,0.4590071719870623,0.4816481507523555,0.51849247644494445,0.7858247785121643,0.11545492898326537,0.8829981718464351,0.03262550977359021,0.17301038062283736,0.0851595540176855,0.07535563244905806,0.006343713956170703
Nambucca Heads Surrounds,0,0,8102,829,1012,613,737,851,1246,1841,1350,2097,2815,3987,4115,6567,781,7223,223,1075,741,365,30,0.1023204147124167,0.12490743026413231,0.07566033078252284,0.09096519377931375,0.10503579363120218,0.15378918785485066,0.227227844976549,0.16662552456183657,0.2588249814860528,0.34744507529005186,0.49210071587262405,0.507899284127376,0.8105406072574672,0.09639595161688472,0.8915082695630708,0.0275240681313256,0.16030420518938265,0.11049806143751864,0.054428869668953175,0.0044736057262153295
South West Rocks,0,0,5628,481,467,369,449,505,706,948,818,1211,2654,2752,2876,4702,544,5143,148,998,399,235,18,0.08546552949538024,0.08297796730632552,0.06556503198294243,0.07977967306325515,0.08972992181947406,0.12544420753375976,0.16844349680170576,0.1453447050461976,0.21517412935323382,0.47157071783937454,0.48898365316275766,0.5110163468372424,0.8354655294953802,0.09665955934612651,0.9138237384506042,0.026297085998578537,0.22717960391531983,0.0908263145913954,0.0534941953107216,0.004097427725927612
Lord Howe Island,0,1,445,53,26,31,71,68,63,79,102,131,142,220,232,333,80,382,28,58,37,10,0,0.11910112359550562,0.058426966292134834,0.0696629213483146,0.15955056179775282,0.15280898876404495,0.14157303370786517,0.17752808988764046,0.2292134831460674,0.2943820224719101,0.31910112359550563,0.4943820224719101,0.5213483146067416,0.748314606741573,0.1797752808988764,0.8584269662921349,0.06292134831460675,0.17737003058103976,0.11314984709480122,0.03058103975535168,0
Laurieton - Bonny Hills,0,0,18484,1427,1870,1086,1232,1697,2556,3297,2318,4253,8615,8977,9512,15613,1975,17330,400,3245,1515,728,42,0.07720190434970786,0.10116857822982038,0.058753516554858255,0.06665223977494049,0.09180913222246267,0.13828175719541225,0.17837048257952823,0.12540575632979875,0.23009088941787492,0.46607877082882493,0.48566327634711104,0.5146072278727548,0.8446764769530405,0.10684916684700281,0.9375676260549665,0.02164033758926639,0.2116626443154393,0.09881938555867197,0.0474854869219229,0.002739547322418629
Port Macquarie - West,0,0,21147,2072,2361,2453,2263,2125,2299,4433,4716,4424,7575,9822,11328,16783,3096,18570,1280,2728,1745,1073,86,0.0979808010592519,0.11164704213363598,0.11599754102236724,0.1070128150565092,0.1004870667234123,0.1087151841868823,0.20962784319288788,0.22301035607887643,0.2092022509102946,0.3582068378493403,0.4644630444034615,0.5356788196907363,0.7936350309736606,0.14640374521208682,0.8781387430841254,0.06052868019104365,0.15973767420072607,0.10217824101182808,0.06282937112074014,0.0050357184682047074
Port Macquarie Surrounds,0,0,5301,514,639,421,463,597,861,1153,884,1458,1804,2732,2567,4412,457,4799,111,723,563,182,14,0.0969628372005282,0.12054329371816638,0.0794189775514054,0.08734201094133183,0.11262026032823995,0.1624221844934918,0.21750613091869458,0.1667609884927372,0.27504244482173174,0.3403131484625542,0.5153744576495001,0.4842482550462177,0.8322957932465572,0.08621014902848519,0.9053008866251651,0.020939445387662705,0.15999114848417792,0.12458508519583979,0.04027439699048462,0.003098030537729586
Wauchope,0,0,12796,1580,1812,1225,1336,1481,1592,3392,2561,3073,3783,6143,6659,11089,1012,11911,258,1531,1345,688,40,0.12347608627696155,0.14160675211003437,0.09573304157549234,0.10440762738355736,0.11573929352922788,0.12441387933729291,0.2650828383869959,0.2001406689590497,0.2401531728665208,0.2956392622694592,0.48007189746795875,0.5203969990622069,0.866598937167865,0.07908721475461082,0.9308377618005627,0.0201625507971241,0.13724787090990587,0.12057373375168086,0.06167637830569252,0.003585835948005379
Port Macquarie - East,0,0,11764,1185,1353,1229,1226,1536,1606,2538,2455,3142,3618,5716,6047,9507,1710,10644,589,1468,1081,572,39,0.10073104386263176,0.11501190071404284,0.10447126827609657,0.10421625297517852,0.13056783407004421,0.13651819109146549,0.2157429445766746,0.20868752125127507,0.2670860251615097,0.3075484529071744,0.48588915334920096,0.514025841550493,0.8081434886093165,0.1453587215232914,0.9047942876572594,0.05006800408024482,0.15868554750837746,0.11685223219111447,0.06183115338882283,0.00421576045832883
Port Macquarie - South,0,0,17284,1754,2234,1190,1643,2024,2178,3988,2833,4202,6247,8192,9087,14337,2401,16018,738,2377,1806,725,53,0.10148113862531821,0.1292524878500347,0.06884980328627632,0.09505901411710252,0.11710252256422124,0.12601249710715112,0.23073362647535292,0.16390881740337884,0.24311501967137236,0.36143253876417497,0.4739643601018283,0.5257463550104142,0.8294954871557509,0.138914603101134,0.9267530664198103,0.04269844943300162,0.16081455923144578,0.12218388471686625,0.049049455381909204,0.003585684324470604
Gloucester,0,0,5310,448,567,337,401,524,781,1015,738,1305,2247,2629,2674,4479,440,4876,88,832,420,229,18,0.08436911487758945,0.10677966101694915,0.06346516007532957,0.07551789077212806,0.09868173258003766,0.1470809792843691,0.1911487758945386,0.13898305084745763,0.2457627118644068,0.4231638418079096,0.4951035781544256,0.503578154425612,0.843502824858757,0.08286252354048965,0.9182674199623352,0.01657250470809793,0.1949390815370197,0.09840674789128398,0.05365510777881912,0.004217432052483599
Old Bar - Manning Point - Red Head,0,0,12476,1233,1338,785,1044,1288,1638,2571,1829,2926,5141,6090,6387,10292,1403,11358,384,2014,1099,497,37,0.09882975312600192,0.10724591215133056,0.06292080795126644,0.08368066688041038,0.10323821737736454,0.13129208079512664,0.20607566527733248,0.14660147483167682,0.2345302981724912,0.41207117665918563,0.4881372234690606,0.5119429304264187,0.8249438922731644,0.11245591535748638,0.9103879448541199,0.030779095864058994,0.19224894998090875,0.10490645284459718,0.04744177166857579,0.003531882397861779
Taree,0,0,21123,2404,2556,2175,2183,2119,2482,4960,4358,4601,7196,10060,11061,17513,1772,18496,874,2303,1648,1335,106,0.11380959144060976,0.12100553898593949,0.10296832836244851,0.10334706244378165,0.1003171897931165,0.11750224873360791,0.23481513042654925,0.20631539080623018,0.21781943852672442,0.340671306159163,0.47625810727642853,0.5236472092032382,0.8290962457984188,0.08388959901529139,0.8756331960422289,0.04137669838564598,0.1350020517029134,0.09660589718037399,0.0782578111260918,0.006213728823494929
Taree Surrounds,0,0,13044,1002,1352,874,909,1301,1990,2354,1783,3291,5617,6591,6448,10829,1218,11961,255,2180,1104,541,46,0.07681692732290708,0.1036491873658387,0.06700398650720638,0.06968721251149954,0.09973934375958295,0.1525605642440969,0.1804661146887458,0.1366911990187059,0.25229990800367985,0.4306194418889911,0.5052897884084636,0.494326893590923,0.8301901257283042,0.09337626494940203,0.9169733210671573,0.01954921803127875,0.20082911100875173,0.10170428374021188,0.049838783970520495,0.004237678489175495
Wingham,0,0,5395,609,634,526,535,540,758,1243,1061,1298,1805,2621,2771,4659,352,4907,126,610,479,347,26,0.11288229842446709,0.117516218721038,0.09749768303985172,0.09916589434661724,0.10009267840593142,0.14050046339202965,0.2303985171455051,0.19666357738646895,0.24059314179796107,0.3345690454124189,0.48582020389249303,0.5136237256719185,0.8635773864689528,0.06524559777571826,0.909545875810936,0.023354958294717332,0.13782196113872572,0.10822413014008134,0.07840036150022593,0.00587437867148667
Albury - East,0,0,17831,2674,2207,2333,2574,2236,1966,4881,4907,4202,3851,8674,9158,15251,1929,15904,1263,1876,2213,666,57,0.14996354663226966,0.12377320397061298,0.13083954909988224,0.1443553362122147,0.12539958499242893,0.11025741685828053,0.2737367506028826,0.2751948853120969,0.23565700185070945,0.21597218327631654,0.4864561718355673,0.5135999102686333,0.8553081711625821,0.1081823790028602,0.8919297852055409,0.07083169760529415,0.12131401965856183,0.1431065700982928,0.04306777030522504,0.003685980341438179
Albury - North,0,0,10527,1315,1305,1418,1245,1240,1343,2620,2663,2583,2669,5063,5461,8517,1176,8912,800,1097,948,617,54,0.12491688040277382,0.12396694214876033,0.13470124441911277,0.11826731262467939,0.11779234349767265,0.1275767075140116,0.24888382255153416,0.2529685570437922,0.24536905101168424,0.25353851999620025,0.48095373800702956,0.5187612805167664,0.8090624109432887,0.11171273867198632,0.8465849719768215,0.07599506032107912,0.12834912834912834,0.11091611091611092,0.0721890721890722,0.006318006318006318
Albury - South,0,0,10519,1089,1090,1234,1205,1176,1424,2179,2439,2600,3295,5061,5460,8482,1382,9065,818,1251,892,451,41,0.10352695123110561,0.1036220173020249,0.1173115315144025,0.11455461545774313,0.11179769940108375,0.1353740849890674,0.20714896853313053,0.23186614697214564,0.24717178439015117,0.31324270367905693,0.48112938492252116,0.5190607472193174,0.8063504135374086,0.13138131001045728,0.8617739328833539,0.07776404601197832,0.15317742132974163,0.10922003183543529,0.0552222358271091,0.005020203257009918
Albury Surrounds,0,0,12507,1564,1914,971,1229,1476,1770,3478,2200,3246,3567,6325,6181,10651,781,11284,253,1474,1403,419,18,0.12504997201567122,0.15303430079155672,0.07763652354681379,0.0982649716158951,0.11801391220916287,0.1415207483809067,0.278084272807228,0.1759014951627089,0.2595346605900696,0.28520028783881024,0.5057167985927881,0.494203246182138,0.8516031022627328,0.06244503078276165,0.9022147597345487,0.020228671943711522,0.1359151682803135,0.1293683725218995,0.03863531581373905,0.0016597510373443983
Lavington,0,0,15665,1923,1811,2153,1930,1741,1778,3734,4083,3519,4322,7514,8148,12229,2371,12816,1786,1612,1376,941,75,0.12275774018512607,0.11560804340887329,0.13744015320778807,0.12320459623364188,0.11113948292371528,0.11350143632301309,0.23836578359399938,0.26064474944142996,0.22464091924672838,0.27590169166932654,0.47966804979253114,0.5201404404723907,0.7806575167571018,0.15135652729013724,0.8181295882540696,0.11401212894988828,0.12980111120057974,0.11079797085111523,0.07577099605443273,0.006039133585634914
Hay,0,0,2897,321,291,351,264,271,469,612,615,740,935,1454,1443,2318,199,2434,116,355,249,124,10,0.11080428028995512,0.10044874007594062,0.12115982050396962,0.09112875388332758,0.09354504659993096,0.16189161201242666,0.21125302036589574,0.2122885743872972,0.2554366586123576,0.32274767000345184,0.5018985157059026,0.49810148429409734,0.8001380738695202,0.06869175008629617,0.8401794960303762,0.04004142216085606,0.1563188022897402,0.1096433289299868,0.054601497137824744,0.004403346543372964
Wentworth - Buronga,0,0,6511,841,816,655,733,765,876,1657,1388,1641,1818,3330,3181,5252,416,5508,248,767,668,223,23,0.12916602672400554,0.12532637075718014,0.10059898633082476,0.11257871294731991,0.1174934725848564,0.13454154507756105,0.2544923974811857,0.21317769927814467,0.2520350176624174,0.2792197819075411,0.5114421747811396,0.4885578252188604,0.8066349255106743,0.0638918752879742,0.8459530026109661,0.038089387190907695,0.14047619047619048,0.12234432234432234,0.04084249084249084,0.004212454212454212
Wentworth-Balranald Region,0,0,3648,470,389,366,476,425,549,859,842,974,971,1938,1712,2787,303,2800,305,407,337,99,14,0.1288377192982456,0.10663377192982457,0.10032894736842106,0.13048245614035087,0.11650219298245613,0.15049342105263158,0.23547149122807018,0.23081140350877194,0.2669956140350877,0.2661732456140351,0.53125,0.4692982456140351,0.7639802631578947,0.08305921052631579,0.7675438596491229,0.08360745614035088,0.13712938005390835,0.11354447439353099,0.03335579514824798,0.0047169811320754715
Corowa,0,0,5595,488,625,491,462,535,790,1113,953,1325,2209,2719,2883,4797,428,5130,128,791,452,249,17,0.08722073279714031,0.11170688114387846,0.08775692582663092,0.08257372654155495,0.09562109025915996,0.14119749776586238,0.19892761394101877,0.17033065236818587,0.23681858802502234,0.39481680071492403,0.48596961572832886,0.5152815013404826,0.857372654155496,0.07649687220732797,0.9168900804289544,0.022877569258266308,0.17695749440715883,0.10111856823266219,0.05570469798657718,0.003803131991051454
Corowa Surrounds,0,0,7262,783,789,605,654,775,930,1572,1259,1705,2733,3699,3564,6097,492,6523,110,1043,688,220,15,0.10782153676673092,0.10864775543927292,0.08331038281465161,0.09005783530707794,0.10671991187000826,0.1280638942440099,0.21646929220600386,0.17336821812172956,0.23478380611401817,0.3763426053428808,0.5093638116221426,0.49077389148994766,0.8395758744147618,0.06774993114844395,0.8982374001652438,0.015147342329936657,0.17265353418308227,0.11388842906803509,0.03641781162059262,0.002483032610494951
Deniliquin,0,0,7038,723,835,748,664,749,906,1558,1412,1655,2410,3399,3637,5879,429,6160,209,889,596,279,32,0.10272804774083547,0.11864165956237567,0.10628019323671498,0.09434498437055981,0.10642227905655016,0.1287297527706735,0.22136970730321115,0.2006251776072748,0.23515203182722363,0.3424268258027849,0.48294970161977835,0.5167661267405513,0.8353225348110258,0.06095481670929241,0.8752486501847115,0.029695936345552714,0.16012247838616714,0.10734870317002881,0.0502521613832853,0.005763688760806916
Deniliquin Surrounds,0,0,6837,776,765,528,645,745,1012,1541,1173,1757,2358,3528,3306,5753,370,6083,163,939,669,188,15,0.11350007313149042,0.11189118034225537,0.07722685388328214,0.09433962264150944,0.10896592072546439,0.1480181366096241,0.2253912534737458,0.17156647652479157,0.2569840573350885,0.34488810881965776,0.5160157964019306,0.4835454146555507,0.8414509287699283,0.05411730291063332,0.8897177124469797,0.02384086587684657,0.1667554608417688,0.11880660628662759,0.0333866098383946,0.002663825253063399
Moama,0,0,6930,742,814,518,723,714,811,1556,1241,1525,2602,3360,3572,5885,549,6296,193,1010,727,189,15,0.10707070707070707,0.11746031746031746,0.07474747474747474,0.10432900432900433,0.10303030303030303,0.11702741702741702,0.22453102453102453,0.17907647907647908,0.22005772005772006,0.37546897546897545,0.48484848484848486,0.5154401154401155,0.8492063492063492,0.07922077922077922,0.9085137085137085,0.02784992784992785,0.17043536955788052,0.1226797165035437,0.03189335133310833,0.002531218359770503
Tocumwal - Finley - Jerilderie,0,0,9778,940,1070,737,867,1014,1169,2010,1604,2183,3979,4847,4932,8028,780,8519,298,1392,813,324,31,0.09613417876866436,0.10942933115156474,0.07537328697075066,0.08866843935365105,0.10370218858662303,0.11955410104315811,0.2055635099202291,0.16404172632440173,0.22325628962978114,0.4069339333196973,0.4957046430762937,0.5043976273266517,0.8210267948455717,0.07977091429740234,0.871241562691757,0.030476580077725506,0.17593528816986856,0.10275530839231548,0.04095045500505561,0.003918099089989888
Armidale,0,0,23967,2737,3559,3814,2993,2429,2725,6296,6807,5154,5726,11358,12607,17731,3934,18828,2532,2445,2038,1028,88,0.11419868986523136,0.14849584845829683,0.15913547794884633,0.12488004339299871,0.10134768640213627,0.11369800141861726,0.2626945383235282,0.28401552134184505,0.21504568782075353,0.2389118371093587,0.47390161472024034,0.526014937205324,0.7398089039095422,0.16414236241498728,0.7855801727375141,0.10564526223557391,0.12433889340927583,0.10364117168429618,0.05227827502034174,0.004475183075671277
Armidale Surrounds - North,0,0,4527,526,612,435,452,539,646,1138,887,1185,1321,2330,2204,3610,356,3815,170,525,436,136,15,0.11619173845814004,0.13518886679920478,0.09609012591119948,0.09984537221117738,0.11906339739341727,0.1426993593991606,0.25138060525734485,0.19593549812237684,0.2617627567925779,0.29180472719240114,0.5146896399381489,0.48685663795007733,0.797437596642368,0.07863927545836094,0.8427214490832781,0.0375524629997791,0.1421608448415922,0.11806119685892229,0.036826428378012456,0.004061738424045491
Armidale Surrounds - South,0,0,5894,634,768,488,563,705,900,1402,1051,1605,1831,2837,3052,5054,451,5417,135,798,611,235,20,0.10756701730573465,0.13030200203596878,0.08279606379368849,0.09552086868001357,0.11961316593145571,0.15269765863590093,0.23786901934170343,0.17831693247370206,0.2723108245673566,0.3106549032914829,0.4813369528333899,0.517814726840855,0.8574821852731591,0.07651849338310146,0.9190702409229725,0.022904648795385136,0.15979175010012014,0.1223468161794153,0.04705646776131358,0.004004805766920304
Walcha,0,0,3144,363,312,267,279,329,427,675,546,756,1168,1587,1557,2622,169,2759,47,488,282,73,10,0.11545801526717557,0.09923664122137404,0.08492366412213741,0.08874045801526717,0.10464376590330789,0.13581424936386768,0.21469465648854963,0.1736641221374046,0.24045801526717558,0.37150127226463103,0.5047709923664122,0.4952290076335878,0.833969465648855,0.05375318066157761,0.8775445292620865,0.01494910941475827,0.19055056618508395,0.11011323701679032,0.028504490433424443,0.003904724716907458
Glen Innes,0,0,8931,851,1007,813,812,954,1187,1858,1625,2141,3312,4409,4518,7287,669,7718,197,1179,664,403,32,0.09528608218564551,0.11275333109394245,0.09103123950285523,0.09091926995857127,0.10681894524689285,0.13290784906505432,0.20803941327958794,0.1819505094614265,0.23972679431194716,0.3708431306684582,0.49367372074795657,0.5058784010749077,0.8159220691971784,0.07490762512596574,0.8641809427835628,0.022058000223939087,0.16838046272493573,0.09483004855755499,0.057554984290202796,0.004570122822050843
Inverell,0,0,12057,1527,1563,1392,1371,1315,1374,3090,2763,2689,3515,5805,6251,10055,891,10449,579,1371,1049,670,53,0.12664842000497636,0.12963423737248073,0.11545160487683503,0.11370987807912417,0.1090652732852285,0.11395869619308285,0.2562826573774571,0.2291614829559592,0.22302396947831135,0.29153189018827236,0.48146305051007715,0.5184540101186033,0.8339553786182301,0.07389897984573277,0.8666334909181388,0.04802189599402837,0.13957039600936577,0.10679018629746513,0.06820726865519698,0.0053955003563066276
Inverell Surrounds - East,0,0,5200,596,665,486,480,537,810,1261,966,1347,1640,2677,2528,4224,358,4569,65,636,450,193,26,0.11461538461538462,0.12788461538461537,0.09346153846153846,0.09230769230769231,0.10326923076923077,0.15576923076923077,0.2425,0.18576923076923077,0.25903846153846155,0.3153846153846154,0.5148076923076923,0.48615384615384616,0.8123076923076923,0.06884615384615385,0.8786538461538461,0.0125,0.1478038577736463,0.10457820125493841,0.04485242853822914,0.006042296072507553
Inverell Surrounds - West,0,0,5734,616,668,413,508,610,852,1284,921,1462,2057,2869,2862,4903,219,5135,44,767,509,231,17,0.10742936867806069,0.11649808161841646,0.07202650854551797,0.08859434949424486,0.10638297872340426,0.14858737356121382,0.22392745029647715,0.1606208580397628,0.25497035228461806,0.35873735612138125,0.5003487966515522,0.49912800837111965,0.8550749912800837,0.03819323334495989,0.8955354028601326,0.0076735263341471925,0.1631220757124628,0.10825180774138664,0.04912803062526584,0.0036154827732879625
Tenterfield,0,0,6810,566,699,468,511,719,917,1265,979,1636,2931,3334,3482,5497,578,5968,196,1030,466,283,15,0.08311306901615272,0.1026431718061674,0.06872246696035242,0.07503671071953011,0.10558002936857562,0.13465491923641704,0.18575624082232012,0.14375917767988253,0.24023494860499267,0.4303964757709251,0.4895741556534508,0.5113069016152717,0.8071953010279002,0.08487518355359765,0.8763582966226138,0.028781204111600588,0.19724243584833398,0.08923783990808119,0.05419379548065875,0.002872462657985446
Moree,0,0,7845,1094,891,1071,1010,898,1002,1985,2081,1900,1885,3851,3996,5877,509,6087,329,740,630,396,45,0.1394518801784576,0.1135755258126195,0.13652007648183556,0.12874442319949012,0.11446781389420013,0.12772466539196942,0.2530274059910771,0.2652644996813257,0.24219247928616955,0.2402804333970682,0.49088591459528363,0.5093690248565965,0.7491395793499044,0.06488209050350542,0.7759082217973231,0.041937539834289356,0.12271973466003316,0.1044776119402985,0.06567164179104477,0.007462686567164179
Moree Surrounds,0,0,5356,744,697,657,611,664,846,1441,1268,1510,1134,2762,2594,3783,224,3909,114,448,479,172,20,0.13890963405526513,0.130134428678118,0.12266616878267364,0.11407766990291263,0.1239731142643764,0.15795369678864823,0.2690440627333831,0.23674383868558627,0.28192681105302464,0.21172516803584765,0.5156833457804332,0.4843166542195668,0.7063106796116505,0.041822255414488425,0.7298356982823002,0.02128454070201643,0.10676835081029552,0.11415633937082936,0.04099142040038131,0.004766444232602479
Narrabri,0,0,6898,891,869,862,853,774,864,1760,1715,1638,1783,3414,3489,5958,335,6143,213,767,675,317,28,0.12916787474630329,0.12597854450565382,0.12496375761090171,0.12365903160336329,0.11220643664830386,0.12525369672368802,0.2551464192519571,0.248622789214265,0.23746013337199187,0.2584807190489997,0.49492606552623947,0.5057987822557263,0.863728616990432,0.04856480139170774,0.8905479849231661,0.030878515511742533,0.13633131887664415,0.11997867045858514,0.05634553857092073,0.004976892996800568
Narrabri Surrounds,0,0,4616,602,598,459,522,535,669,1200,981,1204,1230,2385,2226,3741,182,3892,70,495,460,160,16,0.1304159445407279,0.12954939341421143,0.09943674176776429,0.11308492201039862,0.11590121317157712,0.14493067590987868,0.25996533795493937,0.21252166377816292,0.2608318890814558,0.26646447140381285,0.516681109185442,0.48223570190641246,0.8104419410745234,0.039428076256499134,0.8431542461005199,0.015164644714038129,0.13098703360677427,0.12172532415983064,0.04233924318602805,0.004233924318602805
Gunnedah,0,0,9745,1488,1222,1243,1277,1033,1017,2710,2520,2050,2453,4794,4949,8332,555,8549,362,940,993,454,52,0.1526936890713186,0.1253976398152899,0.1275525910723448,0.1310415597742432,0.10600307850179579,0.10436121087737302,0.27809132888660854,0.258594150846588,0.21036428937916882,0.2517188301693176,0.49194458696767573,0.5078501795792714,0.8550025654181631,0.056952283222165216,0.8772703950743971,0.03714725500256542,0.1182538684111209,0.12492137375770537,0.057114102402817966,0.0065417033589130705
Gunnedah Surrounds,0,0,4369,617,509,477,500,507,615,1126,977,1122,1141,2241,2130,3705,166,3858,54,496,480,159,21,0.14122224765392538,0.11650263218127718,0.1091783016708629,0.11444266422522316,0.11604486152437629,0.1407644769970245,0.25772487983520254,0.22362096589608607,0.25680933852140075,0.2611581597619593,0.5129320210574502,0.48752574959945066,0.8480201419089036,0.03799496452277409,0.8830395971618219,0.012359807736324101,0.1355191256830601,0.13114754098360656,0.04344262295081967,0.005737704918032787
Quirindi,0,0,7551,840,940,647,801,822,1047,1780,1448,1869,2463,3789,3761,6276,360,6498,209,885,672,336,44,0.11124354390147001,0.12448682293735928,0.08568401536220369,0.10607866507747318,0.10885975367500993,0.13865713150576084,0.23573036683882928,0.19176268043967687,0.24751688518077075,0.3261819626539531,0.5017878426698451,0.49807972453979604,0.8311481922924115,0.04767580452920143,0.8605482717520858,0.027678453185008608,0.14611193660227836,0.1109460128776622,0.0554730064388311,0.0072643222717516925
Tamworth - East,0,0,21360,2674,2983,2703,2686,2396,2519,5657,5389,4915,5409,10609,10749,18196,1735,18672,1255,2336,2013,1165,108,0.12518726591760299,0.13965355805243446,0.12654494382022471,0.125749063670412,0.11217228464419475,0.11793071161048689,0.26484082397003744,0.2522940074906367,0.23010299625468164,0.25323033707865167,0.49667602996254684,0.5032303370786517,0.85187265917603,0.08122659176029963,0.8741573033707866,0.05875468164794007,0.13282538238471597,0.11445954398134986,0.06624211064991187,0.006140899528060499
Tamworth - North,0,0,16517,2237,2009,2061,2398,1736,1758,4246,4459,3494,4313,7768,8747,13446,1996,13860,1504,1705,1621,768,69,0.135436217230732,0.12163225767391173,0.12478052915178302,0.1451837500756796,0.10510383241508749,0.10643579342495611,0.2570684749046437,0.26996427922746263,0.2115396258400436,0.2611249016165163,0.47030332384815643,0.52957558878731,0.8140703517587939,0.1208451898044439,0.8391354362172307,0.09105769812920021,0.12719134651249533,0.12092502797463633,0.05729205520328236,0.005147333084669899
Tamworth - West,0,0,5998,1031,1007,891,828,649,594,2038,1719,1243,994,2928,3073,4713,528,4810,423,445,516,471,33,0.17189063021007003,0.16788929643214404,0.14854951650550183,0.13804601533844615,0.10820273424474824,0.09903301100366789,0.33977992664221407,0.286595531843948,0.20723574524841615,0.16572190730243413,0.488162720906969,0.5123374458152717,0.7857619206402134,0.08802934311437145,0.8019339779926642,0.07052350783594531,0.0879968360688155,0.10203678070001977,0.0931382242436227,0.0065256080680245205
Tamworth Surrounds,0,0,19038,2214,2626,1564,1977,2416,2658,4840,3541,5074,5579,9513,9521,16702,1024,17505,353,2320,2150,736,66,0.11629372833280807,0.1379346570017859,0.08215148650068284,0.10384494169555626,0.12690408656371469,0.13961550583044438,0.25422838533459396,0.1859964281962391,0.26651959239415907,0.29304548797142554,0.49968484084462655,0.5001050530517912,0.8772980355079315,0.05378716251707112,0.9194768358020801,0.018541863641138776,0.14209591474245115,0.13168371409321983,0.04507870398726037,0.004042383781466283
