sa2,Arthritis,Asthma,Cancer (including remission),Dementia (including Alzheimer's),Diabetes (excluding gestational diabetes),Heart disease (including heart attack or angina),Kidney disease,Lung condition (including COPD or emphysema),Mental health condition (including depression or anxiety),Stroke,Any other long-term health condition(s),No long-term health condition(s),Not stated
Coonabarabran,1089,772,320,88,466,476,116,255,667,95,610,3680,1308
Dubbo - East,1063,1238,273,87,559,429,122,215,1196,103,868,5585,1294
Dubbo - South,1823,1963,576,169,1004,833,202,415,1902,187,1518,10862,2087
Dubbo - West,1028,1108,269,104,578,522,97,236,973,103,709,5564,1237
Dubbo Surrounds,572,569,189,19,269,265,58,125,478,57,396,3323,710
Gilgandra,530,414,161,26,228,245,49,99,357,46,352,2229,622
Narromine,669,622,219,26,335,321,58,171,477,55,370,3310,1064
Wellington,998,739,277,64,564,530,150,257,842,112,681,3950,1872
Branxton - Greta - Pokolbin,1214,1211,331,36,558,481,108,239,1243,99,964,7603,866
Cessnock,3127,2633,764,327,1578,1297,364,744,3330,347,2130,10482,3408
Cessnock Surrounds,1025,932,326,22,435,397,94,194,910,79,768,5047,743
Dungog,1165,1002,367,74,496,494,103,198,994,106,735,5323,654
Kurri Kurri - Abermain,2371,2426,622,139,1348,1026,270,572,2986,260,1895,10523,1744
Singleton,1698,1587,415,147,820,629,175,304,1744,147,1357,9782,1536
Singleton Surrounds,539,484,151,20,212,213,33,122,441,53,355,3079,574
Maitland,774,941,235,97,435,359,80,175,1245,90,757,4786,578
Maitland - North,829,848,267,46,368,357,81,139,854,80,734,5046,605
East Maitland - Metford,2051,2000,527,93,1059,804,197,388,2563,172,1747,9453,1381
Rutherford (North) - Aberglasslyn,1781,1927,541,178,990,817,224,422,2193,204,1590,9839,1336
Rutherford (South) - Telarah,859,1008,213,44,483,367,100,222,1251,88,705,4021,750
Tenambit - East Maitland,1361,1111,346,64,656,538,135,278,1410,127,948,5135,665
Thornton - Millers Forest,1252,1696,358,51,708,510,110,217,1900,119,1356,9416,945
Anna Bay,994,519,319,38,413,407,88,166,643,90,552,3292,551
Lemon Tree Passage - Tanilba Bay,1134,737,329,78,552,514,112,263,936,108,683,3229,554
Nelson Bay Peninsula,3454,1821,1147,249,1316,1454,323,653,2150,295,1971,11076,1702
Raymond Terrace,1667,1701,489,134,987,756,206,427,2276,187,1393,7130,1388
Seaham - Woodville,533,519,180,28,239,233,44,80,491,45,410,3322,445
Tea Gardens - Hawks Nest,1250,499,433,90,440,578,117,260,525,108,528,2429,575
Williamtown - Medowie - Karuah,1741,1566,495,73,855,709,206,316,1760,160,1437,8115,1092
Muswellbrook,1154,1391,317,72,703,478,144,276,1399,118,935,6553,1396
Muswellbrook Surrounds,430,377,116,18,220,182,39,98,346,31,246,2309,412
Scone,562,558,202,72,295,264,52,122,509,65,434,3522,515
Scone Surrounds,906,850,261,52,471,411,85,194,667,90,612,4585,793
Dapto - Avondale,3016,2491,879,196,1650,1144,330,683,2807,308,2353,12757,1642
Horsley - Kembla Grange,944,1177,306,137,585,331,116,184,1195,80,1031,7418,710
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,1532,1355,515,258,869,628,200,306,1544,189,1461,8729,911
Berkeley - Lake Heights - Cringila,1565,1280,376,121,1000,619,219,385,1589,193,1271,7740,1216
Port Kembla - Warrawong,1153,841,306,137,707,522,176,264,1189,154,921,5190,874
Windang - Primbee,672,363,204,43,342,281,85,164,460,72,356,2106,367
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,9,0
Albion Park - Macquarie Pass,1688,1750,471,68,811,552,173,319,1940,153,1586,11430,1300
Albion Park Rail,965,765,254,113,520,397,137,213,944,105,779,3360,564
Kiama,1128,703,401,130,413,568,126,195,676,115,881,4850,602
Kiama Downs - Minnamurra,623,507,237,31,220,254,78,97,530,48,508,3590,387
Kiama Hinterland - Gerringong,948,660,324,88,301,381,83,127,618,88,630,4653,622
Shellharbour - Flinders,1749,1512,605,71,841,710,199,277,1548,151,1431,11830,1415
Shellharbour - Oak Flats,1346,959,377,94,652,566,144,271,1173,134,975,5615,854
Warilla,2770,1996,699,168,1464,1086,281,677,2520,286,1822,10263,1994
Balgownie - Fairy Meadow,2231,1717,752,158,1027,898,289,481,2041,231,1863,12534,1574
Corrimal - Tarrawanna - Bellambi,1808,1468,538,130,869,755,222,460,1791,199,1546,8982,1145
Figtree - Keiraville,1835,1784,594,134,935,717,209,331,1981,190,1906,13912,1587
Helensburgh,739,804,256,148,294,320,80,103,713,69,702,5741,516
Thirroul - Austinmer - Coalcliff,1023,854,416,44,323,400,93,151,871,90,922,7565,738
Woonona - Bulli - Russell Vale,2233,1812,731,280,859,880,267,449,1948,231,1759,12360,1245
Wollongong - East,1530,1243,541,161,653,674,176,269,1802,176,1443,9390,1126
Wollongong - West,1309,1306,351,112,712,527,190,275,1843,165,1427,9909,1291
Bulahdelah - Stroud,716,433,218,50,314,285,78,162,533,65,472,2644,601
Forster,2506,1387,820,317,946,1142,301,524,1721,310,1283,6989,1271
Forster-Tuncurry Surrounds,973,609,298,46,372,376,76,220,665,95,596,3596,737
Tuncurry,1343,669,398,247,566,586,147,296,830,175,706,2738,459
Kempsey,2048,1712,553,230,1096,920,277,569,1970,306,1453,6816,2502
Kempsey Surrounds,1230,850,395,67,470,490,111,334,925,140,791,4936,1064
Macksville - Scotts Head,711,498,267,79,296,354,98,206,566,72,474,2597,479
Nambucca Heads,1305,701,414,161,537,588,156,441,936,138,726,3038,770
Nambucca Heads Surrounds,1042,715,332,31,378,454,79,313,816,74,705,4191,914
South West Rocks,1057,482,350,88,399,429,101,256,629,99,556,2687,476
Lord Howe Island,27,23,12,0,16,13,4,5,21,0,12,308,39
Laurieton - Bonny Hills,3330,1734,1036,240,1309,1428,331,752,1968,372,1936,8889,1198
Port Macquarie - West,3009,2253,939,369,1303,1310,363,769,2714,346,2185,10300,1750
Port Macquarie Surrounds,618,392,201,31,238,243,50,145,496,82,404,2929,533
Wauchope,1515,1358,480,126,684,655,157,391,1467,163,1137,6781,1059
Port Macquarie - East,1259,1080,468,79,492,572,123,268,1276,130,1025,6588,839
Port Macquarie - South,2432,1536,857,287,901,1046,234,493,1884,271,1615,9218,1035
Gloucester,719,479,231,48,318,373,93,180,529,101,445,2703,450
Old Bar - Manning Point - Red Head,1852,1232,575,164,715,747,186,365,1224,171,1082,6388,1037
Taree,3025,2512,813,363,1529,1289,385,706,2867,375,1929,9774,2283
Taree Surrounds,2098,1283,654,102,866,833,197,483,1385,214,1136,6418,1149
Wingham,739,605,206,73,353,297,117,208,740,85,515,2622,498
Albury - East,1518,1746,536,105,724,696,139,265,1784,176,1389,10644,1151
Albury - North,1115,1136,330,102,555,490,121,266,1353,124,837,5470,1061
Albury - South,1119,1033,443,143,436,551,124,225,1203,153,995,5649,900
Albury Surrounds,1279,1240,404,80,590,570,128,242,1080,123,884,7028,1291
Lavington,1830,1672,582,117,975,863,194,470,2091,197,1391,8031,1447
Hay,303,320,99,34,184,152,34,85,244,30,157,1451,415
Wentworth - Buronga,619,606,216,57,346,339,90,167,576,80,472,3484,855
Wentworth-Balranald Region,304,291,79,24,170,173,44,66,205,27,164,2024,642
Corowa,812,589,262,66,385,400,86,200,626,85,437,2766,477
Corowa Surrounds,1045,736,312,49,440,442,98,217,644,102,488,3661,824
Deniliquin,913,734,250,90,424,394,83,205,741,85,563,3479,807
Deniliquin Surrounds,812,623,257,48,356,341,80,148,545,76,414,3755,768
Moama,885,616,313,62,390,371,106,177,543,91,468,3873,567
Tocumwal - Finley - Jerilderie,1456,1056,413,113,595,620,136,261,946,148,747,4693,1223
Armidale,2090,2257,780,139,989,997,200,447,2443,226,2019,12984,2846
Armidale Surrounds - North,461,408,147,28,195,202,47,102,302,40,308,2447,683
