sa2,Has asthma,Does not have asthma,Not stated
Centennial Park,0,0,0
Dover Heights,591,9827,698
Paddington - Moore Park,1041,12754,1001
Rose Bay - Vaucluse - Watsons Bay,657,10392,877
Woollahra,491,6380,586
Bellevue Hill,851,12663,915
Double Bay - Darling Point,627,8586,744
Kensington (NSW),745,10205,862
Kingsford,802,11934,863
Maroubra - North,521,8649,623
Maroubra - South,800,9388,894
Maroubra - West,560,8782,507
Randwick - North,1067,13881,1255
Randwick - South,808,10971,961
Coogee - Clovelly,1225,16987,1311
Malabar - La Perouse,592,8290,1726
Matraville - Chifley,917,11422,1076
South Coogee,392,4724,500
Bass Hill - Georges Hall,1520,19452,2890
Chullora,71,1273,124
Condell Park,708,10779,1284
Padstow,1129,14904,1165
Revesby,1144,15088,1435
Yagoona - Birrong,1396,18839,2246
Bankstown - North,812,14575,1592
Bankstown - South,877,15517,2037
Greenacre - North,840,12284,1523
Greenacre - South,762,11270,1388
Panania (North) - Milperra,848,9831,667
Panania (South) - Picnic Point,1173,13868,949
Belmore - Belfield,1029,17321,1981
Punchbowl,1262,18105,2177
Roselands,799,12638,1139
Lakemba,723,14623,1744
Wiley Park,480,8592,1065
Campsie - North,440,10531,929
Campsie - South,284,7634,1149
Canterbury - South,627,10403,1190
Earlwood,1087,15694,1193
Kingsgrove - North,316,5550,391
Narwee - Beverly Hills,774,12113,899
Oatley - Hurstville Grove,739,11202,653
Peakhurst - Lugarno,1361,17589,1274
Riverwood,695,9878,1032
South Hurstville - Blakehurst,1067,22612,1580
Hurstville - Central,348,10986,712
Hurstville - North,489,10852,770
Mortdale - Oatley,930,12972,813
Penshurst,490,8262,778
Kingsgrove (South) - Bardwell Park,745,11482,746
Kogarah,608,11307,1138
Kogarah Bay - Carlton - Allawah,871,14238,1094
Monterey - Brighton-le-Sands - Kyeemagh,764,11928,1202
Rockdale - Banksia,957,17412,1482
Sans Souci - Ramsgate,1012,14358,1292
Arncliffe - Bardwell Valley,826,14132,1621
Bexley - North,581,8721,849
Bexley - South,709,14068,1060
Wolli Creek,417,9528,785
Concord - Mortlake - Cabarita,1358,20473,1277
Drummoyne - Rodd Point,1200,15959,1210
Five Dock - Abbotsford,1382,18108,1440
Concord West - North Strathfield,710,11219,916
Rhodes,405,10427,624
Balmain,1172,13367,1046
Lilyfield - Rozelle,1036,11901,889
Annandale (NSW),728,8018,712
Leichhardt,1371,15081,1071
Canterbury (North) - Ashbury,769,10523,708
Croydon Park - Enfield,1123,15058,1250
Dulwich Hill - Lewisham,1619,14941,1391
Haberfield - Summer Hill,1034,11745,744
Homebush,757,18561,1507
Strathfield South,222,3214,192
Ashfield - North,772,10018,663
Ashfield - South,751,10801,691
Burwood (NSW),506,14229,1201
Croydon,691,9656,648
Strathfield - East,570,14708,1145
Strathfield - West,433,8283,534
Chatswood (West) - Lane Cove North,1332,18850,1109
St Leonards - Naremburn,767,10433,704
Artarmon,591,8290,517
Castle Cove - Northbridge,892,11892,650
Chatswood - East,900,17620,1077
Greenwich - Riverview,916,11379,637
Lane Cove,1130,14011,748
Willoughby,946,11366,688
Asquith - Mount Colah,1767,19282,1008
Berowra - Brooklyn - Cowan,1074,10189,524
Normanhurst - Thornleigh - Westleigh,1462,16867,824
Hornsby - East,685,10634,617
Hornsby - West,737,9314,573
Wahroonga (West) - Waitara,655,10557,663
Gordon - Killara,1285,20088,1066
Lindfield - Roseville,1540,21958,1101
Pymble,1162,15285,774
St Ives,1311,19559,789
Turramurra,1378,18056,811
Wahroonga (East) - Warrawee,1221,16122,852
Cremorne - Cammeray,1377,16531,997
Crows Nest - Waverton,1394,15643,889
Neutral Bay - Kirribilli,1185,14750,1254
North Sydney - Lavender Bay,757,10724,956
Mosman - North,904,12034,826
Mosman - South,1005,12792,771
Balgowlah - Clontarf - Seaforth,1329,18306,1099
