"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Tenambit - East Maitland",0,0,10091,8947,750,394,9426,271,370
"Thornton - Millers Forest",0,0,15899,13778,1771,327,14236,1233,400
"Anna Bay",0,0,6449,5162,870,366,5903,158,366
"Lemon Tree Passage - Tanilba Bay",0,0,6887,5759,706,368,6333,205,344
"Nelson Bay Peninsula",0,0,21972,17085,3816,1034,19565,1297,1127
"Raymond Terrace",0,0,14588,12486,1161,924,13101,535,933
"Seaham - Woodville",0,0,5693,5106,374,202,5376,106,202
"Tea Gardens - Hawks Nest",0,0,5804,4369,909,515,5171,222,419
"Williamtown - Medowie - Karuah",0,0,15020,13004,1418,625,13908,462,613
"Muswellbrook",0,0,12272,10391,1058,794,10665,568,1010
"Muswellbrook Surrounds",0,0,4083,3479,275,309,3736,76,282
"Scone",0,0,6035,5021,676,331,5292,405,341
"Scone Surrounds",0,0,8194,6928,579,646,7436,168,574
"Dapto - Avondale",0,0,24195,19295,3959,922,21450,1762,970
"Horsley - Kembla Grange",0,0,12155,9858,2010,279,10341,1505,299
"Port Kembla Industrial",0,0,5,3,0,0,5,0,0
"Unanderra - Mount Kembla",0,0,15280,11751,2977,516,12378,2269,589
"Berkeley - Lake Heights - Cringila",0,0,14200,9660,3743,758,9438,3985,779
"Port Kembla - Warrawong",0,0,9740,6253,2738,735,6222,2857,668
"Windang - Primbee",0,0,4239,3328,627,275,3624,367,249
"Illawarra Catchment Reserve",0,1,9,7,0,0,4,4,0
"Albion Park - Macquarie Pass",0,0,19026,16037,2369,606,17112,1246,662
"Albion Park Rail",0,0,6920,5553,995,328,6161,422,327
"Kiama",0,0,8786,6843,1599,334,7814,495,468
"Kiama Downs - Minnamurra",0,0,6063,5074,713,239,5601,206,230
"Kiama Hinterland - Gerringong",0,0,8136,6787,939,367,7496,293,346
"Shellharbour - Flinders",0,0,19341,15643,3119,578,16258,2324,765
"Shellharbour - Oak Flats",0,0,10590,8001,2079,509,8746,1296,527
"Warilla",0,0,20397,15313,3626,1426,16873,2184,1355
"Balgownie - Fairy Meadow",0,0,21519,15885,4716,908,16743,3786,988
"Corrimal - Tarrawanna - Bellambi",0,0,16041,12362,2977,712,13373,1893,750
"Figtree - Keiraville",0,0,22773,16577,5304,893,17204,4530,1017
"Helensburgh",0,0,9135,7720,1152,219,8398,409,314
"Thirroul - Austinmer - Coalcliff",0,0,11957,9653,1959,323,10897,661,375
"Woonona - Bulli - Russell Vale",0,0,20761,17160,2944,665,18755,1256,732
"Wollongong - East",0,0,16020,10560,4712,755,11453,3646,878
"Wollongong - West",0,0,16551,10600,5045,875,10915,4666,923
"Bulahdelah - Stroud",0,0,5235,4280,420,508,4669,118,462
"Forster",0,0,14709,11999,1659,1006,13259,538,905
"Forster-Tuncurry Surrounds",0,0,6988,5494,804,656,6224,183,577
"Tuncurry",0,0,6376,5325,631,383,5771,190,384
"Kempsey",0,0,15654,13215,991,1411,13208,438,1978
"Kempsey Surrounds",0,0,9472,7723,828,917,8415,237,786
"Macksville - Scotts Head",0,0,5189,4360,442,380,4663,169,328
"Nambucca Heads",0,0,7111,5588,795,717,6279,253,601
"Nambucca Heads Surrounds",0,0,8102,6567,741,757,7223,211,644
"South West Rocks",0,0,5628,4702,515,379,5143,138,336
"Lord Howe Island",0,1,445,335,65,42,382,41,34
"Laurieton - Bonny Hills",0,0,18484,15613,2006,875,17330,414,753
"Port Macquarie - West",0,0,21147,16784,3046,1269,18570,1331,1265
"Port Macquarie Surrounds",0,0,5301,4413,421,437,4799,121,380
"Wauchope",0,0,12796,11088,998,685,11911,277,610
"Port Macquarie - East",0,0,11764,9504,1674,546,10644,579,519
"Port Macquarie - South",0,0,17284,14337,2380,559,16018,742,520
"Gloucester",0,0,5310,4479,422,394,4876,81,333
"Old Bar - Manning Point - Red Head",0,0,12476,10292,1367,781,11358,379,710
"Taree",0,0,21123,17513,1761,1823,18496,902,1724
"Taree Surrounds",0,0,13044,10830,1194,1018,11961,235,828
"Wingham",0,0,5395,4659,310,375,4907,123,361
"Albury - East",0,0,17831,15251,1866,634,15904,1264,651
"Albury - North",0,0,10527,8517,1183,823,8912,832,779
"Albury - South",0,0,10519,8482,1359,656,9065,838,623
"Albury Surrounds",0,0,12507,10651,736,1081,11284,242,943
"Lavington",0,0,15665,12232,2366,1053,12816,1803,1022
"Hay",0,0,2897,2318,215,380,2434,119,350
"Wentworth - Buronga",0,0,6511,5252,408,845,5508,259,743
"Wentworth-Balranald Region",0,0,3648,2787,322,538,2800,315,530
"Corowa",0,0,5595,4797,424,363,5130,143,318
"Corowa Surrounds",0,0,7262,6097,467,666,6523,134,605
"Deniliquin",0,0,7038,5879,407,739,6160,219,654
"Deniliquin Surrounds",0,0,6837,5753,340,717,6083,151,579
"Moama",0,0,6930,5885,551,495,6296,188,425
"Tocumwal - Finley - Jerilderie",0,0,9778,8028,760,981,8519,309,958
"Armidale",0,0,23967,17727,3900,2297,18828,2787,2341
