sa2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Roselands,614,147,1930,1164,1459,3814,4,1032,614,894,2905
Lakemba,1399,139,2409,961,807,3609,13,1124,779,1631,4230
Wiley Park,785,91,1368,665,561,2381,0,640,411,845,2380
Campsie - North,714,137,1750,1065,703,3486,3,978,605,1010,1439
Campsie - South,568,97,1311,757,489,2419,0,739,463,1084,1135
Canterbury - South,821,172,2138,991,1008,2799,0,810,517,1029,1939
Earlwood,1094,322,2952,1402,1689,4155,6,1572,802,993,2986
Kingsgrove - North,257,65,829,534,616,1562,0,552,290,325,1232
Narwee - Beverly Hills,763,221,2306,1139,1196,3549,14,920,596,863,2224
Oatley - Hurstville Grove,1085,280,2715,1080,1121,2724,3,535,412,459,2180
Peakhurst - Lugarno,1006,347,3198,1757,2363,4933,0,1084,742,1213,3575
Riverwood,631,134,1719,867,866,3206,10,932,512,982,1747
South Hurstville - Blakehurst,2154,343,5079,2388,1866,5972,0,1255,897,1439,3867
Hurstville - Central,1591,165,2640,1215,525,2655,5,496,403,757,1587
Hurstville - North,917,146,2201,940,830,3248,0,809,519,776,1733
Mortdale - Oatley,1168,320,2946,1243,1388,3147,6,682,469,689,2656
Penshurst,806,143,1768,842,844,2209,7,507,317,700,1394
Kingsgrove (South) - Bardwell Park,745,197,2349,1090,1160,3134,0,979,540,595,2181
Kogarah,1334,185,2846,1204,907,2530,3,496,423,1099,2034
Kogarah Bay - Carlton - Allawah,1236,280,3117,1488,1432,3655,6,901,590,966,2535
Monterey - Brighton-le-Sands - Kyeemagh,746,199,2172,1283,1502,3412,7,935,589,1034,2016
Rockdale - Banksia,1689,244,3914,1834,1497,4641,7,1012,757,1452,2804
Sans Souci - Ramsgate,798,227,2540,1500,1904,4061,11,1042,706,1206,2674
Arncliffe - Bardwell Valley,1255,225,3119,1307,1296,3747,4,844,678,1415,2686
Bexley - North,445,123,1401,813,961,2643,0,684,407,707,1961
Bexley - South,1287,221,2838,1361,1247,3759,3,960,606,1032,2518
Wolli Creek,1858,209,3451,959,574,1662,0,120,244,792,857
Concord - Mortlake - Cabarita,1966,545,4712,2203,2116,4804,7,1156,854,1054,3694
Drummoyne - Rodd Point,1766,519,4384,1550,1415,3339,8,815,590,912,3076
Five Dock - Abbotsford,1854,460,4325,1890,1884,3988,7,1124,733,1141,3534
Concord West - North Strathfield,1272,287,2848,1027,979,2536,0,567,378,727,2232
Rhodes,2387,233,3616,875,390,1574,0,127,250,606,1393
Balmain,2371,567,4432,1133,789,2276,3,380,344,665,2633
Lilyfield - Rozelle,1722,463,3560,1101,869,2183,3,453,310,664,2487
Annandale (NSW),1357,294,2712,676,530,1402,0,203,189,576,1516
Leichhardt,2041,581,4362,1383,1164,2815,0,618,397,789,3370
Canterbury (North) - Ashbury,1127,309,2615,1023,964,2434,0,695,461,549,1822
Croydon Park - Enfield,1236,318,3086,1439,1564,4012,0,1127,677,1070,2896
Dulwich Hill - Lewisham,2002,639,4576,1460,1239,3056,0,832,541,1078,2525
Haberfield - Summer Hill,1561,403,3355,1045,967,2393,3,752,384,625,2032
Homebush,3053,325,5297,1769,1029,3697,7,498,539,1446,3173
Strathfield South,321,61,744,262,313,838,0,156,117,160,669
Ashfield - North,1440,291,2937,1107,781,2070,4,439,352,654,1376
Ashfield - South,1339,299,2936,1011,793,2485,5,628,436,889,1427
Burwood (NSW),1963,237,3680,1540,695,3726,5,705,573,1332,1478
Croydon,1069,215,2363,854,735,2427,4,727,435,572,1596
Strathfield - East,1948,286,4274,2009,717,3606,0,477,499,1191,1414
Strathfield - West,946,205,2385,644,460,2019,3,355,343,457,1439
Chatswood (West) - Lane Cove North,3088,589,5833,1669,1086,3224,3,481,575,947,3802
St Leonards - Naremburn,1950,364,3895,893,523,1436,6,229,238,553,1831
Artarmon,1427,286,2544,673,393,1357,0,235,214,416,1852
Castle Cove - Northbridge,1721,394,3621,964,444,2378,0,453,337,463,2659
Chatswood - East,2784,391,5304,1508,700,3457,7,636,548,954,3306
Greenwich - Riverview,2036,389,3854,857,434,2022,0,303,273,464,2298
Lane Cove,2102,498,4361,1206,855,2339,4,370,396,614,3137
Willoughby,1364,357,3204,964,672,2250,0,524,350,498,2820
Asquith - Mount Colah,1962,572,4553,2006,2249,4172,4,696,691,612,4555
Berowra - Brooklyn - Cowan,812,299,2139,1054,1573,2348,4,445,400,289,2420
Normanhurst - Thornleigh - Westleigh,2171,575,4310,1576,1307,3516,3,620,552,657,3870
Hornsby - East,1502,234,3047,1076,786,2106,3,385,326,591,1891
Hornsby - West,1213,297,2232,879,886,1895,4,394,331,413,2092
Wahroonga (West) - Waitara,1713,303,2974,900,587,1811,0,303,275,619,2390
Gordon - Killara,3454,572,6184,1646,703,3946,3,580,580,799,3974
Lindfield - Roseville,3666,741,6666,1693,798,4006,3,706,560,750,4999
Pymble,2538,585,4598,1126,551,2919,0,484,397,491,3531
St Ives,2863,540,5291,1785,922,3884,0,613,583,633,4555
Turramurra,2611,608,5143,1669,907,3648,3,605,536,785,3747
Wahroonga (East) - Warrawee,2441,520,4737,1407,746,3344,3,509,459,633,3406
Cremorne - Cammeray,2628,661,5714,1636,855,2816,6,339,444,776,3036
Crows Nest - Waverton,2909,718,6031,1414,837,2314,0,248,392,695,2366
Neutral Bay - Kirribilli,2586,585,5506,1541,802,2547,3,246,450,1070,1850
North Sydney - Lavender Bay,2380,411,4122,946,507,1567,0,167,294,847,1196
Mosman - North,1778,406,3991,1196,567,2346,5,309,368,706,2105
Mosman - South,2045,425,4297,1124,532,2392,0,300,344,597,2508
Balgowlah - Clontarf - Seaforth,2005,537,5303,1681,1144,3676,6,639,536,733,4481
Manly - Fairlight,2904,611,6938,1829,1218,3507,4,418,588,1175,3242
Avalon - Palm Beach,924,301,2691,1365,1325,2766,0,334,450,637,2257
Bayview - Elanora Heights,683,259,2168,1155,1200,2466,0,403,372,638,1897
Newport - Bilgola,938,350,2875,1516,1518,2802,4,336,431,574,2334
Mona Vale - Warriewood (North),740,254,2521,1478,1780,3168,6,540,527,1017,2619
North Narrabeen - Warriewood (South),589,214,1814,1081,1442,2200,3,360,316,519,2336
Beacon Hill - Narraweena,721,237,2382,1294,1727,3325,11,744,533,701,2875
Cromer,339,148,1236,784,1018,1819,4,373,281,410,1638
Forestville - Killarney Heights,1138,317,2745,1089,917,2659,6,547,401,548,2803
Freshwater - Brookvale,1819,545,5367,1924,2052,3971,4,672,597,947,3922
Manly Vale - Allambie Heights,1268,465,3636,1586,1593,3337,9,569,476,788,3832
Terrey Hills - Duffys Forest,207,92,665,369,492,833,0,144,155,152,670
