sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Braidwood,0,0,3789,16,13,7,7,0,22,6,14,10,0,0,0,0,0,0,4,5,4,0,0,17,0,0,0,0,10,0,0,0,0,0,3,19,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,13,372
Karabar,0,0,6750,24,3,3,4,0,10,23,27,113,5,0,0,0,11,17,380,27,3,0,12,21,0,4,0,27,192,4,0,0,0,39,18,83,0,0,61,6,4,0,0,0,0,0,0,0,0,0,0,17,0,0,19,63,4,0,0,5,15,537
Queanbeyan,0,0,8097,32,11,0,10,0,23,80,61,136,3,0,0,7,9,24,361,13,5,0,21,54,5,0,0,84,1064,14,0,9,0,29,18,238,0,0,77,12,27,0,4,0,0,0,0,0,0,0,0,12,0,0,41,61,0,3,0,6,31,630
Queanbeyan - East,0,7,3788,12,5,3,3,0,9,13,61,32,0,0,0,0,5,12,158,13,0,0,8,28,7,0,5,53,395,3,0,0,0,7,13,77,0,0,35,7,12,0,0,0,0,0,0,0,0,0,0,6,0,0,21,27,0,0,0,0,4,260
Queanbeyan West - Jerrabomberra,0,0,10701,36,43,5,8,0,31,43,90,124,16,0,0,4,13,39,344,25,9,0,20,22,27,0,0,62,260,0,0,0,0,11,25,102,0,0,112,13,10,0,5,3,0,0,0,0,0,0,0,14,0,0,14,42,0,0,0,4,20,441
Googong,0,0,4879,4,36,5,5,0,23,11,36,33,0,0,0,0,4,12,160,8,0,0,16,35,7,0,0,154,337,0,0,5,0,19,8,82,0,0,47,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,16,214
Queanbeyan Surrounds,0,3,14835,50,40,12,24,0,60,33,67,128,3,0,0,8,3,14,97,33,0,0,0,9,0,0,0,3,36,4,0,0,0,13,14,33,0,0,49,14,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,4,0,7,9,902
Bombala,0,0,2162,9,0,0,0,0,0,0,3,0,0,0,0,0,0,15,5,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Cooma,0,3,5588,44,17,4,6,0,4,27,38,57,0,0,0,6,11,9,10,18,8,0,8,26,0,0,3,30,120,0,0,0,0,13,29,46,0,0,47,4,7,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,3,0,0,3,5,559
Cooma Surrounds,0,0,3026,23,11,0,4,0,7,0,13,15,5,0,0,0,0,5,8,12,0,0,0,13,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,302
Jindabyne - Berridale,0,3,6989,62,23,4,10,0,27,7,57,24,0,0,0,3,0,10,17,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,32,9,0,0,126,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,565
Batemans Bay,0,3,7555,15,19,5,4,0,15,42,32,37,3,0,0,3,0,3,30,17,0,0,0,6,4,0,0,4,60,0,0,0,0,11,13,26,0,0,35,6,5,0,0,0,0,0,0,0,0,0,0,37,0,0,5,5,0,0,0,4,10,579
Batemans Bay - South,0,0,7808,17,15,3,13,0,11,19,37,40,3,0,0,0,3,15,60,20,0,0,0,0,0,0,0,36,40,0,0,0,0,19,15,34,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,6,0,0,7,660
Bega - Tathra,0,0,7898,40,11,4,0,0,22,4,31,13,0,0,0,0,4,0,10,0,0,0,5,0,4,0,0,32,42,0,0,0,0,12,23,18,0,0,18,3,0,0,4,0,0,0,0,0,0,0,0,7,0,0,13,6,0,0,0,3,3,621
Bega-Eden Hinterland,0,0,8673,39,10,6,4,0,11,5,9,6,0,0,0,0,4,3,7,3,0,0,0,6,0,0,0,3,10,0,0,0,0,4,8,8,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,5,11,683
Broulee - Tomakin,0,0,3485,21,6,0,6,0,10,5,0,4,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,14,0,0,0,0,3,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,3,204
Deua - Wadbilliga,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Eden,0,0,2998,10,9,0,0,0,7,6,8,6,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,5,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,315
Eurobodalla Hinterland,0,0,3072,14,8,0,4,0,3,5,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,365
Merimbula - Tura Beach,0,0,10475,34,39,18,8,0,19,15,31,25,6,0,0,0,13,0,4,16,0,0,6,10,0,0,0,8,41,3,0,0,0,6,35,45,0,0,38,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,603
Moruya - Tuross Head,0,0,7665,24,9,0,0,0,9,9,19,14,0,0,0,3,6,3,23,7,0,0,0,8,0,0,0,23,11,0,0,0,0,20,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,705
Narooma - Bermagui,0,0,8780,49,18,9,0,0,14,8,18,31,4,0,0,0,8,12,19,13,0,0,0,3,3,0,0,13,42,0,0,0,0,15,3,25,0,0,20,3,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,8,0,0,0,0,5,722
Goulburn,0,5,21034,26,21,8,13,0,32,80,71,25,0,7,0,0,4,22,29,17,4,0,31,64,13,0,5,110,392,0,0,10,0,52,40,160,0,0,194,8,52,0,0,0,0,0,0,0,0,0,0,11,0,0,62,58,7,0,0,7,32,1879
Goulburn Surrounds,0,0,12212,32,29,9,0,0,6,55,47,41,18,0,0,0,6,12,28,9,3,0,0,54,4,0,0,6,39,0,0,3,0,4,8,12,0,0,30,5,4,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,3,10,1135
Yass,0,0,6149,12,10,3,0,0,10,3,14,9,0,0,0,0,0,5,12,8,0,0,0,15,0,4,0,12,58,0,0,0,0,21,6,24,0,0,14,0,4,0,6,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,0,4,6,332
Yass Surrounds,0,8,11529,43,27,7,10,0,21,26,36,39,0,0,0,0,7,8,40,21,0,0,6,26,7,0,0,14,23,0,0,0,0,12,14,15,0,0,41,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,3,11,698
Young,0,0,9544,14,10,4,0,0,5,4,15,16,7,0,0,0,0,3,20,9,0,0,17,291,8,0,0,15,88,0,0,0,0,13,8,74,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,17,0,0,0,0,10,691
Young Surrounds,0,0,6787,6,17,0,0,0,5,3,14,12,0,0,0,0,0,0,23,7,0,0,0,36,0,0,0,4,6,0,0,8,0,0,3,27,0,0,20,5,3,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,11,4,665
Avoca Beach - Copacabana,0,0,6894,45,23,13,0,0,34,6,60,37,0,0,0,4,6,8,4,11,0,0,0,15,5,0,0,0,6,0,0,0,0,0,11,9,0,0,17,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,251
Box Head - MacMasters Beach,0,0,10127,50,21,22,3,0,40,18,66,38,7,0,0,0,0,21,3,29,3,0,3,10,11,0,0,0,8,0,0,0,0,15,7,28,0,0,56,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,8,9,411
Calga - Kulnura,0,0,3908,3,5,3,3,0,3,60,19,50,42,0,0,0,0,6,15,6,3,0,4,21,3,0,0,6,18,0,0,0,0,0,6,16,0,0,70,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,3,0,0,5,6,396
Erina - Green Point,0,10,12628,46,67,15,3,0,43,39,128,33,13,0,0,8,13,36,48,35,4,0,4,65,12,0,0,23,98,0,0,3,0,52,32,73,0,0,215,29,41,0,0,0,0,0,6,0,0,0,0,4,0,0,0,12,0,4,0,9,19,902
Gosford - Springfield,0,7,16526,58,51,19,5,0,60,51,225,56,11,0,0,3,20,102,41,57,3,0,60,101,17,8,0,213,721,0,0,17,0,53,98,395,0,0,513,70,228,22,6,0,0,0,0,0,0,0,0,8,0,0,44,33,0,4,6,48,36,1201
Kariong,0,0,5575,14,12,9,0,0,15,16,78,26,0,0,0,0,3,20,8,25,7,0,18,32,6,3,0,33,82,0,0,0,0,9,21,60,0,0,86,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,4,0,0,15,210
Kincumber - Picketts Valley,0,0,6898,19,55,6,0,0,19,7,52,9,6,0,0,0,9,20,18,21,0,0,6,16,0,0,0,4,9,0,0,0,0,5,9,37,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,8,3,356
Narara,0,5,6160,21,22,0,8,0,20,25,68,11,4,0,0,0,0,30,12,14,0,0,10,12,4,4,0,96,83,0,0,0,0,20,28,78,0,0,108,19,31,14,8,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,19,10,186
Niagara Park - Lisarow,0,0,7421,28,26,6,11,0,16,6,46,7,3,0,0,0,3,29,12,14,0,0,10,20,0,0,0,44,32,0,0,3,0,9,16,60,0,0,54,15,36,0,0,0,0,0,0,0,0,0,0,6,0,0,31,9,0,0,0,13,13,204
Point Clare - Koolewong,0,0,5624,47,38,18,5,0,18,21,62,16,0,0,0,0,12,21,6,11,0,0,5,22,0,6,0,13,31,4,0,0,0,41,15,45,0,0,134,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,11,8,249
Saratoga - Davistown,0,0,6672,18,21,6,0,0,8,14,35,18,4,0,0,0,0,10,6,7,0,0,0,0,0,0,4,0,6,0,0,0,0,0,4,15,0,0,19,9,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,8,257
Terrigal - North Avoca,0,0,13120,32,92,37,5,0,40,48,128,62,6,0,0,6,11,25,49,33,0,0,6,31,17,0,0,28,91,0,0,3,0,27,23,32,0,0,126,31,31,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,15,13,663
Umina - Booker Bay - Patonga,0,5,21615,68,58,39,11,0,60,77,212,124,19,0,0,11,10,109,45,68,0,0,10,36,25,0,0,20,51,0,0,0,0,24,95,115,0,0,139,36,43,0,0,0,0,0,0,0,0,0,0,20,0,0,10,42,9,0,0,23,39,1431
Wamberal - Forresters Beach,0,0,9770,43,47,22,0,0,19,33,69,32,7,0,0,0,0,13,20,11,0,0,7,28,3,0,0,10,38,0,0,0,0,8,16,16,0,0,46,10,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,11,380
Woy Woy - Blackwall,0,3,12254,48,35,20,0,0,35,24,166,28,6,0,0,0,15,41,28,31,3,0,5,31,5,0,0,21,92,0,0,7,0,33,55,111,0,0,263,36,22,3,0,0,0,0,0,0,0,0,0,17,0,0,4,37,0,5,0,14,18,830
Wyoming,0,5,9726,23,26,3,0,0,29,7,67,23,5,0,0,0,3,52,19,34,3,0,22,12,3,0,0,90,137,0,0,3,0,25,42,123,0,0,118,25,96,27,0,0,0,0,0,0,0,0,0,5,0,0,9,38,0,0,0,5,8,602
Bateau Bay - Killarney Vale,0,5,20537,35,34,18,0,0,29,40,128,63,15,0,0,0,10,19,16,30,0,0,3,32,4,5,0,19,44,0,0,4,0,8,25,63,0,0,100,18,14,0,3,0,0,0,0,0,0,0,0,12,0,0,10,39,4,0,0,11,12,1424
Blue Haven - San Remo,0,0,10273,15,9,4,0,0,0,14,69,41,16,0,0,0,6,7,26,3,0,0,0,27,6,0,0,6,37,0,0,0,0,10,16,73,0,0,33,11,5,0,0,0,0,0,0,0,0,0,0,9,0,0,15,37,0,0,0,8,7,510
Budgewoi - Buff Point - Halekulani,0,0,8889,7,5,4,0,0,3,14,27,15,13,0,0,0,6,8,8,9,0,0,3,7,0,0,0,0,3,0,0,0,0,9,18,26,0,0,23,0,5,0,3,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,9,11,572
Chittaway Bay - Tumbi Umbi,0,0,14764,28,30,7,0,0,33,19,97,43,11,3,0,0,9,6,34,8,0,0,0,19,0,0,0,21,57,0,0,0,0,8,21,60,0,0,58,13,4,0,0,0,0,0,0,0,0,0,0,4,0,0,5,28,0,0,0,20,18,556
Gorokan - Kanwal - Charmhaven,0,4,19491,31,31,5,3,0,17,42,92,47,37,0,0,3,16,23,47,33,4,0,0,55,5,3,3,51,91,0,0,0,0,29,71,123,0,0,107,15,37,4,7,0,0,0,0,0,0,0,0,21,0,0,9,107,0,3,3,23,34,1630
Jilliby - Yarramalong,0,3,3167,14,11,5,0,0,7,0,10,0,5,0,0,0,0,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,145
Lake Munmorah - Mannering Park,0,0,10098,11,14,4,0,0,9,12,37,22,11,0,0,8,3,3,5,3,0,0,3,22,5,0,0,0,3,0,0,0,0,5,15,34,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,6,13,0,0,0,0,3,578
Ourimbah - Fountaindale,0,0,4370,25,9,0,0,0,15,9,39,17,3,0,0,3,0,13,0,9,5,0,5,17,0,0,0,6,26,0,0,0,0,16,6,29,0,0,67,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,13,9,192
Summerland Point - Gwandalan,0,0,5944,19,12,0,0,0,10,23,42,13,20,0,0,0,6,7,17,3,0,0,0,9,4,0,0,0,4,0,0,0,0,3,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,5,5,304
The Entrance,0,3,13609,35,18,11,3,0,23,53,155,68,35,0,0,3,0,24,54,24,0,0,0,71,13,0,0,19,193,0,0,0,0,30,26,103,0,0,86,8,16,4,7,0,0,0,0,0,0,0,0,4,0,0,11,27,0,0,0,20,13,1068
Toukley - Norah Head,0,0,8913,15,13,10,0,0,8,18,35,28,17,4,0,0,0,4,9,15,0,0,6,15,4,0,0,7,30,0,0,0,0,25,11,37,0,0,23,5,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,12,619
Tuggerah - Kangy Angy,0,0,4432,12,21,0,3,0,7,13,53,12,3,0,0,0,0,17,15,0,0,0,10,23,4,0,3,21,93,0,0,4,0,18,26,62,0,0,92,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,8,5,211
Warnervale - Wadalba,0,0,17032,16,64,11,0,0,20,43,145,61,43,0,0,0,9,61,34,43,0,0,18,49,15,3,3,392,239,0,0,0,0,54,54,211,0,0,148,19,73,5,5,0,0,0,0,0,0,0,0,7,0,0,78,82,0,0,0,13,46,949
Wyong,0,0,7575,5,33,0,0,0,14,12,77,16,8,0,0,4,9,18,12,0,0,0,10,17,5,0,0,38,135,4,0,0,0,27,27,118,0,0,158,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,0,0,0,8,9,665
Bathurst - East,0,3,11147,15,25,4,0,0,5,10,18,11,0,0,0,0,0,0,17,3,0,0,25,59,0,0,3,31,170,0,0,0,0,21,16,50,0,0,57,14,11,0,0,0,0,0,0,0,0,0,0,19,0,0,6,13,0,0,0,13,15,556
Bathurst Surrounds,0,0,6181,13,11,0,0,0,4,3,9,3,9,0,0,0,6,12,7,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,5,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,608
Oberon,0,0,3940,10,18,0,0,0,8,9,12,13,6,0,0,0,4,10,38,0,0,0,4,9,0,0,0,29,29,0,0,0,0,16,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,644
Bathurst - South,0,0,8513,8,7,3,0,0,11,12,34,18,5,0,0,0,4,4,8,3,6,0,20,35,0,3,0,65,363,0,0,0,0,39,32,98,0,0,54,15,14,0,0,0,0,0,0,0,0,0,0,16,0,0,14,22,0,0,0,12,15,1300
Bathurst - West,0,0,13002,28,45,3,0,0,18,4,38,11,3,0,0,5,4,0,25,3,0,0,17,30,0,0,0,46,131,0,0,0,0,27,18,48,0,0,70,11,9,0,3,0,0,0,0,0,0,0,0,21,0,0,14,19,4,0,0,28,8,612
Condobolin,0,0,5383,7,5,0,4,0,0,4,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,18,54,0,0,0,0,4,3,41,0,0,23,4,0,0,6,0,0,0,0,0,0,0,0,26,0,0,4,5,0,0,0,0,0,766
Cowra,0,0,8245,8,16,0,0,0,3,23,6,8,0,0,0,0,9,0,0,3,6,0,0,14,0,0,0,24,47,0,0,0,0,15,7,22,0,0,29,3,3,6,0,0,0,0,0,0,0,0,0,30,0,0,40,17,0,5,0,9,28,629
Cowra Surrounds,0,0,4982,9,8,0,0,0,0,3,10,9,7,0,0,0,0,0,3,3,0,0,0,6,0,0,0,8,14,0,0,0,0,0,3,18,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,589
Forbes,0,0,8907,12,3,0,0,0,4,4,7,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,21,47,3,0,0,0,7,3,20,0,0,27,3,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,3,897
Grenfell,0,0,3287,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,7,6,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,255
Parkes (NSW),0,6,9779,6,32,0,0,0,3,4,14,15,0,0,0,0,0,6,5,3,0,0,8,5,5,3,0,14,68,0,0,0,0,14,8,67,0,0,49,4,7,0,0,0,0,0,0,0,0,0,0,34,0,0,6,15,0,0,0,6,9,709
Parkes Surrounds,0,0,2875,7,15,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,322
West Wyalong,0,0,4873,5,7,4,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,3,22,0,0,0,0,5,0,30,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,9,502
Lithgow,0,0,10707,25,12,0,0,0,9,23,24,37,0,0,0,5,3,0,20,27,0,0,7,24,5,0,0,29,88,0,0,0,0,30,33,64,0,0,68,0,4,3,8,0,0,0,0,0,0,0,0,18,0,0,5,15,0,0,0,4,19,1073
Lithgow Surrounds,0,0,7484,18,5,10,0,0,5,9,26,12,4,0,0,0,6,0,26,19,0,0,0,14,0,0,0,10,17,0,0,0,0,3,19,15,0,0,31,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,6,0,3,0,5,3,672
Mudgee,0,7,11305,17,22,3,0,0,12,16,36,17,7,0,0,0,3,4,10,14,0,0,0,11,0,0,0,13,122,0,0,0,0,19,23,56,0,0,35,6,9,0,0,0,0,0,0,0,0,0,0,15,0,0,4,10,0,0,0,4,26,721
Mudgee Surrounds - East,0,0,2952,10,0,0,0,0,0,3,3,9,5,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,6,0,0,0,0,6,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,349
Mudgee Surrounds - West,0,0,9822,11,20,8,5,0,14,9,29,24,16,0,0,0,0,0,10,4,0,0,0,8,0,0,0,8,9,0,0,0,0,7,3,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,4,7,993
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,0,6927,11,10,0,0,0,4,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,11,0,0,0,0,3,7,5,0,0,15,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,468
Orange,0,3,16592,32,26,15,5,0,21,25,45,48,0,0,0,0,3,33,28,16,0,0,15,34,0,0,0,81,285,0,0,0,0,25,44,142,0,0,89,8,30,0,5,0,0,0,0,0,0,0,0,10,0,0,49,29,0,0,0,10,16,1260
Orange - North,0,0,19929,31,82,0,0,0,9,35,55,55,0,0,0,4,16,41,36,23,3,0,24,55,21,0,0,311,396,0,0,11,0,40,44,140,0,0,176,15,45,0,7,0,0,0,0,0,0,0,0,14,0,0,101,46,0,3,0,20,49,1045
Orange Surrounds,0,0,10854,19,28,0,0,0,16,4,3,15,0,0,0,0,0,9,6,5,0,0,8,13,0,0,0,6,13,0,0,0,0,4,5,13,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,9,13,741
Grafton,0,0,17425,29,21,0,0,0,5,3,22,9,0,0,0,0,0,10,5,6,0,0,5,9,0,0,0,32,112,0,0,0,0,22,13,62,0,0,58,5,0,0,8,0,0,0,0,0,0,0,0,83,0,0,13,14,0,0,0,7,24,1243
Grafton Surrounds,0,3,14271,29,34,5,4,0,10,10,17,11,3,0,0,0,0,8,0,3,0,0,0,4,4,0,0,0,58,0,0,0,0,11,13,27,0,0,26,7,0,0,4,0,0,0,5,0,0,0,0,24,0,0,4,14,0,0,0,12,9,2255
Maclean - Yamba - Iluka,0,6,15957,46,38,10,0,0,26,3,49,29,0,0,0,0,0,9,0,11,0,0,0,9,7,0,0,8,31,0,0,0,0,5,31,67,0,0,49,16,0,0,12,0,0,0,0,0,0,0,0,34,0,0,0,11,0,0,0,13,14,1035
Bellingen,0,0,5366,68,30,10,0,0,18,6,37,20,0,0,0,0,7,0,0,8,4,0,0,12,0,0,0,0,19,0,0,0,0,0,7,21,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,12,511
Coffs Harbour - North,0,0,14915,51,46,16,8,0,46,18,72,43,0,0,0,0,7,13,8,13,0,0,179,67,6,0,4,7,341,0,0,350,0,28,35,100,0,0,103,31,7,0,9,7,0,3,0,0,0,0,0,60,0,0,168,20,0,0,0,33,55,1202
Coffs Harbour - South,0,4,8881,32,24,12,3,0,24,11,38,40,0,0,0,3,4,8,15,6,3,0,240,75,0,0,0,49,136,0,0,259,0,20,11,63,0,0,67,31,6,0,0,0,0,0,0,0,0,0,0,16,0,0,104,3,65,0,0,20,38,990
Coramba - Nana Glen - Bucca,0,0,3490,46,18,0,5,0,4,0,11,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,10,7,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,283
Dorrigo,0,0,2846,15,5,4,0,0,0,0,7,4,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,304
Korora - Emerald Beach,0,5,9308,39,40,4,0,0,26,15,57,21,3,0,0,0,3,13,10,18,0,0,0,22,0,0,0,6,84,0,0,7,0,5,11,58,0,0,67,22,3,0,0,0,0,0,0,0,0,0,0,22,0,0,10,3,0,0,0,4,12,351
Sawtell - Boambee,0,4,18140,64,39,3,3,0,30,3,63,27,7,0,0,0,13,8,4,8,8,0,4,21,4,0,0,25,144,0,0,27,0,23,32,73,0,0,67,30,6,0,10,0,0,0,0,0,0,0,0,41,0,0,28,7,0,0,0,18,22,1032
Urunga,0,0,4453,14,8,6,5,0,9,3,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,12,9,3,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,328
Woolgoolga - Arrawarra,0,0,11552,43,15,11,0,0,24,6,36,16,3,0,0,0,0,3,0,12,0,0,33,10,7,0,0,4,1344,0,0,4,0,14,19,109,0,0,173,34,28,0,3,0,0,0,3,0,5,0,0,17,0,0,13,97,0,0,0,6,21,782
Bourke - Brewarrina,0,0,2723,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,0,0,0,0,0,0,8,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,4,560
Cobar,0,0,3339,3,18,0,0,0,0,6,11,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,35,0,0,4,0,10,8,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,6,0,0,6,608
Coonamble,0,0,3309,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,10,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,537
Nyngan - Warren,0,0,4001,10,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,35,0,0,0,0,5,4,24,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,6,432
Walgett - Lightning Ridge,0,0,3819,20,5,8,0,0,4,4,3,3,0,0,0,0,0,0,52,7,0,0,0,0,0,0,0,18,34,0,0,0,0,0,8,29,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,4,0,0,0,0,0,1432
Broken Hill,0,0,15480,17,16,0,0,0,6,16,7,52,8,0,0,0,0,4,14,0,0,0,3,29,0,0,0,53,48,0,0,3,0,12,6,156,0,0,28,9,0,0,6,0,0,0,0,0,0,0,0,42,0,0,12,13,0,4,0,10,11,1513
