sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
South Wentworthville,0,0,2719,10,3,0,0,0,14,33,95,71,63,0,0,9,4,17,49,19,12,0,325,1546,124,3,4,261,573,0,0,17,0,81,20,144,0,0,309,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,66,68,0,0,0,0,25,584
North Parramatta,0,4,9110,28,26,11,0,0,54,196,298,77,7,0,0,0,16,123,219,90,26,0,768,1175,135,49,31,1296,3245,12,0,33,0,190,86,665,0,0,2357,55,464,25,3,0,0,0,0,0,0,0,0,6,0,0,160,102,0,0,0,16,94,1609
North Rocks,0,0,4734,22,8,0,3,0,13,69,48,55,0,0,0,4,16,28,35,25,11,0,161,184,37,15,0,106,367,0,0,0,0,67,26,80,0,0,1615,10,409,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,9,18,236
Northmead,0,0,8862,18,23,0,5,0,21,106,234,94,13,0,0,0,6,55,118,81,9,0,489,512,86,38,18,1603,4021,5,0,23,0,104,46,476,0,0,1258,34,446,5,0,0,0,0,0,0,0,0,0,0,0,0,117,81,0,4,0,15,104,1116
Toongabbie - Constitution Hill,0,4,11233,27,23,4,5,0,22,160,178,133,82,5,0,3,14,37,147,74,11,0,283,902,104,41,19,2334,2998,3,0,94,0,107,76,508,0,0,1219,23,365,0,0,0,0,0,0,0,0,0,0,16,0,0,90,186,0,0,0,26,68,1246
Winston Hills,0,0,7797,16,15,9,0,0,19,121,120,100,28,3,0,0,11,55,97,20,3,0,177,437,47,17,4,141,468,4,0,12,0,45,19,132,0,0,804,21,208,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,11,19,181
Pendle Hill - Girraween,0,0,3571,9,5,3,0,0,21,89,83,61,179,0,0,0,9,7,56,17,12,0,187,482,91,0,20,3828,3194,0,0,14,0,49,29,211,0,0,427,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66,0,0,0,3,61,1017
Wentworthville - Westmead,0,5,4681,19,4,0,0,0,24,138,123,79,38,0,0,3,4,30,89,22,11,0,387,853,129,21,27,5083,5809,0,0,27,0,131,42,384,0,0,1221,15,151,3,0,0,0,0,0,0,0,0,0,6,0,0,144,95,0,4,0,5,89,1672
Parramatta - North,0,0,2381,4,4,3,0,0,16,21,130,30,0,0,0,3,0,27,48,11,8,0,177,236,41,0,21,1914,3770,8,0,14,0,132,50,328,0,0,1551,28,119,25,5,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,3,66,831
Parramatta - South,0,0,2071,4,3,0,0,0,12,57,94,18,8,0,0,0,10,16,67,16,4,0,205,463,99,7,13,975,3226,0,0,21,0,89,34,245,0,0,1197,12,94,0,0,0,0,0,0,0,0,0,0,0,0,0,85,47,0,0,0,6,34,635
