"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"Terranora - North Tumbulgum",383,450,101,3,274,1210,
"Tweed Heads South",1061,579,491,49,2107,4284,
"Griffith (NSW)",1997,2336,852,84,3044,8325,
"Griffith Surrounds",1316,1411,418,48,2023,5214,
"Leeton",1060,1020,454,38,1621,4194,
"Narrandera",651,517,282,27,1097,2571,
"Tumbarumba",483,300,136,12,608,1540,
"Tumut",754,645,344,23,1210,2972,
"Tumut Surrounds",615,504,149,12,787,2061,
"Cootamundra",1117,651,324,23,1410,3526,
"Gundagai",405,371,122,12,689,1600,
"Junee",645,550,245,22,916,2381,
"Temora",856,620,258,28,1175,2942,
"Wagga Wagga - East",1856,1950,776,61,2315,6950,
"Wagga Wagga - North",465,648,155,22,709,1996,
"Wagga Wagga - South",2169,2516,1154,84,3324,9244,
"Wagga Wagga - West",1167,882,624,71,2950,5690,
"Wagga Wagga Surrounds",1929,2083,557,34,2169,6773,
"Berry - Kangaroo Valley",1637,846,283,30,1684,4486,
"Callala Bay - Currarong",597,314,158,14,634,1714,
"Culburra Beach",802,427,215,21,1020,2485,
"Ettrema - Sassafras - Budawang",14,9,0,0,10,29,
"Huskisson - Vincentia",781,434,165,7,906,2292,
"North Nowra - Bomaderry",1963,1612,800,63,2522,6966,
"Nowra",2083,2109,1209,105,3610,9110,
"St Georges Basin - Erowal Bay",2233,1261,813,51,2594,6951,
"Sussex Inlet - Berrara",798,325,165,11,1058,2360,
"Tomerong - Wandandian - Woollamia",522,444,90,5,432,1501,
"Ulladulla",2570,1468,787,46,3047,7930,
"Ulladulla Surrounds",992,497,183,18,1116,2808,
"Bowral",2165,1268,445,31,2194,6097,
"Hill Top - Colo Vale",663,875,267,16,630,2457,
"Mittagong",1325,1222,419,36,1663,4675,
"Moss Vale - Berrima",1277,1128,480,38,1668,4594,
"Robertson - Fitzroy Falls",564,406,121,15,587,1687,
"Southern Highlands",1151,714,229,16,1183,3285,
"Baulkham Hills - East",2072,3954,859,73,2053,9007,
"Baulkham Hills (West) - Bella Vista",2067,3607,573,42,1332,7622,
"Glenhaven",731,925,133,8,513,2301,
"West Pennant Hills",1267,2170,306,30,632,4400,
"Castle Hill - Central",678,1189,276,27,662,2839,
"Castle Hill - East",453,787,98,9,632,1984,
"Castle Hill - North",1219,1946,360,23,778,4320,
"Castle Hill - South",1025,1609,361,38,799,3829,
"Castle Hill - West",389,936,144,10,238,1720,
"Cherrybrook",1637,3332,491,23,988,6480,
"Kellyville - East",1255,3193,525,32,756,5758,
"Kellyville - West",944,1903,247,21,740,3856,
"Dural - Kenthurst - Wisemans Ferry",2200,3322,638,43,1697,7897,
"Galston - Laughtondale",599,726,150,14,559,2043,
"Bilpin - Colo - St Albans",358,318,70,13,477,1239,
"Kurrajong Heights - Ebenezer",2390,3210,702,45,1798,8135,
"Pitt Town - McGraths Hill",1040,1687,390,26,1005,4140,
"Box Hill - Nelson",769,1872,269,20,446,3378,
"North Kellyville",1139,3112,464,21,896,5638,
"Rouse Hill - Beaumont Hills",1117,3215,505,35,763,5635,
"Blacktown (East) - Kings Park",1438,2124,662,126,2565,6908,
"Blacktown (North) - Marayong",1578,2704,1044,106,2293,7721,
"Doonside - Woodcroft",1532,3418,1149,127,2001,8228,
"Lalor Park - Kings Langley",2090,3453,1173,136,2915,9766,
"Blacktown - South",887,1760,600,76,1360,4685,
"Blacktown - West",1291,2230,719,101,1890,6229,
"Seven Hills - Prospect",1321,2091,579,73,1586,5645,
"Toongabbie - West",890,1700,453,61,1230,4336,
"Glenwood",971,2935,452,43,678,5080,
"Acacia Gardens",268,660,127,5,174,1236,
"Quakers Hill",1735,4092,899,87,1755,8559,
