sa2,Has had a stroke,Has not had a stroke,Not stated
Leeton,88,9191,1055
Narrandera,67,5059,774
Tumbarumba,38,2994,485
Tumut,107,5897,664
Tumut Surrounds,57,4144,547
Cootamundra,137,6858,711
Gundagai,51,3178,493
Junee,73,4941,1336
Temora,96,5975,535
Wagga Wagga - East,146,15592,1178
Wagga Wagga - North,46,5052,505
Wagga Wagga - South,233,20504,1786
Wagga Wagga - West,157,10623,1185
Wagga Wagga Surrounds,173,15843,1772
Berry - Kangaroo Valley,137,8620,732
Callala Bay - Currarong,70,3289,285
Culburra Beach,77,4663,357
Ettrema - Sassafras - Budawang,0,58,8
Huskisson - Vincentia,60,4397,390
North Nowra - Bomaderry,229,14543,1320
Nowra,302,19219,3063
St Georges Basin - Erowal Bay,287,13609,1368
Sussex Inlet - Berrara,102,4099,496
Tomerong - Wandandian - Woollamia,45,3292,371
Ulladulla,234,15417,1375
Ulladulla Surrounds,73,5217,530
Bowral,194,12440,999
Hill Top - Colo Vale,61,5916,420
Mittagong,139,10049,737
Moss Vale - Berrima,106,9592,954
Robertson - Fitzroy Falls,31,3470,338
Southern Highlands,68,6595,580
Baulkham Hills - East,186,23449,1092
Baulkham Hills (West) - Bella Vista,115,20585,987
Glenhaven,72,5962,334
West Pennant Hills,97,12065,528
Castle Hill - Central,41,7294,337
Castle Hill - East,88,5042,545
Castle Hill - North,81,11543,568
Castle Hill - South,77,9849,491
Castle Hill - West,26,4976,182
Cherrybrook,115,18205,768
Kellyville - East,98,16916,694
Kellyville - West,60,10760,561
Dural - Kenthurst - Wisemans Ferry,178,20882,1421
Galston - Laughtondale,48,4966,419
Bilpin - Colo - St Albans,26,2472,349
Kurrajong Heights - Ebenezer,142,20617,1404
Pitt Town - McGraths Hill,85,10437,896
Box Hill - Nelson,36,9753,492
North Kellyville,33,16399,969
Rouse Hill - Beaumont Hills,83,16803,692
Blacktown (East) - Kings Park,109,15432,1495
Blacktown (North) - Marayong,174,18773,1630
Doonside - Woodcroft,216,21410,1754
Lalor Park - Kings Langley,219,23218,1934
Blacktown - South,98,11563,984
Blacktown - West,140,15570,1431
Seven Hills - Prospect,136,13695,1030
Toongabbie - West,69,10719,790
Glenwood,65,15157,610
Acacia Gardens,20,3558,93
Quakers Hill,136,23115,1424
Kellyville Ridge - The Ponds,91,20059,911
Marsden Park - Shanes Park,53,14552,924
Riverstone,75,12648,1124
Schofields (West) - Colebee,35,9390,592
Schofields - East,70,23507,1549
Stanhope Gardens - Parklea,73,11141,1821
Bidwill - Hebersham - Emerton,200,15687,2646
Glendenning - Dean Park,55,7743,575
Hassall Grove - Plumpton,141,19614,1660
Lethbridge Park - Tregear,201,18564,2787
Mount Druitt - Whalan,212,20289,2413
Prospect Reservoir,0,5,4
Rooty Hill - Minchinbury,170,20709,1953
Banksmeadow,0,416,92
Botany,79,11917,972
Pagewood - Hillsdale - Daceyville,119,13490,1152
Port Botany Industrial,0,5,0
Sydney Airport,0,17,4
Eastlakes,67,8231,640
Mascot,83,19952,1540
Petersham - Stanmore,126,18342,1431
Sydenham - Tempe - St Peters,39,7732,501
Marrickville - North,81,11357,873
Marrickville - South,139,13163,973
Darlinghurst,59,9591,968
Erskineville - Alexandria,53,17864,1213
Glebe - Forest Lodge,106,18479,1673
Potts Point - Woolloomooloo,131,16014,2041
Surry Hills,83,14272,1471
Camperdown - Darlington,25,7720,584
Chippendale,7,7057,739
Newtown (NSW),79,13610,977
Pyrmont,51,11481,1120
Redfern,91,12303,1280
Rosebery - Beaconsfield,45,11373,870
Sydney (North) - Millers Point,32,7221,750
Sydney (South) - Haymarket,42,18171,1724
Ultimo,12,6770,630
Waterloo,104,14589,1691
Zetland,25,11832,763
Bondi - Tamarama - Bronte,105,17439,1508
Bondi Beach - North Bondi,69,18911,1728
Bondi Junction - Waverly,111,16159,1453
Centennial Park,0,0,0
Dover Heights,42,10386,698
Paddington - Moore Park,93,13707,1001
Rose Bay - Vaucluse - Watsons Bay,80,10971,877
Woollahra,67,6809,586
Bellevue Hill,81,13429,915
Double Bay - Darling Point,89,9127,744
Kensington (NSW),54,10897,862
Kingsford,82,12661,863
Maroubra - North,111,9056,623
Maroubra - South,115,10077,894
Maroubra - West,49,9292,507
Randwick - North,75,14874,1255
Randwick - South,83,11693,961
Coogee - Clovelly,83,18128,1311
Malabar - La Perouse,104,8777,1726
Matraville - Chifley,112,12225,1076
South Coogee,42,5071,500
Bass Hill - Georges Hall,213,20759,2890
Chullora,4,1337,124
Condell Park,96,11393,1284
Padstow,188,15852,1165
Revesby,132,16097,1435
Yagoona - Birrong,174,20056,2246
Bankstown - North,97,15293,1592
Bankstown - South,108,16283,2037
Greenacre - North,117,12999,1523
Greenacre - South,103,11925,1388
Panania (North) - Milperra,79,10591,667
Panania (South) - Picnic Point,139,14907,949
Belmore - Belfield,148,18197,1981
Punchbowl,159,19210,2177
Roselands,112,13323,1139
Lakemba,102,15243,1744
Wiley Park,63,9008,1065
Campsie - North,83,10892,929
Campsie - South,51,7864,1149
Canterbury - South,75,10952,1190
Earlwood,157,16617,1193
Kingsgrove - North,57,5801,391
Narwee - Beverly Hills,119,12775,899
Oatley - Hurstville Grove,96,11836,653
Peakhurst - Lugarno,224,18727,1274
Riverwood,120,10456,1032
