sa2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Lismore,559,1367,837,1101,685,654,353,992,53,43,8586
Lismore Surrounds,1286,1623,959,857,876,592,355,798,66,54,8310
Kingscliff - Fingal Head,1024,1663,834,830,790,553,216,577,71,50,8213
Murwillumbah,341,632,600,585,417,352,274,500,26,29,5739
Murwillumbah Surrounds,736,809,664,516,442,312,260,552,46,54,5962
Pottsville,767,1339,991,830,669,486,267,633,56,55,7991
Tweed Heads,861,1563,1399,1273,901,812,445,943,88,86,12201
Banora Point,732,1116,1060,1008,917,839,354,718,86,55,9424
Terranora - North Tumbulgum,233,358,256,199,196,145,73,128,20,9,1700
Tweed Heads South,261,408,463,497,333,320,161,447,16,28,5481
Griffith (NSW),1320,1451,1374,1007,1112,924,702,2155,132,140,10267
Griffith Surrounds,1739,607,754,505,724,378,616,974,61,73,6323
Leeton,613,615,682,519,510,333,405,861,61,36,5689
Narrandera,470,293,316,283,241,161,202,387,26,22,3497
Tumbarumba,364,163,179,187,123,69,173,250,11,17,1986
Tumut,278,417,445,380,270,255,288,486,21,21,3803
Tumut Surrounds,467,245,284,189,227,111,236,351,28,32,2576
Cootamundra,427,423,395,397,285,245,239,387,22,32,4846
Gundagai,351,177,189,148,158,118,121,346,14,22,2064
Junee,459,283,304,349,237,148,223,434,12,20,3874
Temora,617,411,370,350,292,216,210,369,16,36,3722
Wagga Wagga - East,1044,1700,1247,1098,1062,775,402,777,76,61,8688
Wagga Wagga - North,270,694,406,485,291,265,152,328,18,22,2666
Wagga Wagga - South,1077,2201,1571,1600,1300,1071,638,1137,110,85,11732
Wagga Wagga - West,597,1282,754,825,560,507,289,666,54,43,6392
Wagga Wagga Surrounds,1845,1453,1465,1225,848,615,562,793,65,109,8818
Berry - Kangaroo Valley,725,956,547,396,395,268,141,324,46,30,5657
Callala Bay - Currarong,190,295,228,190,151,130,67,167,8,4,2217
Culburra Beach,261,372,307,300,231,143,114,226,14,10,3131
Ettrema - Sassafras - Budawang,9,8,0,0,4,0,0,5,0,0,35
Huskisson - Vincentia,333,574,314,272,208,141,48,100,16,21,2813
North Nowra - Bomaderry,791,1360,1037,1040,734,684,386,739,63,56,9189
Nowra,874,1230,1462,1600,912,928,532,1046,72,68,13866
St Georges Basin - Erowal Bay,532,765,956,925,627,515,294,689,49,49,9866
Sussex Inlet - Berrara,164,204,288,221,184,114,89,168,12,7,3257
Tomerong - Wandandian - Woollamia,250,311,322,195,208,145,101,172,17,15,1977
Ulladulla,828,1151,1127,906,679,739,246,735,51,49,10521
Ulladulla Surrounds,311,391,402,255,259,178,117,262,15,22,3610
Bowral,1023,1589,613,523,621,478,166,329,44,36,8205
Hill Top - Colo Vale,350,433,682,398,386,337,341,349,40,25,3058
Mittagong,702,1101,843,648,533,446,245,531,39,35,5787
Moss Vale - Berrima,672,932,852,515,537,422,320,573,48,30,5753
Robertson - Fitzroy Falls,401,426,268,174,181,112,71,182,18,20,1983
Southern Highlands,636,688,531,325,377,202,188,291,38,28,3945
Baulkham Hills - East,1950,4138,1159,903,1764,838,383,551,96,79,12870
Baulkham Hills (West) - Bella Vista,2001,3884,892,710,1739,811,307,418,113,68,10748
Glenhaven,655,911,291,188,460,258,56,112,26,10,3402
West Pennant Hills,1316,2425,418,346,923,480,108,207,63,24,6378
Castle Hill - Central,662,1236,342,309,556,276,95,153,31,18,3992
Castle Hill - East,452,778,127,148,343,162,45,77,22,7,3516
Castle Hill - North,1219,1993,471,408,801,494,122,243,46,30,6363
Castle Hill - South,909,1816,438,346,719,436,114,227,42,38,5323
Castle Hill - West,562,948,175,172,432,228,73,97,20,27,2456
Cherrybrook,1706,3546,637,637,1394,665,192,314,93,53,9837
Kellyville - East,1658,2858,880,758,1361,810,263,443,86,72,8524
Kellyville - West,1157,2008,396,370,877,448,161,220,60,41,5638
Dural - Kenthurst - Wisemans Ferry,2339,2470,1656,765,1639,870,395,673,139,79,11453
Galston - Laughtondale,560,649,345,227,334,209,75,155,18,11,2840
Bilpin - Colo - St Albans,210,240,250,117,134,79,106,133,22,12,1542
Kurrajong Heights - Ebenezer,1812,1857,2285,1154,1732,823,874,989,103,86,10448
Pitt Town - McGraths Hill,970,816,1153,478,976,433,479,438,57,48,5563
Box Hill - Nelson,888,1670,598,505,865,369,262,236,54,39,4796
North Kellyville,1696,2896,870,660,1315,727,254,343,85,58,8506
Rouse Hill - Beaumont Hills,1785,2822,897,849,1391,875,305,474,73,47,8059
Blacktown (East) - Kings Park,665,1578,870,823,1026,587,1131,816,91,85,9359
Blacktown (North) - Marayong,728,1783,973,950,1271,685,1192,863,119,105,11927
Doonside - Woodcroft,929,2246,1059,1094,1578,707,1248,1010,143,109,13255
Lalor Park - Kings Langley,1428,2786,1464,1100,1739,842,888,865,106,91,14049
Blacktown - South,487,971,588,562,862,454,735,542,78,60,7308
Blacktown - West,578,1413,839,761,1079,577,1060,776,94,81,9885
Seven Hills - Prospect,727,1604,799,682,1053,495,727,572,93,59,8049
Toongabbie - West,548,1465,537,460,755,328,484,441,50,49,6455
Glenwood,1248,2572,699,711,1318,668,470,409,88,47,7605
Acacia Gardens,267,563,192,188,341,175,124,117,20,10,1674
Quakers Hill,1537,3278,1313,1208,1937,1047,959,829,153,96,12314
Kellyville Ridge - The Ponds,1846,3395,900,892,1698,806,455,414,98,68,10487
Marsden Park - Shanes Park,940,2338,696,656,1183,481,715,438,92,54,7937
Riverstone,785,1575,897,664,977,505,550,536,65,49,7245
Schofields (West) - Colebee,740,1690,462,415,814,322,339,289,60,48,4829
Schofields - East,1804,4370,1125,1078,1854,839,806,654,131,99,12374
Stanhope Gardens - Parklea,949,1952,514,464,943,442,297,278,53,48,7085
Bidwill - Hebersham - Emerton,302,502,566,705,657,416,1121,850,97,94,13229
Glendenning - Dean Park,304,589,494,428,634,323,611,394,55,24,4522
Hassall Grove - Plumpton,733,1626,1165,1062,1542,817,1452,1153,124,77,11668
Lethbridge Park - Tregear,548,1001,722,818,1007,620,1289,934,88,96,14421
Mount Druitt - Whalan,484,1147,815,954,1056,639,1396,984,99,83,15252
Prospect Reservoir,0,0,0,0,0,0,0,0,0,0,6
Rooty Hill - Minchinbury,840,1813,1078,1008,1584,729,1461,994,112,97,13110
Banksmeadow,44,93,30,26,39,28,11,11,0,0,224
Botany,1208,1723,840,686,1079,534,372,428,78,45,5968
Pagewood - Hillsdale - Daceyville,875,1825,882,781,914,620,424,560,66,72,7740
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,6
Sydney Airport,4,0,0,0,0,0,0,0,0,0,13
Eastlakes,424,919,437,428,545,399,287,373,49,36,5055
Mascot,1536,3537,1420,1227,1669,976,635,994,145,134,9297
Petersham - Stanmore,2013,5210,872,947,1391,686,237,427,79,49,7993
Sydenham - Tempe - St Peters,923,1781,446,347,627,301,161,231,42,31,3390
Marrickville - North,1203,2738,617,481,771,370,186,288,98,44,5509
Marrickville - South,1165,2973,696,601,950,465,254,400,69,42,6658
Darlinghurst,1490,3165,353,494,682,411,76,207,79,45,3615
Erskineville - Alexandria,2851,6204,850,730,1427,726,184,271,131,56,5707
Glebe - Forest Lodge,2150,5319,637,771,1218,634,168,339,126,69,8837
Potts Point - Woolloomooloo,2522,4844,639,777,1217,631,143,308,120,60,6930
Surry Hills,2044,4638,575,624,944,574,152,358,109,74,5729
Camperdown - Darlington,788,2389,298,556,552,338,72,145,39,22,3123
Chippendale,612,1825,306,410,481,323,82,194,39,33,3497
Newtown (NSW),1652,4265,669,744,1026,525,181,285,89,53,5188
Pyrmont,1572,2679,481,617,802,446,145,319,102,39,5451
Redfern,1315,3420,518,551,823,452,160,343,96,58,5940
Rosebery - Beaconsfield,1424,2758,687,543,977,486,226,292,70,57,4772
Sydney (North) - Millers Point,1133,1994,274,273,531,301,59,162,73,35,3163
Sydney (South) - Haymarket,1396,2905,1245,1370,949,827,392,1299,129,165,9258
Ultimo,479,1354,343,470,402,302,163,345,57,34,3453
Waterloo,1618,3746,737,620,967,603,260,406,84,65,7276
Zetland,1363,3202,684,543,938,560,131,303,84,60,4759
Bondi - Tamarama - Bronte,2333,4670,730,693,991,678,180,336,141,74,8220
Bondi Beach - North Bondi,2800,5218,774,792,1055,879,180,309,164,94,8445
Bondi Junction - Waverly,1977,3893,683,658,961,602,157,366,112,74,8239
Centennial Park,0,0,0,0,0,0,0,0,0,0,0
Dover Heights,1342,2178,340,391,648,434,61,141,61,50,5477
Paddington - Moore Park,2050,4253,382,464,877,572,80,159,105,36,5825
Rose Bay - Vaucluse - Watsons Bay,1541,2108,206,328,613,424,42,97,122,47,6394
Woollahra,913,1883,127,184,336,254,18,59,64,23,3596
Bellevue Hill,1827,3227,333,404,787,547,66,134,161,68,6883
Double Bay - Darling Point,1348,2421,188,240,572,370,32,92,116,45,4530
Kensington (NSW),877,2323,514,537,755,471,162,297,52,44,5783
Kingsford,869,2432,625,636,822,521,266,428,65,45,6892
Maroubra - North,948,1713,407,368,653,314,119,211,46,39,4974
Maroubra - South,948,1760,547,492,565,314,172,281,46,34,5920
Maroubra - West,748,1626,536,467,684,388,203,314,63,41,4768
Randwick - North,1744,3942,709,657,998,557,176,278,93,69,6979
Randwick - South,1200,2967,600,589,819,461,141,297,66,29,5563
Coogee - Clovelly,2516,5165,905,790,1230,686,139,287,163,61,7577
Malabar - La Perouse,859,1316,474,423,580,293,131,203,43,34,6251
Matraville - Chifley,963,1541,741,607,987,492,340,403,61,35,7233
South Coogee,568,844,157,197,280,174,42,75,19,25,3220
Bass Hill - Georges Hall,817,1428,938,677,1174,635,619,613,90,89,16782
Chullora,83,209,51,59,85,47,32,36,14,5,841
Condell Park,455,832,520,402,628,346,340,392,67,61,8734
Padstow,962,1889,872,701,1314,586,505,540,82,61,9685
Revesby,970,1802,824,697,1228,624,547,532,92,65,10285
Yagoona - Birrong,656,1498,837,733,1164,626,652,795,91,99,15334
