"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Helensburgh",648,1226,786,568,623,298,215,301,49,28,4394,9135,
"Thirroul - Austinmer - Coalcliff",984,2194,684,612,592,301,144,233,54,25,6141,11957,
"Woonona - Bulli - Russell Vale",1377,2765,1316,1207,1147,619,435,631,73,42,11151,20761,
"Wollongong - East",1108,2728,845,1102,1038,647,316,507,82,49,7603,16020,
"Wollongong - West",828,2396,963,1083,923,670,441,645,78,60,8460,16551,
"Bulahdelah - Stroud",356,249,327,228,198,145,202,311,28,35,3156,5235,
"Forster",535,971,693,834,585,613,185,569,31,66,9636,14709,
"Forster-Tuncurry Surrounds",346,432,439,320,259,240,141,306,27,33,4435,6988,
"Tuncurry",175,271,291,360,225,220,99,232,11,25,4466,6376,
"Kempsey",489,726,637,990,533,534,377,699,44,56,10572,15654,
"Kempsey Surrounds",579,617,493,539,356,268,239,574,29,53,5733,9472,
"Macksville - Scotts Head",218,286,243,309,200,142,101,240,16,30,3414,5189,
"Nambucca Heads",184,336,300,383,231,222,119,307,16,29,4995,7111,
"Nambucca Heads Surrounds",521,529,452,473,314,263,210,376,23,44,4905,8102,
"South West Rocks",228,299,272,303,220,181,77,259,15,16,3755,5628,
"Lord Howe Island",63,24,37,14,30,17,4,44,5,0,209,445,
"Laurieton - Bonny Hills",718,1192,1053,1026,757,578,382,708,45,52,11975,18484,
"Port Macquarie - West",872,1654,1113,1475,1027,945,379,835,89,84,12672,21147,
"Port Macquarie Surrounds",452,335,345,276,274,170,157,284,25,29,2943,5301,
"Wauchope",572,802,895,853,701,560,388,560,58,41,7373,12796,
"Port Macquarie - East",699,1489,702,792,635,533,170,502,42,28,6174,11764,
"Port Macquarie - South",818,1852,944,1054,975,654,273,551,71,40,10043,17284,
"Gloucester",362,247,280,250,182,153,192,286,9,39,3310,5310,
"Old Bar - Manning Point - Red Head",546,1095,732,672,538,442,209,448,34,50,7719,12476,
"Taree",684,1118,950,1261,748,895,453,1019,54,79,13857,21123,
"Taree Surrounds",774,756,664,612,477,394,368,600,38,68,8294,13044,
"Wingham",169,270,287,354,190,192,173,310,17,22,3410,5395,
"Albury - East",1110,2207,1316,1207,1147,809,523,681,67,42,8729,17831,
"Albury - North",497,772,718,729,593,462,343,542,53,32,5784,10527,
"Albury - South",750,1332,616,570,630,409,219,405,49,37,5492,10519,
"Albury Surrounds",1214,899,833,586,674,402,413,628,47,64,6751,12507,
"Lavington",550,793,1082,1048,740,715,627,932,78,65,9038,15665,
"Hay",257,133,184,122,134,110,97,229,3,20,1598,2897,
"Wentworth - Buronga",472,411,392,320,328,212,191,345,26,36,3782,6511,
"Wentworth-Balranald Region",497,143,173,136,135,71,158,301,19,13,2001,3648,
"Corowa",256,285,353,298,219,223,180,512,18,18,3229,5595,
"Corowa Surrounds",628,326,461,317,345,230,301,409,33,41,4168,7262,
"Deniliquin",371,488,438,451,358,274,219,349,50,35,4000,7038,
"Deniliquin Surrounds",1104,329,309,233,306,154,205,460,25,39,3684,6837,
"Moama",442,530,471,408,352,283,166,295,26,28,3934,6930,
"Tocumwal - Finley - Jerilderie",810,485,524,450,426,286,340,568,39,38,5811,9778,
"Armidale",1301,2781,1207,1381,1179,885,397,1111,80,68,13569,23967,
"Armidale Surrounds - North",583,249,221,164,189,143,110,347,21,22,2483,4527,
"Armidale Surrounds - South",524,504,379,310,341,186,140,338,25,18,3133,5894,
"Walcha",490,159,132,119,126,71,87,219,17,13,1712,3144,
"Glen Innes",665,423,401,419,363,305,202,476,35,32,5589,8931,
"Inverell",512,742,647,718,477,534,267,825,49,42,7271,12057,
"Inverell Surrounds - East",537,190,190,237,156,130,122,334,15,37,3251,5200,
"Inverell Surrounds - West",671,294,227,235,220,144,159,311,21,25,3421,5734,
"Tenterfield",562,325,269,266,265,176,180,313,33,36,4378,6810,
"Moree",386,563,421,400,419,277,344,340,34,34,4629,7845,
"Moree Surrounds",706,210,165,178,232,89,228,346,18,30,3145,5356,
"Narrabri",358,509,484,352,359,295,457,369,20,27,3671,6898,
"Narrabri Surrounds",555,238,219,182,196,127,267,254,18,21,2547,4616,
"Gunnedah",448,623,639,502,433,351,698,512,33,31,5483,9745,
"Gunnedah Surrounds",550,226,234,173,161,102,321,268,20,21,2280,4369,
"Quirindi",613,377,347,332,296,189,407,435,34,22,4509,7551,
"Tamworth - East",1012,1591,1436,1342,1180,966,681,1467,85,65,11524,21360,
"Tamworth - North",798,1853,932,1008,849,642,439,934,64,39,8964,16517,
"Tamworth - West",157,159,314,271,192,230,175,600,16,15,3864,5998,
"Tamworth Surrounds",1639,1427,1315,999,1058,738,712,1002,98,70,9989,19038,
"Belmont - Bennetts Green",858,1629,1398,1058,1103,713,475,791,66,57,9707,17864,
"Belmont South - Blacksmiths",208,372,416,350,302,252,164,270,26,18,3309,5680,
"Charlestown - Dudley",1344,3373,1851,1578,1694,959,584,990,103,55,12735,25254,
"Glendale - Cardiff - Hillsborough",1278,2797,1796,1675,1651,1059,768,1055,93,42,12387,24588,
"Mount Hutton - Windale",315,599,581,532,479,361,239,426,25,38,5910,9504,
"Redhead",219,480,231,213,199,113,60,104,14,9,2144,3785,
"Swansea - Caves Beach",635,1071,843,751,645,427,287,462,52,29,7363,12559,
"Valentine - Eleebana",884,1762,820,648,834,513,241,367,37,24,6439,12568,
"Warners Bay - Boolaroo",829,1760,937,916,997,649,379,525,58,25,7611,14694,
"Bolton Point - Teralba",383,770,709,635,511,369,354,437,42,28,5881,10135,
"Bonnells Bay - Silverwater",456,701,697,548,564,368,323,417,47,33,5536,9691,
"Edgeworth - Cameron Park",829,1507,1343,1070,1121,819,629,793,88,51,8132,16375,
"Morisset - Cooranbong",821,1394,1242,931,838,552,609,800,80,71,10790,18129,
"Toronto - Awaba",646,1104,895,744,734,480,419,542,48,35,8307,13961,
"Wangi Wangi - Rathmines",450,777,744,553,512,306,321,356,54,29,5367,9467,
"West Wallsend - Barnsley - Killingworth",291,471,728,500,460,332,359,440,30,25,3618,7254,
"Adamstown - Kotara",1107,2733,1071,1018,1079,742,351,557,57,29,7854,16600,
"Beresfield - Hexham",251,349,581,487,388,309,423,690,35,37,5015,8561,
"Hamilton - Broadmeadow",827,2077,628,899,702,497,213,444,64,41,6378,12772,
"Lambton - New Lambton",1096,2868,962,1017,1105,769,357,641,74,34,8426,17343,
"Maryland - Fletcher - Minmi",845,1928,1235,1120,1168,761,597,725,100,33,7917,16429,
"Mayfield - Warabrook",763,2165,986,1105,920,601,435,679,78,47,7750,15526,
