sa2,Has arthritis,Does not have arthritis,Not stated
Tumbarumba,418,2613,485
Tumut,835,5163,664
Tumut Surrounds,599,3602,547
Cootamundra,1221,5776,711
Gundagai,397,2827,493
Junee,795,4218,1336
Temora,874,5197,535
Wagga Wagga - East,1670,14070,1178
Wagga Wagga - North,356,4740,505
Wagga Wagga - South,2162,18575,1786
Wagga Wagga - West,1287,9493,1185
Wagga Wagga Surrounds,1618,14400,1772
Berry - Kangaroo Valley,1367,7389,732
Callala Bay - Currarong,580,2779,285
Culburra Beach,873,3874,357
Ettrema - Sassafras - Budawang,3,55,8
Huskisson - Vincentia,698,3758,390
North Nowra - Bomaderry,2106,12675,1320
Nowra,2610,16911,3063
St Georges Basin - Erowal Bay,2620,11277,1368
Sussex Inlet - Berrara,946,3253,496
Tomerong - Wandandian - Woollamia,454,2882,371
Ulladulla,2745,12908,1375
Ulladulla Surrounds,926,4362,530
Bowral,1969,10665,999
Hill Top - Colo Vale,667,5307,420
Mittagong,1331,8862,737
Moss Vale - Berrima,1232,8466,954
Robertson - Fitzroy Falls,412,3084,338
Southern Highlands,874,5787,580
Baulkham Hills - East,1629,22002,1092
Baulkham Hills (West) - Bella Vista,1299,19396,987
Glenhaven,731,5299,334
West Pennant Hills,843,11314,528
Castle Hill - Central,493,6841,337
Castle Hill - East,624,4502,545
Castle Hill - North,784,10839,568
Castle Hill - South,634,9288,491
Castle Hill - West,267,4727,182
Cherrybrook,1187,17131,768
Kellyville - East,976,16039,694
Kellyville - West,567,10249,561
Dural - Kenthurst - Wisemans Ferry,1794,19263,1421
Galston - Laughtondale,544,4468,419
Bilpin - Colo - St Albans,248,2254,349
Kurrajong Heights - Ebenezer,1870,18887,1404
Pitt Town - McGraths Hill,936,9580,896
Box Hill - Nelson,329,9460,492
North Kellyville,546,15888,969
Rouse Hill - Beaumont Hills,851,16038,692
Blacktown (East) - Kings Park,1001,14540,1495
Blacktown (North) - Marayong,1454,17498,1630
Doonside - Woodcroft,1593,20033,1754
Lalor Park - Kings Langley,2130,21307,1934
Blacktown - South,828,10837,984
Blacktown - West,1222,14490,1431
Seven Hills - Prospect,1044,12786,1030
Toongabbie - West,661,10124,790
Glenwood,822,14397,610
Acacia Gardens,191,3384,93
Quakers Hill,1277,21973,1424
Kellyville Ridge - The Ponds,938,19200,911
Marsden Park - Shanes Park,434,14169,924
Riverstone,738,11983,1124
Schofields (West) - Colebee,325,9098,592
Schofields - East,549,23026,1549
Stanhope Gardens - Parklea,641,10574,1821
Bidwill - Hebersham - Emerton,1683,14203,2646
Glendenning - Dean Park,494,7305,575
Hassall Grove - Plumpton,1244,18507,1660
Lethbridge Park - Tregear,1751,17007,2787
Mount Druitt - Whalan,1673,18829,2413
Prospect Reservoir,0,5,4
Rooty Hill - Minchinbury,1471,19408,1953
Banksmeadow,12,404,92
Botany,720,11268,972
Pagewood - Hillsdale - Daceyville,924,12684,1152
Port Botany Industrial,0,7,0
Sydney Airport,0,17,4
Eastlakes,711,7587,640
Mascot,671,19357,1540
Petersham - Stanmore,1074,17394,1431
Sydenham - Tempe - St Peters,436,7336,501
Marrickville - North,691,10749,873
Marrickville - South,954,12348,973
Darlinghurst,446,9208,968
Erskineville - Alexandria,704,17211,1213
Glebe - Forest Lodge,1156,17434,1673
Potts Point - Woolloomooloo,996,15145,2041
Surry Hills,695,13660,1471
Camperdown - Darlington,270,7475,584
Chippendale,135,6934,739
Newtown (NSW),699,12992,977
Pyrmont,566,10972,1120
Redfern,843,11551,1280
Rosebery - Beaconsfield,375,11047,870
Sydney (North) - Millers Point,306,6949,750
Sydney (South) - Haymarket,226,17984,1724
Ultimo,155,6630,630
Waterloo,795,13893,1691
Zetland,224,11637,763
Bondi - Tamarama - Bronte,922,16623,1508
Bondi Beach - North Bondi,775,18209,1728
Bondi Junction - Waverly,1050,15215,1453
Centennial Park,0,0,0
Dover Heights,580,9846,698
Paddington - Moore Park,784,13012,1001
Rose Bay - Vaucluse - Watsons Bay,750,10292,877
Woollahra,505,6368,586
Bellevue Hill,798,12716,915
Double Bay - Darling Point,705,8510,744
Kensington (NSW),531,10419,862
Kingsford,710,12033,863
Maroubra - North,658,8510,623
Maroubra - South,852,9336,894
Maroubra - West,596,8750,507
Randwick - North,814,14129,1255
Randwick - South,678,11104,961
Coogee - Clovelly,870,17345,1311
Malabar - La Perouse,811,8072,1726
Matraville - Chifley,1025,11313,1076
South Coogee,413,4700,500
Bass Hill - Georges Hall,1756,19215,2890
Chullora,45,1302,124
Condell Park,773,10719,1284
Padstow,1428,14606,1165
Revesby,1249,14981,1435
Yagoona - Birrong,1389,18851,2246
Bankstown - North,848,14536,1592
