"sa2_name_2021","pop_2021","in_wslhd_2021","in_metro_2021","pop2011_as21","abs_change","growth_rate"
"Kempsey",15654,0,0,14292,1362,0.0952980688497061
"Kempsey Surrounds",9472,0,0,8945,527,0.0589155953046395
"Macksville - Scotts Head",5189,0,0,4643,546,0.117596381649795
"Nambucca Heads",7111,0,0,6664,447,0.0670768307322929
"Nambucca Heads Surrounds",8102,0,0,7335,767,0.104567143830948
"South West Rocks",5628,0,0,4953,675,0.136281041792853
"Lord Howe Island",445,0,1,359,86,0.239554317548747
"Laurieton - Bonny Hills",18484,0,0,15740,2744,0.17433290978399
"Port Macquarie - West",21147,0,0,15010,6137,0.408860759493671
"Port Macquarie Surrounds",5301,0,0,5036,265,0.0526211278792693
"Wauchope",12796,0,0,10214,2582,0.252790287840219
"Port Macquarie - East",11764,0,0,10903.117176,860.882824,0.0789574953752657
"Port Macquarie - South",17284,0,0,15808.882824,1475.117176,0.0933093876665702
"Gloucester",5310,0,0,4870,440,0.0903490759753593
"Old Bar - Manning Point - Red Head",12476,0,0,9558,2918,0.305293994559531
"Taree",21123,0,0,20107,1016,0.0505296662853733
"Taree Surrounds",13044,0,0,11514,1530,0.132881709223554
"Wingham",5395,0,0,5312,83,0.015625
"Albury - East",17831,0,0,12805,5026,0.392502928543538
"Albury - North",10527,0,0,9309,1218,0.130841121495327
"Albury - South",10519,0,0,10524,-5,-0.000475104522995059
"Albury Surrounds",12507,0,0,10875,1632,0.150068965517241
"Lavington",15665,0,0,13921,1744,0.125278356439911
"Hay",2897,0,0,2997,-100,-0.0333667000333667
"Wentworth - Buronga",6511,0,0,5771,740,0.128227343614625
"Wentworth-Balranald Region",3648,0,0,3663,-15,-0.0040950040950041
"Corowa",5595,0,0,5606,-11,-0.0019621833749554
"Corowa Surrounds",7262,0,0,6510,752,0.115514592933948
"Deniliquin",7038,0,0,7121,-83,-0.0116556663389973
"Deniliquin Surrounds",6837,0,0,6808,29,0.00425969447708578
"Moama",6930,0,0,5117,1813,0.354309165526676
"Tocumwal - Finley - Jerilderie",9778,0,0,9295,483,0.0519634211941904
"Armidale",23967,0,0,22469,1498,0.0666696337175664
"Armidale Surrounds - North",4527,0,0,4290,237,0.0552447552447552
"Armidale Surrounds - South",5894,0,0,6000,-106,-0.0176666666666667
"Walcha",3144,0,0,3192,-48,-0.0150375939849624
"Glen Innes",8931,0,0,8655,276,0.0318890814558059
"Inverell",12057,0,0,11399,658,0.0577243617861216
"Inverell Surrounds - East",5200,0,0,5283,-83,-0.0157107703956086
"Inverell Surrounds - West",5734,0,0,5616,118,0.021011396011396
"Tenterfield",6810,0,0,6809,1,0.000146864444118079
"Moree",7845,0,0,8397,-552,-0.0657377634869596
"Moree Surrounds",5356,0,0,5548,-192,-0.0346070656092285
"Narrabri",6898,0,0,6929,-31,-0.00447395006494444
"Narrabri Surrounds",4616,0,0,4809,-193,-0.0401330838012061
"Gunnedah",9745,0,0,8731,1014,0.116137899438781
"Gunnedah Surrounds",4369,0,0,4521,-152,-0.0336208803362088
"Quirindi",7551,0,0,7477,74,0.00989701752039588
"Tamworth - East",21360,0,0,19902,1458,0.0732589689478444
"Tamworth - North",16517,0,0,13513,3004,0.222304447569008
"Tamworth - West",5998,0,0,5322,676,0.127019917324314
"Tamworth Surrounds",19038,0,0,17342,1696,0.0977972552185446
"Belmont - Bennetts Green",17864,0,0,17143,721,0.0420579828501429
"Belmont South - Blacksmiths",5680,0,0,5618,62,0.0110359558561766
"Charlestown - Dudley",25254,0,0,23554,1700,0.0721745775664431
"Glendale - Cardiff - Hillsborough",24588,0,0,22966,1622,0.0706261429939911
"Mount Hutton - Windale",9504,0,0,8660,844,0.097459584295612
"Redhead",3785,0,0,3460,325,0.0939306358381503
"Swansea - Caves Beach",12559,0,0,10730,1829,0.170456663560112
"Valentine - Eleebana",12568,0,0,11967,601,0.0502214422996574
"Warners Bay - Boolaroo",14694,0,0,12761,1933,0.15147715696262
"Bolton Point - Teralba",10135,0,0,8699,1436,0.165076445568456
"Bonnells Bay - Silverwater",9691,0,0,7935,1756,0.221298046628859
"Edgeworth - Cameron Park",16375,0,0,11425,4950,0.433260393873085
"Morisset - Cooranbong",18129,0,0,13842,4287,0.309709579540529
"Toronto - Awaba",13961,0,0,13268,693,0.0522309315646669
"Wangi Wangi - Rathmines",9467,0,0,8708,759,0.0871612310519063
"West Wallsend - Barnsley - Killingworth",7254,0,0,6135,1119,0.18239608801956
"Adamstown - Kotara",16600,0,0,15043,1557,0.103503290567041
"Beresfield - Hexham",8561,0,0,8361,200,0.0239205836622414
"Hamilton - Broadmeadow",12772,0,0,11739,1033,0.0879972740437857
"Lambton - New Lambton",17343,0,0,16406,937,0.0571132512495428
"Maryland - Fletcher - Minmi",16429,0,0,11213,5216,0.465174351199501
"Mayfield - Warabrook",15526,0,0,14643,883,0.0603018507136516
"Merewether - The Junction",14506,0,0,13399,1107,0.0826181058287932
"Newcastle - Cooks Hill",12805,0,0,10136,2669,0.263318863456985
"Newcastle Port - Kooragang",31,0,0,16,15,0.9375
"Shortland - Jesmond",12593,0,0,10081,2512,0.249181628806666
"Stockton - Fullerton Cove",8824,0,0,6120,2704,0.441830065359477
"Wallsend - Elermore Vale",20958,0,0,19038,1920,0.100850929719508
"Waratah - North Lambton",12883,0,0,11860,1023,0.086256323777403
"Wickham - Carrington - Tighes Hill",9171,0,0,7667,1504,0.196165384113734
"Ballina",18629,0,0,16167,2462,0.152285519886188
"Ballina Surrounds",18327,0,0,15691.473266,2635.526734,0.167959164147487
"Bangalow",6958,0,0,5319,1639,0.308140627937582
"Brunswick Heads - Ocean Shores",9170,0,0,7734,1436,0.185673648823377
"Byron Bay",10914,0,0,8654,2260,0.26115091287266
"Evans Head",5643,0,0,4989,654,0.131088394467829
