sa2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
Albion Park Rail,1563,993,380,94,66,2339,284,1207
Kiama,1939,1342,306,69,77,3295,444,1313
Kiama Downs - Minnamurra,1506,1023,285,48,46,1821,198,1129
Kiama Hinterland - Gerringong,1984,1446,348,59,67,2578,315,1346
Shellharbour - Flinders,5235,3177,1092,205,150,4972,641,3870
Shellharbour - Oak Flats,2511,1558,623,123,103,3514,420,1743
Warilla,3933,2672,1046,314,204,7535,1143,3553
Balgownie - Fairy Meadow,5088,3425,1260,220,248,6851,891,3533
Corrimal - Tarrawanna - Bellambi,3881,2377,825,210,171,5159,627,2793
Figtree - Keiraville,5600,3804,1272,280,352,6512,853,4096
Helensburgh,2568,1630,550,80,77,2001,273,1956
Thirroul - Austinmer - Coalcliff,3149,2085,591,104,122,3257,297,2351
Woonona - Bulli - Russell Vale,5300,3247,1069,182,199,5992,615,4163
Wollongong - East,4759,2624,1026,242,221,5079,813,1244
Wollongong - West,4334,2768,981,280,251,4699,840,2387
Bulahdelah - Stroud,1119,764,192,74,51,1795,388,849
Forster,2515,2192,363,167,94,6542,920,1911
Forster-Tuncurry Surrounds,1162,1139,245,90,72,2689,516,1068
Tuncurry,880,865,165,91,57,3255,450,611
Kempsey,2667,1996,411,277,197,6189,1050,2856
Kempsey Surrounds,1886,1536,311,126,100,3343,661,1503
Macksville - Scotts Head,856,781,140,55,63,2129,280,882
Nambucca Heads,975,971,170,103,80,3328,516,967
Nambucca Heads Surrounds,1599,1356,239,131,88,2783,546,1364
South West Rocks,933,784,158,73,46,2637,271,724
Lord Howe Island,98,108,35,3,4,96,36,66
Laurieton - Bonny Hills,3387,2663,465,178,175,8558,671,2395
Port Macquarie - West,4602,3322,557,221,246,7742,1243,3217
Port Macquarie Surrounds,1322,887,150,54,53,1609,338,882
Wauchope,3018,2077,332,141,115,4085,505,2521
Port Macquarie - East,3005,2229,353,137,153,3560,451,1883
Port Macquarie - South,3927,2886,425,150,167,6272,488,2966
Gloucester,1042,778,180,62,48,2155,295,746
Old Bar - Manning Point - Red Head,2503,1873,385,131,100,4873,627,1985
Taree,3847,2911,500,411,245,7995,1465,3750
Taree Surrounds,2417,1925,408,194,107,5530,755,1716
Wingham,1110,743,137,68,84,1964,326,970
Albury - East,5520,3130,456,157,180,3970,570,3852
Albury - North,2761,1693,296,131,120,2963,650,1922
Albury - South,2949,1800,279,150,102,3117,519,1602
Albury Surrounds,3426,1937,396,98,74,3225,796,2558
Lavington,3743,2473,407,266,195,4901,841,2830
Hay,806,407,84,34,18,778,300,467
Wentworth - Buronga,1690,842,200,83,46,1774,614,1263
Wentworth-Balranald Region,1073,473,103,35,21,775,485,690
Corowa,1377,814,175,50,39,2059,272,813
Corowa Surrounds,1827,1028,233,54,44,2325,540,1207
Deniliquin,1821,1019,197,74,52,2150,561,1156
Deniliquin Surrounds,1975,972,216,55,31,1851,522,1222
Moama,1621,1122,257,58,48,2241,399,1186
Tocumwal - Finley - Jerilderie,2315,1363,293,65,61,3239,929,1520
Armidale,5908,3822,668,311,317,6772,1903,4272
Armidale Surrounds - North,1267,655,127,54,27,1083,458,864
Armidale Surrounds - South,1612,956,189,53,53,1681,294,1051
Walcha,909,449,76,28,21,864,284,522
Glen Innes,1892,1214,236,146,84,3228,767,1367
Inverell,2871,1616,300,211,116,3756,837,2359
Inverell Surrounds - East,1153,636,154,92,51,1705,473,939
Inverell Surrounds - West,1456,727,126,57,47,1876,460,989
Tenterfield,1320,934,175,102,72,2684,565,955
Moree,2157,855,205,104,40,1718,1164,1606
Moree Surrounds,1517,549,140,45,19,877,1074,1127
Narrabri,2122,901,209,83,47,1697,442,1398
Narrabri Surrounds,1365,585,122,54,33,983,539,937
Gunnedah,2750,1257,262,132,72,2389,677,2217
Gunnedah Surrounds,1404,534,147,52,30,932,385,892
Quirindi,1887,947,211,119,71,2234,751,1334
Tamworth - East,6187,3077,578,271,219,5746,1124,4165
Tamworth - North,4831,2343,379,173,158,4352,975,3311
Tamworth - West,1319,654,160,142,90,1532,530,1567
Tamworth Surrounds,5632,2824,590,162,125,5080,975,3642
Belmont - Bennetts Green,4623,2944,589,191,180,5706,604,3031
Belmont South - Blacksmiths,1271,892,211,101,55,2063,247,839
Charlestown - Dudley,7118,4502,896,291,253,6502,712,4966
Glendale - Cardiff - Hillsborough,7029,4333,839,301,277,6426,696,4688
Mount Hutton - Windale,2017,1332,249,132,114,3330,540,1782
Redhead,889,647,110,34,23,1149,275,662
Swansea - Caves Beach,2800,1958,442,146,121,4607,425,2063
Valentine - Eleebana,3397,2352,375,90,119,3569,221,2441
Warners Bay - Boolaroo,4024,2568,486,140,125,4445,461,2441
Bolton Point - Teralba,2408,1505,340,159,95,3233,605,1785
Bonnells Bay - Silverwater,2207,1489,461,134,109,3238,313,1742
Edgeworth - Cameron Park,5087,2663,493,168,159,3581,543,3686
Morisset - Cooranbong,3965,2633,746,232,175,6658,722,3000
Toronto - Awaba,3127,2065,469,210,131,5262,529,2177
Wangi Wangi - Rathmines,2296,1483,321,119,87,3329,330,1504
West Wallsend - Barnsley - Killingworth,2183,1198,258,79,64,1899,184,1397
Adamstown - Kotara,5013,3146,580,165,187,3848,402,3248
Beresfield - Hexham,2066,1244,243,151,115,2847,320,1582
Hamilton - Broadmeadow,3500,2407,484,193,170,3468,743,1807
Lambton - New Lambton,5018,3314,584,142,187,4372,535,3188
Maryland - Fletcher - Minmi,4997,2954,561,190,203,3345,347,3831
Mayfield - Warabrook,4481,2742,554,248,176,4210,674,2444
Merewether - The Junction,4580,2817,549,123,147,3472,379,2427
Newcastle - Cooks Hill,4555,2579,472,181,171,3055,595,1202
Newcastle Port - Kooragang,0,9,0,0,0,5,0,9
Shortland - Jesmond,2490,2551,506,215,331,3575,1267,1655
Stockton - Fullerton Cove,2014,1225,280,90,85,3109,554,1466
Wallsend - Elermore Vale,5345,3540,718,315,228,6514,897,3401
Waratah - North Lambton,3567,2466,480,154,195,3361,778,1888
Wickham - Carrington - Tighes Hill,3146,1916,341,141,118,1923,305,1270
Ballina,3700,3076,542,135,158,7448,1117,2463
Ballina Surrounds,4511,3573,599,139,152,5407,719,3229
Bangalow,1501,1557,227,67,72,1610,626,1309
Brunswick Heads - Ocean Shores,1770,2069,330,110,127,2640,639,1481
Byron Bay,2193,2811,465,164,142,2802,854,1489
Evans Head,1148,885,181,52,48,1976,466,886
Lennox Head - Skennars Head,2363,2060,305,67,89,2160,365,1827
Mullumbimby,1444,1986,290,100,119,2513,932,1506
Casino,2535,1685,343,146,99,4234,857,2393
Casino Surrounds,1669,1124,221,82,61,2230,718,1280
Goonellabah,3463,2267,342,145,158,4188,549,2483
Kyogle,1489,1146,203,96,79,2724,624,1247
Lismore,3458,2755,430,239,236,4625,1015,2473
Lismore Surrounds,3784,3153,535,157,168,4144,1181,2671
Kingscliff - Fingal Head,3374,2767,464,115,166,4596,643,2692
Murwillumbah,1876,1645,239,117,121,3149,651,1707
Murwillumbah Surrounds,2113,1885,390,142,117,3039,976,1692
Pottsville,3016,2637,442,147,147,4000,814,2877
Tweed Heads,4155,3379,828,263,230,7372,1575,2757
Banora Point,3491,2858,553,159,148,5885,664,2570
Terranora - North Tumbulgum,873,624,121,30,43,826,108,695
Tweed Heads South,1445,1243,260,104,97,3719,474,1092
Griffith (NSW),6731,3040,530,213,139,4666,1274,3974
Griffith Surrounds,4249,1809,382,87,78,2432,1211,2512
Leeton,3031,1357,255,105,82,2728,629,2146
Narrandera,1487,776,143,96,41,1712,463,1184
Tumbarumba,939,464,132,30,13,1123,209,610
Tumut,1703,999,170,98,53,1982,365,1295
Tumut Surrounds,1334,679,158,51,42,1284,350,845
Cootamundra,1696,949,213,86,57,3007,406,1287
Gundagai,957,564,131,31,17,997,332,692
Junee,1587,707,176,78,38,2436,284,1037
Temora,1710,989,189,56,34,2130,298,1205
Wagga Wagga - East,5048,2755,429,148,157,4314,550,3517
Wagga Wagga - North,1707,1064,163,54,84,1149,284,1102
Wagga Wagga - South,6796,3431,563,274,232,5403,916,4893
Wagga Wagga - West,3490,1732,348,217,118,3454,703,1897
Wagga Wagga Surrounds,5934,2478,557,102,109,3666,1136,3804
Berry - Kangaroo Valley,1949,1596,290,62,62,3732,482,1314
Callala Bay - Currarong,772,548,106,41,43,1533,132,472
Culburra Beach,1033,758,182,67,52,2137,213,664
Ettrema - Sassafras - Budawang,10,10,4,0,0,17,3,12
Huskisson - Vincentia,1100,770,159,41,34,1831,213,689
North Nowra - Bomaderry,3753,2660,487,163,137,5334,675,2882
Nowra,5016,3104,605,312,259,7491,1341,4459
St Georges Basin - Erowal Bay,2849,2081,463,219,122,6366,809,2356
Sussex Inlet - Berrara,717,591,133,52,40,2320,370,479
Tomerong - Wandandian - Woollamia,954,630,149,41,20,1085,217,606
Ulladulla,3057,2917,527,156,138,6789,830,2608
Ulladulla Surrounds,1032,969,210,67,60,2377,333,774
Bowral,2810,2262,348,73,82,5488,629,1935
Hill Top - Colo Vale,1952,1090,288,49,50,1432,178,1342
Mittagong,2899,1881,357,95,84,3310,370,1935
Moss Vale - Berrima,2790,1744,367,90,75,3106,584,1896
Robertson - Fitzroy Falls,988,708,161,21,29,1119,211,601
Southern Highlands,1741,1274,284,42,35,2423,366,1072
Baulkham Hills - East,7443,3200,1218,321,243,6422,477,5406
Baulkham Hills (West) - Bella Vista,6629,3246,1071,266,220,5707,465,4095
Glenhaven,1694,957,308,44,62,2101,126,1074
West Pennant Hills,3799,1911,596,140,119,3727,210,2186
Castle Hill - Central,2250,1055,377,102,75,2035,158,1628
Castle Hill - East,1329,639,187,52,42,2188,445,792
Castle Hill - North,3388,1828,615,138,131,3558,251,2287
Castle Hill - South,3082,1487,520,148,109,2808,221,2044
Castle Hill - West,1766,715,244,53,56,1290,73,978
Cherrybrook,5834,2647,764,206,232,5354,532,3511
Kellyville - East,5629,2669,888,187,213,4119,242,3764
Kellyville - West,3770,1401,568,131,113,2516,425,2455
Dural - Kenthurst - Wisemans Ferry,6009,3745,1280,191,172,6284,733,4074
Galston - Laughtondale,1434,891,270,41,43,1642,195,918
Bilpin - Colo - St Albans,652,442,211,24,13,834,232,442
Kurrajong Heights - Ebenezer,6473,3788,1458,194,139,5270,551,4292
Pitt Town - McGraths Hill,3270,1846,744,80,54,2665,385,2383
Box Hill - Nelson,3609,1311,566,119,79,1451,220,2929
North Kellyville,5759,2199,935,199,177,2841,493,4806
Rouse Hill - Beaumont Hills,5959,2548,1020,250,180,3470,253,3911
Blacktown (East) - Kings Park,4237,2344,1087,351,271,4588,1004,3150
Blacktown (North) - Marayong,4799,2526,1338,333,282,6133,972,4203
Doonside - Woodcroft,6012,2773,1347,418,277,6820,1053,4687
Lalor Park - Kings Langley,6376,3131,1810,336,273,7287,1143,5012
Blacktown - South,2995,1541,800,225,136,3780,602,2568
Blacktown - West,4082,2096,1079,306,224,5129,964,3264
Seven Hills - Prospect,3966,1850,999,212,169,4438,587,2642
Toongabbie - West,3067,1361,690,212,124,3219,476,2425
Glenwood,5138,2102,990,221,197,3625,248,3310
Acacia Gardens,1244,489,263,52,41,737,34,818
Quakers Hill,7564,3293,1496,359,244,5264,714,5732
Kellyville Ridge - The Ponds,6845,2565,1161,240,209,4006,393,5643
Marsden Park - Shanes Park,5071,1626,896,174,119,2495,508,4644
Riverstone,3872,1680,1040,205,142,2861,617,3426
Schofields (West) - Colebee,3475,1109,602,121,81,1599,321,2699
Schofields - East,8460,2830,1459,367,261,3798,903,7042
Stanhope Gardens - Parklea,3794,1433,721,138,125,3913,245,2654
Bidwill - Hebersham - Emerton,2796,1579,928,386,223,6425,1547,4649
Glendenning - Dean Park,2190,1095,570,117,94,2114,296,1903
Hassall Grove - Plumpton,5734,2622,1388,360,208,5511,867,4731
Lethbridge Park - Tregear,4063,1917,1142,422,241,6409,1594,5752
Mount Druitt - Whalan,4191,2252,1219,474,304,7626,1393,5451
Prospect Reservoir,5,0,0,0,0,6,4,0
Rooty Hill - Minchinbury,5741,2598,1376,397,258,6558,1220,4674
Banksmeadow,196,50,28,3,5,73,81,59
Botany,4444,1808,737,126,104,2625,625,2482
Pagewood - Hillsdale - Daceyville,4069,2100,856,240,194,4104,805,2403
Port Botany Industrial,0,0,0,0,0,0,0,0
Sydney Airport,11,3,0,0,0,4,4,0
Eastlakes,2143,1299,441,142,107,2993,427,1395
Mascot,7190,3568,1512,407,354,4857,1147,2535
Petersham - Stanmore,7679,3085,1139,322,208,4036,950,2472
Sydenham - Tempe - St Peters,3198,1213,474,123,79,1670,263,1251
Marrickville - North,4401,1756,648,181,133,2915,536,1742
Marrickville - South,4748,2080,799,228,153,3733,734,1800
Darlinghurst,4864,1537,602,218,112,1932,795,559
Erskineville - Alexandria,9967,2508,952,303,143,2394,782,2084
Glebe - Forest Lodge,7523,2872,1034,390,231,4997,1215,1999
Potts Point - Woolloomooloo,8048,2348,855,396,202,3760,1807,770
Surry Hills,7114,2141,847,327,175,3165,1187,877
Camperdown - Darlington,3078,1537,596,127,222,1755,400,625
Chippendale,2542,1250,513,204,232,2127,656,278
Newtown (NSW),6253,2351,876,232,180,2697,656,1417
Pyrmont,4584,1857,765,240,171,2893,847,1298
Redfern,5072,1900,760,286,200,3227,1063,1162
Rosebery - Beaconsfield,5013,1746,759,173,128,2404,645,1419
Sydney (North) - Millers Point,3200,1207,437,162,77,1883,612,432
Sydney (South) - Haymarket,4923,4147,1613,418,540,5742,1563,984
Ultimo,2003,1416,541,197,231,2032,511,485
Waterloo,6165,2055,880,358,242,4027,1380,1270
Zetland,5349,1647,877,286,215,2622,607,1023
Bondi - Tamarama - Bronte,7074,2818,945,242,169,3861,1062,2887
Bondi Beach - North Bondi,8124,3086,1054,287,194,3736,1141,3090
Bondi Junction - Waverly,6228,2425,836,217,150,4001,1184,2685
Centennial Park,0,0,0,0,0,0,0,0
Dover Heights,3298,1824,520,114,104,2717,385,2153
Paddington - Moore Park,6229,2076,667,205,133,2915,665,1910
Rose Bay - Vaucluse - Watsons Bay,3289,1785,457,116,84,3543,605,2047
Woollahra,2535,1056,274,78,47,1955,359,1151
Bellevue Hill,4639,2262,640,126,117,3724,619,2301
Double Bay - Darling Point,3637,1345,448,126,69,2699,509,1125
Kensington (NSW),3529,1850,653,179,207,3372,598,1423
Kingsford,3738,2242,732,224,220,4021,565,1870
Maroubra - North,2929,1445,436,109,103,2690,514,1565
Maroubra - South,3012,1562,588,143,124,3189,609,1852
Maroubra - West,3001,1523,557,130,110,2708,308,1508
Randwick - North,6192,2240,794,171,127,3235,847,2596
Randwick - South,4643,1854,676,151,145,2908,685,1669
Coogee - Clovelly,8052,2904,980,218,179,3481,771,2929
Malabar - La Perouse,2609,1308,448,91,59,3650,850,1605
Matraville - Chifley,3581,1955,644,149,121,3836,591,2534
South Coogee,1381,759,251,52,59,1682,313,1109
Bass Hill - Georges Hall,3456,2177,1441,378,224,8743,1877,5560
Chullora,345,169,113,18,20,367,89,349
Condell Park,2007,1200,840,204,106,4688,748,2986
Padstow,4130,2031,1354,214,160,5659,747,2910
Revesby,4096,2020,1258,233,160,5646,899,3354
Yagoona - Birrong,3552,2115,1479,390,270,8501,1315,4851
Bankstown - North,2802,1710,1121,404,261,6012,1042,3626
Bankstown - South,2976,1796,1223,387,288,6780,1405,3574
Greenacre - North,2100,1414,907,227,149,5602,918,3325
Greenacre - South,1795,1249,805,225,138,5122,753,3332
Panania (North) - Milperra,2729,1391,921,133,82,3471,345,2258
Panania (South) - Picnic Point,4103,2000,1258,159,146,4740,420,3168
Belmore - Belfield,3811,2329,1592,303,223,7252,1355,3461
Punchbowl,3054,2078,1406,402,339,8349,1370,4549
Roselands,2918,1620,1112,203,150,5019,654,2905
Lakemba,2048,1757,933,446,320,6013,1352,4230
Wiley Park,1397,1110,613,246,136,3557,702,2380
Campsie - North,1945,1503,1045,216,181,4809,763,1439
Campsie - South,1374,1057,751,208,130,3478,932,1135
Canterbury - South,2831,1435,1141,188,106,3722,859,1939
Earlwood,4421,2202,1392,178,155,5939,693,2986
Kingsgrove - North,1314,729,466,65,50,2184,214,1232
Narwee - Beverly Hills,3111,1617,952,221,163,4977,534,2224
Oatley - Hurstville Grove,3387,1847,802,140,89,3841,307,2180
Peakhurst - Lugarno,5004,2650,1407,202,157,6306,924,3575
Riverwood,2180,1214,828,218,150,4531,739,1747
South Hurstville - Blakehurst,5961,3957,1813,356,290,8003,1007,3867
Hurstville - Central,2818,2087,910,245,217,3615,560,1587
Hurstville - North,2575,1663,905,175,155,4337,564,1733
Mortdale - Oatley,4130,2146,1000,188,132,4033,423,2656
Penshurst,2503,1365,677,137,113,2785,553,1394
Kingsgrove (South) - Bardwell Park,3219,1769,769,184,116,4341,403,2181
Kogarah,3690,1932,818,233,183,3296,876,2034
Kogarah Bay - Carlton - Allawah,4160,2388,1117,227,200,4868,708,2535
Monterey - Brighton-le-Sands - Kyeemagh,3595,1865,758,216,126,4567,755,2016
Rockdale - Banksia,5205,3414,1102,407,291,5490,1131,2804
Sans Souci - Ramsgate,4310,2251,926,206,142,5296,854,2674
Arncliffe - Bardwell Valley,4199,2314,984,245,204,4769,1179,2686
Bexley - North,2346,1228,567,139,76,3273,562,1961
Bexley - South,3932,2461,896,300,195,4864,671,2518
Wolli Creek,3899,1790,747,212,225,2347,654,857
Concord - Mortlake - Cabarita,6812,3449,1169,260,175,6894,654,3694
Drummoyne - Rodd Point,6164,2644,912,179,118,4580,698,3076
Five Dock - Abbotsford,6648,2910,1077,241,140,5530,856,3534
Concord West - North Strathfield,3964,1803,688,196,128,3258,579,2232
Rhodes,4321,1520,751,241,157,2579,483,1393
Balmain,5627,2120,652,204,136,3695,523,2633
Lilyfield - Rozelle,5258,1811,605,169,119,2878,494,2487
Annandale (NSW),3501,1432,452,121,87,1848,501,1516
Leichhardt,6474,2426,869,221,172,3424,576,3370
Canterbury (North) - Ashbury,3369,1642,944,148,142,3515,418,1822
Croydon Park - Enfield,4403,2348,1106,219,168,5516,776,2896
Dulwich Hill - Lewisham,6611,2636,929,277,161,3907,897,2525
Haberfield - Summer Hill,4556,2122,671,177,123,3415,431,2032
Homebush,6432,3332,1258,438,417,4591,1185,3173
Strathfield South,1024,490,221,74,34,1025,102,669
Ashfield - North,3584,1979,667,229,180,2973,466,1376
Ashfield - South,3478,1878,694,207,192,3829,536,1427
Burwood (NSW),3718,2685,1071,347,347,5290,1001,1478
Croydon,2933,1561,632,159,128,3576,407,1596
Strathfield - East,4224,3586,990,320,417,4550,930,1414
Strathfield - West,2579,1446,457,121,81,2843,295,1439
Chatswood (West) - Lane Cove North,7511,3029,986,289,228,4743,698,3802
St Leonards - Naremburn,5287,1509,506,165,96,2061,453,1831
Artarmon,3232,1293,353,154,93,2127,301,1852
Castle Cove - Northbridge,3703,2058,484,121,133,3992,296,2659
Chatswood - East,5594,2575,959,307,239,5914,705,3306
Greenwich - Riverview,4334,2013,492,132,106,3253,309,2298
Lane Cove,5716,2165,721,189,124,3408,418,3137
