sa2,in_wslhd,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Lord Howe Island,0,454,73,36,202,87,146,102,0,55,3,33,35,49,16,16,241,7,96,0.18814432989690721,0.09278350515463918,0.520618556701031,0.3551020408163265,0.5959183673469388,0.2562814070351759,0,0.13819095477386933,0.007936507936507936,0.0873015873015873,0.09259259259259259,0.12962962962962962,0.042328042328042326,0.042328042328042326,0.6211340206185567,0.01804123711340206,0.24742268041237114
Lurnea - Cartwright,0,12662,1007,769,6008,654,2320,2656,171,972,116,1493,620,759,202,377,3084,349,5279,0.10501616435499009,0.08019605798310564,0.6265512566482427,0.21282134721770257,0.7549625772860397,0.21459158115860064,0.013815948937545447,0.07853276238183728,0.009603443993708088,0.12360294726384634,0.05132875238016392,0.06283632751055551,0.016723238678698567,0.031211192979551286,0.32161852122223383,0.03639587026801543,0.5505266451141934
Macksville - Scotts Head,0,5186,553,347,2832,504,1235,1351,38,671,48,935,359,350,95,188,1777,118,2129,0.12848513011152415,0.08062267657992565,0.6579925650557621,0.28442437923250563,0.6969525959367946,0.2748169243287225,0.007729861676159479,0.13649308380797395,0.009956440572495333,0.19394316531839867,0.07446587844845468,0.0725990458411118,0.019705455299730345,0.038996058908940055,0.4128717472118959,0.02741635687732342,0.49465613382899626
Maclean - Yamba - Iluka,0,17532,2172,1286,9511,1878,4200,4832,90,2354,129,3237,1378,1444,345,700,6205,336,7575,0.14417524062396284,0.08536342515765018,0.6313308994357782,0.3027567306142189,0.6770917298081573,0.30432044338077846,0.005668220178863837,0.14825544778939412,0.008277189605389798,0.20769971126082773,0.08841835097850498,0.09265319217196022,0.02213666987487969,0.04491498235482836,0.41188184533687355,0.022303352140723532,0.5028211085297046
Macquarie Fields,0,14205,2290,827,6318,1224,3609,3359,156,1111,87,1482,779,1149,293,526,4959,491,4707,0.20863702623906705,0.07534620991253645,0.5756195335276968,0.24662502518637922,0.7271811404392504,0.24020308924485126,0.011155606407322655,0.0794479405034325,0.006354539478489519,0.10824629318530421,0.05689869257176247,0.08392374552625813,0.021400920312614126,0.03841939960558031,0.4518039358600583,0.04473396501457726,0.4288447521865889
Macquarie Park - Marsfield,0,23820,10861,1689,6083,6685,5369,5807,126,3687,350,1992,1339,2529,694,2373,12267,861,6421,0.5285158150851581,0.0821897810218978,0.2960097323600973,0.545002445785097,0.43771400619598894,0.25997224336302993,0.005640864932623002,0.1650624524331826,0.015911260626449063,0.09055780333681866,0.06087193708232941,0.11497022321225622,0.03154975678501614,0.10787834704732463,0.5969343065693431,0.0418978102189781,0.31245742092457424
Maitland,0,8625,1050,678,4361,1205,2927,2216,71,844,49,785,460,772,258,610,4199,232,1962,0.15652951699463327,0.10107334525939177,0.6501192605843769,0.2864273829332066,0.6957451865937723,0.26280834914611007,0.008420303605313094,0.10009487666034156,0.005864049784585926,0.09394447103877453,0.05505026328386788,0.09238870272857827,0.0308760172331259,0.0730014360938248,0.625968992248062,0.0345855694692904,0.2924865831842576
Maitland - North,0,8738,1631,731,3890,1680,2693,2365,48,528,38,523,348,629,252,984,4442,147,1989,0.24027695934001178,0.1076900412492634,0.5730701237477902,0.37752808988764047,0.6051685393258427,0.27477634483559893,0.0055768560474032764,0.06134541652143604,0.004448086152405478,0.06121971204494908,0.04073510476413438,0.07362753131218541,0.02949783448437317,0.11518202036755239,0.6543901001767826,0.02165586328815557,0.2930170889805539
Malabar - La Perouse,0,10606,2597,793,3576,2175,2104,2402,76,1053,74,862,338,575,238,1221,4365,150,3650,0.288523497389179,0.08810132207532496,0.39728919008999,0.49942594718714123,0.48312284730195176,0.2338623308343881,0.007399474247882387,0.1025216629344757,0.007308641975308642,0.0851358024691358,0.03338271604938271,0.056790123456790124,0.02350617283950617,0.1205925925925926,0.4849461170981002,0.01666481502055327,0.40551049883346296
Manly - Fairlight,0,22449,10453,1829,5147,8548,4140,5889,37,3452,141,1193,722,1711,434,4704,12894,458,4966,0.5442286666319571,0.0952256989639194,0.2679752173686677,0.662481593427885,0.32085561497326204,0.2825409010219258,0.0017751763181883607,0.1656191527131411,0.00685730960023344,0.05801964789417372,0.03511331582530882,0.08321174982978309,0.02110689621632137,0.2287715202801284,0.6713177487374394,0.023845473004633726,0.2585515697401989
