sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing
Umina - Booker Bay - Patonga,0,0,24697,3547,14268,20639,2816,3307,6325,9792,162,10884,8161,20639,1591,118,10096,10901,661,0.1718591017006638,0.6913125635931974,0.3377246732026144,0.6459354575163399,0.5273511313532633,0.3954164445951839,0.010824694982111733,0.9261535638932208
Wamberal - Forresters Beach,0,0,10675,2296,5404,8528,822,2218,2868,5171,86,3729,4397,8528,401,6,3622,3780,140,0.2692307692307692,0.6336772983114447,0.4289305743569909,0.5546315993038097,0.43726547842401503,0.5155956848030019,0.0015873015873015873,0.9582010582010582
Woy Woy - Blackwall,0,0,14346,2079,8533,12166,1552,1825,3675,5625,123,6624,4668,12166,866,462,5545,6380,367,0.17088607594936708,0.7013808975834293,0.3244444444444444,0.6533333333333333,0.5444681900378103,0.3836922571099786,0.07241379310344828,0.8691222570532915
Wyoming,0,0,11423,1706,6387,9281,1200,1515,3204,4805,83,4788,3817,9281,677,242,4020,4504,236,0.18381639909492511,0.6881801530007542,0.3152965660770031,0.6668054110301769,0.5158926839780196,0.4112703372481414,0.053730017761989345,0.8925399644760214
Bateau Bay - Killarney Vale,0,0,22825,2794,13181,18295,2329,2859,6748,9754,153,9214,7644,18295,1444,499,7781,8715,428,0.15271932221918558,0.7204700737906532,0.2931105187615337,0.6918187410293213,0.5036348729160973,0.41781907625034165,0.05725760183591509,0.8928284566838783
Blue Haven - San Remo,0,0,11290,608,7246,8735,880,855,3861,4805,91,4691,3574,8735,467,82,3788,4049,178,0.06960503720663995,0.829536348025186,0.17793964620187305,0.8035379812695109,0.5370349170005724,0.4091585575271895,0.020251914052852555,0.93553963941714
Budgewoi - Buff Point - Halekulani,0,0,9728,837,6245,8093,1006,930,2857,3840,56,4486,2990,8093,607,62,3837,4162,251,0.10342271098480169,0.7716545162486099,0.2421875,0.7440104166666667,0.5543061905350303,0.3694550846410478,0.014896684286400768,0.9219125420470927
Chittaway Bay - Tumbi Umbi,0,0,16006,2043,9552,12913,1306,2204,5292,7597,107,6191,6040,12913,687,90,5577,5883,214,0.15821265391465963,0.7397196623557655,0.29011451888903517,0.696590759510333,0.479439324711531,0.4677456826453961,0.015298317185109638,0.9479857215706272
Gorokan - Kanwal - Charmhaven,0,0,22362,1686,14190,18515,2635,1837,6623,8615,153,10131,6541,18515,1855,406,7980,9095,686,0.09106130164731299,0.7664056170672428,0.21323273360417877,0.7687753917585607,0.5471779638131244,0.35328112341344853,0.04463991203958219,0.8774051676745465
Jilliby - Yarramalong,0,0,3420,557,1992,2812,262,673,1058,1785,44,1258,1387,2812,163,0,1034,1102,62,0.1980796586059744,0.7083926031294452,0.37703081232492996,0.5927170868347339,0.4473684210526316,0.49324324324324326,0,0.9382940108892922
Lake Munmorah - Mannering Park,0,0,10960,811,7343,9360,1206,889,3012,3981,70,5480,3168,9360,701,9,4624,4887,260,0.08664529914529914,0.784508547008547,0.2233107259482542,0.7565938206480783,0.5854700854700855,0.3384615384615385,0.001841620626151013,0.946183752813587
Ourimbah - Fountaindale,0,0,4928,923,2740,4025,365,936,1580,2566,39,1837,1963,4025,220,24,1665,1761,64,0.2293167701863354,0.6807453416149069,0.36477007014809043,0.6157443491816056,0.4563975155279503,0.48770186335403726,0.013628620102214651,0.9454855195911414
Summerland Point - Gwandalan,0,0,6492,538,4242,5370,579,604,2068,2717,38,2929,2120,5370,319,0,2463,2573,104,0.10018621973929237,0.7899441340782123,0.222304011777696,0.7611336032388664,0.545437616387337,0.3947858472998138,0,0.9572483482316362
The Entrance,0,0,15839,2057,9678,13618,1882,1930,4259,6318,131,7282,5244,13618,1089,321,6626,7452,458,0.15105008077544427,0.7106770450873844,0.3054764165875277,0.6741057296612852,0.5347334410339257,0.3850785724776032,0.0430756843800322,0.8891572732152442
Toukley - Norah Head,0,0,9909,1011,6215,8312,1099,960,2690,3728,72,4594,3052,8312,662,175,3953,4399,264,0.12163137632338787,0.7477141482194418,0.2575107296137339,0.7215665236051502,0.5526948989412896,0.36717998075072183,0.039781768583769035,0.8986133212093658
Tuggerah - Kangy Angy,0,0,5229,787,3045,4190,372,762,1733,2528,40,2025,1960,4190,219,18,1828,1931,83,0.18782816229116944,0.7267303102625299,0.3014240506329114,0.6855221518987342,0.48329355608591884,0.4677804295942721,0.009321595028482652,0.9466597617814604
Warnervale - Wadalba,0,0,20051,2215,11267,15283,1810,2676,6392,9206,152,7188,7043,15283,1049,112,6162,6546,269,0.14493227769417,0.7372243669436629,0.2906799913100152,0.6943297849228763,0.47032650657593406,0.4608388405417784,0.017109685304002444,0.9413382218148487
Wyong,0,0,9120,881,5584,7467,1009,843,2602,3511,63,4117,2679,7467,661,403,3050,3719,271,0.11798580420516941,0.7478237578679523,0.24010253489034464,0.7410994018798063,0.5513593143163251,0.35877862595419846,0.10836246302769562,0.8201129335842968
Bathurst - East,0,0,12330,1543,6993,9609,1080,1607,4045,5739,87,4490,4496,9609,630,211,3953,4393,213,0.1605786242064731,0.7277552294723697,0.280013939710751,0.7048266248475344,0.4672702674575918,0.46789468206889373,0.04803095834281812,0.8998406555884362
Bathurst Surrounds,0,0,6909,1087,3730,5701,888,1288,2044,3403,70,2478,2586,5701,645,0,2376,2550,171,0.19066830380634978,0.65427118049465,0.3784895680282104,0.6006464883925948,0.43466058586212947,0.4536046307665322,0,0.9317647058823529
Oberon,0,0,4834,475,2725,4033,828,605,1399,2075,63,1825,1595,4033,607,35,1774,2079,255,0.1177783287875031,0.6756756756756757,0.29156626506024097,0.6742168674698795,0.45251673692040667,0.3954872303496157,0.016835016835016835,0.8532948532948533
Bathurst - South,0,0,10752,1905,5787,9414,1722,1411,3163,4646,68,4488,3571,9414,1351,226,4156,4684,295,0.20235818992989166,0.6147227533460803,0.30370210934136893,0.6808006887645286,0.4767367750159337,0.3793286594433822,0.04824935952177626,0.8872758326216909
Bathurst - West,0,0,14313,2317,7805,11249,1129,2207,4702,7044,129,4888,5681,11249,664,174,5047,5459,228,0.2059738643434972,0.6938394523957685,0.31331629755820556,0.6675184554230551,0.4345275135567606,0.5050226686816606,0.031873969591500274,0.9245283018867925
Condobolin,0,0,6372,531,3532,5018,965,1078,1522,2650,44,2546,1783,5018,700,164,2141,2621,306,0.10581905141490634,0.703866082104424,0.40679245283018867,0.5743396226415094,0.507373455559984,0.35532084495815064,0.06257153758107592,0.8168637924456315
Cowra,0,0,9273,785,5712,7604,1119,980,2610,3668,65,4320,2614,7604,667,216,3510,4015,280,0.10323513940031562,0.7511835875854813,0.26717557251908397,0.7115594329334788,0.5681220410310363,0.343766438716465,0.053798256537982564,0.8742216687422167
Cowra Surrounds,0,0,5716,579,3413,4816,830,956,1393,2392,29,2572,1627,4816,618,18,2178,2447,249,0.12022425249169436,0.7086794019933554,0.3996655518394649,0.5823578595317725,0.5340531561461794,0.3378322259136213,0.0073559460563955865,0.890069472823866
Forbes,0,0,10020,966,5775,8051,1306,1530,2811,4430,85,3952,3203,8051,894,157,3619,4210,420,0.11998509501925227,0.7173021984846603,0.345372460496614,0.6345372460496614,0.49087069929201343,0.39783877779157867,0.03729216152019002,0.8596199524940618
Grenfell,0,0,3597,342,2254,3036,438,641,816,1479,19,1759,1006,3036,284,47,1435,1611,118,0.11264822134387352,0.7424242424242424,0.43340094658553074,0.5517241379310345,0.5793807641633728,0.3313570487483531,0.029174425822470516,0.8907510862818125
Parkes (NSW),0,0,10919,1007,6527,8676,1142,1312,3401,4797,77,4288,3684,8676,707,222,3937,4478,313,0.11606731212540342,0.7523052097740894,0.27350427350427353,0.7089847821555139,0.4942369755647764,0.42461964038727523,0.049575703439035286,0.8791871371147834
Parkes Surrounds,0,0,3262,311,1823,2611,473,608,720,1361,41,1371,934,2611,314,45,1148,1347,141,0.11911145155112983,0.6981999234009958,0.446730345334313,0.5290227773695811,0.5250861738797395,0.35771734967445423,0.0334075723830735,0.852264291017075
West Wyalong,0,0,5525,460,3282,4438,679,900,1585,2536,49,2124,1793,4438,517,47,2138,2445,255,0.10365029292474087,0.7395223073456512,0.3548895899053628,0.625,0.4785939612438035,0.40401081568274,0.019222903885480574,0.874437627811861
Lithgow,0,1,12385,1118,7591,10393,1686,1064,3486,4641,86,5630,3614,10393,1148,367,4728,5462,362,0.10757240450303089,0.7303954584816703,0.22926093514328807,0.751131221719457,0.5417107668623111,0.34773405176561145,0.06719150494324423,0.8656169901135116
Lithgow Surrounds,0,1,8448,901,5176,7033,968,984,2620,3663,55,3663,2733,7033,637,69,3136,3488,267,0.1281103369827954,0.7359590501919522,0.26863226863226863,0.7152607152607152,0.5208303711076354,0.3885966159533627,0.01978211009174312,0.8990825688073395
Mudgee,0,0,12563,1556,7158,9883,1189,1565,4298,5948,91,4669,4541,9883,697,225,4470,5052,339,0.15744207224526965,0.7242740058686633,0.26311365164761263,0.722595830531271,0.47242740058686633,0.4594758676515228,0.04453681710213777,0.8847980997624703
Mudgee Surrounds - East,0,0,3398,285,2102,2891,495,359,776,1159,30,1743,802,2891,349,31,1420,1627,179,0.09858180560359737,0.7270840539605673,0.3097497842968076,0.6695427092320967,0.6029055690072639,0.2774126599792459,0.019053472649047325,0.8727719729563614
Mudgee Surrounds - West,0,0,11072,1012,6496,8931,1427,1493,3252,4831,89,4521,3378,8931,1042,26,3974,4426,419,0.11331317881536222,0.7273541596685702,0.30904574622231423,0.673152556406541,0.5062143097077595,0.3782331205911992,0.00587437867148667,0.8978761861726163
Wollangambe - Wollemi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Blayney,0,0,7517,931,4304,5997,750,1122,2318,3516,65,2843,2658,5997,493,73,2703,2978,194,0.1552442888110722,0.7176921794230449,0.3191126279863481,0.6592718998862344,0.47407036851759216,0.4432216108054027,0.024513096037609133,0.9076561450638012
Orange,0,0,19023,3014,10354,15405,2042,2685,5410,8231,137,7498,6623,15405,1291,562,7049,8157,528,0.19565076273937032,0.672119441739695,0.32620580731381366,0.657271291459118,0.4867250892567348,0.4299253489126907,0.06889787912222631,0.8641657472109844
