sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Belmont - Bennetts Green,4848,125,1962,218,374
Belmont South - Blacksmiths,1532,40,803,141,230
Charlestown - Dudley,6715,149,2782,279,556
Glendale - Cardiff - Hillsborough,6608,155,2437,234,407
Mount Hutton - Windale,2361,58,1248,219,178
Redhead,914,14,486,66,48
Swansea - Caves Beach,3495,85,1394,195,775
Valentine - Eleebana,3539,81,843,63,197
Warners Bay - Boolaroo,4021,97,1725,193,350
Bolton Point - Teralba,2568,90,1018,184,205
Bonnells Bay - Silverwater,2680,75,907,123,459
Edgeworth - Cameron Park,4319,111,1160,143,212
Morisset - Cooranbong,4483,191,2018,258,592
Toronto - Awaba,3744,99,1667,221,393
Wangi Wangi - Rathmines,2725,75,840,143,352
West Wallsend - Barnsley - Killingworth,1970,76,533,73,91
Adamstown - Kotara,4393,71,1761,144,356
Beresfield - Hexham,2201,76,1059,105,178
Hamilton - Broadmeadow,2952,42,2268,392,613
Lambton - New Lambton,4493,71,2225,199,402
Maryland - Fletcher - Minmi,4357,114,920,123,182
Mayfield - Warabrook,3744,53,2555,222,510
Merewether - The Junction,3647,50,1895,187,509
Newcastle - Cooks Hill,3004,9,3117,377,1349
Newcastle Port - Kooragang,7,0,7,9,0
Shortland - Jesmond,2365,52,1830,255,338
Stockton - Fullerton Cove,2356,52,1134,235,276
Wallsend - Elermore Vale,5296,119,2756,263,469
Waratah - North Lambton,2976,47,1961,207,364
Wickham - Carrington - Tighes Hill,2267,22,1652,158,430
Ballina,4762,87,3231,592,689
Ballina Surrounds,4893,153,1776,317,451
Bangalow,1646,56,564,312,258
Brunswick Heads - Ocean Shores,2181,55,1282,381,504
Byron Bay,2256,49,1645,528,1306
Evans Head,1442,42,784,358,384
Lennox Head - Skennars Head,2479,52,810,229,333
Mullumbimby,1927,74,1071,463,353
Casino,3033,76,1598,398,336
Casino Surrounds,1792,57,710,327,303
Goonellabah,3408,93,1848,220,321
Kyogle,1895,59,1079,298,417
Lismore,3476,78,2670,432,548
Lismore Surrounds,4047,113,1528,597,540
Kingscliff - Fingal Head,3805,92,1726,504,952
Murwillumbah,2349,74,1244,255,278
Murwillumbah Surrounds,2498,119,899,454,395
Pottsville,3618,90,1332,440,631
Tweed Heads,5118,140,3364,793,1016
Banora Point,4373,122,1875,222,365
Terranora - North Tumbulgum,862,38,157,37,58
Tweed Heads South,2102,37,1571,375,285
Griffith (NSW),4885,183,2110,496,623
Griffith Surrounds,3078,59,1123,637,469
Leeton,2452,61,1112,308,316
Narrandera,1433,19,751,233,363
Tumbarumba,901,14,384,149,259
Tumut,1706,28,873,203,260
Tumut Surrounds,1243,17,512,209,333
Cootamundra,2063,25,1081,207,409
Gundagai,879,13,431,180,229
Junee,1404,28,645,140,270
Temora,1717,22,895,156,444
Wagga Wagga - East,4466,83,1765,252,471
Wagga Wagga - North,1253,18,501,105,133
Wagga Wagga - South,5704,107,2545,388,585
Wagga Wagga - West,2655,41,2289,386,596
Wagga Wagga Surrounds,4444,79,1456,414,616
Berry - Kangaroo Valley,2676,57,1152,336,845
Callala Bay - Currarong,1031,21,439,139,1479
Culburra Beach,1402,33,759,162,1167
Ettrema - Sassafras - Budawang,18,0,8,6,16
Huskisson - Vincentia,1350,17,655,173,1454
North Nowra - Bomaderry,4232,106,1908,289,432
Nowra,5228,139,2493,623,570
St Georges Basin - Erowal Bay,4138,110,1961,356,1712
Sussex Inlet - Berrara,1260,18,808,166,1187
Tomerong - Wandandian - Woollamia,983,40,241,98,181
Ulladulla,4710,86,2176,531,2098
Ulladulla Surrounds,1598,45,710,308,1681
Bowral,3766,68,1726,240,644
Hill Top - Colo Vale,1652,84,444,62,144
Mittagong,2866,74,1228,208,335
Moss Vale - Berrima,2792,64,1229,216,343
Robertson - Fitzroy Falls,1041,29,330,156,303
Southern Highlands,1968,67,756,246,534
Baulkham Hills - East,6512,221,1583,167,549
Baulkham Hills (West) - Bella Vista,5629,328,908,151,379
Glenhaven,1703,46,415,28,76
West Pennant Hills,3371,199,394,60,111
Castle Hill - Central,2028,71,520,55,152
Castle Hill - East,1209,69,535,51,251
Castle Hill - North,3168,183,521,80,207
Castle Hill - South,2766,129,557,84,206
Castle Hill - West,1322,78,151,20,38
Cherrybrook,4983,247,710,73,202
Kellyville - East,4520,244,487,63,165
Kellyville - West,2836,135,542,70,253
Dural - Kenthurst - Wisemans Ferry,5301,434,1073,209,482
Galston - Laughtondale,1298,93,376,73,137
Bilpin - Colo - St Albans,690,37,276,148,403
Kurrajong Heights - Ebenezer,5604,359,1181,183,305
Pitt Town - McGraths Hill,2769,177,618,175,170
Box Hill - Nelson,2690,120,252,69,128
North Kellyville,4304,214,565,141,237
Rouse Hill - Beaumont Hills,4459,201,476,81,165
Blacktown (East) - Kings Park,4009,168,1714,379,643
Blacktown (North) - Marayong,4867,277,1536,345,416
Doonside - Woodcroft,5473,366,1215,371,281
Lalor Park - Kings Langley,6350,243,2047,433,478
Blacktown - South,3028,134,930,200,202
Blacktown - West,3929,199,1183,347,337
Seven Hills - Prospect,3700,174,1123,226,254
Toongabbie - West,2841,126,826,179,248
Glenwood,3868,261,366,63,93
Acacia Gardens,938,59,117,10,19
Quakers Hill,6233,279,1109,250,282
Kellyville Ridge - The Ponds,5127,262,599,113,191
Marsden Park - Shanes Park,3791,220,455,149,122
Riverstone,3506,139,722,226,223
Schofields (West) - Colebee,2441,149,229,93,92
Schofields - East,6240,273,1090,380,604
Stanhope Gardens - Parklea,2919,161,519,68,124
Bidwill - Hebersham - Emerton,4060,211,1328,620,297
Glendenning - Dean Park,2012,109,339,103,86
Hassall Grove - Plumpton,4812,375,840,267,152
Lethbridge Park - Tregear,4723,232,1628,587,445
Mount Druitt - Whalan,4949,292,1744,504,671
Prospect Reservoir,5,0,0,16,3
Rooty Hill - Minchinbury,5092,347,1094,329,292
Banksmeadow,135,0,72,46,27
Botany,3347,90,1312,219,456
Pagewood - Hillsdale - Daceyville,3665,94,1929,332,634
Port Botany Industrial,0,0,3,0,0
Sydney Airport,0,0,0,4,0
Eastlakes,2192,78,1160,179,384
Mascot,5124,173,2807,440,1059
Petersham - Stanmore,4649,49,3555,296,1115
Sydenham - Tempe - St Peters,2071,58,1042,113,318
Marrickville - North,2932,78,1809,180,453
Marrickville - South,3325,116,2358,254,641
Darlinghurst,2109,0,3275,360,1198
Erskineville - Alexandria,5019,23,3945,432,1022
Glebe - Forest Lodge,4642,33,4790,584,1611
Potts Point - Woolloomooloo,3359,11,6699,776,2632
Surry Hills,3171,15,4590,613,1352
Camperdown - Darlington,1465,10,1447,130,496
Chippendale,1411,8,2324,343,780
Newtown (NSW),3216,14,3297,323,865
Pyrmont,3165,35,2382,443,933
Redfern,2759,24,3363,496,976
Rosebery - Beaconsfield,3253,42,1980,262,651
Sydney (North) - Millers Point,1857,15,1981,486,2072
Sydney (South) - Haymarket,3745,101,3799,701,1879
Ultimo,1306,26,1601,198,617
Waterloo,3723,24,4298,713,1360
Zetland,3185,33,2840,307,1104
Bondi - Tamarama - Bronte,4483,59,3134,434,955
Bondi Beach - North Bondi,4782,33,3727,502,1450
Bondi Junction - Waverly,4253,40,2835,463,978
Centennial Park,0,0,0,0,0
Dover Heights,2885,55,1166,185,425
Paddington - Moore Park,3453,20,3055,259,1136
Rose Bay - Vaucluse - Watsons Bay,3058,49,1124,187,516
Woollahra,1843,19,1225,136,560
Bellevue Hill,3693,49,1893,234,808
Double Bay - Darling Point,2519,14,2109,271,1049
Kensington (NSW),2523,50,1739,228,961
Kingsford,2985,76,2051,210,568
Maroubra - North,2468,77,1070,103,328
Maroubra - South,2788,49,1722,319,393
Maroubra - West,2547,52,1223,117,357
Randwick - North,4058,31,2664,249,854
Randwick - South,3034,38,1966,234,717
Coogee - Clovelly,4959,45,3033,383,1088
Malabar - La Perouse,2402,76,1053,166,335
Matraville - Chifley,3329,127,1155,256,302
South Coogee,1312,30,711,131,221
Bass Hill - Georges Hall,5036,304,1368,548,409
Chullora,348,15,73,30,29
Condell Park,2666,196,556,260,195
Padstow,4283,188,1440,201,324
Revesby,4197,233,1306,196,348
Yagoona - Birrong,4758,336,1459,417,421
Bankstown - North,3894,177,1460,391,637
Bankstown - South,3869,265,1432,467,580
Greenacre - North,2962,195,921,313,300
Greenacre - South,2700,216,599,231,257
Panania (North) - Milperra,2887,113,762,115,173
Panania (South) - Picnic Point,4062,168,1171,139,282
Belmore - Belfield,4793,175,1973,484,605
Punchbowl,4380,325,1456,455,506
Roselands,3433,179,1094,192,407
Lakemba,3389,154,1406,413,516
Wiley Park,2099,107,886,243,339
Campsie - North,2658,118,1209,204,438
Campsie - South,1999,97,999,304,297
Canterbury - South,2978,132,1347,321,396
Earlwood,4584,187,1339,182,417
Kingsgrove - North,1547,80,427,74,124
Narwee - Beverly Hills,3332,181,1279,195,330
Oatley - Hurstville Grove,3306,131,864,86,284
Peakhurst - Lugarno,5106,218,1516,243,375
Riverwood,2700,140,1526,295,365
South Hurstville - Blakehurst,6028,326,1924,298,608
Hurstville - Central,2895,154,1262,165,557
Hurstville - North,2759,251,781,113,302
Mortdale - Oatley,3757,129,1381,158,323
Penshurst,2340,106,1139,193,251
Kingsgrove (South) - Bardwell Park,3304,139,1010,133,290
Kogarah,3217,80,1587,272,612
Kogarah Bay - Carlton - Allawah,4069,160,1519,221,481
Monterey - Brighton-le-Sands - Kyeemagh,3488,112,2028,318,559
Rockdale - Banksia,4612,219,2232,354,777
Sans Souci - Ramsgate,4276,132,2153,347,494
Arncliffe - Bardwell Valley,3780,215,1570,398,605
Bexley - North,2367,152,638,108,208
Bexley - South,3797,196,1483,206,518
Wolli Creek,2691,34,1901,252,551
Concord - Mortlake - Cabarita,6346,201,2108,242,741
Drummoyne - Rodd Point,4967,80,2141,253,777
Five Dock - Abbotsford,5676,127,2568,270,729
