sa2,Has kidney disease,Does not have kidney disease,Not stated
Kingscliff - Fingal Head,172,13440,1203
Murwillumbah,127,8379,1002
Murwillumbah Surrounds,78,8895,1374
Pottsville,130,12570,1389
Tweed Heads,301,18147,2122
Banora Point,260,14840,1223
Terranora - North Tumbulgum,26,3031,264
Tweed Heads South,191,7530,704
Griffith (NSW),152,18409,2008
Griffith Surrounds,118,10737,1904
Leeton,113,9162,1055
Narrandera,84,5043,774
Tumbarumba,45,2990,485
Tumut,107,5894,664
Tumut Surrounds,63,4133,547
Cootamundra,151,6842,711
Gundagai,47,3178,493
Junee,65,4953,1336
Temora,90,5979,535
Wagga Wagga - East,188,15551,1178
Wagga Wagga - North,58,5036,505
Wagga Wagga - South,281,20458,1786
Wagga Wagga - West,185,10593,1185
Wagga Wagga Surrounds,159,15859,1772
Berry - Kangaroo Valley,130,8622,732
Callala Bay - Currarong,69,3294,285
Culburra Beach,111,4637,357
Ettrema - Sassafras - Budawang,0,58,8
Huskisson - Vincentia,67,4385,390
North Nowra - Bomaderry,270,14504,1320
Nowra,453,19067,3063
St Georges Basin - Erowal Bay,361,13530,1368
Sussex Inlet - Berrara,112,4090,496
Tomerong - Wandandian - Woollamia,45,3292,371
Ulladulla,259,15391,1375
Ulladulla Surrounds,82,5204,530
Bowral,166,12462,999
Hill Top - Colo Vale,53,5916,420
Mittagong,85,10107,737
Moss Vale - Berrima,92,9603,954
Robertson - Fitzroy Falls,22,3479,338
Southern Highlands,64,6600,580
Baulkham Hills - East,188,23445,1092
Baulkham Hills (West) - Bella Vista,125,20573,987
Glenhaven,63,5972,334
West Pennant Hills,84,12072,528
Castle Hill - Central,51,7280,337
Castle Hill - East,64,5062,545
Castle Hill - North,96,11527,568
Castle Hill - South,69,9854,491
Castle Hill - West,36,4964,182
Cherrybrook,130,18192,768
Kellyville - East,101,16920,694
Kellyville - West,79,10741,561
Dural - Kenthurst - Wisemans Ferry,192,20869,1421
Galston - Laughtondale,56,4959,419
Bilpin - Colo - St Albans,29,2470,349
Kurrajong Heights - Ebenezer,169,20588,1404
Pitt Town - McGraths Hill,107,10415,896
Box Hill - Nelson,40,9748,492
North Kellyville,61,16371,969
Rouse Hill - Beaumont Hills,102,16786,692
Blacktown (East) - Kings Park,140,15399,1495
Blacktown (North) - Marayong,201,18749,1630
Doonside - Woodcroft,224,21403,1754
Lalor Park - Kings Langley,218,23216,1934
Blacktown - South,116,11540,984
Blacktown - West,162,15548,1431
Seven Hills - Prospect,123,13713,1030
Toongabbie - West,87,10701,790
Glenwood,103,15121,610
Acacia Gardens,25,3553,93
Quakers Hill,151,23098,1424
Kellyville Ridge - The Ponds,124,20021,911
Marsden Park - Shanes Park,71,14534,924
Riverstone,80,12641,1124
Schofields (West) - Colebee,46,9377,592
Schofields - East,85,23494,1549
Stanhope Gardens - Parklea,76,11139,1821
Bidwill - Hebersham - Emerton,229,15652,2646
Glendenning - Dean Park,78,7713,575
Hassall Grove - Plumpton,203,19554,1660
Lethbridge Park - Tregear,255,18510,2787
Mount Druitt - Whalan,281,20221,2413
Prospect Reservoir,0,11,4
Rooty Hill - Minchinbury,194,20677,1953
Banksmeadow,0,412,92
Botany,86,11904,972
Pagewood - Hillsdale - Daceyville,137,13479,1152
Port Botany Industrial,0,5,0
Sydney Airport,0,17,4
Eastlakes,88,8212,640
Mascot,99,19935,1540
Petersham - Stanmore,116,18357,1431
Sydenham - Tempe - St Peters,49,7728,501
Marrickville - North,82,11354,873
Marrickville - South,125,13178,973
Darlinghurst,48,9595,968
Erskineville - Alexandria,78,17836,1213
Glebe - Forest Lodge,132,18455,1673
Potts Point - Woolloomooloo,128,16021,2041
Surry Hills,87,14268,1471
Camperdown - Darlington,35,7711,584
Chippendale,16,7051,739
Newtown (NSW),82,13610,977
Pyrmont,70,11462,1120
Redfern,121,12268,1280
Rosebery - Beaconsfield,51,11366,870
Sydney (North) - Millers Point,39,7211,750
Sydney (South) - Haymarket,51,18158,1724
Ultimo,28,6758,630
Waterloo,123,14567,1691
Zetland,38,11819,763
Bondi - Tamarama - Bronte,95,17447,1508
Bondi Beach - North Bondi,94,18886,1728
Bondi Junction - Waverly,147,16120,1453
Centennial Park,0,0,0
Dover Heights,60,10359,698
Paddington - Moore Park,81,13714,1001
Rose Bay - Vaucluse - Watsons Bay,91,10957,877
Woollahra,46,6828,586
Bellevue Hill,85,13430,915
Double Bay - Darling Point,62,9155,744
Kensington (NSW),73,10877,862
Kingsford,78,12661,863
Maroubra - North,96,9074,623
Maroubra - South,121,10067,894
Maroubra - West,74,9271,507
Randwick - North,91,14858,1255
Randwick - South,73,11707,961
Coogee - Clovelly,92,18121,1311
Malabar - La Perouse,132,8749,1726
Matraville - Chifley,133,12206,1076
South Coogee,48,5069,500
Bass Hill - Georges Hall,220,20745,2890
Chullora,0,1347,124
Condell Park,91,11401,1284
Padstow,171,15866,1165
Revesby,137,16093,1435
Yagoona - Birrong,234,20000,2246
Bankstown - North,147,15242,1592
Bankstown - South,142,16251,2037
Greenacre - North,148,12973,1523
Greenacre - South,131,11900,1388
Panania (North) - Milperra,117,10562,667
Panania (South) - Picnic Point,119,14926,949
Belmore - Belfield,193,18157,1981
Punchbowl,197,19168,2177
Roselands,135,13303,1139
Lakemba,140,15210,1744
Wiley Park,84,8987,1065
Campsie - North,94,10881,929
Campsie - South,66,7851,1149
Canterbury - South,92,10940,1190
Earlwood,168,16616,1193
Kingsgrove - North,58,5802,391
Narwee - Beverly Hills,146,12746,899
Oatley - Hurstville Grove,101,11838,653
Peakhurst - Lugarno,191,18764,1274
Riverwood,134,10443,1032
South Hurstville - Blakehurst,193,23484,1580
Hurstville - Central,60,11274,712
Hurstville - North,95,11244,770
Mortdale - Oatley,93,13814,813
Penshurst,67,8687,778
Kingsgrove (South) - Bardwell Park,112,12111,746
Kogarah,106,11810,1138
Kogarah Bay - Carlton - Allawah,134,14974,1094
Monterey - Brighton-le-Sands - Kyeemagh,130,12566,1202
Rockdale - Banksia,152,18213,1482
Sans Souci - Ramsgate,162,15207,1292
Arncliffe - Bardwell Valley,110,14849,1621
Bexley - North,115,9189,849
Bexley - South,132,14641,1060
Wolli Creek,24,9918,785
Concord - Mortlake - Cabarita,196,21635,1277
Drummoyne - Rodd Point,112,17043,1210
Five Dock - Abbotsford,157,19336,1440
Concord West - North Strathfield,98,11834,916
Rhodes,51,10781,624
Balmain,98,14436,1046
Lilyfield - Rozelle,77,12862,889
Annandale (NSW),50,8696,712
Leichhardt,109,16351,1071
Canterbury (North) - Ashbury,76,11221,708
Croydon Park - Enfield,142,16040,1250
Dulwich Hill - Lewisham,120,16443,1391
Haberfield - Summer Hill,109,12672,744
Homebush,96,19221,1507
Strathfield South,39,3403,192
Ashfield - North,78,10712,663
Ashfield - South,121,11432,691
Burwood (NSW),80,14655,1201
Croydon,93,10257,648
Strathfield - East,80,15198,1145
Strathfield - West,67,8648,534
Chatswood (West) - Lane Cove North,131,20051,1109
St Leonards - Naremburn,64,11135,704
Artarmon,63,8822,517
Castle Cove - Northbridge,67,12719,650
Chatswood - East,122,18400,1077
Greenwich - Riverview,77,12220,637
Lane Cove,85,15054,748
Willoughby,93,12219,688
Asquith - Mount Colah,130,20920,1008
Berowra - Brooklyn - Cowan,69,11189,524
Normanhurst - Thornleigh - Westleigh,133,18197,824
Hornsby - East,78,11236,617
Hornsby - West,68,9987,573
Wahroonga (West) - Waitara,89,11127,663
Gordon - Killara,133,21239,1066
Lindfield - Roseville,153,23342,1101
Pymble,105,16338,774
St Ives,140,20734,789
Turramurra,137,19292,811
Wahroonga (East) - Warrawee,113,17231,852
Cremorne - Cammeray,125,17783,997
Crows Nest - Waverton,98,16940,889
Neutral Bay - Kirribilli,129,15806,1254
North Sydney - Lavender Bay,63,11427,956
Mosman - North,83,12854,826
Mosman - South,97,13704,771
Balgowlah - Clontarf - Seaforth,121,19515,1099
Manly - Fairlight,97,20895,1443
Avalon - Palm Beach,78,12114,856
Bayview - Elanora Heights,84,10387,771
Newport - Bilgola,67,12813,798
Mona Vale - Warriewood (North),136,13373,1129
North Narrabeen - Warriewood (South),61,10094,722
Beacon Hill - Narraweena,128,13483,933
Cromer,62,7500,484
Forestville - Killarney Heights,120,12366,682
Freshwater - Brookvale,99,20418,1310
Manly Vale - Allambie Heights,94,16526,933
Terrey Hills - Duffys Forest,30,3530,222
Belrose,76,8187,388
Collaroy - Collaroy Plateau,77,13028,869
Dee Why (South) - North Curl Curl,49,8505,563
Dee Why - North,103,16681,1040
Frenchs Forest - Oxford Falls,106,16267,798
Narrabeen - Wheeler Heights,105,10397,743
Camden - Ellis Lane,158,12246,893
Currans Hill,46,6015,389
Elderslie - Narellan,110,12961,950
Harrington Park,65,10590,580
Mount Annan,134,17747,1150
Spring Farm,45,9008,491
Bradbury - Wedderburn,221,17961,1822
Campbelltown - Woodbine,260,19851,1979
Claymore - Eagle Vale - Raby,180,18292,1762
Holsworthy Military Area,0,5,0
Leumeah - Minto Heights,145,15220,1361
Minto - St Andrews,212,19352,1771
Rosemeadow - Glen Alpine,220,18991,1946
Denham Court - Bardia,81,14043,747
Glenfield,127,9756,657
Ingleburn,167,15259,1294
Macquarie Fields,163,12600,1436
Bargo,62,5390,490
Douglas Park - Appin,92,10019,995
Picton - Tahmoor - Buxton,194,17323,1471
The Oaks - Oakdale,55,9013,732
Blackheath - Megalong Valley,72,5216,477
Blaxland - Warrimoo - Lapstone,134,17857,999
Blue Mountains - North,0,7,0
Katoomba - Leura,167,12290,888
Lawson - Hazelbrook - Linden,100,10690,659
