"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Terrigal - North Avoca",0,3542,58,0,0,15,0,7288,1060,404,61,0,471,191,152,0,52,0,0,35,0,44,46,0,190,55,0,158,5,7,38,70,3,0,0,0,113,17,12,737,14849,
"Umina - Booker Bay - Patonga",4,6721,147,4,3,59,0,11660,1649,571,79,0,629,235,347,5,46,3,0,58,0,110,170,0,212,69,0,135,14,9,37,106,3,5,0,0,55,35,20,1484,24697,
"Wamberal - Forresters Beach",0,2976,29,0,0,15,0,5276,758,276,29,0,258,115,91,0,46,0,0,12,0,25,22,0,109,13,0,75,3,4,26,25,4,3,0,3,37,15,8,423,10675,
"Woy Woy - Blackwall",3,4015,52,13,0,37,0,6460,892,317,45,0,318,109,138,0,37,0,0,18,0,87,160,0,329,56,0,142,7,3,33,65,7,3,0,6,37,21,9,909,14346,
"Wyoming",0,3102,55,3,0,48,3,5149,666,252,24,0,259,76,143,0,9,0,0,35,0,69,173,0,168,135,0,256,5,0,8,42,5,0,0,4,38,19,22,652,11423,
"Bateau Bay - Killarney Vale",0,7101,92,0,0,43,0,10531,1501,402,32,0,561,159,127,3,49,0,0,22,0,33,121,0,167,28,0,99,11,0,21,60,5,0,0,5,49,30,13,1558,22825,
"Blue Haven - San Remo",0,4039,88,0,0,50,0,5042,531,186,13,0,270,75,40,0,45,0,0,10,0,13,104,0,51,13,0,48,0,0,11,48,0,0,0,0,15,14,13,549,11290,
"Budgewoi - Buff Point - Halekulani",0,3026,38,3,0,25,0,4671,580,215,11,0,226,43,55,0,8,0,3,4,0,31,52,0,39,11,0,11,5,0,12,10,4,0,0,0,14,15,3,602,9728,
"Chittaway Bay - Tumbi Umbi",0,4980,84,8,0,27,0,7740,1021,375,41,0,403,112,83,0,30,0,0,14,0,27,77,0,118,18,0,119,3,0,13,67,0,0,0,0,34,22,19,583,16006,
"Gorokan - Kanwal - Charmhaven",4,7108,133,5,0,117,0,9895,1137,426,35,0,501,162,158,0,49,0,0,12,0,90,199,0,187,39,0,175,11,0,21,56,3,5,0,0,41,44,8,1731,22362,
"Jilliby - Yarramalong",0,1089,6,0,0,0,0,1587,215,89,13,0,82,33,18,0,5,0,0,0,0,6,23,0,16,8,0,12,5,0,10,3,0,0,0,0,12,3,12,187,3420,
"Lake Munmorah - Mannering Park",0,3504,37,0,0,14,0,5351,554,263,22,0,262,54,57,4,31,0,0,3,0,20,41,0,32,12,0,19,6,0,15,16,0,0,0,0,11,11,5,614,10960,
"Ourimbah - Fountaindale",0,1381,11,0,0,19,0,2413,335,129,11,0,92,18,39,0,18,0,0,7,0,28,30,0,94,14,0,39,0,0,7,11,0,3,0,0,11,3,0,196,4928,
"Summerland Point - Gwandalan",0,2066,9,0,0,5,0,3015,429,146,9,0,200,64,54,0,20,0,0,8,0,5,22,0,34,4,0,9,8,0,7,14,0,0,0,0,15,15,4,345,6492,
"The Entrance",6,4609,59,0,0,30,0,6955,1111,316,27,0,479,204,120,3,79,5,0,15,0,59,117,0,158,27,0,243,4,4,21,47,4,4,0,7,46,25,20,1038,15839,
"Toukley - Norah Head",0,3234,37,0,0,19,0,4484,646,166,22,0,225,76,59,5,25,0,0,7,0,28,51,0,59,5,0,52,0,0,7,24,0,0,0,0,7,10,17,659,9909,
"Tuggerah - Kangy Angy",4,1404,38,0,0,0,0,2331,307,113,16,0,164,47,48,0,25,3,0,13,0,29,79,0,107,40,0,139,3,0,8,11,0,0,0,0,30,9,0,242,5229,
"Warnervale - Wadalba",0,6108,119,3,0,112,0,8377,919,378,41,7,601,146,154,8,67,0,0,39,0,86,307,0,243,98,0,706,12,4,20,90,7,3,0,20,109,27,62,1183,20051,
"Wyong",4,2770,63,4,0,53,0,3789,428,182,17,0,188,63,58,0,28,0,0,18,0,53,151,0,191,46,0,190,7,0,14,36,0,0,0,0,32,25,8,694,9120,
"Bathurst - East",0,4285,42,0,0,9,0,5539,776,230,16,0,163,44,45,4,67,0,0,6,0,43,56,0,79,19,0,222,31,0,5,9,0,0,0,5,23,9,10,608,12330,
"Bathurst Surrounds",0,2168,11,0,0,0,0,3125,501,160,15,0,129,37,39,0,18,0,0,3,0,5,14,0,14,3,0,18,0,0,4,0,0,0,0,0,6,9,5,623,6909,
