"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Kingscliff - Fingal Head",0,4051,92,10,0,17,0,7412,1178,394,51,0,238,82,78,4,6,6,0,8,0,20,57,0,74,39,0,62,6,0,26,41,0,10,0,0,33,16,19,795,14818,
"Murwillumbah",0,2603,29,0,0,3,0,4445,749,229,25,0,169,37,46,0,6,3,6,5,0,17,40,0,30,11,0,155,0,0,23,15,0,0,0,0,15,11,9,808,9501,
"Murwillumbah Surrounds",0,2829,23,4,0,0,0,4726,651,314,17,0,166,52,70,0,12,5,0,7,0,24,38,0,39,12,0,79,0,0,20,18,0,0,0,0,20,13,6,1196,10352,
"Pottsville",0,3789,47,3,0,28,0,6817,1083,392,30,0,250,53,80,0,12,0,0,20,0,29,48,0,68,44,0,31,3,6,18,24,8,4,0,0,34,14,15,1124,14086,
"Tweed Heads",0,5193,145,9,0,38,3,9588,1423,546,69,0,531,129,153,6,21,3,0,18,0,64,187,0,149,111,0,171,3,4,35,144,0,0,0,9,54,23,23,1727,20563,
"Banora Point",0,4569,72,0,0,31,0,8056,1114,401,29,0,359,72,98,0,15,0,0,16,0,61,142,0,118,38,0,114,4,0,17,25,0,0,0,3,17,21,31,887,16320,
"Terranora - North Tumbulgum",0,929,17,0,0,0,0,1683,248,97,7,0,70,10,32,0,3,0,0,0,0,4,10,0,14,3,0,30,0,0,4,7,0,0,0,4,4,0,0,144,3324,
"Tweed Heads South",0,2404,44,3,0,9,0,4012,487,220,13,0,158,41,45,0,9,0,0,3,0,49,91,0,83,20,0,153,3,0,22,19,0,3,0,0,13,9,9,489,8423,
"Griffith (NSW)",22,3954,75,29,7,838,0,5644,774,219,14,0,3874,42,37,0,44,0,3,124,0,37,512,0,306,21,0,2101,99,0,14,40,7,0,0,14,104,50,53,1507,20569,
"Griffith Surrounds",3,3387,30,0,0,89,0,4451,598,192,5,3,1794,11,22,0,34,0,0,9,0,15,160,0,54,29,0,241,0,0,4,14,0,0,0,5,49,4,19,1505,12760,
"Leeton",0,2955,20,8,0,64,0,4040,639,181,4,0,840,26,18,0,8,0,0,0,0,30,182,0,162,8,0,231,22,0,0,8,5,0,0,4,50,13,4,789,10330,
"Narrandera",3,2184,7,0,0,8,0,2359,380,106,9,0,84,9,16,0,10,0,0,4,0,13,28,0,21,0,0,44,0,6,0,0,6,0,0,9,3,0,3,582,5905,
"Tumbarumba",0,1106,6,7,0,0,0,1529,177,110,3,0,45,15,31,0,0,0,0,3,0,10,4,0,15,0,0,15,0,0,7,0,0,0,0,0,9,4,0,409,3522,
"Tumut",0,2366,24,0,0,12,0,2835,347,182,14,0,47,19,26,4,7,0,0,6,0,11,62,0,40,7,0,70,0,0,6,6,0,0,0,0,48,0,9,511,6667,
"Tumut Surrounds",0,1602,13,0,0,4,0,2034,296,108,25,0,33,31,27,0,0,0,0,6,0,30,9,0,34,4,0,11,0,0,5,0,0,0,0,0,22,3,0,449,4744,
"Cootamundra",0,2667,18,0,0,23,0,3591,521,146,14,0,41,13,23,0,0,0,0,4,0,15,35,0,32,0,0,32,5,0,7,5,3,0,0,0,6,8,6,511,7705,
"Gundagai",0,1223,9,0,0,15,0,1619,220,43,3,0,22,16,9,0,8,0,0,0,0,0,19,0,86,0,0,19,0,0,0,0,0,0,0,0,6,3,0,400,3715,
"Junee",0,1881,19,4,0,36,0,2416,404,101,5,0,38,8,9,0,6,0,0,0,0,13,43,0,112,4,0,12,0,0,9,0,0,0,0,0,11,3,0,1204,6351,
"Temora",0,2170,8,0,0,6,0,3042,464,247,8,0,45,23,9,0,6,0,0,0,0,17,43,0,26,3,0,33,0,0,12,4,0,0,0,0,5,7,7,418,6603,
"Wagga Wagga - East",0,5359,35,0,0,55,0,7537,1288,409,25,0,195,99,55,3,155,0,31,41,0,57,107,0,167,42,0,362,3,0,11,5,3,0,0,12,32,6,33,773,16921,
"Wagga Wagga - North",0,1659,4,0,0,46,0,2323,337,133,4,0,70,18,13,0,44,0,0,33,0,32,62,0,104,9,0,318,8,0,3,0,0,0,0,10,30,8,6,338,5605,
"Wagga Wagga - South",5,6985,41,7,0,69,0,9384,1523,490,31,0,306,90,56,13,464,0,39,157,0,293,177,0,212,17,0,500,58,3,7,13,9,3,0,55,110,49,88,1262,22522,
"Wagga Wagga - West",3,3618,23,7,0,49,0,4919,854,253,12,0,142,47,40,0,166,0,23,31,0,104,73,0,123,17,0,407,18,0,13,12,5,0,0,32,41,28,26,869,11962,
"Wagga Wagga Surrounds",0,5835,19,0,0,12,0,7741,1211,473,20,0,201,54,55,3,34,0,19,26,0,42,74,0,78,25,0,324,0,0,22,20,4,0,0,12,41,16,31,1404,17788,
"Berry - Kangaroo Valley",0,2449,17,7,0,7,0,5023,679,299,26,0,157,56,65,0,14,3,0,4,0,6,14,0,54,16,0,28,0,0,18,17,8,0,0,0,24,0,11,488,9489,
"Callala Bay - Currarong",0,977,11,0,0,0,0,1765,264,106,12,0,125,85,36,0,10,3,0,0,0,8,24,0,18,0,0,7,0,0,0,17,0,0,0,0,8,0,0,160,3642,
"Culburra Beach",0,1616,7,4,0,0,0,2487,295,125,7,0,119,49,43,0,0,0,0,3,0,14,22,0,48,6,0,12,0,0,12,4,0,0,0,0,0,5,5,205,5105,
"Ettrema - Sassafras - Budawang",0,12,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,
"Huskisson - Vincentia",0,1241,13,0,0,10,0,2311,294,126,22,0,175,127,83,5,8,0,0,9,0,16,22,0,40,3,0,32,7,0,18,23,0,0,0,0,10,3,10,244,4844,
"North Nowra - Bomaderry",0,4993,48,3,0,13,0,7592,857,410,25,7,290,94,122,0,28,6,5,37,0,59,121,0,131,31,0,203,6,0,19,30,9,0,0,0,46,23,20,874,16098,
"Nowra",0,7477,59,0,0,21,0,8920,1051,447,38,0,445,145,113,0,39,0,0,18,0,98,196,0,161,100,0,533,6,0,12,48,3,3,0,8,56,39,16,2514,22584,
"St Georges Basin - Erowal Bay",0,4722,43,0,0,13,0,7089,844,421,42,0,348,244,167,0,19,0,0,7,0,26,98,0,57,19,0,28,0,0,20,51,3,0,0,6,21,12,12,953,15259,
"Sussex Inlet - Berrara",0,1390,14,0,0,8,0,2285,258,121,10,0,73,44,36,0,9,0,0,0,0,10,8,0,24,7,0,26,0,0,3,4,0,0,0,0,8,0,0,359,4694,
"Tomerong - Wandandian - Woollamia",0,1165,7,0,0,0,0,1716,169,116,8,0,94,51,28,0,3,0,0,4,0,4,12,0,26,3,0,3,0,0,3,13,0,0,0,0,0,7,0,271,3708,
"Ulladulla",0,4871,44,0,0,6,0,8355,1040,374,43,0,501,150,118,0,18,3,3,16,0,61,89,0,102,28,0,58,0,0,29,34,4,0,0,0,22,8,13,1031,17026,
"Ulladulla Surrounds",0,1671,10,0,0,0,0,2828,406,197,29,0,97,28,58,0,5,0,0,0,0,8,20,0,23,0,0,11,0,0,6,5,0,0,0,0,9,8,4,392,5822,
"Bowral",0,2875,31,0,0,14,0,6993,1036,421,43,0,358,204,190,0,50,7,0,30,0,36,47,0,128,32,0,254,9,0,27,30,0,3,0,0,61,26,17,709,13626,
"Hill Top - Colo Vale",0,1864,7,0,0,5,0,3194,361,181,13,0,195,89,83,4,25,0,0,7,0,11,22,0,32,0,0,22,0,0,3,21,0,0,0,0,15,14,0,229,6393,
"Mittagong",0,2649,26,0,0,19,0,5080,747,326,15,6,311,143,134,0,31,0,3,25,0,49,73,0,119,22,0,513,3,5,22,16,7,0,0,0,34,20,26,494,10931,
"Moss Vale - Berrima",0,2760,37,0,3,11,0,5105,645,251,19,0,279,85,78,0,17,0,0,26,0,46,121,0,159,18,0,209,3,0,11,19,3,4,0,3,35,12,12,667,10648,
"Robertson - Fitzroy Falls",0,956,5,0,0,4,0,1917,307,112,18,0,93,52,32,5,11,0,0,4,0,7,3,0,11,0,0,9,0,0,11,6,0,0,0,0,11,4,6,239,3829,
"Southern Highlands",0,1891,7,0,3,10,0,3526,534,231,25,0,213,100,70,0,38,0,0,6,0,7,22,0,44,11,0,31,0,4,11,23,0,5,0,0,18,4,10,404,7250,
"Baulkham Hills - East",0,3589,69,0,0,51,0,5929,963,405,24,6,738,567,354,21,643,15,6,673,10,239,434,0,4281,912,0,3395,94,5,40,150,12,4,0,16,140,40,119,779,24726,
"Baulkham Hills (West) - Bella Vista",0,2836,37,4,0,53,0,4796,712,348,46,3,897,556,285,20,583,0,4,402,5,195,478,0,3715,389,0,4113,146,7,35,108,20,4,0,11,124,25,65,655,21683,
"Glenhaven",0,1238,14,0,0,11,0,2706,338,174,17,0,432,136,92,3,176,0,0,78,0,20,61,0,310,70,0,223,21,0,5,21,0,0,0,0,42,14,3,156,6361,
"West Pennant Hills",0,1584,36,0,0,20,0,3126,467,218,14,0,511,218,163,14,318,0,0,219,0,119,138,0,3215,327,0,1448,48,6,21,57,6,0,0,0,88,13,22,271,12683,
"Castle Hill - Central",0,933,17,0,0,17,0,1810,291,156,18,0,277,140,132,11,193,5,0,192,0,99,111,0,1478,350,0,913,29,7,16,72,12,0,0,5,68,17,30,266,7677,
"Castle Hill - East",0,722,8,0,0,4,0,1470,157,77,3,0,205,77,61,0,117,0,0,70,0,35,71,0,1225,112,0,690,31,7,7,18,5,4,0,4,28,5,0,458,5670,
"Castle Hill - North",0,1685,24,0,0,16,0,3047,554,252,19,0,542,265,211,5,367,4,4,293,0,140,235,0,2289,409,0,1124,70,4,21,74,5,9,0,0,138,24,17,351,12189,
"Castle Hill - South",0,1372,45,0,0,12,0,2459,437,178,22,0,402,209,142,19,199,8,0,321,0,132,198,0,2042,419,0,1192,46,3,24,80,10,0,0,5,65,19,15,332,10419,
"Castle Hill - West",0,614,4,0,0,10,0,981,176,84,17,0,269,139,60,15,153,0,6,130,0,43,197,0,929,158,0,935,37,6,0,15,4,6,0,3,49,14,28,106,5183,
"Cherrybrook",0,1989,37,0,0,24,0,4169,556,299,25,0,451,240,249,11,257,6,0,402,0,97,298,0,4690,610,0,3553,100,7,10,74,0,10,0,5,239,28,28,601,19082,
"Kellyville - East",0,2811,39,4,0,106,0,4561,709,380,20,0,1033,363,224,34,534,0,15,413,0,139,459,0,2214,378,0,2244,148,12,23,148,10,8,0,19,208,26,47,362,17709,
"Kellyville - West",6,1250,36,0,0,67,0,2042,265,160,17,9,501,223,79,35,306,0,0,317,0,75,395,0,1655,323,0,2711,101,0,21,82,16,5,0,29,111,19,31,488,11375,
"Dural - Kenthurst - Wisemans Ferry",0,4622,50,3,0,37,0,8298,1165,515,54,5,1899,536,284,10,1077,3,0,207,6,85,163,0,1256,167,0,833,64,6,33,82,7,0,0,0,143,35,43,788,22479,
"Galston - Laughtondale",0,1217,14,0,0,10,0,2520,298,183,9,0,355,77,84,3,149,0,0,11,0,11,32,0,111,16,0,34,7,0,3,11,0,0,0,0,23,0,6,238,5436,
"Bilpin - Colo - St Albans",0,816,10,0,0,0,0,1228,160,106,7,0,85,23,38,0,12,0,0,0,0,9,14,0,22,3,0,8,5,0,3,0,0,0,0,0,12,0,0,267,2846,
"Kurrajong Heights - Ebenezer",0,6753,44,0,0,33,0,9922,1161,692,43,0,1611,218,202,5,92,0,0,28,0,25,87,0,160,40,0,92,12,0,29,57,6,5,0,3,63,20,12,762,22161,
"Pitt Town - McGraths Hill",0,3280,36,5,0,17,3,4702,585,300,12,0,1138,139,106,3,133,0,0,21,0,8,39,0,161,11,0,104,36,0,6,27,0,3,0,0,28,13,14,472,11414,
"Box Hill - Nelson",0,1650,38,0,0,30,0,2138,315,128,7,0,649,175,74,28,170,4,6,172,10,46,702,0,450,135,0,2509,86,5,16,84,0,0,0,44,130,40,87,353,10287,
"North Kellyville",0,2506,46,0,0,64,0,3489,405,218,27,6,910,297,161,57,572,8,0,537,4,87,677,0,1799,293,0,3654,250,9,17,104,9,4,0,54,235,37,87,776,17401,
"Rouse Hill - Beaumont Hills",0,2931,61,3,0,69,0,4579,594,338,24,0,947,357,183,24,442,0,13,485,8,109,878,0,1832,234,0,2297,143,15,28,114,13,7,0,63,303,15,84,389,17581,
"Blacktown (East) - Kings Park",0,2192,111,7,0,298,0,2792,402,193,12,3,495,424,164,9,450,6,123,229,6,150,882,0,784,160,0,5105,221,0,9,67,14,0,0,60,70,68,141,1390,17032,
"Blacktown (North) - Marayong",12,3033,156,0,0,457,0,3582,520,262,13,0,771,358,366,18,530,0,144,290,8,206,1668,0,886,337,0,4883,236,3,6,112,17,4,0,37,93,32,159,1379,20584,
"Doonside - Woodcroft",33,3001,194,5,0,826,0,3226,372,256,16,0,700,525,267,33,738,0,233,336,17,263,3620,0,851,101,0,5320,372,19,18,81,20,0,0,101,136,47,175,1481,23384,
"Lalor Park - Kings Langley",7,5035,232,6,0,298,0,7220,1020,498,46,3,1017,593,383,29,691,4,51,322,0,219,847,0,1416,371,0,2938,134,5,37,185,7,4,0,25,146,37,76,1450,25373,
"Blacktown - South",10,1633,98,5,0,294,0,2031,280,156,9,0,551,500,105,8,569,0,119,411,0,127,813,0,643,94,0,2882,161,0,5,60,0,0,0,51,70,59,95,807,12646,
"Blacktown - West",20,2323,128,4,0,452,0,2978,366,256,13,0,701,505,157,25,718,0,148,214,0,198,1284,0,760,143,0,3725,290,3,12,100,15,7,0,85,67,42,128,1285,17141,
"Seven Hills - Prospect",3,2081,108,3,0,320,0,2649,380,232,11,0,690,487,134,35,631,0,42,368,0,194,662,0,869,149,0,3575,115,0,17,58,9,3,0,26,81,33,72,830,14866,
"Toongabbie - West",8,1358,52,0,0,200,0,1699,273,126,8,4,424,167,127,14,315,0,57,166,4,125,362,0,627,176,0,4312,57,3,7,46,9,0,0,40,49,37,51,673,11578,
"Glenwood",3,1799,88,0,0,160,0,2514,334,174,18,4,540,301,155,16,347,0,33,199,10,128,913,0,1250,214,0,5545,306,6,18,84,15,0,0,58,146,30,45,379,15829,
"Acacia Gardens",0,561,27,0,0,30,0,696,101,48,6,0,174,77,36,4,73,0,0,55,0,38,221,0,197,34,0,1086,25,3,5,21,0,0,0,26,39,3,16,56,3668,
"Quakers Hill",8,3904,156,5,0,271,0,5227,708,325,28,4,955,326,256,19,356,7,60,304,13,165,1715,0,817,146,0,6977,222,12,39,117,3,5,0,53,206,58,151,1052,24670,
"Kellyville Ridge - The Ponds",9,2958,60,4,0,151,0,3862,547,292,21,0,868,301,179,53,442,4,33,452,3,138,1163,0,1239,197,0,6344,336,17,27,170,6,6,0,47,251,30,108,730,21058,
"Marsden Park - Shanes Park",15,1662,93,0,0,252,0,1857,189,149,4,0,406,107,54,23,241,0,78,155,11,87,2103,0,494,109,0,5998,150,4,19,46,11,5,0,65,151,37,136,830,15524,
"Riverstone",0,2946,114,0,0,145,0,3575,400,207,18,0,717,154,112,0,167,0,28,109,8,63,681,0,482,99,0,2503,85,3,18,76,3,3,0,58,99,20,79,862,13844,
"Schofields (West) - Colebee",0,1180,62,0,0,236,0,1342,200,112,10,0,358,136,66,9,160,0,42,64,5,54,1013,0,527,106,0,3510,71,0,0,60,9,0,0,47,77,12,48,475,10011,
"Schofields - East",13,2526,152,3,0,440,0,3368,435,226,19,0,667,211,163,45,358,0,31,420,40,143,1311,0,1774,241,0,10010,320,13,35,143,12,0,0,91,217,60,258,1378,25130,
"Stanhope Gardens - Parklea",0,1503,73,0,0,176,0,2204,261,162,5,0,393,193,126,22,211,5,18,282,5,74,769,0,891,179,0,3199,195,3,27,76,8,0,0,43,142,26,60,1704,13034,
"Bidwill - Hebersham - Emerton",72,4505,221,0,0,1829,0,4191,384,238,18,0,392,197,114,36,598,0,125,262,0,171,851,0,266,26,0,1154,106,9,12,86,40,0,0,73,87,57,88,2338,18536,
"Glendenning - Dean Park",4,1381,78,0,6,300,0,1463,181,100,0,0,329,174,140,8,273,0,82,129,7,54,1151,0,150,16,0,1592,52,7,3,36,9,3,0,30,82,18,47,471,8374,
"Hassall Grove - Plumpton",16,3128,202,10,0,1125,0,3329,328,228,10,0,607,349,138,34,757,3,216,286,12,261,3909,0,402,34,0,3597,334,18,12,114,25,0,0,104,168,62,202,1385,21414,
"Lethbridge Park - Tregear",49,5415,342,0,0,1643,0,5091,566,284,21,0,477,214,124,38,370,3,200,159,0,151,1087,0,296,18,0,2107,141,3,12,60,23,3,0,104,114,55,140,2253,21551,
"Mount Druitt - Whalan",23,3466,205,12,0,1298,0,3371,326,234,14,0,472,460,147,54,1381,0,217,870,5,275,2295,0,520,53,0,3842,467,5,18,64,18,0,0,137,233,77,258,2095,22918,
"Prospect Reservoir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,
"Rooty Hill - Minchinbury",28,3220,154,11,0,955,0,3455,380,252,17,0,959,484,235,50,792,0,127,501,16,262,3841,0,624,86,4,3566,379,5,26,120,13,0,0,73,180,66,192,1761,22826,
"Banksmeadow",0,24,7,0,0,4,0,90,48,14,0,0,13,28,18,0,3,0,0,10,0,7,15,0,104,5,0,10,0,0,5,4,0,0,0,0,3,0,3,88,508,
"Botany",4,2491,129,0,0,114,0,3649,1067,267,26,0,730,714,341,8,152,20,7,155,0,99,449,0,953,76,0,264,27,16,28,220,7,0,0,18,92,24,45,759,12960,
"Pagewood - Hillsdale - Daceyville",6,2004,89,12,0,112,3,2859,1047,287,17,0,925,883,498,15,255,61,6,491,0,139,508,0,1921,110,0,764,44,13,24,461,14,6,0,11,89,22,40,1015,14762,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Sydney Airport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,
"Eastlakes",8,919,53,0,0,104,0,1293,341,94,14,0,643,1045,256,13,206,23,5,484,8,142,469,0,924,82,0,881,54,0,18,176,6,5,0,12,32,27,43,547,8941,
"Mascot",4,1788,112,7,0,144,0,3086,1044,297,13,3,960,965,269,40,287,18,3,319,4,703,1436,0,5497,845,0,1209,59,34,38,773,23,14,0,12,71,51,91,1370,21573,
"Petersham - Stanmore",5,3232,92,0,0,49,0,7343,1830,480,54,4,1403,933,286,9,229,39,0,128,0,379,254,0,964,141,0,447,19,17,67,260,23,10,0,12,46,41,31,1077,19898,
"Sydenham - Tempe - St Peters",0,1387,40,5,0,64,0,2731,603,208,25,0,344,563,107,7,89,10,0,50,0,340,216,0,582,66,0,239,4,0,33,115,7,4,0,4,31,15,32,367,8278,
"Marrickville - North",0,1913,59,0,0,85,3,3861,910,294,21,0,783,984,175,12,256,11,0,90,4,679,159,0,722,87,0,203,12,9,32,148,12,8,0,6,21,23,16,684,12317,
"Marrickville - South",5,2096,55,4,0,82,0,3680,915,287,27,5,728,1421,186,21,569,16,3,135,0,1095,338,0,950,123,0,360,13,11,31,136,8,9,0,17,46,29,52,807,14283,
"Darlinghurst",5,1197,56,0,0,23,0,4001,823,450,49,0,543,236,250,8,98,31,0,86,0,304,189,0,573,151,0,229,11,16,67,194,22,6,0,6,60,37,39,851,10615,
"Erskineville - Alexandria",4,2959,126,0,0,39,0,7143,1509,605,68,0,814,476,417,20,125,31,0,136,5,329,333,0,1682,227,0,499,23,22,98,278,30,14,0,11,105,39,37,918,19126,
"Glebe - Forest Lodge",4,3002,119,3,0,101,0,6770,1435,648,65,5,783,491,410,12,193,25,9,219,4,543,327,0,2205,286,0,631,43,22,75,240,51,19,0,10,66,43,65,1351,20262,
"Potts Point - Woolloomooloo",3,2231,102,3,0,40,0,6796,1468,762,96,9,906,435,482,17,161,45,0,177,4,258,261,0,780,221,0,397,28,25,103,315,37,6,0,3,80,50,76,1788,18187,
"Surry Hills",3,1880,84,5,0,33,0,5237,1138,622,64,3,756,429,389,13,135,43,0,108,0,582,362,0,1398,253,0,449,28,15,105,217,22,14,0,9,83,25,60,1256,15828,
"Camperdown - Darlington",0,1395,47,0,0,17,0,3007,701,253,27,0,305,128,95,10,74,22,0,52,0,107,149,0,893,117,0,294,11,3,27,55,14,0,0,3,30,22,13,458,8332,
"Chippendale",0,566,28,10,0,14,0,1367,263,174,17,0,226,73,104,11,53,7,0,65,3,354,324,0,2646,232,0,336,14,13,17,111,18,6,0,4,26,17,25,689,7803,
"Newtown (NSW)",0,2345,64,0,0,45,0,5756,1378,549,83,0,619,499,248,10,120,48,0,78,0,292,180,0,783,135,0,303,16,5,45,146,17,8,0,8,59,33,24,759,14667,
"Pyrmont",0,1237,49,0,0,35,0,2886,583,364,45,3,681,340,305,14,130,13,4,159,0,476,344,0,2148,402,0,769,40,11,41,336,35,6,3,10,61,40,47,1033,12658,
"Redfern",0,1992,80,3,0,60,3,4304,878,486,43,3,607,463,329,11,211,53,0,103,0,319,251,0,1135,211,0,415,28,14,40,247,34,9,0,14,67,32,52,1167,13670,
"Rosebery - Beaconsfield",0,1262,60,8,0,39,0,2599,899,274,25,9,620,876,385,11,192,47,4,221,0,165,327,0,2414,193,0,406,32,11,40,302,14,0,0,10,47,24,35,755,12290,
"Sydney (North) - Millers Point",0,694,28,17,0,21,0,2019,425,201,35,0,342,191,192,8,118,6,0,110,0,272,267,0,1257,278,0,509,40,10,47,119,28,3,0,4,37,22,27,680,8004,
"Sydney (South) - Haymarket",0,618,30,0,0,27,0,2092,253,253,30,7,430,117,210,13,133,8,0,150,0,3253,1366,0,6958,927,0,714,59,16,36,285,42,4,9,5,37,37,47,1770,19935,
"Ultimo",0,479,11,4,0,11,0,1100,183,153,13,0,229,65,126,3,68,6,0,112,0,629,276,0,2259,251,0,470,15,15,11,231,15,7,0,6,21,27,10,612,7410,
"Waterloo",3,1690,79,5,0,73,0,3860,982,411,48,3,729,350,609,15,201,86,3,176,0,373,329,0,3000,466,0,532,26,15,44,457,20,9,0,15,96,35,70,1537,16379,
"Zetland",0,895,54,0,0,26,0,2524,813,275,54,3,513,218,279,15,145,18,0,187,0,249,283,0,4005,331,0,455,17,25,39,327,32,15,0,4,50,29,44,700,12622,
"Bondi - Tamarama - Bronte",0,2771,115,0,0,29,0,7197,1547,907,97,5,1228,506,950,11,171,316,0,137,0,99,125,0,409,115,0,166,18,12,92,343,35,15,0,7,222,48,81,1275,19055,
"Bondi Beach - North Bondi",4,2955,113,0,0,24,0,7438,1448,1260,155,3,1370,548,1076,19,191,367,0,184,0,57,132,0,341,131,0,172,21,16,117,422,36,12,0,13,473,42,124,1430,20705,
"Bondi Junction - Waverly",5,2281,93,0,0,22,0,5884,1500,699,68,3,1096,514,915,19,137,268,0,152,0,123,218,0,1012,238,0,236,18,12,75,382,24,11,0,4,211,36,90,1372,17720,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Dover Heights",0,1606,20,0,0,17,0,2787,447,443,30,0,505,479,1247,37,166,513,0,250,7,33,128,0,469,51,0,98,12,5,48,120,8,0,0,7,859,16,135,579,11122,
"Paddington - Moore Park",0,2371,78,0,0,13,0,6524,1385,561,51,0,606,452,376,9,101,40,3,66,0,120,128,0,467,90,0,178,10,11,58,149,23,4,0,9,64,24,52,767,14793,
"Rose Bay - Vaucluse - Watsons Bay",0,1828,48,0,0,10,0,3913,679,411,46,3,493,620,799,8,144,269,0,147,0,48,73,0,713,78,0,161,11,0,44,68,3,0,0,0,445,26,135,688,11924,
"Woollahra",0,1173,22,0,0,6,0,3062,578,266,35,0,259,221,298,0,68,47,4,55,4,55,50,0,388,55,0,139,4,5,25,46,3,4,0,0,85,5,33,441,7454,
"Bellevue Hill",0,2380,58,3,0,10,0,4720,880,552,40,0,558,529,1122,19,153,389,0,172,0,64,80,0,872,65,0,186,13,4,63,145,19,7,0,6,358,35,135,785,14429,
"Double Bay - Darling Point",0,1488,41,3,0,9,0,3826,738,431,30,0,428,288,562,5,94,77,0,114,0,91,81,0,538,55,0,122,7,4,32,76,12,6,0,5,130,13,65,584,9958,
"Kensington (NSW)",6,1474,43,0,0,25,0,2631,709,294,32,4,521,719,291,14,163,73,4,130,0,261,340,0,2025,167,0,693,22,15,20,227,17,3,0,4,103,10,42,742,11809,
"Kingsford",14,1549,61,0,0,36,0,2641,776,307,25,0,578,1214,338,7,166,60,4,154,3,244,565,0,2749,214,0,700,26,11,24,236,11,7,0,16,74,43,55,704,13605,
"Maroubra - North",0,1352,26,0,0,9,0,2533,665,384,28,0,673,924,330,12,154,86,6,33,0,76,105,0,1168,51,0,130,24,4,27,188,8,5,0,0,116,24,42,603,9790,
"Maroubra - South",7,1718,61,3,0,57,0,3119,897,528,44,0,713,567,528,5,138,84,4,102,0,96,175,0,734,70,0,164,33,11,33,301,16,0,0,3,93,39,32,734,11084,
"Maroubra - West",0,1137,47,0,0,53,0,2002,664,343,13,0,724,726,365,8,134,66,0,80,0,93,288,0,1799,139,0,224,27,9,27,296,5,4,0,4,97,16,49,403,9846,
"Randwick - North",5,2410,76,10,0,30,0,5757,1875,529,47,0,750,522,651,6,127,167,5,127,4,132,230,0,796,135,0,269,18,4,77,210,15,3,0,0,137,20,59,1001,16206,
"Randwick - South",0,1598,57,3,0,33,0,4283,1547,481,47,5,617,457,376,14,96,62,3,95,0,138,239,0,890,87,0,404,13,10,35,195,18,0,0,3,117,10,45,757,12735,
"Coogee - Clovelly",0,2984,94,7,0,22,0,8082,2310,849,93,0,898,656,537,14,180,109,0,135,0,82,116,0,453,94,0,203,13,15,101,241,27,13,0,0,150,16,45,985,19521,
"Malabar - La Perouse",4,1848,56,5,0,24,0,3037,759,380,43,0,508,507,291,3,131,31,0,95,0,48,111,0,665,50,0,142,7,3,24,78,11,4,0,0,39,18,24,1650,10610,
"Matraville - Chifley",8,2583,106,8,0,81,0,3531,1002,354,32,0,953,731,443,6,197,62,0,154,3,107,250,0,1205,68,0,289,54,13,28,176,12,5,0,11,107,15,48,790,13412,
"South Coogee",0,909,15,0,0,17,0,1699,474,174,19,3,272,405,271,0,119,41,0,66,0,37,46,0,395,15,0,53,6,6,20,62,4,0,0,3,75,17,21,360,5611,
"Bass Hill - Georges Hall",16,3290,70,4,0,348,0,3067,358,173,7,0,1154,1427,207,240,6138,0,38,324,0,2025,222,0,950,73,0,350,201,6,7,101,8,0,0,47,94,49,80,2801,23855,
"Chullora",0,116,0,0,0,10,0,90,9,7,3,0,30,44,6,10,238,0,0,21,0,126,43,0,246,114,0,167,9,0,0,8,0,0,0,17,4,7,11,124,1469,
"Condell Park",0,1550,33,4,0,185,0,1227,128,87,3,0,565,913,87,141,3548,0,10,64,0,1461,170,0,619,52,0,334,44,0,8,33,0,0,0,39,38,50,42,1354,12773,
"Padstow",4,2594,109,5,0,157,0,3729,605,200,16,0,744,1482,169,71,1332,0,6,82,6,736,399,0,2495,122,0,772,26,9,33,136,3,0,0,18,92,30,44,959,17200,
