sa2_name_2021,in_wslhd,in_metro,pop_size,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Merimbula - Tura Beach,0,0,11513,1721,975,565,140,621,847,200,326,1151,141,0.14948319291235995,0.08468687570572396,0.04907495874229132,0.01216016676800139,0.053939025449491876,0.0735690089464084,0.017371666811430556,0.028315816902631807,0.09997394249978285,0.012247025102058542
Moruya - Tuross Head,0,0,8600,1387,777,413,68,519,535,139,260,878,127,0.16127906976744186,0.09034883720930233,0.04802325581395349,0.007906976744186046,0.06034883720930233,0.062209302325581396,0.016162790697674418,0.030232558139534883,0.10209302325581396,0.014767441860465117
Narooma - Bermagui,0,0,9888,1627,841,522,142,598,640,149,324,1005,144,0.16454288025889968,0.08505258899676375,0.05279126213592233,0.01436084142394822,0.060477346278317155,0.06472491909385113,0.015068770226537216,0.032766990291262135,0.1016383495145631,0.014563106796116505
Goulburn,0,0,24565,3204,2608,883,305,1512,1280,461,741,2755,302,0.13042947282719317,0.1061673112151435,0.03594545084469774,0.012416039079991859,0.061550987176877674,0.05210665581111337,0.0187665377569713,0.03016486871565235,0.11215143496845105,0.012293914105434562
Goulburn Surrounds,0,0,13839,1878,1212,502,102,785,740,187,370,1187,144,0.13570344678083676,0.08757858226750488,0.03627429727581473,0.007370474745285064,0.056723751716164464,0.053472071681479875,0.013512537033022617,0.026736035840739938,0.08577209335934677,0.01040537611099068
Yass,0,0,6763,904,744,267,103,390,374,84,159,813,103,0.13366849031494898,0.11001035043619696,0.03947952092266745,0.01522992754694662,0.05766671595445808,0.055300901966582876,0.012420523436344817,0.023510276504509833,0.12021292325890877,0.01522992754694662
Yass Surrounds,0,0,12713,1268,1117,434,39,459,483,99,202,1103,102,0.0997404231888618,0.08786281758829545,0.0341382836466609,0.00306772594981515,0.03610477464013215,0.037992605993864545,0.007787304334146149,0.0158892472272477,0.08676158263195155,0.0080232832533627
Young,0,0,11004,1392,1196,377,138,619,548,133,310,1092,152,0.12649945474372956,0.10868774990912396,0.03426026899309342,0.012540894220283533,0.05625227190112686,0.04980007270083606,0.012086513994910942,0.028171573973100692,0.09923664122137404,0.013813158851326791
Young Surrounds,0,0,7677,1093,791,285,76,501,395,107,267,695,91,0.14237332291259608,0.10303503972906083,0.03712387651426338,0.00989970040380357,0.06525986713559985,0.05145239025661066,0.013937736094828708,0.03477921062915201,0.09053015500846685,0.011853588641396379
Avoca Beach - Copacabana,0,0,7513,550,535,241,35,217,275,41,91,486,56,0.07320644216691069,0.07120990283508585,0.03207773193131905,0.004658591774257953,0.02888326900039931,0.036603221083455345,0.005457207506987888,0.012112338613070678,0.06468787435112472,0.007453746838812725
Box Head - MacMasters Beach,0,0,11042,1296,926,470,75,546,608,119,247,869,160,0.11737004165911973,0.08386161927187104,0.04256475276218077,0.006792247781199058,0.049447563847129145,0.05506248867958703,0.010777033146169172,0.02236913602608223,0.07869951095815976,0.014490128599891324
Calga - Kulnura,0,0,4716,492,384,147,17,214,212,37,112,428,33,0.10432569974554708,0.08142493638676845,0.031170483460559797,0.003604749787955895,0.0453774385072095,0.04495335029686175,0.007845631891433419,0.02374893977947413,0.090754877014419,0.006997455470737914
Erina - Green Point,0,0,14758,1960,1291,719,491,845,1012,241,430,1420,238,0.1328093237566066,0.08747797804580566,0.04871933866377558,0.03327009079821114,0.057257080905271714,0.06857297736820707,0.01633012603333785,0.02913673939558206,0.09621899986448028,0.01612684645615937
