sa2_name_2021,in_wslhd,in_metro,pop_size,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Narromine,0,0,6458,669,622,219,26,335,321,58,171,477,55,0.10359244348095385,0.09631464849798699,0.03391142768659028,0.004026014245896562,0.051873645091359555,0.049705791266646024,0.00898110870238464,0.02647878600185816,0.07386187674202539,0.008516568597088882
Wellington,0,0,8769,998,739,277,64,564,530,150,257,842,112,0.11381001254418976,0.08427414756528681,0.03158855057589235,0.007298437678184513,0.06431748203900102,0.0604401870224655,0.017105713308244955,0.029307788801459688,0.09602007070361501,0.012772265936822898
Branxton - Greta - Pokolbin,0,0,12770,1214,1211,331,36,558,481,108,239,1243,99,0.09506656225528583,0.09483163664839467,0.025920125293657007,0.0028191072826938136,0.04369616288175411,0.037666405638214565,0.00845732184808144,0.018715740015661706,0.09733750978856695,0.007752545027407988
Cessnock,0,0,23495,3127,2633,764,327,1578,1297,364,744,3330,347,0.1330921472653756,0.11206639710576718,0.032517556927005746,0.013917854862736752,0.06716322621834434,0.055203234730793783,0.015492658012343051,0.031666311981272614,0.14173228346456693,0.014769099808469887
Cessnock Surrounds,0,0,9145,1025,932,326,22,435,397,94,194,910,79,0.11208310552214325,0.10191361399671951,0.03564789502460361,0.002405686167304538,0.047566976489885185,0.0434117003827228,0.010278840896664844,0.02121377802077638,0.09950792782941498,0.008638600328048114
Dungog,0,0,9541,1165,1002,367,74,496,494,103,198,994,106,0.1221046011948433,0.10502043810921287,0.038465569646787545,0.007756000419243266,0.051986164972225135,0.05177654333927261,0.010795514097054816,0.020752541662299548,0.10418195157740279,0.011109946546483597
Kurri Kurri - Abermain,0,0,20631,2371,2426,622,139,1348,1026,270,572,2986,260,0.11492414327953081,0.117590034414231,0.030148805196064176,0.006737433958605981,0.06533856817410692,0.049730987349134795,0.013087101933982841,0.027725267800882167,0.1447336532402695,0.01260239445494644
Singleton,0,0,17018,1698,1587,415,147,820,629,175,304,1744,147,0.0997767070161006,0.093254201433776,0.024385944294276648,0.008637912798213656,0.04818427547302856,0.03696086496650605,0.010283229521682924,0.01786343871195205,0.1024797273475144,0.008637912798213656
Singleton Surrounds,0,0,5332,539,484,151,20,212,213,33,122,441,53,0.10108777194298575,0.09077269317329333,0.028319579894973742,0.0037509377344336083,0.03975993998499625,0.03994748687171793,0.0061890472618154535,0.02288072018004501,0.08270817704426106,0.009939984996249063
Maitland,0,0,8611,774,941,235,97,435,359,80,175,1245,90,0.08988503077459065,0.10927882940425038,0.027290674718383465,0.011264661479502962,0.05051678086168854,0.04169086052723261,0.00929044245732203,0.02032284287539194,0.1445825107420741,0.010451747764487283
Maitland - North,0,0,8727,829,848,267,46,368,357,81,139,854,80,0.09499255185057866,0.0971697032198923,0.030594706084565142,0.005270998052022459,0.04216798441617967,0.04090752836026126,0.009281540048126504,0.015927581070241777,0.0978572247049387,0.009166953133952103
East Maitland - Metford,0,0,17981,2051,2000,527,93,1059,804,197,388,2563,172,0.1140648462265725,0.11122851899226961,0.029308714754463044,0.005172126133140538,0.058895500806406764,0.04471386463489239,0.010956009120738557,0.021578332684500306,0.1425393470885935,0.009565652633335187
Rutherford (North) - Aberglasslyn,0,0,17730,1781,1927,541,178,990,817,224,422,2193,204,0.10045121263395375,0.1086858432036097,0.03051325437112239,0.010039481105470953,0.05583756345177665,0.04608009024252679,0.01263395375070502,0.023801466441060348,0.12368866328257191,0.011505922165820644
Rutherford (South) - Telarah,0,0,7976,859,1008,213,44,483,367,100,222,1251,88,0.10769809428284854,0.12637913741223672,0.026705115346038113,0.005516549648946841,0.06055667001003009,0.04601303911735206,0.012537612838515547,0.027833500501504512,0.1568455366098295,0.011033099297893681
Tenambit - East Maitland,0,0,10091,1361,1111,346,64,656,538,135,278,1410,127,0.13487265880487564,0.11009810722425924,0.03428797938757309,0.006342285204637796,0.06500842334753741,0.053314835001486476,0.013378257853532851,0.027549301357645425,0.13972847091467644,0.012585472202953127
Thornton - Millers Forest,0,0,15899,1252,1696,358,51,708,510,110,217,1900,119,0.07874709101201334,0.10667337568400528,0.02251713944273225,0.0032077489150261025,0.04453110258506824,0.03207748915026102,0.0069186741304484555,0.013648657148248318,0.1195043713441097,0.007484747468394238
Anna Bay,0,0,6449,994,519,319,38,413,407,88,166,643,90,0.1541324236315708,0.08047759342533727,0.04946503333850209,0.005892386416498682,0.06404093657931462,0.06311055977670957,0.013645526438207474,0.02574042487207319,0.09970538067917506,0.013955652039075825
Lemon Tree Passage - Tanilba Bay,0,0,6887,1134,737,329,78,552,514,112,263,936,108,0.16465805140119064,0.10701321330042109,0.04777116306083926,0.011325686075214171,0.08015100914766952,0.07463336721359082,0.016262523595179323,0.03818789022796573,0.13590823290257006,0.015681719181065777
Nelson Bay Peninsula,0,0,21972,3454,1821,1147,249,1316,1454,323,653,2150,295,0.15720007281995266,0.0828782086291644,0.05220280356817768,0.011332605133806663,0.0598944110686328,0.0661751319861642,0.014700527944656837,0.02971964318223193,0.0978518113963226,0.013426178772983797
Raymond Terrace,0,0,14588,1667,1701,489,134,987,756,206,427,2276,187,0.11427200438716753,0.11660268714011517,0.03352070194680559,0.009185632026323005,0.06765834932821498,0.05182341650671785,0.014121195503153277,0.02927063339731286,0.15601864546202357,0.012818755141211955
Seaham - Woodville,0,0,5693,533,519,180,28,239,233,44,80,491,45,0.09362374846302476,0.09116458809063763,0.031617776216406115,0.004918320744774284,0.041981380642894785,0.040927454769014576,0.007728789741788161,0.014052344985069383,0.08624626734586334,0.007904444054101529
Tea Gardens - Hawks Nest,0,0,5804,1250,499,433,90,440,578,117,260,525,108,0.21536871123363197,0.08597518952446588,0.07460372157133012,0.015506547208821502,0.07580978635423846,0.09958649207443143,0.020158511371467954,0.044796691936595454,0.09045485871812543,0.018607856650585803
Williamtown - Medowie - Karuah,0,0,15020,1741,1566,495,73,855,709,206,316,1760,160,0.11591211717709721,0.10426098535286285,0.0329560585885486,0.004860186418109188,0.05692410119840213,0.047203728362183756,0.013715046604527296,0.02103861517976032,0.11717709720372836,0.010652463382157125
Muswellbrook,0,0,12272,1154,1391,317,72,703,478,144,276,1399,118,0.09403520208604954,0.11334745762711865,0.02583116036505867,0.005867014341590613,0.05728487614080834,0.03895045632333768,0.011734028683181226,0.022490221642764017,0.1139993481095176,0.009615384615384616
Muswellbrook Surrounds,0,0,4083,430,377,116,18,220,182,39,98,346,31,0.1053147195689444,0.09233406808719079,0.028410482488366397,0.00440852314474651,0.053881949546901786,0.04457506735243694,0.009551800146950772,0.024001959343619886,0.08474161156012736,0.007592456527063434
Scone,0,0,6035,562,558,202,72,295,264,52,122,509,65,0.09312344656172328,0.09246064623032312,0.033471416735708366,0.011930405965202983,0.04888152444076222,0.04374482187241094,0.008616404308202154,0.020215410107705053,0.08434134217067109,0.010770505385252692
Scone Surrounds,0,0,8194,906,850,261,52,471,411,85,194,667,90,0.11056870881132536,0.1037344398340249,0.03185257505491823,0.006346106907493288,0.05748108371979497,0.050158652672687334,0.01037344398340249,0.023675860385648034,0.0814010251403466,0.010983646570661459
Dapto - Avondale,0,0,24195,3016,2491,879,196,1650,1144,330,683,2807,308,0.12465385410208721,0.1029551560239719,0.03632982021078735,0.008100847282496383,0.06819590824550527,0.047282496383550324,0.013639181649101054,0.02822897292829097,0.11601570572432321,0.012729902872494318
Horsley - Kembla Grange,0,0,12155,944,1177,306,137,585,331,116,184,1195,80,0.0776635129576306,0.09683257918552036,0.025174825174825177,0.011271081859317153,0.0481283422459893,0.027231591937474292,0.009543397778691896,0.01513780337309749,0.09831345125462773,0.00658165364047717
Port Kembla Industrial,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,0,15280,1532,1355,515,258,869,628,200,306,1544,189,0.10026178010471204,0.08867801047120419,0.03370418848167539,0.016884816753926703,0.0568717277486911,0.041099476439790575,0.013089005235602094,0.020026178010471206,0.10104712041884817,0.012369109947643979
Berkeley - Lake Heights - Cringila,0,0,14200,1565,1280,376,121,1000,619,219,385,1589,193,0.11021126760563381,0.09014084507042254,0.02647887323943662,0.00852112676056338,0.07042253521126761,0.04359154929577465,0.015422535211267605,0.027112676056338027,0.11190140845070423,0.013591549295774647
Port Kembla - Warrawong,0,0,9740,1153,841,306,137,707,522,176,264,1189,154,0.11837782340862422,0.08634496919917864,0.03141683778234086,0.01406570841889117,0.07258726899383984,0.053593429158110883,0.018069815195071868,0.027104722792607804,0.12207392197125257,0.015811088295687885
Windang - Primbee,0,0,4239,672,363,204,43,342,281,85,164,460,72,0.15852795470629866,0.08563340410474168,0.048124557678697805,0.010143901863647086,0.08067940552016985,0.0662892191554612,0.020051899032790754,0.03868836989856098,0.10851615947157349,0.016985138004246284
Illawarra Catchment Reserve,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,0,19026,1688,1750,471,68,811,552,173,319,1940,153,0.08872069799222117,0.09197939661515821,0.024755597603279722,0.0035740565541890045,0.042625880374224746,0.02901292967518133,0.009092820351098497,0.016766530011563124,0.10196573110480395,0.00804162724692526
Albion Park Rail,0,0,6920,965,765,254,113,520,397,137,213,944,105,0.13945086705202311,0.11054913294797687,0.03670520231213873,0.016329479768786126,0.07514450867052024,0.05736994219653179,0.019797687861271677,0.030780346820809247,0.13641618497109825,0.015173410404624277
Kiama,0,0,8786,1128,703,401,130,413,568,126,195,676,115,0.12838606874573186,0.08001365809241975,0.045640792169360345,0.014796266788071933,0.04700660141133622,0.06464830412019121,0.014340997040746642,0.022194400182107898,0.07694058729797405,0.013089005235602094
Kiama Downs - Minnamurra,0,0,6063,623,507,237,31,220,254,78,97,530,48,0.10275441200725713,0.08362196932211777,0.03908955962394854,0.005112980372752762,0.03628566716147122,0.041893452086425864,0.012864918357248886,0.015998680521194127,0.08741547088899884,0.007916872835230085
Kiama Hinterland - Gerringong,0,0,8136,948,660,324,88,301,381,83,127,618,88,0.11651917404129794,0.08112094395280237,0.03982300884955752,0.010816125860373648,0.0369960668633235,0.04682890855457227,0.010201573254670599,0.015609636184857424,0.07595870206489676,0.010816125860373648
Shellharbour - Flinders,0,0,19341,1749,1512,605,71,841,710,199,277,1548,151,0.09042965720490151,0.0781758957654723,0.03128069903314203,0.003670958068352205,0.0434827568378057,0.03670958068352205,0.01028902331833928,0.014321906830050152,0.08003722661703118,0.007807248849594126
Shellharbour - Oak Flats,0,0,10590,1346,959,377,94,652,566,144,271,1173,134,0.12710103871576958,0.09055712936732767,0.035599622285174694,0.008876298394711992,0.06156751652502361,0.0534466477809254,0.013597733711048159,0.02559017941454202,0.11076487252124646,0.012653446647780925
Warilla,0,0,20397,2770,1996,699,168,1464,1086,281,677,2520,286,0.1358042849438643,0.09785752806785311,0.0342697455508163,0.008236505368436535,0.07177526106780409,0.05324312398882189,0.01377653576506349,0.03319115556209246,0.12354758052654802,0.014021669853409816
Balgownie - Fairy Meadow,0,0,21519,2231,1717,752,158,1027,898,289,481,2041,231,0.1036758213671639,0.0797899530647335,0.03494586179655188,0.007342348622147869,0.04772526604396115,0.04173056368790371,0.013429992100004647,0.0223523397927413,0.09484641479622659,0.010734699567823783
Corrimal - Tarrawanna - Bellambi,0,0,16041,1808,1468,538,130,869,755,222,460,1791,199,0.11271117760738109,0.0915154915528957,0.033539056168568046,0.008104232903185586,0.05417367994514058,0.047066891091577835,0.013839536188516926,0.028676516426656692,0.11165139330465682,0.01240571036718409
Figtree - Keiraville,0,0,22773,1835,1784,594,134,935,717,209,331,1981,190,0.08057787731085057,0.07833838317305582,0.026083519957844817,0.005884161067931322,0.04105739252623721,0.03148465287840864,0.009177534799982436,0.01453475607078558,0.08698897817591007,0.008343213454529487
Helensburgh,0,0,9135,739,804,256,148,294,320,80,103,713,69,0.0808976464148878,0.08801313628899836,0.02802408319649699,0.016201423097974822,0.03218390804597701,0.03503010399562124,0.00875752599890531,0.011275314723590585,0.07805145046524357,0.007553366174055829
Thirroul - Austinmer - Coalcliff,0,0,11957,1023,854,416,44,323,400,93,151,871,90,0.08555657773689053,0.07142259764154889,0.0347913356193025,0.0036798528058877645,0.027013464915948818,0.033453207326252406,0.007777870703353684,0.012628585765660283,0.0728443589529146,0.007526971648406791
Woonona - Bulli - Russell Vale,0,0,20761,2233,1812,731,280,859,880,267,449,1948,231,0.10755743942969992,0.08727903280188816,0.03521024998795819,0.013486826260777419,0.0413756562785993,0.0423871682481576,0.012860652184384182,0.021627089253889505,0.09382977698569434,0.01112663166514137
Wollongong - East,0,0,16020,1530,1243,541,161,653,674,176,269,1802,176,0.09550561797752809,0.07759051186017478,0.033770287141073656,0.010049937578027466,0.04076154806491885,0.042072409488139825,0.010986267166042446,0.01679151061173533,0.11248439450686641,0.010986267166042446
Wollongong - West,0,0,16551,1309,1306,351,112,712,527,190,275,1843,165,0.07908887680502688,0.07890761887499245,0.021207177814029365,0.006766962721285723,0.043018548728173525,0.03184097637604979,0.011479668902181137,0.01661531025315691,0.11135278835115703,0.009969186151894145
Bulahdelah - Stroud,0,0,5235,716,433,218,50,314,285,78,162,533,65,0.1367717287488061,0.08271251193887297,0.041642788920725884,0.009551098376313277,0.05998089780324738,0.054441260744985676,0.01489971346704871,0.030945558739255013,0.10181470869149953,0.012416427889207259
Forster,0,0,14709,2506,1387,820,317,946,1142,301,524,1721,310,0.17037188116119384,0.09429600924603984,0.05574818138554626,0.02155143109660752,0.06431436535454484,0.0776395404174315,0.02046366170371881,0.035624447617105176,0.11700319532259161,0.02107553198721871
Forster-Tuncurry Surrounds,0,0,6988,973,609,298,46,372,376,76,220,665,95,0.13923869490555238,0.08714939896966228,0.04264453348597596,0.00658271322266743,0.05323411562678878,0.053806525472238124,0.010875787063537493,0.031482541499713794,0.09516313680595306,0.013594733829421866
Tuncurry,0,0,6376,1343,669,398,247,566,586,147,296,830,175,0.210633626097867,0.10492471769134254,0.06242158092848181,0.03873902132998745,0.08877038895859474,0.09190715181932246,0.02305520702634881,0.04642409033877039,0.13017565872020076,0.027446675031367627
Kempsey,0,0,15654,2048,1712,553,230,1096,920,277,569,1970,306,0.13082918103998978,0.10936501852561646,0.03532643413823943,0.014692730292576978,0.07001405391593203,0.05877092117030791,0.017695157787147055,0.03634853711511435,0.12584642902772455,0.019547719432732848
Kempsey Surrounds,0,0,9472,1230,850,395,67,470,490,111,334,925,140,0.12985641891891891,0.08973817567567567,0.04170185810810811,0.0070734797297297295,0.049619932432432436,0.05173141891891892,0.01171875,0.03526182432432432,0.09765625,0.014780405405405405
Macksville - Scotts Head,0,0,5189,711,498,267,79,296,354,98,206,566,72,0.13702062054345732,0.09597224898824436,0.051455000963576795,0.015224513393717479,0.05704374638658701,0.06822123723260744,0.01888610522258624,0.039699364039313935,0.10907689342840625,0.013875505877818462
Nambucca Heads,0,0,7111,1305,701,414,161,537,588,156,441,936,138,0.18351849247644494,0.09857966530727043,0.05821965968218253,0.022640978765293206,0.07551680495007734,0.0826887920123752,0.021937842778793418,0.062016594009281396,0.1316270566727605,0.019406553227394176
Nambucca Heads Surrounds,0,0,8102,1042,715,332,31,378,454,79,313,816,74,0.1286102196988398,0.08824981486052827,0.04097753641076277,0.003826215749197729,0.046655146877314244,0.05603554677857319,0.009750678844729696,0.03863243643544804,0.10071587262404344,0.00913354727227845
South West Rocks,0,0,5628,1057,482,350,88,399,429,101,256,629,99,0.18781094527363185,0.08564321250888415,0.06218905472636816,0.015636105188343994,0.0708955223880597,0.07622601279317698,0.017945984363894812,0.04548685145700071,0.11176261549395877,0.017590618336886993
Lord Howe Island,0,1,445,27,23,12,0,16,13,4,5,21,0,0.060674157303370786,0.051685393258426963,0.02696629213483146,0,0.035955056179775284,0.029213483146067417,0.008988764044943821,0.011235955056179775,0.04719101123595506,0
Laurieton - Bonny Hills,0,0,18484,3330,1734,1036,240,1309,1428,331,752,1968,372,0.18015581043064272,0.09381086344946982,0.05604847435619996,0.012984202553559835,0.07081800476087427,0.07725600519368102,0.01790737935511794,0.040683834667820815,0.10647046093919064,0.020125513958017746
Port Macquarie - West,0,0,21147,3009,2253,939,369,1303,1310,363,769,2714,346,0.1422896864803518,0.10653993474251668,0.044403461483898427,0.0174492835863243,0.06161630491322646,0.06194732113302123,0.017165555397928783,0.03636449614602544,0.12833971721757223,0.016361658864141485
Port Macquarie Surrounds,0,0,5301,618,392,201,31,238,243,50,145,496,82,0.11658177702320317,0.07394831163931334,0.03791737408036219,0.005847953216374269,0.0448971892095831,0.04584040747028863,0.009432182607055273,0.027353329560460292,0.0935672514619883,0.015468779475570647
Wauchope,0,0,12796,1515,1358,480,126,684,655,157,391,1467,163,0.11839637386683338,0.1061269146608315,0.037511722413254144,0.009846827133479213,0.053454204438887154,0.05118787120975305,0.012269459206001875,0.03055642388246327,0.11464520162550797,0.012738355736167552
Port Macquarie - East,0,0,11764,1259,1080,468,79,492,572,123,268,1276,130,0.10702142128527711,0.09180550833049983,0.03978238694321659,0.00671540292417545,0.04182250935056103,0.048622917375042506,0.010455627337640258,0.022781366882012922,0.10846650799047942,0.011050663039782386
Port Macquarie - South,0,0,17284,2432,1536,857,287,901,1046,234,493,1884,271,0.14070816940523026,0.0888683175190928,0.04958342976162925,0.016604952557278407,0.052129136773894934,0.06051839851886137,0.013538532747049295,0.028523489932885907,0.10900254570701226,0.015679240916454524
Gloucester,0,0,5310,719,479,231,48,318,373,93,180,529,101,0.13540489642184558,0.09020715630885122,0.04350282485875706,0.00903954802259887,0.059887005649717516,0.07024482109227873,0.01751412429378531,0.03389830508474576,0.09962335216572504,0.019020715630885122
Old Bar - Manning Point - Red Head,0,0,12476,1852,1232,575,164,715,747,186,365,1224,171,0.1484450144277012,0.09874959923052261,0.04608848990060917,0.013145238858608528,0.05731003526771401,0.05987495992305226,0.014908624559153575,0.02925617184995191,0.09810836806668805,0.01370631612696377
Taree,0,0,21123,3025,2512,813,363,1529,1289,385,706,2867,375,0.14320882450409506,0.1189225015386072,0.03848885101548075,0.017185058940491407,0.07238555129479714,0.06102352885480282,0.018226577664157553,0.033423282677649956,0.13572882639776546,0.017753160062491124
Taree Surrounds,0,0,13044,2098,1283,654,102,866,833,197,483,1385,214,0.16084023305734438,0.09835939895737504,0.05013799448022079,0.0078196872125115,0.06639067770622509,0.06386077890217724,0.015102729224164366,0.03702851885924563,0.10617908616988654,0.016406010426249618
Wingham,0,0,5395,739,605,206,73,353,297,117,208,740,85,0.13697868396663576,0.11214087117701575,0.038183503243744206,0.013531047265987025,0.0654309545875811,0.05505097312326228,0.021686746987951807,0.03855421686746988,0.1371640407784986,0.015755329008341055
Albury - East,0,0,17831,1518,1746,536,105,724,696,139,265,1784,176,0.0851326341764343,0.09791935393415961,0.030060007851494586,0.005888620941057708,0.040603443441197914,0.03903314452358252,0.007795412483876395,0.014861757613145645,0.1000504738937805,0.00987045033929673
Albury - North,0,0,10527,1115,1136,330,102,555,490,121,266,1353,124,0.10591811532250403,0.10791298565593237,0.03134796238244514,0.00968937019093759,0.05272157309774864,0.04654697444666097,0.011494252873563218,0.02526835755675881,0.12852664576802508,0.011779234349767265
Albury - South,0,0,10519,1119,1033,443,143,436,551,124,225,1203,153,0.10637893335868429,0.09820325125962544,0.042114269417244984,0.013594448141458314,0.04144880692080996,0.052381405076528186,0.011788192793991825,0.021389865956840004,0.11436448331590456,0.014545108850651203
Albury Surrounds,0,0,12507,1279,1240,404,80,590,570,128,242,1080,123,0.10226273286959303,0.09914447909170865,0.03230191092987927,0.0063964180059166865,0.047173582793635566,0.04557447829215639,0.010234268809466698,0.019349164467897976,0.08635164307987526,0.009834492684096906
Lavington,0,0,15665,1830,1672,582,117,975,863,194,470,2091,197,0.11682093839770188,0.10673475901691669,0.03715288860517076,0.007468879668049793,0.06224066390041494,0.055090967124162143,0.012384296201723587,0.03000319182891797,0.13348228534950526,0.012575805936801788
Hay,0,0,2897,303,320,99,34,184,152,34,85,244,30,0.10459095616154643,0.11045909561615465,0.034173282706247844,0.01173627890921643,0.06351397997928893,0.05246807041767346,0.01173627890921643,0.029340697273041078,0.08422506040731792,0.010355540214014497
Wentworth - Buronga,0,0,6511,619,606,216,57,346,339,90,167,576,80,0.09506988173859622,0.09307326063584703,0.033174627553371215,0.008754415604361849,0.05314083858086315,0.05206573491015205,0.01382276148057134,0.025648901858393486,0.08846567347565658,0.012286899093841192
Wentworth-Balranald Region,0,0,3648,304,291,79,24,170,173,44,66,205,27,0.08333333333333333,0.07976973684210527,0.021655701754385966,0.006578947368421052,0.046600877192982455,0.04742324561403509,0.01206140350877193,0.018092105263157895,0.05619517543859649,0.007401315789473684
Corowa,0,0,5595,812,589,262,66,385,400,86,200,626,85,0.1451295799821269,0.10527256478999106,0.046827524575513854,0.011796246648793566,0.06881143878462913,0.07149240393208221,0.015370866845397676,0.035746201966041107,0.11188561215370867,0.01519213583556747
Corowa Surrounds,0,0,7262,1045,736,312,49,440,442,98,217,644,102,0.14389975213439823,0.10134949049848527,0.04296337097218397,0.006747452492426329,0.06058936931974663,0.060864775543927295,0.013494904984852658,0.029881575323602312,0.0886808041861746,0.01404571743321399
Deniliquin,0,0,7038,913,734,250,90,424,394,83,205,741,85,0.12972435350951975,0.10429099175902246,0.035521454958795114,0.01278772378516624,0.06024438761011651,0.055981813015061097,0.011793123046319976,0.02912759306621199,0.10528559249786872,0.012077294685990338
Deniliquin Surrounds,0,0,6837,812,623,257,48,356,341,80,148,545,76,0.1187655404417142,0.09112183706303935,0.03758958607576422,0.007020623080298377,0.05206962117887962,0.049875676466286385,0.01170103846716396,0.02164692116425333,0.07971332455755448,0.011115986543805762
Moama,0,0,6930,885,616,313,62,390,371,106,177,543,91,0.1277056277056277,0.08888888888888889,0.045165945165945166,0.008946608946608947,0.05627705627705628,0.05353535353535353,0.015295815295815297,0.02554112554112554,0.07835497835497836,0.013131313131313131
Tocumwal - Finley - Jerilderie,0,0,9778,1456,1056,413,113,595,620,136,261,946,148,0.14890570668848435,0.10799754551032931,0.04223767641644508,0.0115565555328288,0.060850889752505626,0.06340764982614032,0.013908774800572715,0.026692575168746166,0.09674780118633668,0.015136019635917366
Armidale,0,0,23967,2090,2257,780,139,989,997,200,447,2443,226,0.0872032377852881,0.09417115200066759,0.03254474902991614,0.005799641173279926,0.04126507280844494,0.041598865106187675,0.00834480744356824,0.018650644636375016,0.10193182292318605,0.009429632411232111
Armidale Surrounds - North,0,0,4527,461,408,147,28,195,202,47,102,302,40,0.10183344378175392,0.09012591119946985,0.032471835652750164,0.006185111552904793,0.043074884029158385,0.044621161917384584,0.010382151535233046,0.02253147779986746,0.0667108460349017,0.008835873647006848
Armidale Surrounds - South,0,0,5894,721,612,246,33,320,284,69,147,605,57,0.12232779097387174,0.10383440787241262,0.04173736002714625,0.005598914149983034,0.054292500848320324,0.04818459450288429,0.01170682049541907,0.02494061757719715,0.10264675941635562,0.009670851713607058
Walcha,0,0,3144,418,275,143,31,172,192,34,91,210,42,0.13295165394402036,0.08746819338422392,0.045483460559796435,0.009860050890585241,0.054707379134860054,0.061068702290076333,0.010814249363867684,0.028944020356234095,0.06679389312977099,0.013358778625954198
Glen Innes,0,0,8931,1235,869,376,85,554,553,112,309,994,142,0.13828238719068414,0.09730153398275669,0.04210054865076699,0.009517411264136156,0.06203112753331094,0.06191915798902699,0.012540588959802933,0.03459858918374202,0.11129772701825104,0.015899675288321577
Inverell,0,0,12057,1387,1202,400,106,721,600,120,300,1110,142,0.11503690802023721,0.09969312432611761,0.033175748527826156,0.008791573359873931,0.05979928672140665,0.04976362279173924,0.009952724558347848,0.02488181139586962,0.0920627021647176,0.011777390727378287
Inverell Surrounds - East,0,0,5200,722,469,186,42,349,301,59,190,464,50,0.13884615384615384,0.0901923076923077,0.03576923076923077,0.008076923076923077,0.06711538461538462,0.05788461538461538,0.011346153846153846,0.03653846153846154,0.08923076923076922,0.009615384615384616
Inverell Surrounds - West,0,0,5734,761,537,218,65,361,301,57,172,486,105,0.1327171259155912,0.09365190094175097,0.038018835019183815,0.011335891175444715,0.0629577956051622,0.05249389605859784,0.009940704569236136,0.02999651203348448,0.08475758632717126,0.018311824206487616
Tenterfield,0,0,6810,1091,630,320,69,446,454,117,240,734,108,0.16020558002936858,0.09251101321585903,0.04698972099853157,0.01013215859030837,0.06549192364170338,0.06666666666666667,0.017180616740088105,0.03524229074889868,0.10778267254038179,0.015859030837004406
Moree,0,0,7845,582,699,199,58,438,314,86,155,541,69,0.07418738049713193,0.08910133843212237,0.025366475462077757,0.007393244104525175,0.05583173996175908,0.04002549394518802,0.010962396430847674,0.019757807520713832,0.06896112173358827,0.008795411089866157
Moree Surrounds,0,0,5356,308,383,112,13,198,146,38,86,248,37,0.05750560119492158,0.07150858849887975,0.020911127707244213,0.0024271844660194173,0.03696788648244959,0.02725914861837192,0.007094846900672144,0.016056758775205376,0.04630321135175504,0.006908140403286034
Narrabri,0,0,6898,719,739,217,77,415,337,98,170,554,76,0.10423311104668019,0.10713250217454334,0.03145839373731516,0.011162655842273123,0.060162365903160334,0.04885474050449406,0.014207016526529429,0.024644824586836766,0.08031313424180922,0.011017686285879966
Narrabri Surrounds,0,0,4616,440,475,135,31,227,187,50,98,288,48,0.09532062391681109,0.10290294627383016,0.029246100519930675,0.006715771230502599,0.04917677642980936,0.04051126516464471,0.010831889081455806,0.02123050259965338,0.06239168110918544,0.010398613518197574
Gunnedah,0,0,9745,958,959,296,85,536,439,133,252,830,112,0.09830682401231401,0.09840944073884043,0.030374551051821446,0.008722421754746024,0.05500256541816316,0.04504874294510005,0.013648024628014366,0.0258594150846588,0.08517188301693177,0.011493073370959466
Gunnedah Surrounds,0,0,4369,423,449,142,30,203,195,45,112,318,41,0.0968184939345388,0.1027695124742504,0.03250171663996338,0.00686655985351339,0.046463721675440606,0.044632639047837035,0.010299839780270085,0.025635156786449988,0.07278553444724194,0.009384298466468299
Quirindi,0,0,7551,895,738,232,59,509,379,117,197,630,93,0.11852734737120911,0.09773539928486293,0.030724407363263144,0.007813534631174679,0.06740829029267646,0.050192027546020396,0.015494636471990465,0.026089259700701892,0.08343265792610251,0.012316249503377036
Tamworth - East,0,0,21360,2198,2515,703,129,1181,991,271,473,2397,235,0.10290262172284644,0.11774344569288389,0.032911985018726594,0.006039325842696629,0.055290262172284645,0.04639513108614232,0.012687265917602997,0.022144194756554308,0.11221910112359551,0.01100187265917603
Tamworth - North,0,0,16517,1714,1740,581,256,825,821,216,383,1786,233,0.10377187140521886,0.10534600714415451,0.035175879396984924,0.015499182660289398,0.04994853787007326,0.04970636314100624,0.01307743536961918,0.023188230308167343,0.10813101652842526,0.014106677968154024
Tamworth - West,0,0,5998,502,704,106,24,314,201,66,107,697,39,0.08369456485495165,0.11737245748582861,0.017672557519173057,0.0040013337779259755,0.05235078359453151,0.033511170390130046,0.011003667889296432,0.017839279759919974,0.1162054018006002,0.00650216738912971
Tamworth Surrounds,0,0,19038,2244,2101,739,148,1033,1028,259,495,1881,238,0.11786952410967538,0.11035823090660783,0.0388171026368316,0.0077739258325454355,0.05425990125013132,0.05399726862065343,0.013604370206954512,0.026000630318310746,0.09880239520958084,0.01250131316314739
Belmont - Bennetts Green,0,0,17864,2256,1824,694,224,989,1065,230,438,2062,241,0.12628750559785043,0.10210479175996418,0.03884908195253023,0.012539184952978056,0.055362740707568296,0.05961710703090013,0.012875055978504255,0.02451858486341245,0.11542767577250336,0.013490819525302284
