sa2_name_2021,in_wslhd,in_metro,pop_size
Dural - Kenthurst - Wisemans Ferry,1,1,22479
Galston - Laughtondale,0,1,5436
Bilpin - Colo - St Albans,0,1,2846
Kurrajong Heights - Ebenezer,0,1,22161
Pitt Town - McGraths Hill,1,1,11414
Box Hill - Nelson,1,1,10287
North Kellyville,1,1,17401
Rouse Hill - Beaumont Hills,1,1,17581
Blacktown (East) - Kings Park,1,1,17032
Blacktown (North) - Marayong,1,1,20584
Doonside - Woodcroft,1,1,23384
Lalor Park - Kings Langley,1,1,25373
Blacktown - South,1,1,12646
Blacktown - West,1,1,17141
Seven Hills - Prospect,1,1,14866
Toongabbie - West,1,1,11578
Glenwood,1,1,15829
Acacia Gardens,1,1,3668
Quakers Hill,1,1,24670
Kellyville Ridge - The Ponds,1,1,21058
Marsden Park - Shanes Park,1,1,15524
Riverstone,1,1,13844
Schofields (West) - Colebee,1,1,10011
Schofields - East,1,1,25130
Stanhope Gardens - Parklea,1,1,13034
Bidwill - Hebersham - Emerton,1,1,18536
Glendenning - Dean Park,1,1,8374
Hassall Grove - Plumpton,1,1,21414
Lethbridge Park - Tregear,1,1,21551
Mount Druitt - Whalan,1,1,22918
Prospect Reservoir,1,1,12
Rooty Hill - Minchinbury,1,1,22826
Banksmeadow,0,1,508
Botany,0,1,12960
Pagewood - Hillsdale - Daceyville,0,1,14762
Port Botany Industrial,0,1,6
Sydney Airport,0,1,19
Eastlakes,0,1,8941
Mascot,0,1,21573
Petersham - Stanmore,0,1,19898
Sydenham - Tempe - St Peters,0,1,8278
Marrickville - North,0,1,12317
Marrickville - South,0,1,14283
Darlinghurst,0,1,10615
Erskineville - Alexandria,0,1,19126
Glebe - Forest Lodge,0,1,20262
Potts Point - Woolloomooloo,0,1,18187
Surry Hills,0,1,15828
Camperdown - Darlington,0,1,8332
Chippendale,0,1,7803
Newtown (NSW),0,1,14667
Pyrmont,0,1,12658
Redfern,0,1,13670
Rosebery - Beaconsfield,0,1,12290
Sydney (North) - Millers Point,0,1,8004
Sydney (South) - Haymarket,0,1,19935
Ultimo,0,1,7410
Waterloo,0,1,16379
Zetland,0,1,12622
Bondi - Tamarama - Bronte,0,1,19055
Bondi Beach - North Bondi,0,1,20705
Bondi Junction - Waverly,0,1,17720
Centennial Park,0,1,0
Dover Heights,0,1,11122
Paddington - Moore Park,0,1,14793
Rose Bay - Vaucluse - Watsons Bay,0,1,11924
Woollahra,0,1,7454
Bellevue Hill,0,1,14429
Double Bay - Darling Point,0,1,9958
Kensington (NSW),0,1,11809
Kingsford,0,1,13605
Maroubra - North,0,1,9790
Maroubra - South,0,1,11084
Maroubra - West,0,1,9846
Randwick - North,0,1,16206
Randwick - South,0,1,12735
Coogee - Clovelly,0,1,19521
Malabar - La Perouse,0,1,10610
Matraville - Chifley,0,1,13412
South Coogee,0,1,5611
Bass Hill - Georges Hall,0,1,23855
Chullora,0,1,1469
Condell Park,0,1,12773
Padstow,0,1,17200
Revesby,0,1,17664
Yagoona - Birrong,0,1,22484
Bankstown - North,0,1,16981
Bankstown - South,0,1,18434
Greenacre - North,0,1,14637
Greenacre - South,0,1,13416
Panania (North) - Milperra,0,1,11340
Panania (South) - Picnic Point,0,1,15994
Belmore - Belfield,0,1,20332
Punchbowl,0,1,21544
Roselands,0,1,14577
Lakemba,0,1,17092
Wiley Park,0,1,10135
Campsie - North,0,1,11905
Campsie - South,0,1,9059
Canterbury - South,0,1,12220
Earlwood,0,1,17969
Kingsgrove - North,0,1,6261
Narwee - Beverly Hills,0,1,13791
Oatley - Hurstville Grove,0,1,12594
Peakhurst - Lugarno,0,1,20220
Riverwood,0,1,11606
South Hurstville - Blakehurst,0,1,25259
Hurstville - Central,0,1,12046
Hurstville - North,0,1,12109
Mortdale - Oatley,0,1,14715
Penshurst,0,1,9528
Kingsgrove (South) - Bardwell Park,0,1,12973
Kogarah,0,1,13051
Kogarah Bay - Carlton - Allawah,0,1,16200
Monterey - Brighton-le-Sands - Kyeemagh,0,1,13896
Rockdale - Banksia,0,1,19853
Sans Souci - Ramsgate,0,1,16659
Arncliffe - Bardwell Valley,0,1,16579
Bexley - North,0,1,10145
Bexley - South,0,1,15831
Wolli Creek,0,1,10731
Concord - Mortlake - Cabarita,0,1,23113
Drummoyne - Rodd Point,0,1,18366
Five Dock - Abbotsford,0,1,20933
Concord West - North Strathfield,0,1,12842
Rhodes,0,1,11453
Balmain,0,1,15579
Lilyfield - Rozelle,0,1,13824
Annandale (NSW),0,1,9464
Leichhardt,0,1,17532
Canterbury (North) - Ashbury,0,1,11999
Croydon Park - Enfield,0,1,17434
Dulwich Hill - Lewisham,0,1,17948
Haberfield - Summer Hill,0,1,13520
Homebush,0,1,20822
Strathfield South,0,1,3636
Ashfield - North,0,1,11456
Ashfield - South,0,1,12246
Burwood (NSW),0,1,15942
Croydon,0,1,10993
Strathfield - East,0,1,16420
Strathfield - West,0,1,9253
Chatswood (West) - Lane Cove North,0,1,21294
St Leonards - Naremburn,0,1,11903
Artarmon,0,1,9406
Castle Cove - Northbridge,0,1,13440
Chatswood - East,0,1,19601
Greenwich - Riverview,0,1,12928
Lane Cove,0,1,15888
Willoughby,0,1,12996
Asquith - Mount Colah,0,1,22057
Berowra - Brooklyn - Cowan,0,1,11790
Normanhurst - Thornleigh - Westleigh,0,1,19158
Hornsby - East,0,1,11943
Hornsby - West,0,1,10629
Wahroonga (West) - Waitara,0,1,11877
Gordon - Killara,0,1,22433
Lindfield - Roseville,0,1,24599
Pymble,0,1,17221
St Ives,0,1,21665
Turramurra,0,1,20251
Wahroonga (East) - Warrawee,0,1,18191
Cremorne - Cammeray,0,1,18905
Crows Nest - Waverton,0,1,17916
Neutral Bay - Kirribilli,0,1,17183
North Sydney - Lavender Bay,0,1,12441
Mosman - North,0,1,13763
Mosman - South,0,1,14565
Balgowlah - Clontarf - Seaforth,0,1,20732
Manly - Fairlight,0,1,22438
Avalon - Palm Beach,0,1,13052
Bayview - Elanora Heights,0,1,11243
Newport - Bilgola,0,1,13681
Mona Vale - Warriewood (North),0,1,14634
North Narrabeen - Warriewood (South),0,1,10874
Beacon Hill - Narraweena,0,1,14547
Cromer,0,1,8046
Forestville - Killarney Heights,0,1,13161
Freshwater - Brookvale,0,1,21828
Manly Vale - Allambie Heights,0,1,17550
Terrey Hills - Duffys Forest,0,1,3786
Belrose,0,1,8652
Collaroy - Collaroy Plateau,0,1,13980
Dee Why (South) - North Curl Curl,0,1,9116
Dee Why - North,0,1,17816
Frenchs Forest - Oxford Falls,0,1,17175
Narrabeen - Wheeler Heights,0,1,11241
Camden - Ellis Lane,0,1,13295
Currans Hill,0,1,6445
Elderslie - Narellan,0,1,14019
Harrington Park,0,1,11241
Mount Annan,0,1,19040
Spring Farm,0,1,9539
Bradbury - Wedderburn,0,1,20011
Campbelltown - Woodbine,0,1,22084
Claymore - Eagle Vale - Raby,0,1,20236
Holsworthy Military Area,0,1,5
Leumeah - Minto Heights,0,1,16729
Minto - St Andrews,0,1,21335
Rosemeadow - Glen Alpine,0,1,21155
Denham Court - Bardia,0,1,14868
Glenfield,0,1,10536
Ingleburn,0,1,16720
Macquarie Fields,0,1,14198
Bargo,0,1,5934
Douglas Park - Appin,0,1,11112
Picton - Tahmoor - Buxton,0,1,18987
The Oaks - Oakdale,0,1,9808
Blackheath - Megalong Valley,0,1,5764
Blaxland - Warrimoo - Lapstone,0,1,18993
Blue Mountains - North,0,1,7
Katoomba - Leura,0,1,13348
Lawson - Hazelbrook - Linden,0,1,11445
Springwood - Winmalee,0,1,21964
Wentworth Falls,0,1,6428
Blue Mountains - South,0,1,8
Cambridge Park,0,1,16004
Emu Plains - Leonay,0,1,13914
Glenmore Park - Regentville,0,1,21002
Jamisontown - South Penrith,0,1,17326
Kingswood - Werrington,0,1,24625
Mulgoa - Luddenham - Orchard Hills,0,1,12040
Penrith,0,1,17966
Warragamba - Silverdale,0,1,6025
Cranebrook - Castlereagh,0,1,17029
Jordan Springs - Llandilo,0,1,13388
Richmond - Clarendon,0,1,15239
Windsor - Bligh Park,0,1,15264
Yarramundi - Londonderry,0,1,7504
Erskine Park,0,1,6486
St Clair,0,1,19942
Colyton - Oxley Park,0,1,13028
